Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
.al em i Intanet kod bilong kantri Albenia .,.al,Albenia,Q38291,Q222,P17
.au em i Intanet kod bilong kantri Ostrelia .,.au,Ostrelia,Q37420,Q408,P17
Brisbin stap wanpela biktaun bilong Kwinslan , Ostrelia .,Brisbin,Ostrelia,Q34932,Q408,P17
Bratislava em i kapitol bilong kantri Slovakia .,Bratislava,Slovakia,Q1780,Q214,P1376
Apisai Ielemia i praim minista bilong Tuvalu .,Apisai Ielemia,praim minista bilong Tuvalu,Q316267,Q592866,P39
Frens em i kantri bilong Yurop .,Frens,Yurop,Q142,Q46,P30
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P17
Nicolas Sarkozy i presiden bilong Frens .,Nicolas Sarkozy,presiden bilong Frens,Q329,Q191954,P39
Morobe em i wanpela provins long Papua Niugini .,Morobe,Papua Niugini,Q853664,Q691,P131
China istap tupela kantri bilong Esia .,China,Esia,Q148,Q48,P30
Talin i kapitol bilong Estonia .,Talin,Estonia,Q1770,Q191,P1376
Osasku em i nambawan siti saut Brasil .,Osasku,Brasil,Q4035,Q155,P17
Kyushu ( o Kiusiu ) em i bikpela ailan long Siapan .,Kyushu,Siapan,Q13987,Q17,P131
Xavier Bettel i praim minista bilong Laksembog .,Xavier Bettel,praim minista bilong Laksembog,Q561213,Q1344632,P39
Pet stap wanpela biktaun bilong Wes Ostrelia , Ostrelia .,Pet,Ostrelia Ostrelia,Q3183,Q408,P17
Viktor Orbán i praim minista bilong Hangari .,Viktor Orbán,praim minista bilong Hangari,Q57641,Q3315094,P39
Tonga emi wanpela kantri long Osenia .,Tonga,Osenia,Q678,Q538,P30
Is Niu Briten em i wanpela provins long Papua Niugini .,Is Niu Briten,Papua Niugini,Q753702,Q691,P17
Helen Clark i praim minista bilong Niu Silan .,Helen Clark,praim minista bilong Niu Silan,Q180383,Q1071117,P39
Iran em i wanpela kantri long Esia .,Iran,Esia,Q794,Q48,P30
Potugal em i kantri bilong Yurop .,Potugal,Yurop,Q45,Q46,P30
Milen Be em i wanpela provins long Papua Niugini .,Milen Be,Papua Niugini,Q874962,Q691,P131
Con Dao em i bikpela ailan long Vietnam .,Con Dao,Vietnam,Q370746,Q881,P17
Sanna Marin ( Novemba 16 1985 ) i praim minista bilong Pinlan .,Sanna Marin,praim minista bilong Pinlan,Q16986436,Q738695,P39
Paltoga em i nambawan siti saut Rasia .,Paltoga,Rasia,Q23520,Q159,P17
Brussels emi kapitol bilong kantri Beljiam .,Brussels,Beljiam,Q239,Q31,P1376
Panama emi wanpela kantri bilong Sentrel Amerika .,Panama,Sentrel Amerika,Q804,Q27611,P361
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P17
Shikoku ( o Sikoku ) em i bikpela ailan long Siapan .,Shikoku,Siapan,Q13991,Q17,P131
Ijip em i kantri bilong kontinen Aprika .,Ijip,Aprika,Q79,Q15,P30
