Kreyol|French|English|Spanish
DINOZÒ PALEYOZOYIK|Les Dinosaures Paléozoïques|Paleozoic Dinosaurs|empty
Trilobit|Les Trilobites|Trilobites|empty
Sa gen 521 milyon ane|Il y a 521 millions d’années|521 million years ago|empty
Yon trilobit se te yon envètebre tankou yon kokorat. #### Tribolit yo te mezire 4,5 cm. #### Yo te viv nan lanmè nan epòk Devonyen an, bò kòt Oseyan Atlantik la.|Le trilobite était un invertébré qui ressemblait à un cloporte. #### Il mesurait 4,5 centimètres et vivait à l’âge dévonien au large des côtes de l’océan Atlantique.|A trilobite was a 1.75-inch invertebrate like a pill bug that lived in the Devonian age off the coast of the Atlantic Ocean.|empty
Te gen 2 espès trilobit: olenelis ak paradoksid.|Il y avait deux espèces : les olenellus et les paradoxides.|There were two species: olenellus & paradoxides.|empty
Non syantifik pou trilobit se « fakòp » ki soti nan mo laten « phacops » .|Le nom scientifique de trilobite est phacops.|The scientific name for trilobite is phacops.|empty
Men, prèske tout bèt ki te pi gwo pase tribolit yo te konn manje yo.|Ils mangeaient n’importe quelle particule comestible, mais ils étaient eux-mêmes mangés par tout être plus grand qu’eux.|They would eat any edible particles, but were eaten by almost anything bigger than them.|empty
Tribolit yo te gen yon je primitif ki sanble ak je mouch anpil.|Les trilobites avaient des yeux d‛un type primitif qui ressemblaient à ceux des mouches.|Trilobites had an early primitive type of fly-like eyes.|empty
Yo te viv nan dlo lanmè ki pa fon e ki tyèd nan kòt Oseyan Atlantik.|Leur habitat était les eaux chaudes et peu profondes de la côte Atlantique.|Their habitat was the warm and shallow seas of the Atlantic coast.|empty
Po trilobit yo te gen 12 plak rèd. Yo te kapab woule an boul pou defann tèt yo (menm jan ak kokorat).|Ils disposaient de 12 plaques osseuses qui leur servaient de défense (tout comme un cloporte).|They had 12 armored plates that they could roll up in defense (just like a pill bug).|empty
Lanmè a te chaje ak trilobit. #### Men, malerezman, yo disparèt nan epòk Pèmyen. #### Se te yon epòk ki te gen pi gwo fenomèn disparisyon ki te janm frapè bèt sou latè.|L’océan jadis grouillait de trilobites, mais malheureusement leur espèce s’est éteinte lors de l’extinction permienne, la plus grande extinction de masse de tous les temps.|The ocean once teemed with trilobites, but sadly they went extinct in the Permian extinction, the largest mass extinction ever.|empty
Anomalokaris|Anomalocaris|Anomalocaris|empty
Sa gen 520 milyon ane|Il y a 520 millions d’années|520 million years ago|empty
Otè : Isaac avèk Oscar|par Isaac et Oscar|By Isaac and Oscar|empty
Anomalokaris se pi gwo predatè nan epòk Kanbriyen. #### Li te mezire ant 69 cm a 1,5 m nan longè.|L’anamoclaris était le plus grand prédateur cambrien et mesurait de 60 centimètres à 1,5 mètre de long.|The Anomalocaris was the largest Cambrian predator at two to five feet long.|empty
Li te viv nan dlo.|Il vivait dans l’eau.|It lived in the water.|empty
Mo anomalokaris la vle di : kalama dwòl.|Le mot anamoclaris signifie calamar étrange.|The word Anomalocaris means odd squid.|empty
Kò li te gen fòm yon kòd ki gen apeprè dis najwa sou chak bò.|Son corps avait la forme d’une corde avec environ 10 nageoires de chaque côté.|It had a body shaped like a rope with about ten fins on each side.|empty
Najwa yo te konn monte desann ansanm pou yo fè Anomalokaris la avanse pi devan.|Les nageoires bougeaient de l’avant vers l’arrière à l’unisson, propulsant ainsi l’anamalocaris vers l ‛avant.|The fins moved up and down in unison, propelling the Anomalocaris forward.|empty
De (2) gwo boul je li yo soti devan.|Ses deux gros yeux ressortaient de son front.|Two big eyes stuck out at the front.|empty
Li te gen de (2) bra ki sanble kòd ak pikan epi ki te pandye an ba je li yo.|Il avait deux bras qui ressemblaient à des cordes avec des piquants et qui tombaient par-dessous les yeux.|It had two arms that look like ropes with spikes and they hung down from below the eyes.|empty
