Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Liu Yifei (bon 1987) hem i wan akta blong Jaena .,Liu Yifei,akta,Q242676,Q33999,P106
Micronesia emi wan kaontri long Pasifik .,Micronesia,Pasifik,Q702,Q538,P30
Lindsey Olin Graham ( bon 9 Julae 1955 ) hemi wan politisen blong US .,Lindsey Olin Graham,politisen,Q22212,Q82955,P106
Paris hem i kapitol blong Franis .,Paris,Franis,Q90,Q142,P1376
Shefa emi wan provens blong Vanuatu .,Shefa,Vanuatu,Q650617,Q686,P131
Takahiro Miura ( bon 10 Novemba 1985 ) hemi wan akta blong Japan .,Takahiro Miura,akta,Q5360024,Q33999,P106
Beijing hem i kapitol blong Jaena .,Beijing,Jaena,Q956,Q148,P1376
Gwangju emi wan siti long Saot Koria .,Gwangju,Saot Koria,Q41283,Q884,P131
Phoenix hemi kapitol blong Arizona .,Phoenix,Arizona,Q16556,Q816,P1376
Markdorf hem i wan taon long saot blong Jemani .,Markdorf,Jemani,Q573239,Q183,P17
Hitoshi Ashida ( 15 Novemba 1887 Ð 20 Jun 1959 ) emi bin praem minista blong Japan bifo .,Hitoshi Ashida,praem minista blong Japan,Q315725,Q274948,P39
Tarō Asō ( bon 20 Septemba 1940 ) hemi bin praem minista blong Japan .,Tarō Asō,praem minista blong Japan,Q132596,Q274948,P39
Canada hem i wan kaontri long Not Amerika .,Canada,Not Amerika,Q16,Q49,P30
Busan emi wan siti long Saot Koria .,Busan,Saot Koria,Q16520,Q884,P17
Nobusuke Kishi ( 13 Nov 1896 Ð 7 Ogis 1987 ) hemi praem minista blong Japan bifo .,Nobusuke Kishi,praem minista blong Japan,Q315572,Q274948,P39
Pendulum hem i wan miusik grup blong Ostrelia .,Pendulum,Ostrelia,Q20672,Q408,P495
"Zhengzhou emi kapitol blong Henan provens, Jaena .",Zhengzhou,Henan provens,Q30340,Q43684,P1376
Takeo Fukuda ( 14 Januware 1905 Ð 5 Julae 1995 ) hemi bin praem minista blong Japan bifo .,Takeo Fukuda,praem minista blong Japan,Q315584,Q274948,P39
Incheon hem i wan siti long Saot Koria .,Incheon,Saot Koria,Q20934,Q884,P131
Sakura Andō ( bon 18 Februari 1986 ) emi wan akta blong Japan .,Sakura Andō,akta,Q1060139,Q33999,P106
Justice hemi wan miusik grup blong Franis .,Justice,Franis,Q329178,Q142,P495
Yoshihiko Noda ( bon 20 Mei 1957 ) hem i bin praem minista blong Japan bifo .,Yoshihiko Noda,praem minista blong Japan,Q57647,Q274948,P39
Malampa emi wan provens blong Vanuatu .,Malampa,Vanuatu,Q740656,Q686,P131
Renhō Murata ( bon 1967 ) hemi wan politisen blong Japan .,Renhō Murata,politisen,Q465290,Q82955,P106
