Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
"Un ciudad na Chile el Lota que tiene populacion de 49,089 residente (2002)",Lota,Chile,Q16911,Q298,P17
Un pulico de Georgia si Mariam Kvrivishvili,Mariam Kvrivishvili,pulico,Q103864117,Q82955,P106
Belgrade el centro ciuded na Pais del Serbia,Belgrade,Serbia,Q3711,Q403,P1376
Un cantora si Mila Nitich de Ukraine.,Mila Nitich,cantora,Q4293297,Q177220,P106
Un lugar que tiene mga casarias el Soponya na probincia de Fejér na Hangaria.,Soponya,Hangaria,Q1084395,Q28,P17
Un cantor si Juanes de pop music na Colombia.,Juanes,cantor,Q43189,Q177220,P106
Un pulitico de Georgia si Davit Bakradze.,Davit Bakradze,pulitico,Q673705,Q82955,P106
Un ciudad na Italia el Baselga de Piné na costa norte del Trento.,Baselga de Piné,Italia,Q244005,Q38,P17
Un pulitico de Georgia si Shalva Shavgulidze.,Shalva Shavgulidze,pulitico,Q12870563,Q82955,P106
Un lugar que tiene mga casarias el Szár na probincia de Fejér na Hangaria.,Szár,Hangaria,Q1094998,Q28,P17
Un ciudad na Chile el Coronel que tiene populacion de 95.527 residente (2002).,Coronel,Chile,Q3873,Q298,P17
Un pulitico de Georgia si Akaki Bobokhidze.,Akaki Bobokhidze,pulitico,Q16364518,Q82955,P106
"Un Pilipino-Americano singer de R&B y soul [mga clase de cancion] si Allan Pineda Lindo, o mas conocido como si apl.de.ap (quien ya nase del Nobyembre 28, 1974).",Allan Pineda Lindo,singer,Q293590,Q177220,P106
Un pulitico de antes na Pilipinas si Erineo Maliksi (1938-2021).,Erineo Maliksi,pulitico,Q3348186,Q82955,P106
Un cantor de pop [clase de cancion] si Nina Kralic (quien ya nase del 1992).,Nina Kralic,cantor,Q22928445,Q177220,P106
Un lugar que tiene mga casarias el Pákozd na probincia de Fejér na Hangaria.,Pákozd,Hangaria,Q1084400,Q28,P17
Un pulitico de Georgia si Ana Buchukuri.,Ana Buchukuri,pulitico,Q106680634,Q82955,P106
"Un pulitico de Georgia si Vera Kobalia.
",Vera Kobalia,pulitico,Q2428520,Q82955,P106
Un pulitico de Georgia si Isko Daseni.,Isko Daseni,pulitico,Q65285887,Q82955,P106
Caracas el centro ciudad del Pais/Nacion de Venezuela.,Caracas,Venezuela,Q1533,Q717,P1376
Un singer si Ariana Grande.,Ariana Grande,singer,Q151892,Q488205,P106
Un cantora si Nini Shermadini.,Nini Shermadini,cantora,Q4978828,Q177220,P106
Un lugar el Lebanon na Asia.,el Lebanon,Asia,Q822,Q48,P30
Un pulitico de Georgia si Giorgi Godabrelidze.,Giorgi Godabrelidze,pulitico,Q106681881,Q82955,P106
Un pulitico de Georgia si Aleko Elisashvili.,Aleko Elisashvili,pulitico,Q61136219,Q82955,P106
Un nacion el Papua New Guinea na Oceania.,Papua New Guinea,Oceania,Q691,Q55643,P361
Un pulitico de Georgia si Giorgi (Gigi) Ugulava.,Giorgi ( Gigi ) Ugulava,pulitico,Q969642,Q82955,P106
Un lugar que tiene mga casarias el Perkáta na probincia de Fejér na Hangaria.,Perkáta,Hangaria,Q339890,Q28,P17
Un pais el Bangladesh na costa sur del Asia.,Bangladesh,Asia,Q902,Q48,P30
"Un ciudad na Argentina el Rosario que tiene populacion de 1.036.286
residente (2009).",Rosario,Argentina,Q52535,Q414,P17
Lisbon amo el capital del Portugal.,Lisbon,Portugal,Q597,Q45,P1376
"Un singer de pop pati soul clase de mga cancion si Emilija Kokić (quien ya nase 
del 1968).",Emilija Kokić,singer,Q447343,Q177220,P106
Un lugar na Europa el Belgium.,el Belgium,Europa,Q31,Q46,P30
Un pulitico de Georgia si Kakha Kuchava.,Kakha Kuchava,pulitico,Q31355070,Q82955,P106
Un cantora si Sopho Khalvashi.,Sopho Khalvashi,cantora,Q157372,Q177220,P106
Un singer si Bebe Rexha.,Bebe Rexha,singer,Q16185856,Q177220,P106
Un ciudad na costa sur-este na estado de Goiás na Brazil el Catalão.,Catalão,Brazil,Q35135,Q155,P17
Un pulitico de Georgia si Tariel Nakaidze.,Tariel Nakaidze,pulitico,Q105278311,Q82955,P106
Un lugar que tiene mga casarias el Óbarok na probincia de Fejér na Hangaria.,Óbarok,Hangaria,Q1095342,Q28,P17
Un lugar que tiene mga casarias el Sárkeszi na probincia de Fejér na Hangaria.,Sárkeszi,Hangaria,Q258522,Q28,P17
Un cantora si Nina Sublatti (Sulneridze).,Nina Sublatti,cantora,Q18710983,Q177220,P106
Un pulitico de Gerogia si Shalva Papuashvili.,Shalva Papuashvili,pulitico,Q106528743,Q82955,P106
Un nacion na Asia el Singapore.,Singapore,Asia,Q334,Q48,P30
"Un singer de pop pati soul music si Franka Batelić  (quien ya nase 
del 1992).",Franka Batelić,singer,Q468367,Q177220,P106
"Un ciudad na Canada el Toronto que tiene populacion de 2.731.571
residente (2016).",Toronto,Canada,Q172,Q16,P17
Un pais na Asia el Brunei.,Brunei,Asia,Q921,Q48,P30
Un singer de fado music na Portugal si Ana Moura.,Ana Moura,singer de fado music,Q463930,Q63643090,P106
Paris amo el capital del France.,Paris,France,Q90,Q142,P1376
"Un probincia na Argentina el Córdoba que tiene populacion de 1.329.604 residente, des
de 2010.",Córdoba,Argentina,Q44759,Q414,P131
Un pulitico de Georgia si Khatia Dekanoidze.,Khatia Dekanoidze,pulitico,Q6400911,Q82955,P106
Un lugar que tiene mga casarias el Tác na probincia de Fejér na Hangaria.,Tác,Hangaria,Q946252,Q28,P17
Un pulitico de Georgia si Levan Khabeishvili.,Levan Khabeishvili,pulitico,Q105080892,Q82955,P106
Berlin el centro ciudad (na Pais) del Germany.,Berlin,Germany,Q64,Q183,P1376
"Un lugar que tiene mga casarias el Sárkeresztes na probincia de Fejér na 
Hangaria.",Sárkeresztes,Hangaria,Q390971,Q28,P17
Tbilisi amo el centro ciudad (na Pais) del Georgia.,Tbilisi,Georgia,Q994,Q230,P1376
Un ciudad na Argentina el Paraná que tiene populacion de 283.710 residente (2013).,Paraná,Argentina,Q44213,Q414,P17
"Un ciudad na Espana el Barcelona, y este el capital (city) del Catalonia.",Barcelona,Catalonia,Q1492,Q5705,P1376
Un municipalidad na probincia de Granada na Espana el Láchar.,Láchar,Espana,Q484981,Q29,P17
Un ciudad na Chile el Monte Águila.,Monte Águila,Chile,Q6022566,Q298,P17
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Újbarok.,Újbarok,Hangaria,Q240322,Q28,P17
Un cantora de Ukraine si Natalia Morozova.,Natalia Morozova,cantora,Q16707481,Q177220,P106
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Úrhida.,Úrhida,Hangaria,Q523090,Q28,P17
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Sárosd.,Sárosd,Hangaria,Q1084388,Q28,P17
Un pulitico de Gerogia si Elene Khoshtaria.,Elene Khoshtaria,pulitico,Q30172635,Q82955,P106
Un pulitico de Georgia si Akaki Minashvili.,Akaki Minashvili,pulitico,Q4700194,Q82955,P106
Parte de Asia el Sri Lanka.,Sri Lanka,Asia,Q854,Q48,P30
"Un cantora pati actres si Demi Diometria Devonne Lovato (quien ya nase del 
20 del Agosto 1992).",Demi Diometria Devonne Lovato,cantora,Q41173,Q177220,P106
Amsterdam el centro ciudad (na Pais) del Netherlands.,Amsterdam,Netherlands,Q727,Q55,P17
Un singer si Lela Tsurtsumia.,Lela Tsurtsumia,singer,Q2639866,Q177220,P106
Un cantor si Cher Lloyd.,Cher Lloyd,cantor,Q230451,Q177220,P106
Beijing el centro ciudad (na Pais) del China.,Beijing,China,Q956,Q148,P1376
Un cantora si Anna Netrebko (quien ya nase del 1971).,Anna Netrebko,cantora,Q78516,Q2865819,P106
