source_sent	target_sent	target_id	gold_sent	gold_id
Abri este puerta.	Don't make me do it again.	655	Open this door.	932
Agregá dos dientes de ajo.	Does this food contain any meat?	820	Add two cloves of garlic.	868
Alegre yo si junto yo cuntigo.	Many cities were destroyed by bombs.	119	When I'm with you, I'm happy.	376
Allergic yo na maíz.	Tom is good-looking.	682	I'm allergic to corn.	747
Amó se cosa ya pasá?	How?	212	Is that what happened?	287
Aquí yo ya dejá de mío bag.	Whose pencil is this?	481	I left my bag here.	66
Ay man miss yo cun ustedes todo.	Do you have any pencils?	300	I will miss you all.	256
Ay tené gayót yo mucho cuidáo.	Why do you like it?	202	I will be very careful.	515
Ayudá cumigo mové cuneste piedra.	All that glitters is not gold.	550	Help me move this stone.	530
Basta, salé aquí.	Did Tom see anything?	837	Just get out of here.	534
Besá cun Tom.	Do you know where Tom is?	236	Kiss Tom.	299
Bien manada yo mordedura de lamuk.	Tom understands what you don't.	263	I got a lot of mosquito bites.	834
Bien rico gayot yo.	Where's the president?	64	I am very rich.	647
Bien sensitivo yo na calor.	No one said it was a diamond.	645	I am very sensitive to heat.	476
Borles el mujer.	I want to buy a cheap dictionary.	728	The woman is naked.	77
¡Buenas tardes!	He's not my father.	544	Good afternoon.	184
Busy yo este día.	I need to pee.	136	I've been busy today.	162
Cerrá el libro.	Tom is on the roof.	799	Close the book.	63
Cerrao el ventana.	He got on the train.	920	The window is closed.	466
Colorao de suyo maga uñas.	Did you sew this by hand?	48	Her nails are red.	357
Colorao de tuyo sangre.	Do you know where Tom is from?	752	Your blood is red.	935
Color verde el falda.	You aren't allowed to go into that room.	649	The skirt is green.	65
Con cuidao! Bien caliente el caldo.	There are lots of things to do.	425	Be careful! The soup is very hot.	918
Conoce yo cunel dueño.	She started laughing.	966	I know the owner.	333
Contento le cosa le ahora.	Tom showed me how to make spaghetti.	918	He is content with his present state.	302
Cosa ay pasá cumigo?	Its color is red.	443	What'll happen to me?	240
Cosa clase de vino tu tiene?	The bread went hard.	968	What kind of wine do you have?	737
Cosa cuntigo ya hablá?	Let's meet on Sunday.	121	What were you told?	411
Cosa el color de tuyo pelo?	We shouldn't do that.	622	What color is your hair?	958
¿Cósa es su etnia? ¡Zamboangueño!	Give me the knife.	466	What is your ethnicity? Zamboangueño!	576
Cosa ta pasa alli arriba?	I left my keys on the table. Could you bring them to me?	909	What is going on up there?	124
Cosa tu hacé luego de noche?	Why are you sleeping in a place like this?	692	What are you going to do tonight?	779
Cosa tu hacé si nuay yo?	Tom went pale.	971	What would you do without me?	509
Cosa tu mas quiere, carne o pescáo?	Tom ducked Mary's punch.	936	Which do you like better, meat or fish?	862
Cosa tu ta esperá?	You're bleeding again.	812	What are you waiting for?	799
Cosa tu ya hacé cunel cámera?	Please bring your own fork and spoon.	530	What did you do with the camera?	681
Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	They admire each other.	509	I wanted to be a bus driver when I was five.	406
Cuando tu andá na Armenia?	I am baking bread.	790	When will you go to Armenia?	71
¿Cuándo?	This is a little salty.	440	When?	941
Cuanto gusano tu ya encontrá?	Only I can do it. I did it alone.	389	How many worms did you find?	615
