source_sent	target_sent	target_id	gold_sent	gold_id
Bwénu el gátu.	Si comes así, te convertirás en una ballena.	65	El gato es bueno.	73
Chikítu el gátu ómbri.	Ocupo mi pasaporte.	42	El gato es pequeño.	6
Grándi el kamóte.	¿Cuánto?	15	El camote es grande.	55
Grándi el ómbri.	¡Buenos días!	9	El hombre es grande.	101
	Me he olvidado de mis gafas.	98		88
Andá sintá.	¿Estás enojado conmigo porque mi falda es muy corta?	58	Ve a sentarte.	49
Apuráo pirmi si Tom.	El gato es pequeño.	1	Tom siempre está apurado.	62
Apuráo tu?	Estoy estudiando.	73	¿Estás apurado?	51
Baklá yo, acabar?	El ladrón huyó cuando vio un policía.	90	Soy gay, ¿y qué?	25
¡Buenos días!		103	¡Buenos días!	3
Cerca ya gat kita.	Vivimos cerca de la escuela.	79	Ya estamos cerca.	12
Conoce de mío tata'y nana cunel de mío novia.	Ella está jugando con una muñeca.	76	Mis padres conocen a mi novia.	91
Cosa el nombre del batita mujer?	Ya estamos cerca.	10	¿Cómo se llama la nena?	42
Cosa el precio desté reloj?	Necesito mi pasaporte.	41	¿Cuál es el precio de este reloj?	94
Cosa tu ya decidi?	«¿Recuerdas cuando te caíste al pozo?» «Sí, parece que fue ayer.»	67	¿Qué decidiste?	102
¿Cuánto?	¿Vas conmigo al río?	66	¿Cuánto?	2
Cuidáo! Tiene vaca na camino!	Preguntemos a alguien.	52	¡Cuidado! ¡Hay una vaca en el camino!	57
Debe kita espera para un mesa.	Quiero ser rico.	56	Debemos esperar por una mesa.	96
¿De dónde tú?	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	33	¿De dónde eres?	47
Dublá cunel hojas na medio.	"¡Hola! ¿Cómo estás?" "Estoy muy bien."	30	Plega la hoja por la mitad.	68
Ele ya andá na escuela.	Ellos se aman el uno al otro.	68	Él fue a la escuela.	72
Ele ya andá na escuela.	Sabes que Tom está diciendo la verdad.	60	Ella fue a la escuela.	26
El hombre, con quien tu yan encuentro, de mi hermano aquel.	Escribo cuentos todos los días.	72	El hombre que tú ya has encontrado es mi hermano.	61
