source_sent	target_sent	target_id	gold_sent	gold_id
Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	Choose what you want from the menu. 	91	In that amazing "zugzwang", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. 	38
Elles m'ont oublié. 	Friends help each other. 	689	They forgot me. 	917
As-tu déjà ressenti une douleur à la poitrine ? 	Yanni sold everything he had to raise money for a ticket home. 	627	Have you ever experienced chest pain? 	840
Sortez vos cavaliers avant de développer les fous. 	In Kabylia, Kabyle is spoken. 	267	Bring out your knights before developing the bishops. 	391
Au travail ! 	Fear me! 	187	Let's get it done! 	147
Veuillez suivre mon doigt sans bouger votre tête. 	She works even if she's tired. 	169	Please follow my finger without moving your head. 	116
Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Eight brothers and no sisters? No wonder she's a tomboy. 	12	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	82
Quelqu'un est entré. 	Do you use methamphetamines? 	547	Someone entered. 	31
Ils ne m'ont pas oubliée. 	Do you drink alcohol every day? 	801	They didn't forget me. 	685
Lis les bons livres ! 	Is it okay if I ask you a few questions about your medical history? 	780	Read good books! 	716
Leur maison est en vente. 	Do you want to speak in French? 	707	Their house is for sale. 	297
Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	Have you been diagnosed with emphysema? 	829	After the explosion, I saw three guys limping out of the restaurant. 	67
Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	That building is more than three hundred years old. 	704	Eight brothers and no sisters? No wonder she's a tomboy. 	6
Ils m'ont oubliée. 	Did you require any special assistance when you were in school? 	363	They forgot me. 	404
Connais-tu quelqu’un qui joue de la guitare ? 	Do you feel pain when you do that? 	163	Do you know anyone who plays the guitar? 	882
Avez-vous régulièrement des problèmes de sinus ? 	Do you use spice or K2? 	573	Do you regularly have sinus issues? 	791
Le livre a des points de vente dans toute la France, la Belgique, la Suisse romande et le Québec. 	We will go for a walk, unless it rains. 	506	The book has points of sale throughout France, Belgium, French-speaking Switzerland and Quebec. 	544
Comment est votre vue ? 	Shivaji Maharaj was the founder of the Maratha Empire. 	122	How is your vision? 	253
As-tu déjà eu un décollement de la rétine ? 	Yanni rested. 	984	Have you ever had a detached retina? 	242
Ce n'est pas son seul problème. 	Have you noticed any changes in your hair or nails? 	888	That's not his only problem. 	233
Tom saute d'un sujet à l'autre. 	I got you some ice cream. 	587	Tom jumps from one subject to another. 	166
L'ami de mon ennemi est mon ennemi. 	She rang. 	400	The friend of my enemy is my enemy. 	971
Prenez-vous actuellement des médicaments qui vous ont été prescrits par un psychiatre ? 	Honestly, I'd rather be wrong. 	569	Do you currently take any medication prescribed to you by a psychiatrist? 	689
Est-ce que ce mouvement fait mal ? 	A lot of people do that here. 	172	Is it painful to move like this? 	338
Ne regardez pas par le trou de la serrure. 	You've been safe for a long time now. 	105	Don't look through the keyhole. 	176
Avez-vous ressenti des douleurs corporelles récemment ? 	You should have done a language study abroad. 	721	Have you experienced body aches recently? 	619
C'est à Tom que Mary veut parler. 	Yes, Sir! 	81	It's Tom that Mary wants to talk to. 	979
Tu veux que je te chante une berceuse ? 	Do you wear a hearing aid? 	478	Do you want me to sing you a lullaby? 	32
Elle ne m'a pas oubliée. 	A lot of people are worried about Europe. 	524	She didn't forget me. 	334
La boîte est toute sale. 	Good talk. 	539	The box is all dirty. 	891
Ils ne m'ont pas oublié. 	They're afraid of her. 	236	They didn't forget me. 	448
Ce n'est pas mon seul problème. 	Someone entered. 	7	That's not my only problem. 	524
A-t-on diagnostiqué chez toi un souffle cardiaque ? 	Do you want me to sing you a lullaby? 	27	Have you been diagnosed with a heart murmur? 	153
As-tu été piquée par une abeille ? 	I'm ace. 	894	Were you stung by a bee? 	589
Les noms russes peuvent être masculins, féminins ou neutres. 	The outbreak of World War II, in 1939, made it impossible to carry out the match between Alexander Alekhine and Paul Keres for the World Chess Championship at that time. 	697	Russian nouns can be masculine, feminine, or neuter. 	663
La guerre était perdue. 	How many cylinders does an engine need? 	409	The war was lost. 	385
Il faut que Tom voie ça. 	He forgot us. 	755	Tom needs to see this. 	767
Je suis asexuel. 	Would you like to speak with a mental health provider? 	754	I'm asexual. 	929
Avez-vous déjà été diagnostiquée avec une hépatite ? 	In that amazing "zugzwang", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. 	0	Have you ever been diagnosed with hepatitis? 	608
Elles la craignent. 	What is the highest level of school you completed? 	326	They're afraid of her. 	307
Tom n’a pas encore répondu. 	Tom is sportier than Charles. 	42	Tom hasn't answered yet. 	986
Yanni s'est excusé. 	Mary is a veterinarian. 	870	Yanni apologized. 	965
Tom est plus sportif que Charles. 	I can finally walk without a limp. 	265	Tom is sportier than Charles. 	40
Ça va si je te pose quelques questions sur tes antécédents médicaux ? 	She's going to get used to it quickly. 	69	Is it OK if I ask you a few questions about your medical history? 	458
Badigeonne-toi de crème solaire. 	The president remained coy about his plans. 	558	Slather yourself with sunscreen. 	812
Es-tu de langue maternelle française ? 	Can you give me your phone number? 	685	Are you a native French speaker? 	292
Ce virus est un problème partout dans le monde. 	I wish that my French was as good as your English. 	132	This virus is a problem all over the world. 	609
Marie me suit. 	I asked her but she didn't answer. 	611	Mary is following me. 	748
Vous a-t-on diagnostiqué un souffle cardiaque ? 	What is the highest level of school you completed? 	127	Have you been diagnosed with a heart murmur? 	471
Ce n'est pas votre seul problème. 	He gave up his old career to become a full-time chess player. 	292	That's not your only problem. 	455
Tom a dit qu'il aimerait être un poisson. 	We got up too late and we missed the train. 	301	Tom said that he wished he were a fish. 	683
Lucy est une étudiante américaine. 	How much heroin or methadone do you usually use per day? 	981	Lucy is an American student. 	569
Au cours des deux dernières semaines, avez-vous été en contact étroit avec une personne présentant des symptômes de la grippe ? 	Do you feel safe at home? 	917	Within the last two weeks, have you had close contact with anyone with flu-like symptoms? 	901
Les dinosaures régnaient sur Terre. 	I don't think gods exist. 	428	Dinosaurs ruled Earth. 	541
Il rencontre des étrangers pendant ses voyages. 	Your stitches will need to be removed in a few days. 	276	He meets foreigners during his travels. 	290
Vous nous craignez. 	I don't believe in conspiracy theories. 	771	You're afraid of us. 	911
À quoi sert la vie, si on finit tous par mourir ? 	Efforts to bring the blaze under control using buckets soon failed. 	123	What's the point of life if we all eventually die? 	344
Faites de l'exercice avec modération. 	Why did you visit the doctor that time? 	785	Exercise moderately. 	746
As-tu quitté l'État au cours des 14 derniers jours ? 	Have you ever been intubated because of an asthma attack? 	629	Have you left the state within the last 14 days? 	492
Nos femmes nous manquent vraiment. 	A heavenly comfort, I don't know how, takes hold of me. 	83	We really miss our wives. 	93
Continue de rêver. 	When was the last time you vomited? 	942	Keep dreaming. 	99
Prends ton portable avec toi. 	I'm studying French and English. 	198	Bring your phone. 	325
Écrivez avec un stylo, s'il vous plaît. 	Go to the front desk to ask for some information. 	206	Write with a pen, please. 	578
Les trucs que j'ai mis à la poubelle ne sont plus utiles. 	Have you ever received treatment for syphilis? 	382	The things I put in the trash can are no longer useful. 	198
Depuis qu'elle est partie, il a perdu son sourire. 	I took your keys by mistake. 	200	Since she left he has lost his smile. 	615
On ne peut pas gagner sans participer. 	Change your profile picture. 	850	You can't win if you don't play. 	536
Les arbres perdent rapidement leurs feuilles. 	Have you ever been treated for a urinary tract infection? 	657	Trees lose their leaves quickly. 	450
Pourquoi voulez-vous apprendre le portugais ? 	After the explosion, I saw three guys limping out of the restaurant. 	11	Why do you want to learn Portuguese? 	512
Vous a-t-on déjà diagnostiqué un problème cardiaque ? 	Hello, boys. 	422	Have you ever been diagnosed with a heart condition? 	102
Elle va s'y habituer rapidement. 	Have you noticed a change in the size or color of moles? 	909	She's going to get used to it quickly. 	43
Je suis l'infirmière du week-end. 	Do you have vertigo? 	536	I am the weekend nurse. 	765
Tom, nous l'admirons. 	Can I check your temperature? 	186	We admire Tom. 	850
A-t-il perdu connaissance ? 	I'm the night shift nurse. 	461	Did he lose consciousness? 	384
Ramasse tes jouets. 	Your sister is my friend. 	175	Pick up your toys. 	389
Vous ne le ferez pas changer d'avis. 	When the Algerian wants to build mosques all over the world, the Kabyle seeks to integrate. 	199	You won’t change his mind. 	267
Il aurait dû se retirer plus tôt. 	It saddens me to think that tomorrow is the last day. 	950	He should have bowed out earlier. 	710
Je voudrais que mon français soit aussi bon que ton anglais ! 	In what country were you born? 	900	I wish my French was as good as your English. 	785
Tom n'attend plus rien de la vie. 	If this does not obtain, we cannot say that the function is monotone increasing. 	320	Tom doesn't expect anything from life anymore. 	640
Actuellement, les joueurs d'échecs ont des programmes informatiques avancés, tels que Alpha Zero, Deep Mind et Stockfish, pour analyser n'importe quelle position dans une partie d'échecs. 	Prove Tom exists. 	474	Currently, chess players have advanced computer programs, such as Alpha Zero, Deep Mind, and Stockfish, to analyze any position in a chess game. 	464
Je suis l'infirmier du week-end. 	Everything is done for you. 	247	I am the weekend nurse. 	426
Vous a-t-on déjà diagnostiqué une hypertension artérielle ? 	I went to bed with my clothes on. 	97	Have you ever been diagnosed with high blood pressure? 	732
Oui, chef ! 	Is Amharic a Semitic language? 	811	Yes, Sir! 	26
J'aimerais bien. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	6	I wish. 	988
Un réconfort céleste, je ne sais comment, s'empare de moi. 	I have to use a needle to inject this under your skin. 	183	A heavenly comfort, I don't know how, takes hold of me. 	59
En moyenne, combien de tasses de café buvez-vous par jour ? 	Is there a possibility that you are pregnant? 	253	On average, how many cups of coffee do you drink daily? 	177
Avez-vous été vaccinée dans votre enfance ? 	Can you eat the skin of a kiwifruit? 	568	Did you receive immunization shots as a child? 	179
Vous a-t-on déjà dit que vous vous arrêtiez de respirer quand vous dormiez ? 	Is Amharic a Semitic language? 	583	Has anyone ever told you that you stop breathing when you're asleep? 	279
Je connais le français, l’anglais et l’allemand. 	In the depths of humanity's collective unconscious, the troglodytes' way of thinking must be found. Toki Pona is a useful tool to bring this to the surface of our consciousness. 	215	I know French, English, and German. 	295
Ce n'est pas leur seul problème. 	We will disappear before these old olive trees disappear. 	430	That's not their only problem. 	264
Quel type de contraception utilises-tu ? 	One of the functions of the genitive case in Russian is to denote possession. 	992	What type of birth control do you use? 	321
Prends-tu de la benzylpipérazine ? 	I need you to urinate in this cup. 	171	Do you use bath salts? 	927
Choisissez ce que vous voulez dans le menu. 	Do you have anyone who you can call if you need to talk? 	581	Choose what you want from the menu. 	0
J'ai besoin que vous traduisiez ce document en russe. 	I think I'm determined. 	500	I need you to translate this document into Russian. 	759
Quelqu'un dans ta famille proche souffre-t-il d'une maladie cardiaque ? 	We really miss our wives. 	59	Does anyone in your close family have heart disease? 	978
Tom était à la maison toute la journée. 	That goes against my beliefs. 	349	Tom was home all day. 	236
Jamais je n'accepterai cela ! 	I have a friend whose father is a doctor. 	977	I will never accept this! 	879
Si seulement. 	Bu Xiangzhi is one of the most talented Chinese Grand Masters. 	251	If only. 	155
Je me suis couchée avec mes vêtements. 	I can't read your notes because of your writing. 	831	I went to bed with my clothes on. 	80
Avez-vous eu des douleurs abdominales récemment ? 	March away! 	787	Have you had abdominal pain recently? 	225
La douleur est-elle lancinante ou constante ? 	Keep dreaming. 	60	Is the pain throbbing or constant? 	669
En position de départ du match, les blancs ont les tours en a1 et h1, les cavaliers en b1 et g1, les fous en c1 et f1, la dame en d1 et le roi en e1. Ses huit pions occupent la deuxième rangée du plateau, de a2 à h2. 	Do you have seasonal allergies? 	742	In the starting position of the game, White has the rooks in a1 and h1, the knights in b1 and g1, the bishops in c1 and f1, the queen in d1, and the king in e1. Its eight pawns occupy the second row of the board, from a2 to h2. 	757
