source_sent	target_sent	target_id	gold_sent	gold_id
Jeg trenger papir.	It's cold here.	978	I need some paper.	708
Jeg har aldri vært ranet.	He looks his age.	39	I've never been robbed.	973
Jeg skulle ønske jeg kunne finne ut hvordan jeg får barna mine til å slutte å krangle.	Physics doesn't interest me at all.	332	I wish I could figure out how to stop my children from fighting.	124
Hvor er pennen?	Tom seems totally confused.	686	Where is the pen?	572
Jeg bestilte de bøkene fra Tyskland.	Don't say anything to Tom.	937	I ordered those books from Germany.	330
Han ble sint og slo henne.	Without your assistance I would have failed.	295	He got angry and hit her.	137
Jeg har ikke pass.	We are his sons.	757	I don't have a passport.	987
Du er velkommen her når som helst, Tom.	America is a lovely place to be, if you are here to earn money.	615	You're welcome here anytime, Tom.	39
Jeg mistet nøklene mine.	If it had not been for your help, I should have drowned.	432	I dropped my keys.	35
Tom liker å bowle.	I read this book when I went to primary school.	417	Tom likes to bowl.	976
Ein fugl kan flyge.	Can she ride a bike?	531	A bird can fly.	425
Jeg har fått nok av frekkheten hans.	I have done this many times.	328	I've had quite enough of his impudence.	640
Hun var enda svak etter sykdommen.	Your work is far from being satisfactory.	72	She was still weak after her illness.	847
Jeg mater gullfisken.	Tom has braided his beard.	825	I'm feeding the goldfish.	284
Det skjedde plutselig.	I have the same dictionary as your brother.	984	It happened suddenly.	381
I retrospekt, skulle Tom ønske han hadde brukt mer tid på å studere.	Tom got a parking ticket yesterday afternoon.	185	In retrospect, Tom wishes he had spent more time studying.	361
Jeg vet godt hva han synes.	Tom's company imports tea from India.	571	I know quite clearly what he thinks.	375
Har du noen gang sett en flygende tallerken?	There are a lot of people who want to talk to Tom.	317	Have you ever seen a UFO?	96
Fangen er stille i cellen i dag.	I don't quite follow you.	541	The prisoner is being quiet in the cell today.	277
Hun er vakker.	No, it wasn't you I was talking to.	357	She is beautiful.	777
Jeg liker ikke varme vintre.	I'm from Tokyo.	899	I don't like warm winters.	711
Vel, det er alt jeg har.	Yokohama is a beautiful port town.	817	Well, that's all I've got.	33
Ulykken skapte kaos i trafikken.	I noticed you weren't at home last night.	47	The accident caused traffic confusion.	830
Jeg har klatret Mt. Fuji to ganger.	Maybe you should just fire Tom.	285	I've climbed Mt. Fuji twice.	42
Fra hvilken retning?	These days, the motive for marriage is not necessarily pure.	100	From which direction?	984
Jeg åpnet døren og så to gutter som sto side om side.	A miss by an inch is a miss by a mile.	518	I opened the door and saw two boys standing side by side.	430
Firmaet sa opp fem personer.	See you later!	897	The company laid off five people.	763
Hun fikk ikke betalt for det.	The roses bloom in spring.	625	She didn't get paid for it.	127
Jeg har en venn.	Mum's working.	877	I have a friend.	731
Jeg liker landskapet man kan se når man tar shinkansen.	Why did you go there?	64	I love the scenery viewable from the Shinkansen.	377
Kommer du?	We have more important things that need to be dealt with.	604	Are you coming?	812
Jeg tenker du skjønner hva jeg mener.	Shakespeare knew only a little Latin, but he put the little he knew to very good use.	786	I think you know what I mean.	861
Hva skulle jeg gjort uten ham?	You should write as nicely as you always do.	318	What would I do without him?	299
Er din kone flink å lage mat?	Well, that's all I've got.	21	Is your wife a good cook?	660
Kan du ta med et til varmt håndkle til meg?	What do you like doing alone?	338	Could you bring me another hot towel?	613
Du høster stor respekt fra meg for din evne til å se din egen virksomhet utenfra og for å sette alminnelige menneskelige og moralske grenser.	I dropped my keys.	8	You have my respect for your ability to see your own enterprise from the outside and for operating within ordinary human and moral limits.	800
Hvor mye måtte du betale for å få bilen din reparert?	Remove battery from smoke detector.	495	How much did you have to pay to get your truck fixed?	214
Han neker å høre på noen av oss; du kunne like godt ha snakket med en stein.	She patted me on the shoulder.	493	He will not listen to any of us; you might as well talk to a figure of stone.	77
Broren min er god til å spille tennis.	What have I just written?	119	My brother is good at playing tennis.	717
Han ser like gammel ut som han er.	You're welcome here anytime, Tom.	7	He looks his age.	1
Har du levert inn rapporten?	We have less snow here than usual.	376	Have you turned in your report?	510
Jeg skulle ønske jeg hadde mer tid til å snakke med deg.	You should behave carefully.	623	I wish I had more time to talk with you.	878
Jeg er ikke uorganisert.	I've climbed Mt. Fuji twice.	23	I'm not disorganized.	160
Jeg vil ikke se det igjen.	The colour fuchsia is called after a flower.	415	I don't want to see that again.	821
Tom sa at han ikke visste hvorfor Mary ville slå opp med ham.	I think I'm going to fail a subject.	398	Tom said he didn't know why Mary wanted to break up with him.	954
Det var en voldelig forbrytelse.	What are you looking for?	549	It was a violent crime.	545
Vil du ha hjelp?	I was at home.	771	Could you use some help?	347
Jeg la merke til at du ikke var hjemme i går kveld.	He is not kind to her.	939	I noticed you weren't at home last night.	22
De erklærte uavhengighet i 1847.	She tore up the letter.	351	In 1847, they declared independence.	174
Tom vil ikkje vedgå at han har gjort noko gale.	What do you think of Japanese?	138	Tom won't admit that he's done anything wrong.	631
Jeg bor i gåavstand til skolen.	I hope Tom is in Boston all next week.	236	I live within walking distance of school.	867
Han er uten tvil mye flinkere enn deg.	For our improvement we need a mirror.	979	He's without a doubt a lot better than you.	819
Dette er veldig viktig. Likevel snakker ingen om det.	The teacher listened attentively to my explanation.	312	This is very important. Yet no one talks about it.	308
