source_sent	target_sent	target_id	gold_sent	gold_id
E paradeis spiritual ku nos ta disfrutá di dje awe ta yená ku tou di hende, “un tou di personanan santu” [NW].	Promising “strict confidentiality” and the ability to render service anywhere in Japan, a Tokyo company advertises: “We will settle a score on your behalf.”	262	The spiritual paradise that we enjoy today is filled with “a flock of holy persons.”	659
Pero dikon el a tuma e desishon ei?	They may say that it is because their feelings were hurt, they think a wrong is not being corrected, or they cannot accept some teaching.	129	But why did she make such a decision?	799
Vários traduktor spañó i katalano ta un eksepshon notabel den esaki dor ku nan sí a tradusí e Tetragramaton Hebreo usando “Yave,” “Yawe” i “Yehova.”	It was 1950, and I was just 24 years old.	214	Several Spanish and Catalonian translations are notable exceptions in their rendering of the Hebrew Tetragrammaton, using “Yavé,” “Yahveh,” “Jahvè,” and “Jehová.” Published by Jehovah’s Witnesses.	241
“E señoranan cu ta wak dor di bentana,” esta, e wowonan combiná cu e facultadnan mental cu ta permití nos mira, a bira scur, si no ta completamente ciegu mes.	(See opening image.) (b) Why are the horses of different colors?	751	“The ladies seeing at the windows”​—the eyes coupled with the mental faculties by which we see—​become dim, if not completely dark.	289
Un encuesta publicá dor dje Hunta di Conferencia di Cánada a revelá un aumento den e porcentahe di empleado canades cu ta cuida miembronan di famia.	(Genesis 23:1-20) Still, he had faith in Jehovah’s word.	448	On average, a single episode of HAI can cost $2,200 per patient and require an extra 11 days in the hospital if it is a bloodstream infection.	632
Pero no a tarda muchu cu apostel Pablo a hañ’é ta skirbi nan pa puntra: “Ken a stroba boso di sigui obedecé e berdad?”	How are we doing in this regard?	274	But the apostle Paul soon had to write to them, asking: “Who hindered you from keeping on obeying the truth?”	765
LÈS PA NOS: Nos tur por imitá Abraham, kultivando kurashi pa obedesé Yehova asta si hende rònt di nos no ta hasi esei.	But only when I felt the cold reality of death did my heart fairly leap with joy over what will be accomplished for us by means of that precious ransom.”	721	Clinging to Jehovah as the most important Person in his life, Abraham found the courage to obey God’s commands.	923
Pasa Tempu ku Bo Yunan	Why should we consider the experiences of “those who have endured”?	508	Spend Time With Them	762
Mayornan razonabel lo aplicá coreccion segun e necesidad individual di cada mucha.	My wife and I have been very grateful for the privilege of serving Jehovah in the public ministry.	477	Reasonable parents will apply correction according to the individual child’s needs.	532
Sin embargo, ni un di nan no ta cai na suela sin boso Tata sa.	5 Small Arms, Big Problems	54	Yet not one of them will fall to the ground without your Father’s knowledge.	593
John E. Barr, miembro di hopi tempu di e Kuerpo Gobernante, a duna e diskurso prinsipal di e programa.	A few weeks later, I began attending Christian meetings at Brother Hardaker’s medical clinic.	306	John E. Barr, a longtime member of the Governing Body, gave the principal talk of the program.	675
5. (a) Ki tipo di libertat e spiritu santu di Yehova ta duna nos? (b) Kon nos por sa ku sklabitut literal no ta kita e libertat ku Yehova ta duna? (c) Ki preguntanan nos lo kontestá?	On what does much of our effectiveness in the ministry depend?	916	5. (a) What sort of freedom does Jehovah’s spirit bring? (b) How do we know that physical bondage need not diminish the freedom Jehovah provides? (c) What questions do we need to answer?	377
UN PUEBLO NOBO KU TA KARGA E NÒMBER DI DIOS	TUVALU, a beautiful country made up of nine islands in the South Pacific, has a population of some 10,500.	104	A NEW PEOPLE CALLED BY GOD’S NAME	531
“Awor sí mi sa cu lo e no funcioná nunca.	Typically, a person takes some pills twice a day and others three times a day.	156	“I know that it will never work now.	360
Mi no ta sinti mi bon cu mi a bai [lagu’é], pero awor mi a perd’é.	Then, in an attempt to cover up their wrongdoing, they deceived their father into thinking that Joseph had been killed by a wild animal.	937	I don’t feel good about leaving [him], but now I’ve lost him.	339
Apòstel Juan a skirbi: “Si un hende bisa: ‘Mi ta stima Dios,’ i ta odia su ruman, e ta un gañadó; pasobra esun ku no ta stima su ruman ku el a mira, no por stima Dios, kende e no a mira.” (1 Juan 4:20, 21) Pues, ora bo ta eduká bo yunan pa stima nan rumannan kristian, bo ta siñando nan pa stima Dios.	Will they divide it up among tradesmen?	797	The apostle John wrote: “If anyone makes the statement: ‘I love God,’ and yet is hating his brother, he is a liar. For he who does not love his brother, whom he has seen, cannot be loving God, whom he has not seen.” (1 John 4:20, 21) Therefore, when you train your children to love their Christian brothers and sisters, you are teaching them to love God.	648
I ademas di tur e kosnan akí bisti amor, kual ta e laso perfekto di unidat.”​—⁠Kol.	Nation will not lift up sword against nation, neither will they learn war anymore.”—Isaiah 2:4.	918	Even as Jehovah freely forgave you, so do you also.	824
Nos ta mira tambe kon su spiritu santu ta yuda nos kumpli ku nos asignashon di prediká e bon notisia.	[Chart/Map on page 16, 17]	168	We see how his holy spirit helps to equip us to carry out our commission to preach the good news.	338
2:4-8. Yehova a pone Artaherhes duna Nehemias pèrmit pa bai i rekonstruí e muraya di Yerusalèm.	Ancient King David said: “Yours is the kingdom, O Jehovah, the One also lifting yourself up as head over all.”	476	2:4-8. Jehovah caused Artaxerxes to grant Nehemiah permission to go and rebuild the wall of Jerusalem.	214
Otro famianan a scoge pa hiba nan posesionnan material costoso.	Then Jesus added the concluding statement: “So it goes with the man that lays up treasure for himself but is not rich toward God.”	757	Other families chose to take their precious material possessions.	864
Ki pregunta importante nos mester hasi nos mes promé ku nos partisipá den kualke aktividat, i dikon?	What glorious future is in store for those who truly love God’s Word?	21	What vital question should we ask before undertaking any pursuit, and why?	222
Ki futuro glorioso ta warda esnan cu di berdad ta stima e Palabra di Dios?	Similarly, elders may encourage individuals in the congregation to grow spiritually and offer them specific suggestions on how to do so.	828	What glorious future is in store for those who truly love God’s Word?	20
(Echonan 10:1-48) Den nos tempu, fe den e bon nobo ta motivá míles di hende pa repentí di nan pikánan, hasi un dedikashon na Dios, i batisá.	The Muratorian Fragment, or canon, sets out a list of writings considered to be inspired.	472	(Acts 10:1-48) In our day, faith in the good news is moving thousands to repent of their sins, make a dedication to God, and be baptized.	886
Mas bien, nos goso a oumentá, i tin biaha, nos por a yuda otronan den nesesidat.	32:1-3​—When did Elihu arrive?	732	Instead, our joy has increased, and at times, we have been able to help others in need.	239
Si Gran Bretania, Dinamarca i Suecia deshací di nan mala gana di aceptá euro, asta hende den e paisnan ei kisas lo mira nan libra esterlina, kroner i kronor ser remplasá dor di euro.	Most of them first did so at the age of 14.	213	If Britain, Denmark, and Sweden shed their reluctance, even the people in those lands may see their pounds, kroner, and kronor replaced by the euro.	463
Pero kisas e doló di su pèrdida ta tuma tempu pa fria, i p’esei lo e tin mester di konsuelo i sosten pa mas tantu tempu.	“Go About in the Land”	907	But her pain of loss may heal slowly, and she will need comfort and support for some time.	63
Despues di mas ku 30 aña, ainda Mirjana ta den sirbishi di tempu kompleto huntu ku su kasá.	(Ephesians 4:14, 15) How does one do so?	375	Over 30 years later, Mirjana is still in full-time service, together with her husband.	248
Ora paisnan tin konflikto ku otro, e Testigunan ku ta biba den e áreanan ei ta hasi nan máksimo esfuerso pa demostrá e amor ku nan tin pa otro.	The Effect on Infants	151	Yet, they do their best to maintain the identifying mark of love.	361
Tin hende ku ta gusta tende tokante hende i nan ta interesá den delaster un detaye di un historia, miéntras ku otronan ta interesá den e suseso i kier mas bien pa esun na palabra yega na e punto prinsipal pa kaba.	(Matthew 24:14; 28:19, 20) Such a course is sure to bring us true happiness, for the Scriptures promise: “He who peers into the perfect law that belongs to freedom and who persists in it, this man, because he has become, not a forgetful hearer, but a doer of the work, will be happy in his doing it.”​—James 1:25.	928	Some are people-oriented listeners and like to hear all the colorful details surrounding a story. Others are action-oriented listeners and want the speaker to get to the point.	606
El a skirbi: “Esaki ta loke Yehova a bisa: ‘E trahadónan sin pago di Egipto i e komersiantenan di Etiopia i e sabeonan, hòmbernan di estatura haltu, nan mes lo bini na bo, i di bo nan lo bira.	Dylan, also mentioned earlier, states: “I could easily have had sex with my workmate.	799	He wrote: “This is what Jehovah has said: ‘The unpaid laborers of Egypt and the merchants of Ethiopia and the Sabeans, tall men, will themselves come over even to you, and yours they will become.	37
