source_sent	target_sent	target_id	gold_sent	gold_id
Bâ ambeni ti akpengba-ndia ti Bible so adë bê ti azo so a sala sioni na ala:	He gave them the Law and the priesthood to educate them in his way.	58	Bible principles that have comforted victims of mistreatment include the following:	807
A yeke polele so na ngoi ti lo mingi ti azo ayeke na siriri ti bibe pepe.	What events depicted in Jesus’ illustration about the wheat and the weeds still lie ahead?	486	Evidently, in his day most people did not enjoy inner peace.	776
Bible afa kozo awe so sarango sioni ayeke hon ndo ni “na alango ti nda ni” so.	All of this also highlights Jehovah’s abundant goodness and undeserved kindness in making provision for mankind’s salvation.	279	The Bible foretold that wicked conduct would prevail in “the last days.”	849
Mbi na mba ti mbi (na mbage ti koli), so e yeke sara kua ti pionnier spécial na Mistelbach, na Autriche	So loving and caring is he that “he makes his sun rise upon wicked people and good and makes it rain upon righteous people and unrighteous.”	282	With my partner (right), serving as special pioneers in Mistelbach, Austria	117
Casque so turugu ti Rome ayü ayeke ti bata li ti lo, go ti lo nga na face ti lo.	4 The first mission of God’s newly installed King was to wage war against his Father’s chief Adversary, Satan.	494	The helmet worn by the Roman infantry was designed to ward off blows directed at the head, neck, and face.	34
“Ala girisa pëpe tënë ti yambango agene nzoni”	I have personally experienced this​—and I assure you, it is worth it.	708	“Do Not Forget Kindness to Strangers”	166
26 Apuse ti mbarata nga na mbeni couronne ayeke bata mo	Also, how can we have “a heart to know” Jehovah?​—Jer. 9:26; 24:7.	452	26 Chariots and a Crown Safeguard You	535
(Hab. 3:18).	So he spent part of the year as a seasonal worker.	572	(Hab. 3:18) In what ways will Jehovah prove to be “a real dwelling” during that tumultuous time?	151
Wala Jésus ayeke lani pendere mingi wala lo yeke pendere mingi ape, Bible asara tënë mingi dä ape.	Jesus told certain Jews that they did not listen to his message because ‘they wished to do the desires of their father the Devil.’	952	The Scriptures say very little about Jesus’ physical appearance.	765
Peut-être e bâ même so mbeni ye nde ti sarango ni ayeke dä ape na atâa a yeke zo wa la aye ti mû maboko na e, e yeke yeda na ni.	In the absence of specific laws, how can we know what choices will please Jehovah?	266	We may even become so desperate for emotional support that we will accept attention from just about anyone.	766
A-Romain abâ ti ala so Judée ayeke mara ti ndo tongaso.	When God created the earth, the angels “joyfully cried out together, and all the sons of God began shouting in applause.”	94	The Romans considered Judaea to be such a place.	284
So Jésus ayeke nduru ti mû fini ti lo na kuâ, ye so aga na nyen?	Here, too, Jehovah can comfort and help us.	557	What did he achieve by willingly giving up his life?	620
Na tapande, Joseph, Moïse, nga na David atingbi lani na angangu tara.	What questions should Daniel’s example prompt us to ask about our participation in the ministry?	178	Think of Joseph, Moses, and David.	682
Legeoko tongana ti so tengo anzoni kobe alingbi ti mû ngangu na mo ti sala kua, dikongo Tënë ti Nzapa ayeke mû ngangu na mo ti sala ye alingbi na andia ti lo.	A single Christian desiring to marry should consider only a loyal servant of Jehovah.​—1 Corinthians 7:39.	636	Jesus likened God’s utterances to life-sustaining bread.	331
Nyen la ayeke mû maboko na mo ti dabe ti mo na aversê so ayeke na yâ ti Bible ti mû maboko na azo?	Although Paul was not with Jesus and the 11 apostles in 33 C.E., he surely learned from some of the apostles what happened on that occasion.	758	What will help you to recall Bible passages when you need them to help others?	667
[Foto na lembeti 32]	18. How does seawater show Jehovah’s wisdom?	35	[Picture on page 32]	427
Mbeni oko ti atënë so awato ti Jésus aluti na ndo ni ti bi tënë na li ti lo na adisciple ti lo lani la.	(Job 29:1-5) Job was not the only servant of God to experience intense anguish.	538	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	812
(Diko 1 Pierre 4:10.)	Jesus’ half brothers now urge him: “Pass on over from here and go into Judea.”	877	(Read 1 Peter 4:10.)	670
E yeke sala tongaso nga tongana bongo ti e ti Chrétien amû saleté ngbanga ti mbeni wokongo na yâ salango ye ti e wala tambela ti e?	“But speaking the truth, let us by love grow up in all things into him who is the head, Christ.”​—4:15.	117	Do we feel the same way if our Christian garments become stained, as it were, because of some flaw in our personality or conduct?	169
(Zo-ti-fa-tene 7:12) Tongana e yeke na nginza alingbi na ni, e lingbi ti wara kobe na nzoni da.	“I conducted as many as 18 Bible studies,” he relates.	415	(Ecclesiastes 7:12) With enough money, we can obtain food and a comfortable home.	289
15 Na yâ wango ti lo na aChrétien ti Rome, mbeni kota kpengba-ndia ayeke dä so Paul agboto lê ti e na ndo ni.	Some deaf children even had their hands tied behind their back during lessons.	969	15. When might a Christian, for the benefit of his brothers, refrain from exercising his rights?	445
