	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Alás nueve ya acabá el party.	The party finished at nine.	The party finished at nine.	394	394	True	0.97553015
1	A las siete le pirmi ta salé na casa.	He always leaves home at seven.	I'll be home by noon.	251	669	False	0.89533997
2	Amó aquel de tuyo plano?	Was that your plan?	Where is my pencil?	363	285	False	0.78812325
3	Andá yo jugá afuera. Siguí tu cumigo?	I'm going outside to play. Are you coming with?	May I borrow your knife?	362	988	False	0.85230064
4	Antes más ta preferí yo el cha negro que el café, pero recientemente ta bebé ya yo un buen cantidad de ambos dos.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	614	438	False	0.7445915
5	Aparte de vos, todo kita pobre.	Apart from you, we are all poor.	My wife and children depend on me.	845	928	False	0.83213854
6	Aqui yo ta trabajá.	I work here.	I'm a slob.	709	675	False	0.9090382
7	Ay acabá tu cortá cun el magá pono aquí?	Are you going to cut down all the trees here?	Where is my pencil?	754	285	False	0.9752493
8	Ay discutí kitá cunese luego.	We will discuss that later.	What is your ethnicity? Zamboangueño!	419	290	False	0.96023726
9	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	I'll be home by noon.	792	669	False	0.838747
10	Ay man miss yo cun ustedes todo.	I will miss you all.	I will miss you all.	564	564	True	0.75571394
11	Ay quedá tu famoso.	You will be famous.	I love you.	676	767	False	0.91619503
12	Ay quedá yo na casa.	I'll stay home.	I'll be home by noon.	124	669	False	0.7999394
13	Ay tené gayót yo mucho cuidáo.	I will be very careful.	What is your ethnicity? Zamboangueño!	949	290	False	0.91091263
14	Bien bueno manejá si Tom.	Tom is a pretty good driver.	Tom is my neighbor.	27	176	False	0.9362197
15	Bien claro el luna.	The moon's so bright.	The moon is shining brightly.	14	102	False	1.0559914
16	Bien sensitivo yo na calor.	I am very sensitive to heat.	I am very sensitive to heat.	95	95	True	0.96644676
17	Borles el mujer.	The woman is naked.	Beware of the gorilla.	714	215	False	1.0370162
18	Busy yo este día.	I've been busy today.	I love you.	276	767	False	0.66804814
19	Caliente el cha.	The tea is hot.	Cuff him.	588	463	False	1.1012838
20	Casáo kamé de Tom.	Tom and I are married.	I'm a slob.	474	675	False	0.9865378
21	"""Casáo ya yo"", ya contestá si Mary."	"""I'm already married,"" replied Mary."	"""Good Morning!"" ""How are you all?"" ""Hopefully you’re happy while trying to read this short lecture about the Parts of the Body."""	57	184	False	0.94119525
22	Cascá dos ságuing.	Peel two of the bananas.	I'm a slob.	482	675	False	1.0723615
23	Colorao de suyo maga uñas.	Her nails are red.	What is your ethnicity? Zamboangueño!	193	290	False	1.0383968
24	Color verde el falda.	The skirt is green.	The skirt is green.	736	736	True	0.76782894
25	Cosa ay pasá cumigo?	What'll happen to me?	Where is my pencil?	946	285	False	0.8304337
26	Cosa cuntigo ya hablá?	What were you told?	Where is my pencil?	309	285	False	0.77904534
27	¿Cósa de usted nombre?	What is your name?	What is your name?	246	20	False	0.7736583
28	Cosa el color de tuyo pelo?	What color is your hair?	What color is your hair?	470	470	True	0.72278976
29	¿Cósa el de tuyo etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	What is your ethnicity? Zamboangueño!	290	290	True	0.28260863
30	Cosa el noticia?	What's the news?	What's the news?	164	164	True	0.7268635
31	Cosa el precio desté reloj?	What is the price of this watch?	What is the price of this watch?	690	690	True	0.79557014
32	¿Cósa hora vos usualmente ta salé na casa?	What time do you usually leave home?	What time do you usually leave home?	300	300	True	0.820595
33	Cosa tu hacé luego de noche?	What are you going to do tonight?	What time do you go to bed?	923	585	False	0.8485794
34	Cosa tu hacé si nuay yo?	What would you do without me?	Where is my pencil?	114	285	False	0.87111866
35	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	How much is a kilo of grapes?	425	545	False	0.7803719
36	Cosa tu ta esperá?	What are you waiting for?	What fruit do you want?	41	111	False	0.8308935
37	Cosa ya man ya pasá cun tuyo perro?	What's become of your dog?	Where is my pencil?	583	285	False	0.8022641
38	Cristiano si Barack Obama.	Barack Obama is a Christian.	Barack Obama is a Christian.	732	732	True	0.7833475
39	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	I wanted to be a bus driver when I was five.	166	166	True	0.80157065
40	Cuando tu andá na Armenia?	When will you go to Armenia?	When will you go to Armenia?	840	840	True	0.7399843
41	¿Cuándo?	When?	Who?	854	647	False	0.61947465
42	Cuanto cebollón?	How many onions?	Who ate the bread?	671	751	False	0.77561784
43	Cuanto el un kilo de uvas?	How much is a kilo of grapes?	How much is a kilo of grapes?	545	545	True	0.654449
44	¿Cuánto este sombrero?	How much is this hat?	Where is the cat?	765	457	False	0.7324505
45	¿Cuánto?	How much?	Who?	301	647	False	0.65761685
46	¿Cuántos años ya evos?	How old are you?	Where is the cat?	704	457	False	0.7606602
47	"""¿Cuántos años ya tú?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	"""How old are you?"" ""I'm already 17 years old."""	538	200	False	0.64397836
48	"""¿Cuántos años ya usted?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	"""How old are you?"" ""I'm already 17 years old."""	898	200	False	0.7651272
49	"""¿Cuántos años ya vos?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	"""How old are you?"" ""I'm already 17 years old."""	411	200	False	0.79104996
50	Cují cunaquel pato y después llevá aquí.	Catch that duck and bring it here.	What is your ethnicity? Zamboangueño!	376	290	False	0.967149
51	Dale cumigo el vino.	Give me the wine.	Give me the wine.	315	315	True	0.8165033
52	Dale yo cuntigo prestá este libro.	I'll lend you this book.	Tom is my neighbor.	836	176	False	0.9938885
53	Day off de suyo mañana.	Tomorrow is his day off.	Tomorrow is his day off.	127	127	True	0.8356277
54	De mio aquél pantalón.	Those are my pants.	What is your ethnicity? Zamboangueño!	943	290	False	0.94741297
55	De mio quel boss aquel coche na ya mirá tu ara lang.	The car you saw a while ago is my boss'.	Eventhough there's no money, no political machine and even we will lose, we'll still compete in the chess tournament this coming April 29 3030.	890	209	False	1.0320436
56	De quien esté lápiz?	Whose pencil is this?	Where is my pencil?	208	285	False	0.78626
57	De quien esté vino?	Whose wine is this?	Who ate the bread?	941	751	False	0.6859925
58	Descansá kitá na jardín embés allá adentro.	Let's take a rest in the garden instead of indoors.	What is your ethnicity? Zamboangueño!	495	290	False	1.045398
59	Después comé mediodia ya virá yo na oficina.	After lunch, I returned to the office.	Comb your hair before you go out.	32	712	False	0.8873073
60	De tuyo esté lápiz?	Is this pencil yours?	Where is my pencil?	502	285	False	0.82779694
61	De tuyo esté páyung?	Is this your umbrella?	Where is my pencil?	174	285	False	0.7718009
62	De tuyo estos las cosas?	Are these your things?	What time is it?	224	998	False	0.74100614
63	Diútay el tenedor.	The fork is small.	I'm a slob.	930	675	False	0.90269566
64	Dol puerco si Tom si ta comé.	Tom eats like a pig.	Tom coughed.	706	521	False	0.799016
65	Donde el baño?	Where is the bathroom?	Where is the tree?	481	641	False	0.71822286
66	Donde el CR?	Where's the restroom?	Where is the tree?	397	641	False	0.81025743
67	Donde el cuchillo?	Where's the knife?	Where are the shoes?	752	350	False	0.6948066
68	Donde el ponô?	Where is the tree?	Where is my pencil?	641	285	False	0.75362
69	Donde el presidente?	Where's the president?	Where's the president?	817	817	True	0.6695461
70	Dos barco de pasajero ya sumí.	Two passenger ships were sunk.	The ships reached port.	320	107	False	1.0478437
71	Dos veces yo ya andá na América.	I have been to the U.S. twice.	I've never been to Spain.	629	48	False	0.88466513
72	El Dios lang sabe!	God only knows!	God only knows!	725	725	True	0.696154
73	Ele na hospital.	He's in the hospital.	They went to the zoo.	739	465	False	0.9536313
74	El maga usuarios de Tatoeba ta llamá Tatoebians.	The users of Tatoeba are called Tatoebians.	The users of Tatoeba are called Tatoebians.	825	587	False	0.5384383
75	El medicamentos de Tom es no hay na baño.	Tom's medication's not in the bathroom.	Tom can't remember where he hid the documents.	730	337	False	0.9578283
76	El que tiene buyug tiene tamén miel.	He who has bees also has honey.	He who has bees also has honey.	861	861	True	0.7990438
77	Enbuenamente ba tu ya durmí anoche, Steve?	Did you sleep well last night, Steve?	Did you sleep well last night, Steve?	589	589	True	0.9135444
78	Escogí un gente.	Choose one person.	We want to learn some Spanish songs.	590	72	False	0.9007261
79	Esté el cosa yo ya comé este día.	Here is what I ate today.	Here is what I ate today.	527	527	True	0.83898747
80	Este maga tiempo poco estudiante ya lang ta usá lápiz.	Few students use pencils these days.	We want to learn some Spanish songs.	507	72	False	0.98210704
81	Eu nunca estive na Espanha.	I've never been to Spain.	I've never been to Spain.	48	48	True	0.6107266
82	¿Evos, cuántos años ya?	How old are you?	What is your ethnicity? Zamboangueño!	488	290	False	0.8025608
83	Evos un haragán.	You're a slob.	I'm a slob.	596	675	False	1.0216
84	Favor, quitá de tuyo camisa.	Please take off your shirt.	What is your ethnicity? Zamboangueño!	759	290	False	0.8756372
85	Grande de tuyo pututuy.	Your penis is big.	What is your ethnicity? Zamboangueño!	469	290	False	0.89865065
86	Habla tu el verdad.	Tell the truth.	Tell the truth.	277	277	True	0.84228027
87	Haragán vos.	You're a slob.	I'm a slob.	664	675	False	1.087107
88	Hay estudía vos.	You will study.	I'm a slob.	696	675	False	0.96418595
89	Hindê, cansao yo.	No, I'm tired.	I'm a slob.	731	675	False	0.8869022
90	Hindê esté makarisas.	This isn't funny.	The kid is peeing.	410	581	False	0.9323623
91	Hindé inglés el cosa yo ta escribí.	What I write is not English.	We want to learn some Spanish songs.	330	72	False	0.834484
92	Hindé lang si Tom el necesita estudiá. Yo también necesita estudiá.	Tom isn't the only one who has to study. I have to study as well.	Father wants me to study abroad while I am young.	568	705	False	0.86694
