	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bwénu el gátu.	El gato es bueno.	Ve a sentarte.	73	49	False	0.908443
1	Chikítu el gátu ómbri.	El gato es pequeño.	Por favor quítate la camisa.	6	85	False	0.7894099
2	Grándi el kamóte.	El camote es grande.	El camote es grande.	55	55	True	0.55977297
3	Grándi el ómbri.	El hombre es grande.	Por favor quítate la camisa.	101	85	False	0.7038467
4				88	9	False	0.0
5	Andá sintá.	Ve a sentarte.	Tú tienes miedo.	49	29	False	0.8716285
6	Apuráo pirmi si Tom.	Tom siempre está apurado.	Tom siempre está apurado.	62	62	True	0.8783132
7	Apuráo tu?	¿Estás apurado?	¿Estás apurado?	51	51	True	0.6915213
8	Baklá yo, acabar?	Soy gay, ¿y qué?	¿Estás apurado?	25	51	False	0.59343123
9	¡Buenos días!	¡Buenos días!	¡Buenos días!	3	3	True	4.7683716e-07
10	Cerca ya gat kita.	Ya estamos cerca.	Ya estamos cerca.	12	12	True	0.9800296
11	Conoce de mío tata'y nana cunel de mío novia.	Mis padres conocen a mi novia.	Mis padres conocen a mi novia.	91	91	True	0.55792594
12	Cosa el nombre del batita mujer?	¿Cómo se llama la nena?	¿Cómo se llama la nena?	42	42	True	0.37586594
13	Cosa el precio desté reloj?	¿Cuál es el precio de este reloj?	¿Cuál es el precio de este reloj?	94	94	True	0.3467704
14	Cosa tu ya decidi?	¿Qué decidiste?	¿Qué decidiste?	102	102	True	0.68276215
15	¿Cuánto?	¿Cuánto?	¿Cuánto?	2	2	True	3.5762787e-07
16	Cuidáo! Tiene vaca na camino!	¡Cuidado! ¡Hay una vaca en el camino!	¡Cuidado! ¡Hay una vaca en el camino!	57	57	True	0.26106572
17	Debe kita espera para un mesa.	Debemos esperar por una mesa.	Debemos esperar por una mesa.	96	96	True	0.47698307
18	¿De dónde tú?	¿De dónde eres?	¿De dónde eres?	47	47	True	0.1253866
19	Dublá cunel hojas na medio.	Plega la hoja por la mitad.	Plega la hoja por la mitad.	68	68	True	0.8255317
20	Ele ya andá na escuela.	Él fue a la escuela.	Ella fue a la escuela.	72	26	False	0.59400964
21	Ele ya andá na escuela.	Ella fue a la escuela.	Ella fue a la escuela.	26	26	True	0.59400964
22	El hombre, con quien tu yan encuentro, de mi hermano aquel.	El hombre que tú ya has encontrado es mi hermano.	El hombre que tú ya has encontrado es mi hermano.	61	61	True	0.3433535
23	"El ""Tatoeba"", quiere decir na lenguaje japón ""por ejemplo""."	"""Tatoeba"" quiere decir ""por ejemplo"" en japonés."	"""Tatoeba"" quiere decir ""por ejemplo"" en japonés."	44	44	True	0.25260615
24	Esta noche le salé, pero nuáy pa le principiá prepará su mga maleta.	Ella parte esta noche, pero todavía no empezó a preparar las valijas.	No me gustan estas tazas, las de la mesa me gustan más.	50	70	False	0.6751659
25	Este el llave que ta buscá tu?	¿Es ésta la llave que buscas?	¿Es ésta la llave que buscas?	79	79	True	0.4282936
26	Favor, ablá cumigo el verdad.	Por favor, dime la verdad.	Por favor, dime la verdad.	23	23	True	0.41741395
27	Favor, quitá de tuyo camisa.	Por favor quítate la camisa.	Ojalá que te recuperes pronto.	85	38	False	0.56607497
28	Hinde ta come ese batâ.	Ese niño no está comiendo.	Quiero ser rico.	97	17	False	0.79461
29	Hindé yo ta acordá.	No me acuerdo.	Yo traté de ayudar.	84	95	False	0.76291263
30	"""Hola! Que tal tu?"" ""Bueno lang yo."""	"""¡Hola! ¿Cómo estás?"" ""Estoy muy bien."""	"""¿Tienes la llave?"" ""Sí, la tengo."""	19	48	False	0.39716864
31	Holiday de ayer.	Ayer fue feriado.	Ayer fue feriado.	98	98	True	0.75578
32	Instrumento el mayonesa?	¿La mayonesa es un instrumento?	¿La mayonesa es un instrumento?	28	28	True	0.38927042
33	Manada palabra español que ya salé na lenguaje arabo: azahar, aljibe, almazara, almendra, albaricoque, ojalá ...	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	18	18	True	0.20569015
34	Mario ya dormí na casa.	Mario ya durmió en la casa.	Mario ya durmió en la casa.	52	52	True	0.30931163
35	Mas bunita pa tu que cunele.	Eres más bonita que ella.	Eres más bonita que ella.	99	99	True	0.633994
36	Mas importante de tuyo salud.	Tu salud es más importante.	Ocupo mi pasaporte.	43	1	False	0.61377573
37	Masquín el pinakalargo viaje ta principiá cun un paso.	Hasta el viaje más largo comienza con un paso.	El camote es grande.	30	55	False	0.71410584
38	Merendá.	Come botana.	Ve a sentarte.	58	49	False	0.8899547
39	Mio nombre tamen es Tom.	Mi nombre también es Tom.	Mi nombre también es Tom.	45	45	True	0.44063735
40	Necesita yo andá meá.	Necesito ir a mear.	Necesito mi pasaporte.	46	13	False	0.604851
41	Necesita yo mio pasaporte.	Necesito mi pasaporte.	Necesito mi pasaporte.	13	13	True	0.37403727
42	Necesita yo mio pasaporte.	Ocupo mi pasaporte.	Necesito mi pasaporte.	1	13	False	0.37403727
43	No quiere yo este maga tasa; mas quiere yo aquel tallá na mesa.	No me gustan estas tazas, las de la mesa me gustan más.	Ese niño no está comiendo.	70	97	False	0.60242236
