	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Tom überkam plötzlich ein Hungergefühl. 	Tom suddenly felt hungry. 	Tom suddenly felt hungry. 	572	572	True	0.83732104
1	Ich habe diesen Film schon viele Male gesehen. 	I've already seen this movie many times. 	I've already seen this movie many times. 	552	552	True	0.6884947
2	Ich habe erst gestern Abend erfahren, dass Tom der Urheber ist. 	I didn't find out that Tom was the one who did that until last night. 	Tom isn't from the South. He's from the North. 	601	8	False	0.82330084
3	Tom hat einen Welpen mit in die Schule gebracht. 	Tom brought a puppy to school. 	Tom brought a puppy to school. 	282	282	True	0.62070954
4	Wo sind die Bücher, die ich brauche? 	Where are the books I need? 	Where are the books that I need? 	786	399	False	0.54323363
5	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	There is no such thing as bad weather, only the wrong clothes. 	372	372	True	0.8253317
6	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	Tom is looking for a pencil. 	996	996	True	0.7725762
7	Kennst du „Heidi“? 	"Do you know about ""Heidi, Girl of the Alps""? "	"Do you know about ""Heidi, Girl of the Alps""? "	437	437	True	0.7850032
8	Mein Mann hat gesagt, er sei gleich zurück. Das ist schon zwei Jahre her. 	My husband said he would come back soon. It's been two years. 	My husband said he would come back soon. It's been two years. 	543	543	True	0.7223636
9	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	If I can avoid it, I don't work on weekends. 	709	831	False	0.84487724
10	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	You accept me for who I am. 	872	872	True	0.54725873
11	Zitronen sind gewöhnlich sauer. 	Lemons are usually sour. 	Lemons are usually sour. 	122	122	True	0.6542709
12	Ist das eine vertrauenswürdige Quelle? 	Is that a trustworthy source? 	Is that a trustworthy source? 	280	280	True	0.51622605
13	Einige von uns wissen nicht, was sie tun sollen. 	A number of us don't know what to do. 	A number of us don't know what to do. 	487	487	True	0.78168917
14	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	It sickens me to see this happen. 	46	964	False	0.8525071
15	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	Tom goes there every morning. 	360	360	True	0.47429872
16	Wir haben dort niemanden gesehen. 	We didn't see anybody there. 	We didn't see anybody there. 	577	577	True	0.7577704
17	Haben Tom und Maria jemanden gefunden, der auf Johannes aufpassen kann? 	Did Tom and Mary find a sitter for John? 	Which one of you is Tom's father? 	119	586	False	0.77008927
18	Es ist jemand in deinem Zimmer. 	There's somebody in your room. 	There's enough space for everybody. 	324	266	False	0.860589
19	Ich hasse Alpträume. 	I hate nightmares. 	You'll like Boston. 	251	345	False	0.86115074
20	Es erinnerte sich niemand, wo wir unseren Wagen geparkt hatten. 	No one remembered where we'd parked our car. 	There is no such thing as bad weather, only the wrong clothes. 	434	372	False	0.8540194
21	Ihr könntet es im Laden gegenüber versuchen. Vielleicht hat man dort, wonach ihr sucht. 	You could try the store across the street. They may have what you're looking for. 	If you can do that by yourself, then you don't need us. 	163	192	False	0.88388455
22	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	It's a miracle she's still alive after that fall. 	333	333	True	0.7780286
23	Tom war noch am Leben. 	Tom was still alive. 	Tom was still alive. 	819	819	True	0.5320159
24	Tom kann das auch nicht. 	Tom can't do it either. 	Tom can't do it either. 	176	176	True	0.6095673
25	Ich muss den Bleistift spitz machen. 	I need to make the pencil sharp. 	You shouldn't overdo it. 	849	186	False	0.9420388
26	Wir sind bald damit fertig. 	We're pretty close to finishing this. 	We have to do better than this. 	310	566	False	0.9167744
27	Ich habe ein paar Bücher gelesen. 	I have read some books. 	I have read some books. 	942	942	True	0.77884555
