	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Ça va.	49	138	False	0.9346055
1	Ba'y on palkondywit.	Accompagne-le.	Ça va.	954	138	False	0.9346055
2	Ba yo on palkondywit.	Accompagne-les.	Ça va.	874	138	False	0.8276372
3	A dèmen !	À demain !	Donne ça à maman !	417	353	False	0.5291816
4	Rédé mwen.	Aide-moi.	Oui.	162	681	False	0.78869724
5	Rédé mwen !	Aidez-moi !	Débâte l'âne !	48	691	False	0.46135283
6	Rédé mwen.	Aidez-moi.	Oui.	100	681	False	0.78869724
7	An nou akaz a'y !	Allons chez elle !	Donne-le à maman !	39	458	False	0.79021966
8	An nou akaz a'y !	Allons chez lui !	Donne-le à maman !	710	458	False	0.79021966
9	An nou akaz a'w !	Allons chez toi !	Je t’aime beaucoup, Tom !	743	522	False	0.8105017
10	Limé bouji-la.	Allume la bougie.	Stéphane tond le gazon.	318	595	False	0.64777994
11	Limé limyè-la.	Allume la lumière.	Tu as mangé.	136	841	False	0.8247161
12	Limé bouji-la.	Allumez la bougie.	Stéphane tond le gazon.	66	595	False	0.64777994
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	J'ai un an.	431	148	False	0.9400654
14	Aoyi ka dansé.	Aoi danse.	J’aime chanter.	918	373	False	0.55009866
15	Bay waka !	Applaudissez !	Oui !	822	283	False	0.45902324
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Tu as mangé.	561	841	False	0.66467416
17	Ou ni dé liv ?	As-tu deux livres ?	Où es-tu né ?	102	306	False	0.473886
18	Ou ni bon vlen ?	As-tu du bon venin ?	Bonsoir, ça va ?	85	608	False	0.5799445
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Se reverra-t-on ?	261	414	False	0.7271434
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Où es-tu né ?	187	306	False	0.7994386
21	A talè !	À tout à l'heure !	Ça va !	589	688	False	0.60519993
22	Ovwa !	Au revoir !	Bonsoir !	714	169	False	0.45244217
23	Avan an té enmé'w.	Autrefois je t'aimais.	J'ai un an.	359	148	False	0.9922476
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Tu as mangé.	198	841	False	0.8932822
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Oui, je pleure.	641	524	False	0.9591589
26	Bésé mizik-la !	Baisse la musique !	Rosse-le !	567	734	False	0.41630876
27	Byenvini !	Bienvenue !	Ça va !	40	688	False	0.66517305
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Tu as mangé.	355	841	False	0.99746823
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Tu as mangé.	927	841	False	0.73361135
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Débâte l'âne !	482	691	False	0.5969434
31	Bonswa !	Bonsoir !	Bonsoir !	540	169	False	0.34324396
32	Bonswè !	Bonsoir !	Bonsoir !	169	169	True	0.5340016
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Que deviens-tu Tom ?	608	875	False	0.8265128
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Que deviens-tu Tom ?	685	875	False	0.82476234
35	Bonswa madanm !	Bonsoir Madame !	Bonsoir !	411	169	False	0.6098589
36	Bonswè madanm !	Bonsoir Madame !	Bonsoir monsieur !	796	328	False	0.61726046
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	Applaudissez !	966	822	False	0.72124183
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Applaudissez !	628	822	False	0.7313415
39	Bonswè misyé !	Bonsoir monsieur !	Débâte l'âne !	328	691	False	0.70300484
40	Pa ni ayen !	Ça va !	Ça va !	688	688	True	0.60750437
41	Sa k'ay ?	Ça va ?	Ça va ?	383	383	True	0.7035296
42	Sa k'ay.	Ça va.	Tu as mangé.	138	841	False	0.7709937
43	Siléma-lasa ka fè yo pè.	Ce film leur fait peur.	Tu as mangé.	492	841	False	0.8110807
44	Motè lasa ka fè dis anpè.	Ce moteur fait dix ampères.	Tu as mangé.	845	841	False	0.78856456
45	Sa pa asiwé.	Ce n'est pas certain.	Tu as mangé.	313	841	False	0.6096556
46	A pa lapenn.	Ce n'est pas la peine.	Je mange un citron.	629	671	False	1.035239
47	A pa manman an mwen.	Ce n'est pas ma mère.	Tu as mangé.	775	841	False	0.83139277
48	A pa Mawi ?	Ce n'est pas Marie ?	Tu pars ?	507	682	False	0.7248056
49	A pa sè an mwen.	Ce n'est pas ma sœur.	Tu as mangé.	489	841	False	0.7422595
50	A pa fwè an mwen.	Ce n'est pas mon frère.	Tu as mangé.	707	841	False	0.7825463
51	A pa Èstéfann ?	Ce n'est pas Stéphane ?	Se reverra-t-on ?	588	414	False	0.78214526
52	A pa Tòm ?	Ce n'est pas Tom ?	Se reverra-t-on ?	938	414	False	0.71576524
53	A pa jé !	Ce n'est pas une blague !	Donne-le lui !	558	723	False	0.6192155
54	Pwasa-lasa bidim !	Ce poisson est immense !	Aidez-moi !	311	48	False	0.6681211
55	Sé liv-lasa bazé si Labib.	Ces livres sont basés sur la Bible.	Tu as mangé.	948	841	False	0.9677205
56	Sé konsa mwen yé.	C'est ainsi que je suis.	Tu as mangé.	368	841	False	0.72190833
57	Sé konsa i yé.	C'est ainsi qu'elle est.	Tu as mangé.	773	841	False	0.69696593
58	Sé konsa nou yé.	C'est ainsi que nous sommes.	Tu as mangé.	447	841	False	0.69869447
59	Sé konsa zò yé.	C'est ainsi que vous êtes.	Tu as mangé.	129	841	False	0.73507285
60	Sé konsa i yé.	C'est ainsi qu'il est.	Tu as mangé.	133	841	False	0.69696593
61	Sé konsa yo yé.	C'est ainsi qu'ils sont.	Tu as mangé.	346	841	False	0.72422194
62	An ka palé ba'w.	C'est à toi que je m'adresse.	Tu as mangé.	597	841	False	0.79909754
63	A sa ou di.	C'est ce que tu dis.	Oui.	222	681	False	0.73185277
64	Sa kon sa.	C'est comme ça.	Tu as mangé.	635	841	False	0.82044244
65	I ka wété kotésit.	C'est ici qu'il habite.	Tu as mangé.	553	841	False	0.58498263
66	Sé'y menm ki fè kaz a'y.	C'est lui-même qui a construit sa maison.	Tu as mangé.	484	841	False	0.8657124
67	Sé fimèl-bèf an mwen.	C'est ma vache.	Elles ne mangent pas.	528	760	False	0.89886284
68	Sa bon menm !	C'est très bon !	Ça va !	34	688	False	0.59856606
69	Sé on bon kavalyèz toubòlman.	C'est une très bonne cavalière.	Vous avez un gros nez.	51	8	False	0.72352386
70	Sé on bon dansèz toubòlman.	C'est une très bonne danseuse.	Vous avez un gros nez.	794	8	False	0.6696608
71	Sé on bon najèz toubòlman.	C'est une très bonne nageuse.	Vous avez un gros nez.	885	8	False	0.69195235
72	Sé on bon chantè toubòlman.	C'est un très bon chanteur.	Tu as mangé.	410	841	False	0.8260628
73	Sé on bon najè toubòlman.	C'est un très bon nageur.	Vous avez un gros nez.	415	8	False	0.8716965
74	Apawèy-lasa two konpliké ban mwen.	Cet appareil photo est trop sophistiqué pour moi.	Tu as mangé.	287	841	False	0.86121345
75	Répons-lasa sé érè.	Cette réponse est fausse.	Je viens de manger un falafel.	737	59	False	0.7257396
