	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Fèmen (7434)	Petite (7520) 	Donne (424) 	19	99	False	0.49333978
1	Kidonk, nou fè atansyon pou n pa di yon moun oswa yon istwa se lonbray yon lòt moun oswa yon lòt bagay ki gen pou vini si n pa jwenn bonjan rezon nan Ekriti yo pou n fè sa.”	Mais nous ne devrions pas donner une signification symbolique à un récit si rien dans la Bible ne nous permet de le faire. » La Bible ne dit pas que les villes de refuge devaient représenter quelque chose de plus important, autrement dit être un antitype, dans l’avenir.	Au lendemain des élections en Haïti, le collectif « Kolektif Solidarite Idantite ak Libete » (KSL) publie un manifeste intitulé « Nan inite istorik tout pèp la, an nou repran chemen liberasyon pou nou konstwi nasyon an » (l'unité historique du peuple nous permettra de reprendre le chemin de la libération pour nous construire une nation) dans lequel il développe son point de vue sur la question théorique et la solution pratique de la (re)fondation de la nation haïtienne et préconise « l'unité historique du peuple » comme solution. 	375	576	False	0.7496226
2	Kris konnen chak sèvitè l Bondye chwazi pou al nan syèl ka kontinye rete fidèl pou l resevwa bèl rekonpans li an!	Christ sait que chacun de ses serviteurs oints peut rester fidèle et recevoir la merveilleuse récompense.	Au lendemain des élections en Haïti, le collectif « Kolektif Solidarite Idantite ak Libete » (KSL) publie un manifeste intitulé « Nan inite istorik tout pèp la, an nou repran chemen liberasyon pou nou konstwi nasyon an » (l'unité historique du peuple nous permettra de reprendre le chemin de la libération pour nous construire une nation) dans lequel il développe son point de vue sur la question théorique et la solution pratique de la (re)fondation de la nation haïtienne et préconise « l'unité historique du peuple » comme solution. 	139	576	False	0.7475364
3	iWorld Digital Ekspozisyon Mondyal la	Expo du monde numérique iWorld 	Expo du monde numérique iWorld 	482	482	True	0.8495338
4	Rekòmande pou dlo ki baze Décoratifs Peintures, Impressions Textile, dlo te baze Encre.	Recommander à base d’eau, encres à base d’eau de peintures décoratives, impressions Textile. 	Recommander à base d’eau, encres à base d’eau de peintures décoratives, impressions Textile. 	179	179	True	0.6452966
5	DOROTA, yon Temwen Jewova pyonye pèmanan nan peyi Polòy, te mennen yon pitit gason li ki gen 14 an nan klinik nan lekòl li pou yon vizit woutin.	DOROTA, Témoin de Jéhovah ministre à plein temps en Pologne, accompagne son fils de 14 ans à l’infirmerie de son école pour une visite de routine.	Au lendemain des élections en Haïti, le collectif « Kolektif Solidarite Idantite ak Libete » (KSL) publie un manifeste intitulé « Nan inite istorik tout pèp la, an nou repran chemen liberasyon pou nou konstwi nasyon an » (l'unité historique du peuple nous permettra de reprendre le chemin de la libération pour nous construire une nation) dans lequel il développe son point de vue sur la question théorique et la solution pratique de la (re)fondation de la nation haïtienne et préconise « l'unité historique du peuple » comme solution. 	551	576	False	0.8437582
6	Yo te menm konn gen relasyon seksyèl imoral ak yon seri medam ki te konn vin nan tabènak la !	Ils avaient même des relations immorales avec des femmes qui se rendaient au tabernacle !	Au lendemain des élections en Haïti, le collectif « Kolektif Solidarite Idantite ak Libete » (KSL) publie un manifeste intitulé « Nan inite istorik tout pèp la, an nou repran chemen liberasyon pou nou konstwi nasyon an » (l'unité historique du peuple nous permettra de reprendre le chemin de la libération pour nous construire une nation) dans lequel il développe son point de vue sur la question théorique et la solution pratique de la (re)fondation de la nation haïtienne et préconise « l'unité historique du peuple » comme solution. 	12	576	False	0.83036804
7	jwe: 29,149 Tags: zevo, zevo Jwèt	Pièces: 51,604 Mots clés: Zevo, Zevo Jeux 	Pièces: 51,604 Mots clés: Zevo, Zevo Jeux 	79	79	True	0.7718867
8	Pou Gason: Nandrolon laurate poud pa apwouve pou itilize nan moun. Prensip preskripsyon pa disponib. Lè yo itilize pou rezon fizik- oswa pèfòmans-amelyore, yon dòz 200-400 mg bay chak jou 7-10 ki pi komen, pran nan sik 8 XXUMX semèn nan longè. Nivo sa a se ase pou pifò itilizatè yo avi pwogrè mezirab nan mas nan misk mèg ak fòs, ki ta dwe akonpaye pa yon nivo ki ba nan estwojèn ak aktivite Androjenik. Pi wo dòz (12-450 mg chak jou 600-7) ap separe yon efè anabolizan pi fò, men li ka difisil yo bay konsantrasyon nan relativman ba sa a esteroyid anjeneral yo te jwenn nan. Olye de sa, anpil patisipe nan konbine ajan sa a ak lòt estewoyid anabolizan / Androjenik. . Bay pwopriyete li yo, li sanble anfòm byen pou tou de bulking ak koupe rezon, e yo ka rezonab ranplase Deca-Durabolin nan sik.	Pour hommes: La poudre de laurate de nandrolone n’est pas approuvée chez l’homme. Les directives de prescription ne sont pas disponibles. Lorsqu'elle est utilisée à des fins d'amélioration du physique ou de la performance, une dose de 200-400 en mg, administrée tous les jours 7-10, est généralement prise en cycles de 8 à 12, en semaines. Ce niveau est suffisant pour que la plupart des utilisateurs remarquent des gains mesurables en masse musculaire maigre et en force, qui doivent être accompagnés d'un faible niveau d'activité œstrogénique et androgène. Des doses plus élevées (mg 450-600 tous les jours 7-10) conféreront un effet anabolique plus fort, mais peuvent s'avérer difficiles en raison de la concentration relativement faible de ce stéroïde. Au lieu de cela, beaucoup optent pour associer cet agent à d'autres stéroïdes anabolisants / androgènes . Compte tenu de ses propriétés, il semble bien convenir à la fois au groupage et à la coupe, et peut remplacer raisonnablement le Deca-Durabolin plusieurs fois. 	#43 par ou najeb le février 28, 2015 - 11:28 (matin) des thats déloyale. Ce plugin a été le meilleur pour moi suis gnna continuer à l'utiliser de toute façon u guys ne avez pas besoin wordpress, et u droit, ils devraient appreiate ur de travailler avec eux et u avertir avant ils le font, des thats vraiment mauvais 	725	537	False	0.6170237
9	Polish komèsyal telewizja Puls ap agrandi distribisyon li yo nan definisyon wo (HDTV).	Polonais commercial Telewizja Puls élargit sa distribution en haute définition (HDTV). 	Polonais commercial Telewizja Puls élargit sa distribution en haute définition (HDTV). 	529	529	True	0.6456878
