	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Jeg trenger papir.	I need some paper.	I am Jorge.	708	403	False	0.8050115
1	Jeg har aldri vært ranet.	I've never been robbed.	I've never been robbed.	973	973	True	0.795928
2	Jeg skulle ønske jeg kunne finne ut hvordan jeg får barna mine til å slutte å krangle.	I wish I could figure out how to stop my children from fighting.	I wish I could figure out how to stop my children from fighting.	124	124	True	0.70834494
3	Hvor er pennen?	Where is the pen?	Where is the pen?	572	572	True	0.6436596
4	Jeg bestilte de bøkene fra Tyskland.	I ordered those books from Germany.	I ordered those books from Germany.	330	330	True	0.8415774
5	Han ble sint og slo henne.	He got angry and hit her.	He got angry and hit her.	137	137	True	0.8163346
6	Jeg har ikke pass.	I don't have a passport.	You can't deny it.	987	570	False	0.8073298
7	Du er velkommen her når som helst, Tom.	You're welcome here anytime, Tom.	You're welcome here anytime, Tom.	39	39	True	0.5887885
8	Jeg mistet nøklene mine.	I dropped my keys.	I hunt elk in my leisure-time.	35	198	False	0.77281797
9	Tom liker å bowle.	Tom likes to bowl.	Tom likes to bowl.	976	976	True	0.48370326
10	Ein fugl kan flyge.	A bird can fly.	A bird can fly.	425	425	True	0.87842345
11	Jeg har fått nok av frekkheten hans.	I've had quite enough of his impudence.	I am ashamed of my son's laziness.	640	409	False	0.83469105
12	Hun var enda svak etter sykdommen.	She was still weak after her illness.	She was still weak after her illness.	847	847	True	0.74955463
13	Jeg mater gullfisken.	I'm feeding the goldfish.	I hunt elk in my leisure-time.	284	198	False	0.9635707
14	Det skjedde plutselig.	It happened suddenly.	The accident happened all of a sudden.	381	936	False	0.84593356
15	I retrospekt, skulle Tom ønske han hadde brukt mer tid på å studere.	In retrospect, Tom wishes he had spent more time studying.	In retrospect, Tom wishes he had spent more time studying.	361	361	True	0.5878036
16	Jeg vet godt hva han synes.	I know quite clearly what he thinks.	I want to see what happens.	375	876	False	0.8953254
17	Har du noen gang sett en flygende tallerken?	Have you ever seen a UFO?	Are there two windows in your room?	96	145	False	0.81446016
18	Fangen er stille i cellen i dag.	The prisoner is being quiet in the cell today.	The prisoner is being quiet in the cell today.	277	277	True	1.1245278
19	Hun er vakker.	She is beautiful.	She is beautiful.	777	777	True	0.8343873
20	Jeg liker ikke varme vintre.	I don't like warm winters.	I don't like warm winters.	711	711	True	0.7106929
21	Vel, det er alt jeg har.	Well, that's all I've got.	I want to see what happens.	33	876	False	0.75561917
22	Ulykken skapte kaos i trafikken.	The accident caused traffic confusion.	Prices will continue to rise.	830	405	False	0.95434225
23	Jeg har klatret Mt. Fuji to ganger.	I've climbed Mt. Fuji twice.	I've climbed Mt. Fuji twice.	42	42	True	0.44379973
24	Fra hvilken retning?	From which direction?	From which direction?	984	984	True	0.5091888
25	Jeg åpnet døren og så to gutter som sto side om side.	I opened the door and saw two boys standing side by side.	I opened the door and saw two boys standing side by side.	430	430	True	0.7538831
26	Firmaet sa opp fem personer.	The company laid off five people.	The company laid off five people.	763	763	True	0.90774393
27	Hun fikk ikke betalt for det.	She didn't get paid for it.	She refused to take the money.	127	447	False	0.6902493
28	Jeg har en venn.	I have a friend.	I have a friend.	731	168	False	0.8241687
29	Jeg liker landskapet man kan se når man tar shinkansen.	I love the scenery viewable from the Shinkansen.	I love the scenery viewable from the Shinkansen.	377	377	True	0.8220873
30	Kommer du?	Are you coming?	May I come in?	812	62	False	0.7592423
31	Jeg tenker du skjønner hva jeg mener.	I think you know what I mean.	The future is closer than you think.	861	635	False	0.81902933
32	Hva skulle jeg gjort uten ham?	What would I do without him?	What would I do without him?	299	299	True	0.53873
33	Er din kone flink å lage mat?	Is your wife a good cook?	Is it difficult eating with chopsticks?	660	341	False	0.6860099
34	Kan du ta med et til varmt håndkle til meg?	Could you bring me another hot towel?	Could you bring me another hot towel?	613	613	True	0.8218725
35	Du høster stor respekt fra meg for din evne til å se din egen virksomhet utenfra og for å sette alminnelige menneskelige og moralske grenser.	You have my respect for your ability to see your own enterprise from the outside and for operating within ordinary human and moral limits.	You have my respect for your ability to see your own enterprise from the outside and for operating within ordinary human and moral limits.	800	800	True	0.6680682
36	Hvor mye måtte du betale for å få bilen din reparert?	How much did you have to pay to get your truck fixed?	How much did you have to pay to get your truck fixed?	214	214	True	0.68573
37	Han neker å høre på noen av oss; du kunne like godt ha snakket med en stein.	He will not listen to any of us; you might as well talk to a figure of stone.	He will not listen to any of us; you might as well talk to a figure of stone.	77	77	True	0.8746309
