	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Oko lingu ti hingango ye so ayeke Bible, Tënë ti Nzapa so a sû na gbe ti yingo ti lo (2 Timothée 3:16).	(2 Timothy 3:16) We must set aside time to study the Scriptures.	Jesus’ words bring to mind what King David of ancient Israel was inspired to write centuries earlier: “The meek shall inherit the earth; and shall delight themselves in the abundance of peace.”​—Psalm 37:11, KJ.	417	519	False	0.71014047
1	Yekia Azo so Ayeke na Komandema na Ndo Mo, 1/7	How You Can Make Friends, 12/1	How You Can Make Friends, 12/1	384	384	True	0.72158146
2	Me na ngoi so Messie ni asi, azo so ayeke fa ye na azo na ndo ti Mbeti ti Nzapa amä na bê na lo pëpe.	But those versed in the Law failed to accept him.	They looked forward to the execution of divine judgment against the wicked and apparently were those addressed with the words: “‘Keep yourselves in expectation of me,’ is the utterance of Jehovah, ‘till the day of my rising up to the booty, for my judicial decision is to gather nations, for me to collect together kingdoms, in order to pour out upon them my denunciation, all my burning anger; for by the fire of my zeal all the earth will be devoured.’”​—Zephaniah 3:8.	573	26	False	0.7594762
3	4 Mbeni wali nde so awara kinda ti lo na lege ti londongo ti awakinda ayeke la ni na gbata ti Shounem.	4 Another woman who received her dead by resurrection lived in the town of Shunem.	You brought your wisdom to ruin on account of your beaming splendor.”	112	120	False	1.0204893
4	Oko ye so mo lingbi ti sara ayeke ti mû afango ye ni so ti haka na ye so Bible afa.	There is only one way​—to use the Bible as a measuring stick.	Again and again, the Scriptures tell us to “have mutual concern for one another,” to “have tender affection for one another,” to “keep comforting one another,” and to be “building one another up.” (1 Cor. 12:25; Rom. 12:10; 1 Thess. 4:18; 5:11) Jehovah knows that Christians are imperfect, and this may make it challenging to be united, so we need to work at “freely forgiving one another.”​—Eph. 4:32.	693	852	False	0.85890055
5	Mbeti ti Nzapa afa na e ye na ndo ti yingo vulu	The Scriptures reveal to us the nature of the holy spirit	You brought your wisdom to ruin on account of your beaming splendor.”	464	120	False	0.9076779
6	[Kete tënë na gbe ni]	[Footnote]	We may deceive even ourselves, “thinking that godly devotion is a means of [material] gain.”	502	794	False	0.7938813
7	Nzoni bango ndo ni ayeke ti so mbeni koli so ayeke kota zo na tere ti Candace gbia-wali ti Ethiopie afa.	A fine attitude was displayed by a man in power under Candace, queen of the Ethiopians.	“We have been taught to hate the Turks for years,” Greek columnist Anna Stergiou wrote in an Athens newspaper.	819	658	False	0.99808073
8	Tënë wa mbeni wasungo mbaï atene na ndo bango ndo ti akozo Chrétien na mbage ti Letäa? 12.	(Hebrews 12:4) But a test can take many forms.	11, 12. (a) How did Ruth show loving-kindness to Naomi? (b) In what way was “the last instance” of Ruth’s loving-kindness better than “the first”?	843	180	False	0.7749765
9	Biani, mbeni Chrétien ayeke ye pëpe ti kanga lege na mbana na mbeni zo ti gue na bungbi.	Certainly, no Christian would knowingly want to make it difficult for another person to attend Christian gatherings.	You brought your wisdom to ruin on account of your beaming splendor.”	850	120	False	0.8175652
10	YE SO MO LINGBI TI SARA TI LANGO PËPE	HOW TO KEEP YOURSELF AWAKE	HOW TO KEEP YOURSELF AWAKE	217	217	True	0.4804523
11	Tongaso a yeke ye ti dongo bê pëpe so Mbeti ti Nzapa awa fani mingi aChrétien ti yamba amba ti ala.	Follow the course of hospitality.”	Jesus’ words bring to mind what King David of ancient Israel was inspired to write centuries earlier: “The meek shall inherit the earth; and shall delight themselves in the abundance of peace.”​—Psalm 37:11, KJ.	140	519	False	0.80302763
