	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Yu Lainim Wanem Samting?	What Did You Learn?	Rely Fully on Jehovah	695	239	False	0.9482647
1	Long tok piksa, olgeta yangpela meri i kirap taim ol i harim dispela singaut: “Man i laik marit em i kam!”	In the parable, all the virgins responded to the nighttime shout: “Here is the bridegroom!”	The psalmist David confidently prayed: “O Hearer of prayer, even to you people of all flesh will come.”	159	893	False	0.67985153
2	“Olgeta wan wan i mas wok long tingim ol samting bilong helpim narapela, na ol i no ken tingting long ol samting bilong helpim ol yet.”—1 Korin 10:24.	“Let each one keep seeking, not his own advantage, but that of the other person.”​—1 Corinthians 10:24.	At Psalm 65:2, we read: “O Hearer of prayer, even to you people of all flesh will come.”	864	670	False	0.62477946
3	Bihain, José i wokim disisen long senisim sindaun bilong em na em i wok strong long lainim gut tok bilong Baibel.	Eventually, José decided to change his lifestyle and took a serious interest in studying the Bible.	This wonderful future can be yours if you take to heart Jesus’ admonition: “Go in through the narrow gate, because broad is the gate and spacious is the road leading off into destruction, and many are going in through it; whereas narrow is the gate and cramped the road leading off into life, and few are finding it.”	432	622	False	0.82856154
4	(Song 1:​1, 2) Taim yumi kaunim Baibel long olgeta de, dispela bai mekim yumi “amamas,” long wanem, em i givim nupela strong long yumi, na yumi redi long bihainim yet rot Kristen bilong yumi.	(Psalm 1:1, 2) Reading God’s Word daily will bring us the “happy” result of being truly refreshed and reinvigorated, prepared to continue our Christian course.	These and many other commands were summed up in the words: “You must love your fellow as yourself.”​—Leviticus 19:9-11, 15, 17, 18.	632	478	False	0.78084886
5	Mi gat sik bilong bun i bruk nating nating.	You see, I suffer from a condition called osteogenesis imperfecta, better known as brittle bone disease.	“A FATHER of fatherless boys . . . is God in his holy dwelling.”	523	992	False	0.9022956
6	(Jeremaia 17:9; Efesus 2:​12; 4:​18; Kolosi 1:​21) Bilong kamap pren bilong God, tingting bilong yumi i mas lain long bihainim tingting bilong God.	(Jeremiah 17:9; Ephesians 2:12; 4:18; Colossians 1:21) To gain God’s friendship, we must learn to pattern our thinking after God’s ways.	(Jeremiah 17:9; Ephesians 2:12; 4:18; Colossians 1:21) To gain God’s friendship, we must learn to pattern our thinking after God’s ways.	44	44	True	0.40440226
7	(Song 26:12; Luk 2:​36, 37) Ol miting em wanpela bikpela rot bilong yumi ken kisim ol kaikai bilong spirit.	(Psalm 26:12; Luke 2:36, 37) Meetings are an important way in which we are fed spiritually.	(Isaiah 45:18) Instead of allowing the earth to be totally despoiled by humans, God will “bring to ruin those ruining the earth.”​—Revelation 11:18.	126	694	False	0.622319
8	Laip Stori	Life Story	Fraud	388	681	False	0.9424944
9	Dispela i helpim yu yet, na i mekim Jehova na ol wanbilip Kristen i amamas!​​—⁠Sng. 110:​3, NW.	You benefit yourself, and you delight Jehovah and your fellow Christians!​—Ps. 110:3.	You benefit yourself, and you delight Jehovah and your fellow Christians!​—Ps. 110:3.	909	909	True	0.48009372
