	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abierto el puerta.	The door is open.	The car hit a tree.	505	813	False	0.48562443
1	Abordo si Tom naquel barco?	Is Tom aboard that ship?	Do you need an ambulance?	265	789	False	0.5233551
2	Agrio el fruta.	The fruit is sour.	Tom drank milk.	533	617	False	0.4274336
3	Alás nueve ya acabá el party.	The party finished at nine.	It is bad to count all the things that you gave.	92	53	False	0.6229718
4	Alcanzá cumigo el vino.	Give me the wine.	Tom trimmed his mustache.	697	632	False	0.30342948
5	Allergic yo na maíz.	I'm allergic to corn.	His eyes are blue.	965	4	False	0.33905077
6	Alto esté ponô.	This tree is tall.	Tom drank milk.	892	617	False	0.49368477
7	Amó aquel de tuyo plano?	Was that your plan?	Do you know where Tom is?	345	795	False	0.4594319
8	Amó se cosa tu ya hablá?	Is that what you said?	Tom can do that with one hand.	348	42	False	0.8620839
9	Aparte de usted, todo kita pobre.	Apart from you, we are all poor.	You three are very lucky.	631	728	False	0.4521557
10	Aquí yo ya dejá de mío bag.	I left my bag here.	This rock has the shape of an animal.	778	644	False	0.61470294
11	Aumentá un poco leche.	Add a little milk.	I want bread.	226	32	False	0.49734855
12	Ay cumprá yo un calendario.	I'll buy a calendar.	Give me the knife.	937	110	False	0.46926308
13	Ay dale yo cuntigo un bike na de tuyo cumpleaños.	I will give you a bicycle for your birthday.	Look, I got a flower tattoo here on my belly.	383	370	False	0.504377
14	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	There are five apples in this box.	14	398	False	0.4043846
15	Ay quedá yo na casa.	I'll stay home.	Tom freed the bird.	287	677	False	0.45953417
16	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	May I use your car today?	512	144	False	0.45198417
17	Baká vené si Jane.	Maybe Jane will come.	Tom drank milk.	224	617	False	0.39449453
18	Barba cerrada si Tom.	Tom has a full beard.	His eyes are blue.	255	4	False	0.5213437
19	Basta, salé aquí.	Just get out of here.	Bring me another fork, please.	238	15	False	0.45500636
20	Bien diútay gayót este cuarto para kanamon.	This room is too small for us.	There are five apples in this box.	342	398	False	0.40163612
21	Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.	Tom has a lot of religious books, but he has never read them.	If you have a car, you can come and go at will.	161	562	False	0.5430188
