	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Die kann man nicht in einem Geschäft kaufen. 	You can't buy these in a store. 	You can't buy these in a store. 	373	373	True	0.5477357
1	Unterlasse deine Lügen! 	Stop with your lies. 	His daughter disappeared seven years ago. 	527	347	False	0.16318393
2	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	It doesn't rain, it snows. 	503	469	False	0.5783558
3	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	Tom has a knife. 	499	179	False	0.41103363
4	Hast du in Erfahrung bringen können, warum Tom von der Schule geflogen ist? 	Did you find out why Tom was kicked out of school? 	Did you find out why Tom was kicked out of school? 	721	721	True	0.3202989
5	Unsere jüngste Tochter heißt Maria. 	Our youngest daughter's name is Mary. 	Mary is a hardworking young lady. 	999	423	False	0.4766091
6	Hat Tom viel Geld? 	Does Tom have a lot of money? 	Maria lives in Helsinki. 	840	688	False	0.20094001
7	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	There's no way I can finish doing this by tomorrow. 	895	515	False	0.3961438
8	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Oh, I forgot to buy natto. 	93	301	False	0.73348165
9	Energietränke sind sehr teuer. 	Energy drinks are really expensive. 	She lives in the middle of nowhere. 	940	545	False	0.5795089
10	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	There's no need to mention that Tom was the one who did this. 	660	29	False	0.65600276
11	Er plant, für zwei Wochen hierzubleiben. 	He is planning to stay here for two weeks. 	Her daughter disappeared seven years ago. 	797	893	False	0.25809753
12	Wusstest du, dass Tom und Johannes Brüder sind? 	Did you know that Tom and John were brothers? 	Do you know when Tom is leaving? 	177	158	False	0.3688438
13	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	Tom goes there every morning. 	95	95	True	0.31531656
14	Wer hat ihr meine Adresse gegeben? 	Who gave her my address? 	My house is on the riverbank. 	318	125	False	0.69806015
15	Ich muss mich bei dir für meine gestrigen Worte entschuldigen. 	I need to apologize to you for what I said yesterday. 	Did you remember to send my letter? 	173	13	False	0.63634753
16	Tom sah wirklich schlimm aus. 	Tom really looked terrible. 	His daughter disappeared seven years ago. 	542	347	False	0.12978113
17	Tom und Maria scheinen sich guter Gesundheit zu erfreuen. 	Tom and Mary seem to be in good health. 	Can Tom stay with you while he recovers from his injury? 	845	171	False	0.63408506
18	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	Tom would freak if he saw this. 	377	183	False	0.46788633
19	Als Tom am Laden ankam, war schon geschlossen. 	By the time Tom got to the store, it was already closed. 	Tom's birthday is exactly three months after mine. 	690	217	False	0.68264604
20	Es lösche bitte jemand diesen Satz. 	Someone please delete this sentence. 	You'll regret this someday. 	143	428	False	0.48238444
21	Tom bedeutete mir, still zu sein. 	Tom motioned for me to be quiet. 	Tom used to play the piano. 	272	328	False	0.55340624
22	Als ich ankam, war die Feier schon vorbei. 	By the time I got there, the party was already over. 	By the time I got there, the party was already over. 	580	580	True	0.50033104
23	Es ist gestern am späten Abend passiert. 	It was late last night that that happened. 	Tom's birthday is exactly three months after mine. 	109	217	False	0.8178711
