	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	S'ils veulent.	49	321	False	0.54419756
1	Ba'y on palkondywit.	Accompagne-le.	S'ils veulent.	954	321	False	0.54419756
2	Ba yo on palkondywit.	Accompagne-les.	S'ils veulent.	874	321	False	0.38288367
3	A dèmen !	À demain !	Il a cent ans.	417	9	False	0.3093996
4	Rédé mwen.	Aide-moi.	Tu liras une lettre.	162	436	False	0.48512626
5	Rédé mwen !	Aidez-moi !	Donne ça à maman !	48	353	False	0.3004098
6	Rédé mwen.	Aidez-moi.	Tu liras une lettre.	100	436	False	0.48512626
7	An nou akaz a'y !	Allons chez elle !	Où es-tu né ?	39	306	False	0.5424186
8	An nou akaz a'y !	Allons chez lui !	Où es-tu né ?	710	306	False	0.5424186
9	An nou akaz a'w !	Allons chez toi !	Lequel l'as pris ?	743	805	False	0.5404215
10	Limé bouji-la.	Allume la bougie.	Voici Stéphane.	318	765	False	0.074288845
11	Limé limyè-la.	Allume la lumière.	Tu mangeras.	136	19	False	0.29900885
12	Limé bouji-la.	Allumez la bougie.	Voici Stéphane.	66	765	False	0.074288845
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Où es-tu né ?	431	306	False	0.57952523
14	Aoyi ka dansé.	Aoi danse.	Voici Georges.	918	442	False	0.29213512
15	Bay waka !	Applaudissez !	Crie !	822	964	False	0.30395412
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Il fait boire les bœufs.	561	813	False	0.5519631
17	Ou ni dé liv ?	As-tu deux livres ?	Qui est Christiane ?	102	503	False	0.34617853
18	Ou ni bon vlen ?	As-tu du bon venin ?	Quel est ton grade ?	85	303	False	0.37254965
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	J'ai faim !	261	471	False	0.44785273
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Où es-tu né ?	187	306	False	0.46008778
21	A talè !	À tout à l'heure !	Debout !	589	785	False	0.4619813
22	Ovwa !	Au revoir !	Crie !	714	964	False	0.38979995
23	Avan an té enmé'w.	Autrefois je t'aimais.	J'ai mangé.	359	856	False	0.5490625
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Tu porteras des citrons au magasin.	198	876	False	0.5393026
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	As-tu du bon venin ?	641	85	False	0.45113754
26	Bésé mizik-la !	Baisse la musique !	Tu es aveugle ?	567	166	False	0.4472952
27	Byenvini !	Bienvenue !	Crie !	40	964	False	0.29572594
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	On m'a volé mes papiers.	355	799	False	0.59452474
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Salut, je m'appelle Tom !	927	392	False	0.48770797
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Où es-tu né ?	482	306	False	0.41090095
31	Bonswa !	Bonsoir !	Crie !	540	964	False	0.38360107
32	Bonswè !	Bonsoir !	Bonsoir !	169	169	True	0.3093984
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Où es-tu né ?	608	306	False	0.6533803
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Quelle heure est-il ?	685	438	False	0.5881007
35	Bonswa madanm !	Bonsoir Madame !	Tu pars ?	411	682	False	0.5097419
36	Bonswè madanm !	Bonsoir Madame !	Debout !	796	785	False	0.51832414
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	Que deviens-tu Christiane ?	966	221	False	0.6059258
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Où es-tu né ?	628	306	False	0.55267537
39	Bonswè misyé !	Bonsoir monsieur !	Lequel l'as pris ?	328	805	False	0.5568688
40	Pa ni ayen !	Ça va !	Tu es sourd ?	688	859	False	0.37961197
41	Sa k'ay ?	Ça va ?	Crie !	383	964	False	0.58445084
42	Sa k'ay.	Ça va.	Tu mangeras.	138	19	False	0.4114871
43	Siléma-lasa ka fè yo pè.	Ce film leur fait peur.	Où es-tu né ?	492	306	False	0.5650563
44	Motè lasa ka fè dis anpè.	Ce moteur fait dix ampères.	Tu es en train de manger.	845	439	False	0.55207574
45	Sa pa asiwé.	Ce n'est pas certain.	J'ai mangé.	313	856	False	0.47774088
46	A pa lapenn.	Ce n'est pas la peine.	Tu manges.	629	333	False	0.48551202
47	A pa manman an mwen.	Ce n'est pas ma mère.	Je mangerai un kiwi.	775	95	False	0.7045684
48	A pa Mawi ?	Ce n'est pas Marie ?	Crie !	507	964	False	0.53590274
49	A pa sè an mwen.	Ce n'est pas ma sœur.	J'ai mangé.	489	856	False	0.4831636
50	A pa fwè an mwen.	Ce n'est pas mon frère.	J'ai mangé.	707	856	False	0.74220264
51	A pa Èstéfann ?	Ce n'est pas Stéphane ?	Tu es sourd ?	588	859	False	0.5242164
52	A pa Tòm ?	Ce n'est pas Tom ?	Qui ?	938	913	False	0.541805
53	A pa jé !	Ce n'est pas une blague !	Qui ?	558	913	False	0.5374265
54	Pwasa-lasa bidim !	Ce poisson est immense !	Tu porteras des citrons au magasin.	311	876	False	0.4870155
55	Sé liv-lasa bazé si Labib.	Ces livres sont basés sur la Bible.	Tu porteras des citrons au magasin.	948	876	False	0.45907557
56	Sé konsa mwen yé.	C'est ainsi que je suis.	J'ai onze ans.	368	192	False	0.65757823
57	Sé konsa i yé.	C'est ainsi qu'elle est.	J'ai faim !	773	471	False	0.6254667
58	Sé konsa nou yé.	C'est ainsi que nous sommes.	J'ai faim !	447	471	False	0.5804951
59	Sé konsa zò yé.	C'est ainsi que vous êtes.	Où es-tu né ?	129	306	False	0.6198586
60	Sé konsa i yé.	C'est ainsi qu'il est.	J'ai faim !	133	471	False	0.6254667
61	Sé konsa yo yé.	C'est ainsi qu'ils sont.	J'ai faim !	346	471	False	0.55273795
62	An ka palé ba'w.	C'est à toi que je m'adresse.	J'ai mangé.	597	856	False	0.52106094
63	A sa ou di.	C'est ce que tu dis.	Tu mangeras.	222	19	False	0.10674095
64	Sa kon sa.	C'est comme ça.	Ça va.	635	138	False	0.327466
65	I ka wété kotésit.	C'est ici qu'il habite.	S'ils veulent.	553	321	False	0.3621167
66	Sé'y menm ki fè kaz a'y.	C'est lui-même qui a construit sa maison.	Où es-tu né ?	484	306	False	0.51417184
67	Sé fimèl-bèf an mwen.	C'est ma vache.	On m'a volé mes papiers.	528	799	False	0.7605008
68	Sa bon menm !	C'est très bon !	Tu pars ?	34	682	False	0.39734793
69	Sé on bon kavalyèz toubòlman.	C'est une très bonne cavalière.	Il fait boire les bœufs.	51	813	False	0.5410416
70	Sé on bon dansèz toubòlman.	C'est une très bonne danseuse.	Elles boivent beaucoup d'eau.	794	38	False	0.2527411
71	Sé on bon najèz toubòlman.	C'est une très bonne nageuse.	Il fait boire les bœufs.	885	813	False	0.75543
72	Sé on bon chantè toubòlman.	C'est un très bon chanteur.	Donne-moi le couteau.	410	426	False	0.50098896
73	Sé on bon najè toubòlman.	C'est un très bon nageur.	J'ai mangé.	415	856	False	0.76721025
74	Apawèy-lasa two konpliké ban mwen.	Cet appareil photo est trop sophistiqué pour moi.	Donne-moi le petit livre.	287	252	False	0.60818267
75	Répons-lasa sé érè.	Cette réponse est fausse.	Où es-tu né ?	737	306	False	0.50628865
76	An malad a wòb-lasa.	Cette robe me plaît énormément.	Je mangerai un kiwi.	816	95	False	0.5353488
77	Chanté ba on bouwikèt, sé kaka i ké ba'w.	Chantez pour un âne, il vous donnera des crottes.	Le saxophone alto joue trop fort, on n'entend que toi.	662	624	False	0.4872681
78	Syèl !	Ciel !	Crie !	499	964	False	0.5736656
79	Ki pwi a mayo-lasa ?	Combien coûte ce maillot de bain ?	Que deviens-tu Christiane ?	457	221	False	0.3805039
80	Ki pwi a pantalon-lasa ?	Combien coûte ce pantalon ?	Se reverra-t-on ?	759	414	False	0.47745752
