	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Gi mi da one deh.	Give me that one.	Tom is 30 years old.	121	84	False	0.6846733
1	Gi mi da one deh.	Give me that one there.	Tom is 30 years old.	23	84	False	0.6846733
2	Mi gaan!	Good bye!	Biography 	50	37	False	0.4156636
3	Mi gaan!	Good-bye!	Biography 	52	37	False	0.4156636
4	Mi gaan.	Good-bye.	Biography 	46	37	False	0.37722683
5	Mi gaan, Sayoko!	Good-bye, Sayoko!	I am hungry!	101	58	False	0.49640155
6	Gud Mawnin!	Good morning!	Good-bye!	144	52	False	0.13374376
7	Gud Mawnin.	Good morning.	Good bye!	135	50	False	0.3622825
8	How yuh duh?	How are you doing?	Where were you?	136	102	False	0.5621629
9	How yuh duh?	How are you?	Where were you?	70	102	False	0.5621629
10	Mi a 12.	I am 12 years old.	Biography 	95	37	False	0.6292399
11	Mi a 18.	I am 18 years old.	Biography 	108	37	False	0.6203103
12	Mi a 19.	I am 19 years old.	Biography 	106	37	False	0.673676
13	Mi a 24.	I am 24 years old.	Biography 	109	37	False	0.6861727
14	Hungry have mi!	I am hungry!	Good-bye!	58	52	False	0.24059284
15	Mi old.	I am old.	Good-bye!	97	52	False	0.20288765
16	Mi nuh hab it.	I don't have it.	Good-bye.	36	46	False	0.5554874
17	Mi luv yuh!	I love you!	I'm hungry!	47	134	False	0.51340723
18	Mi luv yuh!	I love you.	I'm hungry!	1	134	False	0.51340723
19	Mi a 18.	I'm 18 years old.	Biography 	113	37	False	0.6203103
20	Mi a 19.	I'm 19.	Biography 	118	37	False	0.673676
21	Mi a 24.	I'm 24 years old.	Biography 	69	37	False	0.6861727
22	Mi a 25.	I'm 25 years old.	Biography 	138	37	False	0.6675825
23	Hungry have mi!	I'm hungry!	Good-bye!	134	52	False	0.24059284
24	Mi old.	I'm old.	Good-bye!	88	52	False	0.20288765
25	Tom dehyah?	Is Tom here?	Good-bye!	48	52	False	0.24048793
26	Mi deh wish yuh a Merri Crissmuss.	I wish you a Merry Christmas.	I wish you a Merry Christmas.	139	139	True	0.516111
27	Merri Crissmuss!	Merry Christmas!	Good-bye!	112	52	False	0.117399335
28	No, mi nuh hab it.	No, I don't have it.	Good-bye, Sayoko!	145	101	False	0.51583266
29	Tom a 30.	Tom is 30 years old.	Tom is 30 years old.	84	84	True	0.65791166
30	Wah yuh faada niem?	What is your father's name?	Give me that one.	7	121	False	0.7287197
31	Wah yuh muma name?	What is your mother's name?	Where were you?	67	102	False	0.603042
32	Wah yuh name?	What's your name?	Where were you?	15	102	False	0.52657986
33	Weh yuh did deh?	Where were you?	Where were you?	102	102	True	0.71729696
34	Yuh nyam too much.	You eat too much.	I am hungry!	71	58	False	0.5112313
35				140	21	False	0.0
36	Simtom naamali prizent dehself afta wan tu chrii die ah deh yuujali no laas langga dah wan wiik.	Symptoms normally present themselves after one to three days and are usually no longer present after a week. 	"Retrieved 23 August 2017. ↑ ""ليال عبود layal abboud"". asraroki.com/. "	44	110	False	0.790714
37	Tempareri laktuos intalrans kiah okor.	Temporary lactose intolerance can occur. 	"Retrieved 23 August 2017. ↑ ""ليال عبود layal abboud"". asraroki.com/. "	93	110	False	0.7814305
38	Di Yunaitid Stiet Senta fi Diziiz Kanchuol ah Privenshan (CDC) mentien wah op-tu-diet somari a avielebl labrichri tes.[26] Askaadin tu di CDC, rapid dayagnastik tes ab a sensitiviti a 50–75% ah spisifisiti a 90–95% wen kompier wid vairal kolcha.[27] Demaya tes maita espeshali yuusful juurin di influenza siizn (privalens=25%) bot ina di absens a luokal outbriek, ar peri-influenza siizn (privalens=10%[25]).	The United States Centers for Disease Control and Prevention (CDC) maintains an up-to-date summary of available laboratory tests.[26] According to the CDC, rapid diagnostic tests have a sensitivity of 50–75% and specificity of 90–95% when compared with viral culture.[27] These tests may be especially useful during the influenza season (prevalence=25%) but in the absence of a local outbreak, or peri-influenza season (prevalence=10%[25]). 	The classic symptom of malaria is paroxysm—a cyclical occurrence of sudden coldness followed by shivering and then fever and sweating, occurring every two days (tertian fever) in P. vivax and P. ovale infections, and every three days (quartan fever) for P. malariae. 	13	76	False	0.608518
39	Apraximetli 33% a piipl wid influenza deh asimtomatik.[14]	Approximately 33% of people with influenza are asymptomatic.[14] 	In some caustic occasions severe abdominal pain, fever, shock, and delirium can all be symptoms.[1][4][5][6] 	31	29	False	0.68739796
40	Ina fiimiel, di muos kaman taip a bres kiansa, kolorektal kiansa, long kiansa ah soervikal kiansa.[6] Ef kin kiansa outsaida melanuoma weh fi ingkluud ina tuotal nyuu kiansa iich ier iwuda akount fi rong 40% a kies.[17][18] Ina pitni, akyuut limfoblastik lyuukiimia ah brien tyuuma a di muos kaman exep ina hAfrika we nan-Ajkin limfuoma okor muotaim.[14] Ina 2012, bout 165,000 pitni anda 15 ier a iej eh-dayagnuoz wid kiansa.	In females, the most common types are breast cancer, colorectal cancer, lung cancer and cervical cancer.[6] If skin cancer other than melanoma were included in total new cancers each year it would account for around 40% of cases.[17][18] In children, acute lymphoblastic leukaemia and brain tumors are most common except in Africa where non-Hodgkin lymphoma occurs more often.[14] In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. 	The classic symptom of malaria is paroxysm—a cyclical occurrence of sudden coldness followed by shivering and then fever and sweating, occurring every two days (tertian fever) in P. vivax and P. ovale infections, and every three days (quartan fever) for P. malariae. 	61	76	False	0.6718397
