	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Jeg trenger papir.	I need some paper.	Tom got furious.	708	537	False	0.12118077
1	Jeg har aldri vært ranet.	I've never been robbed.	We haven't known each other long.	973	721	False	0.40877962
2	Jeg skulle ønske jeg kunne finne ut hvordan jeg får barna mine til å slutte å krangle.	I wish I could figure out how to stop my children from fighting.	I wish I could figure out how to stop my children from fighting.	124	124	True	0.3415594
3	Hvor er pennen?	Where is the pen?	Where is the exit?	572	933	False	0.38988984
4	Jeg bestilte de bøkene fra Tyskland.	I ordered those books from Germany.	Tom got furious.	330	537	False	0.4269079
5	Han ble sint og slo henne.	He got angry and hit her.	He got angry and hit her.	137	137	True	0.41854894
6	Jeg har ikke pass.	I don't have a passport.	I have an old car.	987	59	False	0.49200857
7	Du er velkommen her når som helst, Tom.	You're welcome here anytime, Tom.	It's much too cold to swim.	39	877	False	0.7268481
8	Jeg mistet nøklene mine.	I dropped my keys.	Your tie has come undone.	35	69	False	0.64946353
9	Tom liker å bowle.	Tom likes to bowl.	You let Tom down.	976	785	False	0.5298853
10	Ein fugl kan flyge.	A bird can fly.	He has a Japanese car.	425	888	False	0.39019442
11	Jeg har fått nok av frekkheten hans.	I've had quite enough of his impudence.	Your tie has come undone.	640	69	False	0.7709186
12	Hun var enda svak etter sykdommen.	She was still weak after her illness.	It's warm today.	847	128	False	0.72616005
13	Jeg mater gullfisken.	I'm feeding the goldfish.	I am learning Norwegian.	284	980	False	0.5596274
14	Det skjedde plutselig.	It happened suddenly.	He dropped in at the bookstore.	381	684	False	0.5913671
15	I retrospekt, skulle Tom ønske han hadde brukt mer tid på å studere.	In retrospect, Tom wishes he had spent more time studying.	In retrospect, Tom wishes he had spent more time studying.	361	361	True	0.4589914
16	Jeg vet godt hva han synes.	I know quite clearly what he thinks.	Give food to the homeless.	375	865	False	0.44540167
17	Har du noen gang sett en flygende tallerken?	Have you ever seen a UFO?	What do you think of Japanese?	96	49	False	0.33818257
18	Fangen er stille i cellen i dag.	The prisoner is being quiet in the cell today.	Older men are usually very wise.	277	969	False	0.6597576
19	Hun er vakker.	She is beautiful.	I see.	777	125	False	0.30861783
20	Jeg liker ikke varme vintre.	I don't like warm winters.	I love going to the cinema.	711	739	False	0.43814778
21	Vel, det er alt jeg har.	Well, that's all I've got.	I need to think about it.	33	649	False	0.55845594
22	Ulykken skapte kaos i trafikken.	The accident caused traffic confusion.	The prisoner is being quiet in the cell today.	830	277	False	0.53514194
23	Jeg har klatret Mt. Fuji to ganger.	I've climbed Mt. Fuji twice.	I've climbed Mt. Fuji twice.	42	42	True	0.3074286
24	Fra hvilken retning?	From which direction?	From which direction?	984	984	True	0.33364117
25	Jeg åpnet døren og så to gutter som sto side om side.	I opened the door and saw two boys standing side by side.	I opened the door and saw two boys standing side by side.	430	430	True	0.34873056
26	Firmaet sa opp fem personer.	The company laid off five people.	The company laid off five people.	763	763	True	0.5798774
27	Hun fikk ikke betalt for det.	She didn't get paid for it.	The mistake cost him his head.	127	851	False	0.47938275
28	Jeg har en venn.	I have a friend.	Tom got furious.	731	537	False	0.14858413
29	Jeg liker landskapet man kan se når man tar shinkansen.	I love the scenery viewable from the Shinkansen.	When I was young I got lots of things for free.	377	837	False	0.5073154
30	Kommer du?	Are you coming?	Tom got furious.	812	537	False	0.18917966
31	Jeg tenker du skjønner hva jeg mener.	I think you know what I mean.	Do you know how much this means to me?	861	462	False	0.3818364
32	Hva skulle jeg gjort uten ham?	What would I do without him?	What would I do without him?	299	299	True	0.32414985
33	Er din kone flink å lage mat?	Is your wife a good cook?	Is your wife a good cook?	660	660	True	0.43245113
34	Kan du ta med et til varmt håndkle til meg?	Could you bring me another hot towel?	Give food to the homeless.	613	865	False	0.7417517
35	Du høster stor respekt fra meg for din evne til å se din egen virksomhet utenfra og for å sette alminnelige menneskelige og moralske grenser.	You have my respect for your ability to see your own enterprise from the outside and for operating within ordinary human and moral limits.	You have my respect for your ability to see your own enterprise from the outside and for operating within ordinary human and moral limits.	800	800	True	0.34186006
36	Hvor mye måtte du betale for å få bilen din reparert?	How much did you have to pay to get your truck fixed?	How much did you have to pay to get your truck fixed?	214	214	True	0.36937356
37	Han neker å høre på noen av oss; du kunne like godt ha snakket med en stein.	He will not listen to any of us; you might as well talk to a figure of stone.	He will not listen to any of us; you might as well talk to a figure of stone.	77	77	True	0.38346577
38	Broren min er god til å spille tennis.	My brother is good at playing tennis.	My brother is good at playing tennis.	717	717	True	0.37005615
39	Han ser like gammel ut som han er.	He looks his age.	It appears that he is mistaken.	1	485	False	0.4242034
