	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ta un konsuelo pa mira kon asina hopi tempu di antemano Yehova tabata sa ku su pueblo lo a bai den eksilio spiritual i despues ser restorá.	It is comforting to see that so far in advance, Jehovah knew that his people would go into a spiritual exile and then be restored.	17 What is a major way in which we can take the lead in showing honor to all in the congregation?	519	945	False	0.5746479
1	Siendo cu Dios a manda nan stima nan próhimo i no mata otro hende, nan a nenga di drenta servicio militar . . .	Since God commanded them to love their neighbor and not to kill others, they refused military service . . .	Not realizing that Hannah was praying, Eli concluded that she must be drunk.	492	848	False	0.42736208
2	Pero ni Andres ni Kornelio no a pone preshon riba nan famianan ni a usa astusia pa pone nan bira siguidó di Kristu.	But Andrew and Cornelius did not put their relatives under pressure or slyly try to maneuver them into becoming Christ’s followers.	(Judges 4:24; 5:31) How blessed were Deborah, Barak, and Jael for putting faith in Jehovah God!	637	79	False	0.56367815
3	Lo bo sinti bo felis ku bo a probechá di bo oportunidat pa duna testimonio.”—1 Pedro 3:15.	You will be glad that you made good use of your opportunity to give a witness.”​—1 Peter 3:15.	(Eccl. 3:1, 7) Moreover, “the heart of the righteous one meditates so as to answer.”	7	679	False	0.5167842
4	13, 14. (a) Dikon algun sirbidó di Dios ta bira desanimá? (b) Ken ta esun ku ke pa nos fe frakasá, i dikon?	13, 14. (a) What causes some of God’s people to become discouraged? (b) Who wants to see our faith collapse, and why?	19. (a) Why is it understandable that we may feel discouraged at times? (b) What helped Paul to continue in his preaching work?	771	155	False	0.43281174
5	I nos ta balorá e privilegio ku nos tin di por traha ku Yehova den e último dianan akí.	How we cherish our privilege of working with our God in these last days!	17 What is a major way in which we can take the lead in showing honor to all in the congregation?	43	945	False	0.7067231
6	23:25; Deu. 7:15) El a asta kura algun di nan.	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	356	356	True	0.29943037
7	• Blènder​—90 desibèl	• Food blender​—90 decibels	(2 Samuel 1:1–10:19)	912	384	False	0.47256887
8	Finalmente dia 7 di mart 1941, mi a djòin un grupo grandi ku a ser transferí pa e kampo di konsentrashon Niederhagen.	Finally, on March 7, 1941, I joined a large convoy that was transferred to the Niederhagen concentration camp.	Finally, on March 7, 1941, I joined a large convoy that was transferred to the Niederhagen concentration camp.	939	939	True	0.49812078
9	Aparentemente e “Pueblonan di Laman” tabata nabegantenan for di isla- i paisnan na kosta di Mediteráneo.	The “Sea Peoples” are generally identified as seafarers from Mediterranean islands and coastlands.	The “Sea Peoples” are generally identified as seafarers from Mediterranean islands and coastlands.	947	947	True	0.52459717
10	Algu masha ligá ku sano huisio ta modestia.	Modesty goes hand in hand with common sense.	This weakened me spiritually.	246	405	False	0.7294023
11	Pakiko Hesus tabata dilanti Ponsio Pilato, i kiko Hesus a bisa?	Why was Jesus before Pontius Pilate, and what did Jesus say?	6 Noah survived the Deluge because of his faith.	552	227	False	0.6006216
12	Historiadó William M. Ramsay ta bisa: “Mescos cu den caso di cobra belasting, gobiernu a haña cu ta mas fácil pa contratá cierto companianan, en bes di nan mes bai organisá e ekipo enorme di hende i material cu mester pa haci e trabou grandi ei.”	“As in the collection of taxes,” says historian William M. Ramsay, “the government found it easier to give out the work to contract than to organize for itself the enormous machinery in men and equipment needed for that great service.”	“As in the collection of taxes,” says historian William M. Ramsay, “the government found it easier to give out the work to contract than to organize for itself the enormous machinery in men and equipment needed for that great service.”	566	566	True	0.48092842
