	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abri este puerta.	Open this door.	Call me when it's done.	932	206	False	1
1	Agregá dos dientes de ajo.	Add two cloves of garlic.	I prefer fish to meat.	868	56	False	1
2	Alegre yo si junto yo cuntigo.	When I'm with you, I'm happy.	We can't do this now.	376	617	False	1
3	Allergic yo na maíz.	I'm allergic to corn.	I don't know what's going to happen to you.	747	242	False	1
4	Amó se cosa ya pasá?	Is that what happened?	Tom needs a dry towel.	287	270	False	1
5	Aquí yo ya dejá de mío bag.	I left my bag here.	Do you know what Tom said?	66	763	False	1
6	Ay man miss yo cun ustedes todo.	I will miss you all.	I have a pen.	256	658	False	1
7	Ay tené gayót yo mucho cuidáo.	I will be very careful.	Onions cook more quickly than potatoes.	515	314	False	1
8	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	He doesn't talk to me anymore.	530	347	False	1
9	Basta, salé aquí.	Just get out of here.	I poured water into the bucket.	534	893	False	1
10	Besá cun Tom.	Kiss Tom.	I brought wine.	299	397	False	1
11	Bien manada yo mordedura de lamuk.	I got a lot of mosquito bites.	The teacher collected the papers.	834	500	False	1
12	Bien rico gayot yo.	I am very rich.	Cuff him.	647	498	False	1
13	Bien sensitivo yo na calor.	I am very sensitive to heat.	They saw the ship.	476	499	False	1
14	Borles el mujer.	The woman is naked.	Can you touch the ceiling?	77	469	False	1
15	¡Buenas tardes!	Good afternoon.	Is it OK if I open a can?	184	715	False	1
16	Busy yo este día.	I've been busy today.	It's ten to nine.	162	688	False	1
17	Cerrá el libro.	Close the book.	Glaiza de Castro as Sang'gre Pirena, the keeper of the gem of fire.	63	858	False	1
18	Cerrao el ventana.	The window is closed.	I never get tired of talking.	466	639	False	1
19	Colorao de suyo maga uñas.	Her nails are red.	I didn't know Tom was a doctor.	357	969	False	1
20	Colorao de tuyo sangre.	Your blood is red.	I saw the man jump.	935	996	False	1
21	Color verde el falda.	The skirt is green.	Do you know where the girl lives?	65	963	False	1
22	Con cuidao! Bien caliente el caldo.	Be careful! The soup is very hot.	This flower smells nice.	918	950	False	1
23	Conoce yo cunel dueño.	I know the owner.	Where are you from?	333	536	False	1
24	Contento le cosa le ahora.	He is content with his present state.	When do we get paid?	302	356	False	1
25	Cosa ay pasá cumigo?	What'll happen to me?	I'll be home by noon.	240	790	False	1
26	Cosa clase de vino tu tiene?	What kind of wine do you have?	Do you have any pencils?	737	6	False	1
27	Cosa cuntigo ya hablá?	What were you told?	You are too young to travel alone.	411	285	False	1
28	Cosa el color de tuyo pelo?	What color is your hair?	I don't add sugar to my coffee.	958	991	False	1
29	¿Cósa es su etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	You aren't allowed to go into that room.	576	21	False	1
30	Cosa ta pasa alli arriba?	What is going on up there?	There's a dictionary on top of the desk.	124	393	False	1
31	Cosa tu hacé luego de noche?	What are you going to do tonight?	Are you still hungry?	779	163	False	1
32	Cosa tu hacé si nuay yo?	What would you do without me?	I hear that you kissed my girlfriend.	509	908	False	1
33	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	You may make use of his library.	862	446	False	1
34	Cosa tu ta esperá?	What are you waiting for?	Tom and Mary followed John.	799	226	False	1
35	Cosa tu ya hacé cunel cámera?	What did you do with the camera?	Where in Austria did you grow up?	681	809	False	1
36	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	I didn't know Tom was a doctor.	406	969	False	1
37	Cuando tu andá na Armenia?	When will you go to Armenia?	Mary is afraid of spiders.	71	371	False	1
38	¿Cuándo?	When?	Helen visits her uncle every Sunday.	941	643	False	1
39	Cuanto gusano tu ya encontrá?	How many worms did you find?	Tom put his fork down.	615	663	False	1
40	¿Cuánto?	How much?	I know this is difficult.	183	558	False	1
41	¿Cuántos años ya evos?	How old are you?	They're mad at you.	384	642	False	1
42	"""¿Cuántos años ya evos?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	She called you.	188	101	False	1
43	"""¿Cuántos años ya tú?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	Do you know where Tom is from?	667	20	False	1
44	Cuanto tenedor pa kitá necesita?	How many more forks do we need?	They kidnapped me.	228	308	False	1
45	Cuidáo! Tiene vaca na camino!	Be careful! There's a cow in the road!	Are you still up?	713	279	False	1
46	Dale cumigo el cuchara.	Give me the spoon.	Do you have a knife?	199	217	False	1
47	Dale cumigo el vino.	Give me the wine.	How?	68	4	False	1
48	De mano lang tu cuneste ya cusí?	Did you sew this by hand?	How many worms did you find?	19	615	False	1
49	De oro el corona del reina.	The Queen's crown was made of gold.	He asked for my assistance.	822	432	False	1
50	De piedra esté edificio.	This building is made of stone.	I have to try.	755	506	False	1
51	De quien esté lápiz?	Whose pencil is this?	Give me back the TV remote.	568	553	False	1
52	Desayuná.	Have breakfast.	Tom was shot in the neck.	340	939	False	1
53	Despierto pa tu?	Are you still up?	He wet the towel with water.	279	255	False	1
54	Después comé mediodia ya virá yo na oficina.	After lunch, I returned to the office.	I've won.	772	352	False	1
55	De tuyo esté coche?	Is this your car?	He boarded the ship.	749	87	False	1
56	De tuyo esté lápiz?	Is this pencil yours?	The bed you just sat on is my grandmother's bed.	121	903	False	1
57	De tuyo estos las cosas?	Are these your things?	What did you say?	981	192	False	1
58	¿De usted nombre, cósa?	What is your name?	Drink your milk.	275	298	False	1
59	Diútay el tenedor.	The fork is small.	You have a sharp sense of direction.	572	512	False	1
60	Dol ta nerviá si Tom.	Tom seems nervous.	We didn't stay home yesterday.	919	662	False	1
61	Donde el baño?	Where is the bathroom?	You licked his penis.	402	511	False	1
62	Donde el pinakacerca iglesia?	Where's the nearest church?	I don't want to sleep on the couch again tonight.	693	488	False	1
63	Donde el ponô?	Where is the tree?	Will you go on foot or by bus?	705	123	False	1
64	Donde el presidente?	Where's the president?	Do you know who lives in that house?	12	724	False	1
65	¿Dónde na Austria que usted ya engrandá?	Where in Austria did you grow up?	I don't want to leave you.	438	268	False	1
66	Donde puede llamá na teléfono?	Where can one make a phone call?	He is content with his present state.	367	302	False	1
67	Donde tu quiere andá?	Where do you want to go?	Tom ducked Mary's punch.	582	33	False	1
68	Donde ya de mío antipara?	Where are my glasses?	I'm sorry I can't go with you today.	657	904	False	1
69	Donde y cuando tu ya recibi cunel regalo?	When and where did you receive the gift?	Have a snack.	829	866	False	1
70	Dos barco de pasajero ya sumí.	Two passenger ships were sunk.	Is the wine red?	394	774	False	1
71	Dulce el azúcar.	Sugar is sweet.	Tom went pale.	478	497	False	1
72	Dulce este manzanas.	This apple is sweet.	Tom drank milk.	61	233	False	1
73	Ele na hospital.	He's in the hospital.	Tom dialed the number again.	388	815	False	1
74	¡Ele ya vené!	She came!	I didn't pay attention.	907	619	False	1
75	Enbuenamente ba tu ya durmí anoche, Steve?	Did you sleep well last night, Steve?	Helen visits her uncle every Sunday.	800	643	False	1
76	Espera tu hasta llega de tuyu tata.	Wait until your father gets home.	Tom is a politician.	787	703	False	1
77	Este de tuyo vino?	Is this your wine?	She is giving the baby a bath.	395	528	False	1
78	Este maga tiempo poco estudiante ya lang ta usá lápiz.	Few students use pencils these days.	Don't trust him, whatever he says.	289	135	False	1
79	¿Evos, cuántos años ya?	How old are you?	I cried all night.	848	960	False	1
80	¿Evos hay andá de pie o de bús?	Will you go on foot or by bus?	Is she still interested?	683	901	False	1
81	Evos hay estudía.	You will study.	I don't know what's going to happen to you.	370	890	False	1
82	Evos tiene un agudo sentido de dirección.	You have a sharp sense of direction.	Please don't leave me.	264	734	False	1
83	Evos un haragán.	You're a slob.	I left my keys in the car!	732	190	False	1
84	Falta un tenedor.	One fork is missing.	I have to help Mary.	319	599	False	1
85	Frío el viento éste día.	The wind is cold today.	I have to find it.	335	581	False	1
86	Grande grande de suyo maga dedo.	He has enormous fingers.	He has an egg and is eating it.	372	571	False	1
87	Habla tu el verdad.	Tell the truth.	The towel is wet.	701	977	False	1
88	Hay estudía usted.	You will study.	I know I'm early.	147	477	False	1
89	Hechura'y pato man ese.	It looks like a duck.	I met him in Australia.	745	387	False	1
90	Hindé lang si Tom el necesita estudiá. Yo también necesita estudiá.	Tom isn't the only one who has to study. I have to study as well.	The house is burning.	842	565	False	1
91	Hindé necesita andá na tienda si Tom.	Tom doesn't need to go to the store.	I grew up in a small town.	593	661	False	1
92	Hindê se fácil.	That's not easy.	Many among us are not familiar with diphthongs but they are found in every phrase, sentence and paragraph. Question: How important are they in the Zamboangueño Chavacano Language and what does Dipthong mean? Answer: They are very important! Diphthongs are combinations of two vowels pronounced together in the same syllable, which produces a new distinct sound.	940	807	False	1
93	Hindé todo gente puede quedá alegre.	Not every man can be happy.	You don't have to work so hard.	723	785	False	1
94	Hindé tu igual cumigo.	You're not like me.	I don't give a damn about it!	83	620	False	1
95	Hindé tu necesita trabajá gayót.	You don't have to work so hard.	Be careful with that knife.	785	257	False	1
96	Hindé tu pirmi puede asé cosa tu quiere.	You can't always do what you want.	We have forty-five (add name of currency).	494	148	False	1
97	Hindé ya yo de tuyo maestro.	I am no longer your teacher. (male)	He is afraid.	461	141	False	1
98	Hindé yo rico, hindé también yo quiere quedá.	I am not rich, nor do I wish to be.	They don't want you to know.	756	551	False	1
99	Hindé yo ta ablá que andá tu solo solo.	I'm not telling you to go alone.	Tom is terrified.	738	761	False	1
100	Hindé yo ta entendé cosa le quiere.	I can't make out what he wants.	This apple is sweet.	601	61	False	1
101	Hinde yo ta entendé cosa tu quiere hablá.	I don't understand what you're trying to say.	I think I left my keys on the kitchen table.	272	685	False	1
102	Hindê yo ta poné azúcar na de mío café.	I don't add sugar to my coffee.	Can I touch your hair?	991	804	False	1
103	Interesáo pa ba ele?	Is she still interested?	I want you to want me.	901	232	False	1
104	Intumido de mío maga dedo.	My fingers are numb.	What do I need to do?	516	591	False	1
105	Jendêh bueno sunsacá el maga cosas que vos ya dalé ya.	It's not good to count all the things that you have already given.	Give me back the TV remote.	288	553	False	1
106	Jendêh bueno sunsacá el mana cosas que tú ya dalé ya.	It is bad to count all the things that you gave.	What is your name?	853	275	False	1
107	Jendêh bueno sunsacá el mana cosas que tú ya dalé ya.	It's not good to count all the things that you have already given.	I was ashamed.	794	330	False	1
108	Jendêh bueno sunsacá el mana cosas que vos ya dalé ya.	It's not good to count all the things that you have already given.	You don't have to study.	634	304	False	1
109	Juan, comé ya de tuyo sopas!	Eat your soup, John!	It's ten to nine.	219	688	False	1
