	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Die kann man nicht in einem Geschäft kaufen. 	You can't buy these in a store. 	It's great that you won the prize. 	373	590	False	1
1	Unterlasse deine Lügen! 	Stop with your lies. 	Do you like the soup? 	527	958	False	1
2	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	Do you have a bigger pan? 	503	85	False	1
3	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	I wish Tom would notice me. 	499	569	False	1
4	Hast du in Erfahrung bringen können, warum Tom von der Schule geflogen ist? 	Did you find out why Tom was kicked out of school? 	Ask Tom to come immediately. 	721	489	False	1
5	Unsere jüngste Tochter heißt Maria. 	Our youngest daughter's name is Mary. 	I don't know my way around. 	999	879	False	1
6	Hat Tom viel Geld? 	Does Tom have a lot of money? 	Your car needs to be washed. 	840	633	False	1
7	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	You can't buy these in a store. 	895	373	False	1
8	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Put it where you want. 	93	463	False	1
9	Energietränke sind sehr teuer. 	Energy drinks are really expensive. 	There's no one who can stand him. 	940	26	False	1
10	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	Somebody left the door open. 	660	908	False	1
11	Er plant, für zwei Wochen hierzubleiben. 	He is planning to stay here for two weeks. 	Tom had a message on his answering machine. 	797	670	False	1
12	Wusstest du, dass Tom und Johannes Brüder sind? 	Did you know that Tom and John were brothers? 	Tom was in the kyudo club when he was in high school. 	177	668	False	1
13	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	The wind is getting stronger. 	95	432	False	1
14	Wer hat ihr meine Adresse gegeben? 	Who gave her my address? 	I didn't go because I was sick. 	318	369	False	1
15	Ich muss mich bei dir für meine gestrigen Worte entschuldigen. 	I need to apologize to you for what I said yesterday. 	I'll pay Tom's bills for him this month. 	173	980	False	1
16	Tom sah wirklich schlimm aus. 	Tom really looked terrible. 	I only ate a banana. 	542	61	False	1
17	Tom und Maria scheinen sich guter Gesundheit zu erfreuen. 	Tom and Mary seem to be in good health. 	I long for home. 	845	63	False	1
18	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	The landscapes are simply fantastic. 	377	98	False	1
19	Als Tom am Laden ankam, war schon geschlossen. 	By the time Tom got to the store, it was already closed. 	How long did you talk to Tom? 	690	771	False	1
20	Es lösche bitte jemand diesen Satz. 	Someone please delete this sentence. 	If you have a daughter in this country, you hope she'll meet a foreigner and go abroad. 	143	383	False	1
21	Tom bedeutete mir, still zu sein. 	Tom motioned for me to be quiet. 	Are you sure Tom winked at me? 	272	7	False	1
22	Als ich ankam, war die Feier schon vorbei. 	By the time I got there, the party was already over. 	There's enough room for everyone. 	580	10	False	1
23	Es ist gestern am späten Abend passiert. 	It was late last night that that happened. 	That was a poem. 	109	154	False	1
24	Nur weil sich niemand beschwert, kann man noch lange nicht schlussfolgern, dass die Kunden zufrieden sind. 	Just because no one's complaining doesn't mean the customers are happy. 	Have you ever made rhubarb jam? 	869	21	False	1
25	Eine einfache Fahrt nach Newcastle bitte. 	A single to Newcastle, please. 	I don't even have a single girlfriend. 	917	194	False	1
26	Tom reitet schon sein ganzes Leben lang. 	Tom has been riding horses all his life. 	Anyone can be deceived. 	426	763	False	1
27	Davor fürchtet sich Tom am meisten. 	That's what Tom fears the most. 	You asked me. 	259	909	False	1
28	Du solltest nicht allzu nahe an Toms Wagen parken. 	You might not want to park too close to Tom's car. 	Tom lives in a rich neighborhood. 	39	654	False	1
29	Es ist für alle genug Platz. 	There's enough room for everyone. 	You've got a strange idea of happiness. 	398	597	False	1
30	Wir waren alle in Tom verliebt. 	We were all in love with Tom. 	We all like you a lot. 	248	283	False	1
31	Er war ein ganz Harter. 	He was a tough guy. 	I'll be bald soon. 	814	476	False	1
32	Ist die nächste Haltestelle „Camden Town“? 	"Is the next stop ""Camden Town""? "	Just do what you want to do. 	414	455	False	1
33	Tom lächelt manchmal, aber nicht sehr oft. 	Tom smiles sometimes, but not very often. 	I need to apologize to you for what I said yesterday. 	207	173	False	1
34	Ich werde immer hoffen. 	I will always be hoping. 	Maybe you have a fever. 	314	87	False	1
35	In Australien schneit es sehr selten im Dezember. 	In Australia, it very rarely snows in December. 	Tom doesn't identify as either a conservative or a liberal. 	359	80	False	1
36	Versuchen Sie es doch einmal in dem Laden gegenüber. Vielleicht hat man dort, was Sie suchen. 	Try the store across the street. They might have what you're looking for. 	She lives in the middle of nowhere. 	76	545	False	1
37	Ich möchte meine Ideen besser auf Französisch ausdrücken können. 	I want to become better at expressing my ideas in French. 	Do you have a room? 	681	701	False	1
38	Denk erst nach, bevor du etwas sagst! 	Think about what you say before you say it. 	Her daughter disappeared seven years ago. 	865	893	False	1
39	Beide Antworten sind korrekt. 	Both answers are correct. 	There are no dogs here. 	533	124	False	1
40	Montag haben wir einen Französischtest. 	We have a French test next Monday. 	We're tailors. 	993	526	False	1
41	Habt ihr weit weg geparkt? 	Have you parked far away? 	Tom used to be a famous singer. 	646	355	False	1
42	Klingt mein Französisch komisch? 	Does my French sound weird? 	He didn't realize what was happening. 	792	887	False	1
43	Auf Tom war immer Verlass. 	We could always count on Tom. 	Tom landed on Mars. 	638	898	False	1
44	Er war der letzte, der in diesem Haus wohnte. 	He was the last one to live in this house. 	All that is about to change. 	907	761	False	1
45	Die brauche ich wohl nicht mehr. 	I guess I don't need these anymore. 	Say whatever you want. 	415	475	False	1
46	Ich will keinen Apfelsaft mehr trinken. 	I don't want to drink any more apple juice. 	There are no dogs here. 	832	124	False	1
47	Dank des Internets leben wir in einer Zeit des Aufschiebens. 	Thanks to the internet, we're living in the era of procrastination. 	"""Did the lightbulb burn out?"" ""No, it just wasn't screwed in right."" "	631	851	False	1
48	In deinem Garten steht viel Unkraut. 	There are a lot of weeds in your garden. 	It's very expensive to live here. 	47	946	False	1
49	Tom lässt sich weder als konservativ noch als liberal einstufen. 	Tom doesn't identify as either a conservative or a liberal. 	Freedom is always the freedom of dissenters. 	80	805	False	1
50	Hat man dir etwas zu essen gegeben? 	Were you given anything to eat? 	In the kingdom of the blind, the one-eyed is king. 	196	706	False	1
51	Es ist unbedingt nötig, dass du an der Konferenz teilnimmst. 	It's absolutely necessary that you be at the meeting. 	Biotech and Moderna have a lead in the Corona or Covid vaccination. 	438	615	False	1
52	Jemand hat mein Bier getrunken. 	Someone has drunk my beer. 	Tom would freak if he saw this. 	988	183	False	1
53	Es gefiel mir, wie du das gemacht hattest. 	I liked how you did that. 	Tom pointed a finger at me. 	239	779	False	1
54	Kein Wunder, dass der Drucker nicht funktioniert: jemand hat den Stecker herausgezogen. 	No wonder the printer hasn't been working. Somebody unplugged it. 	Tom has a knife. 	485	179	False	1
55	Die Pizza war teuer. 	The pizza was expensive. 	With my stutter, I know what I want to say, but I just can't get it out right. 	862	235	False	1
56	Wer hat sonst noch einen Schlüssel? 	Who else has a key? 	Tom is an architect from Australia. 	119	520	False	1
57	Mische die Karten! 	Shuffle the cards. 	Was it really necessary? 	571	963	False	1
58	Der Mond. Er ist um 23 Uhr aufgegangen. 	That is a present from my sister-in-law. 	Tom was a monster. 	204	813	False	1
59	Tom ist hier als einziger stärker als ich. 	Tom is the only one here who's stronger than I am. 	We've made a big mistake. 	333	884	False	1
60	Bei der Amtseinführung von Joe Biden hat Lady Gaga die Nationalhymne gesungen. 	Lady Gaga sang the national anthem at Joe Biden's inauguration. 	He was too gobsmacked to reply. 	496	541	False	1
61	Nun, entscheide dich! 	Well, make up your mind. 	Tom is getting your things. 	276	402	False	1
62	Der Platz reicht für alle. 	There's enough room for everyone. 	There is no such thing as bad weather, only the wrong clothes. 	10	503	False	1
63	Sie haben den Dieb gefasst. 	You've caught the thief. 	To prove he was vigorous and up to the job, the 68-year-old delivered the lengthy speech, which took well over an hour, despite freezing temperatures. He fell ill that evening and died a month later. 	33	625	False	1
64	Tom erzählte einige Witze, die mich zum Lachen brachten. 	Tom told a few jokes that made me laugh. 	Tell us some jokes. 	836	749	False	1
65	Mary Hansen war eine australische Musikerin und ein Mitglied der Gruppe Stereolab. 	Mary Hansen was an Australian musician and a member of the group Stereolab. 	In Australia, it very rarely snows in December. 	260	359	False	1
66	Hast du deinen Reisepass jetzt bei dir? 	Do you have your passport on you now? 	How did life begin? 	231	658	False	1
67	Die Tochter ist vor sieben Jahren verschwunden. 	Her daughter disappeared seven years ago. 	Tom and Mary are arguing about who is the best prankster of the two. 	893	662	False	1
68	„Du bist doch mit Tom befreundet, oder?“ – „Jo.“ – „Wie ist denn der so?“ 	"""You're friends with Tom, aren't you?"" ""Yeah."" ""What's he like?"" "	What do the trees whisper? 	755	353	False	1
69	Tom isst ständig. 	Tom's eating all the time. 	Tom was in the kyudo club when he was in high school. 	967	668	False	1
70	Diese Eichen sind über hundert Jahre alt. 	These oaks are over a hundred years old. 	You should move on with your life. Find someone who'll make you happy. 	548	448	False	1
71	Mit 78 Jahren wird Biden der bisher älteste Führer des Landes. 	Biden, at 78, becomes the country’s oldest leader ever. 	What happened at your place last night? 	739	11	False	1
72	Elefanten sind starke Tiere. 	Elephants are strong animals. 	She's a veteran: she's been doing this for decades. 	857	155	False	1
73	Wohin sind Sie schon gereist? 	Where have you traveled? 	Your behavior is inexcusable. 	873	504	False	1
74	Es entsteht gerade eine Filmbiographie über Tom. 	They're making a biopic about Tom. 	Tom is straight. 	975	540	False	1
75	Elisabeth war Tränengas ausgesetzt. 	Elizabeth got maced. 	We're pleased with the way things turned out. 	863	657	False	1
76	Mathe wurde geschaffen, um Kinder zu quälen. 	Math was created to torture children. 	I'd suggest going there by bus. 	181	452	False	1
77	Die Mutter meiner Mutter ist meine Großmutter mütterlicherseits. 	My mother's mother is my maternal grandmother. 	I will always be hoping. 	691	314	False	1
78	Ich will mich schon die ganze Zeit bei dir bedanken. 	I've been wanting to thank you. 	Mom and Dad put me in charge, so whatever I say, goes. 	692	106	False	1
79	Auch das Leben von Schwarzen zählt. 	Black lives matter too. 	Why do so many people like Tom? 	616	220	False	1
80	Mama, welche ist meine rechte Hand? 	Mom, which is my right hand? 	You accept me for who I am. 	372	93	False	1
81	Vielen Dank für deine Spende! 	Thank you for your donation. 	Maybe I could use some help after all. 	128	388	False	1
82	An deiner Stelle würde ich neue Autoreifen kaufen. 	I'd buy new tires for your car if I were you. 	The geese are flying south. 	439	653	False	1
83	Hallo! Ich habe einen Platten. Kannst du mir eine Luftpumpe leihen? 	Hey, my tire's flat. Do you have a pump I can borrow? 	I know the matter well enough. 	699	713	False	1
84	Die Finanzbranche sitzt in Frankfurt. 	The financial sector sits in Frankfurt. 	Tom didn't seem to understand at first. 	901	796	False	1
85	Helle Farben stehen Tom nicht. 	Bright colors don't suit Tom. 	The landscapes are simply fantastic. 	511	98	False	1
86	Ich zeigte Tom mein Meisterwerk. 	I showed my masterpiece to Tom. 	Tell me what time it is. 	379	788	False	1
87	Warst du schon einmal in jenem Restaurant? 	Have you ever been to that restaurant? 	Nobody lives there yet. 	785	148	False	1
88	Tom konvertierte zum Judentum. 	Tom converted to Judaism. 	It's been three years since I've driven a car. 	821	953	False	1
89	Das Tal war lang und steil. 	The valley was long and steep. 	It's really sad when people exclude you because of your skin color. 	864	587	False	1
90	Es wohnt dort noch niemand. 	Nobody lives there yet. 	I'll only go if Tom doesn't go. 	148	241	False	1
91	Tom hielt sich aus dem Streit heraus. 	Tom stayed out of the argument. 	I'm not in touch with the older of my elder brothers, but I meet with the other one every week. 	462	978	False	1
92	Hör auf, Tom mit Maria zu vergleichen! 	Stop comparing Tom with Mary. 	I truly believe that Tom is someone you can count on. 	664	327	False	1
93	Ich habe schon Frühstück vorbereitet. 	I've already prepared breakfast. 	Ask someone else. 	290	809	False	1
94	Tom hilft mir nicht bei der Hausarbeit. 	Tom doesn't help me with the housework. 	What's the last day of the year called? 	959	724	False	1
95	Du bist auch kein Heiliger. 	You're no saint, either. 	My father often goes to Paris on business. 	530	167	False	1
96	Dein Verhalten ist unverzeihlich. 	Your behavior is inexcusable. 	Those were the longest three days of my life. 	504	728	False	1
97	Tom will Dolmetscher werden. 	Tom wants to become an interpreter. 	All of us like you very much. 	289	237	False	1
98	Toms Verhalten war sonderbar. 	Tom's behavior was peculiar. 	That child soon fell asleep. 	900	834	False	1
99	Traust du es Tom nicht zu? 	Do you think Tom won't be able to do it? 	I hope it doesn't rain next Monday. 	387	583	False	1
100	Der Aufzug ist zwischen den Stockwerken stecken geblieben. 	The elevator is stuck between floors. 	I'm glad to hear that Tom is doing better. 	753	192	False	1
101	Keiner kann so schnell laufen wie Tom. 	Nobody can run as fast as Tom. 	Tom used to play the piano. 	176	328	False	1
102	Ich bin mit einer Rakete ins All geflogen. 	I went to space on a rocket. 	Hans from Alsace has a beautiful wife, but ugly kids. 	742	991	False	1
103	Wir sollten uns wohl von hinnen machen. 	Evidently, it's time for us to leave. 	Alex couldn't decide on which bathroom to go into. 	391	608	False	1
104	Steh morgen früh auf! 	Get up early tomorrow. 	Tom fired his gun as soon as he saw me. 	468	752	False	1
105	Tom stand lange vor dem Restaurant, ehe er eintrat. 	Tom stood outside the restaurant for a long time before entering. 	Somebody will have to tell Tom. 	628	206	False	1
106	Kannst du rüberkommen? 	Can you come over here? 	Working on weekends is something that I don't do. 	883	756	False	1
107	Tom hat genau drei Monate nach mir Geburtstag. 	Tom's birthday is exactly three months after mine. 	The loss of a camel is a real catastrophe for a Tuareg family. 	217	994	False	1
108	Ich lade gerade ein Zusatzmodul herunter. 	I'm downloading a plugin. 	If I'd noticed, I would've told you. 	827	12	False	1
109	Ich bin mit dem Ausgang der Dinge vollends zufrieden. 	I'm completely satisfied with how things turned out. 	Tom was hit by a motorcyclist. 	437	458	False	1
110	Ich habe die Gäste begrüßt. 	I have greeted the guests. 	The president of France goes to Japan next month. 	198	457	False	1
111	Tom flehte mich an, es zu tun. 	Tom begged me to do it. 	I want to learn how to teach. 	703	853	False	1
112	Yanni stimmte zu. 	Yanni agreed. 	I didn't eat yesterday. 	312	732	False	1
113	Warum haben Sie nicht gefrühstückt? 	Why did you not have breakfast? 	I don't want to drink any more apple juice. 	412	832	False	1
114	Dank Tatoeba habe ich Kenntnisse in vielen Sprachen. 	I know many languages thanks to Tatoeba. 	Learning Ido is so easy that you will be able to use it almost immediately. 	144	561	False	1
115	Ich habe keine Ahnung, wie ich dir helfen kann. 	I have no idea how to help you. 	Just because no one's complaining doesn't mean the customers are happy. 	350	869	False	1
116	Es ist kein Saft mehr da. 	There's no more juice. 	What Tom was wearing wasn't appropriate. 	923	15	False	1
117	Es ist das dritte Mal diese Woche, dass Tom das getan hat. 	This is the third time this week that Tom has done that. 	I think this is OK, but I'm not sure. 	939	551	False	1
118	Obwohl ich besser Französisch kann, will ich gerne Englisch sprechen. 	Even though I'm better at French, I really want to speak in English. 	Our turn will come. 	381	294	False	1
119	Ist es nicht allerliebst, wenn man einem Wort begegnet und es um die 30 verschiedenen Definitionen dafür gibt, von denen man sich die richtige heraussuchen muss? 	Isn't it just lovely when you come across a word and there are like thirty different definitions for it and you have to figure out which one it is? 	Tom made spaghetti for the kids. 	75	546	False	1
120	Niemand weiß, wie lange Tom dort war. 	Nobody knows how long Tom was there. 	I'll be bald soon. 	531	476	False	1
121	Nicht jeder weiß, was er tun soll. 	Not everyone knows what to do. 	What are some good ways to break a bad habit? 	842	765	False	1
122	Das Leben ist hart und schwer. 	Life is hard and difficult. 	They're making a biopic about Tom. 	375	975	False	1
123	Ich wünschte, Tom wäre hier bei mir. 	I wish that Tom were here with me. 	Ask someone else. 	285	40	False	1
124	Entschuldigen Sie, sprechen Sie Ungarisch? 	Excuse me, do you speak Hungarian? 	It's been three years since I've driven a car. 	323	953	False	1
125	Die Tür geht nach innen auf. 	The door opens inward. 	I'm downloading a plugin. 	121	827	False	1
126	Soll ich Ihnen einen Kaffee kochen? 	Should I make you a coffee? 	I forgot what it was I wanted to say to you, so I'll tell you once I remember. 	793	419	False	1
127	Viele Eltern unterstützen ihre Kinder auch noch finanziell, wenn sie erwachsen sind. 	Many parents support their kids financially as well when the kids become adults. 	I never heard of it. 	303	205	False	1
128	Tom hat früher Klavier gespielt. 	Tom used to play the piano. 	Someone please delete this sentence. 	328	143	False	1
129	Kauf zwei Flaschen Öl, wenn du zum Supermarkt fährst. 	Buy two bottles of oil when you go to the supermarket. 	There was a big snowstorm in Madrid. 	480	258	False	1
130	Das Lied geht Tom schon seit drei Tagen nicht aus dem Kopf. 	That song has been stuck in Tom's head for three days. 	Her daughter disappeared seven years ago. 	577	893	False	1
131	Habt ihr völlig den Verstand verloren? 	Are you completely mad? 	When do you expect Tom to return? 	746	343	False	1
132	Frösche haben keinen Hals. 	Frogs have no neck. 	Hello, I am brand new to Tatoeba. What are you guys up to? 	315	83	False	1
133	Im Laufe eines Tages kann viel passieren. 	A lot can happen in a day. 	Our living room gets lots of sunlight. 	528	634	False	1
134	Tom war einer meiner besten Schüler. 	Tom was one of my best students. 	The crater was a possible oasis in its distant past. 	413	38	False	1
135	Tom wartete bei sich zu Hause. 	Tom was waiting in his house. 	I explained to him why he was starting to get on my nerves, and since then he hasn't talked to me. 	544	254	False	1
136	Das scheint nicht genug zu sein. 	It doesn't seem to be enough. 	If you hit me, I'll hit you back. 	184	931	False	1
137	Mir ist die Angelegenheit hinlänglich bekannt. 	I know the matter well enough. 	Tom kisses his wife every morning as he's leaving his house. 	713	972	False	1
138	Die ersten Schritte sind immer die schwersten. 	The first steps are always the hardest. 	We have to do better than this. 	24	641	False	1
139	Bittet jemand anderen! 	Ask someone else. 	Do you have your passport on you now? 	809	231	False	1
140	Vielleicht bin ich besser als Sie. 	Maybe I'm better than you. 	I'm driving, so I can't answer the phone. 	267	139	False	1
141	Tom hat sein altes Haus abreißen lassen. 	Tom had his old house torn down. 	Tom has to stop doing that right now. 	472	871	False	1
142	Ich empfehle dir, mit dem Bus zu fahren. 	I recommend you go by bus. 	The girls weren't timid. 	603	729	False	1
143	Kaoru reiste in die Vereinigten Staaten. 	Kaoru went to the United States. 	We need to go faster. 	697	242	False	1
144	Die Freude war unbeschreiblich groß, als Tom aus der politischen Gefangenschaft entlassen wurde. 	The joy was indescribably great when Tom was released from political imprisonment. 	Our gate squeaks whenever someone opens it. 	794	292	False	1
