	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	Are you lactose intolerant? 	38	828	False	1
1	Elles m'ont oublié. 	They forgot me. 	I wish. 	917	988	False	1
2	As-tu déjà ressenti une douleur à la poitrine ? 	Have you ever experienced chest pain? 	Tom very rarely plays the clarinet anymore. 	840	598	False	1
3	Sortez vos cavaliers avant de développer les fous. 	Bring out your knights before developing the bishops. 	Tom doesn't expect anything from life anymore. 	391	640	False	1
4	Au travail ! 	Let's get it done! 	Here it is again. 	147	809	False	1
5	Veuillez suivre mon doigt sans bouger votre tête. 	Please follow my finger without moving your head. 	Why don't we go right away? 	116	146	False	1
6	Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	I doubt it came out yesterday. 	82	480	False	1
7	Quelqu'un est entré. 	Someone entered. 	He's afraid of us. 	31	788	False	1
8	Ils ne m'ont pas oubliée. 	They didn't forget me. 	He plied me with tequila all evening. 	685	822	False	1
9	Lis les bons livres ! 	Read good books! 	We will go for a walk, unless it rains. 	716	16	False	1
10	Leur maison est en vente. 	Their house is for sale. 	I changed the French sentence. 	297	224	False	1
11	Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	After the explosion, I saw three guys limping out of the restaurant. 	Your stitches will need to be removed in a few days. 	67	54	False	1
12	Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	Eight brothers and no sisters? No wonder she's a tomboy. 	Please take off all of your clothes from the waist down. 	6	376	False	1
13	Ils m'ont oubliée. 	They forgot me. 	Stop spinning. 	404	844	False	1
