	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Elektronikk sørger for en flertrinns og enkel regulering av luftstrømmen.	A simple multi-stage adjustment of the air flow is provided electronically.	Do you know what I mean?	684	318	False	1
1	Jeg liker virkelig lagkameratene mine.	I really like my teammates.	Don't smoke while you are on duty.	58	103	False	1
2	Det var helt tilfeldig at han vant kampen.	It was pure chance that he won the game.	I felt the house shake.	154	89	False	1
3	Han ble sint og slo henne.	He got angry and hit her.	She left home at age thirteen.	338	22	False	1
4	Jeg måtte fylle vann på akvariet.	I needed to add water to my aquarium.	Have you finished knitting that sweater?	168	724	False	1
5	Jana spurte Maria om hun ville overnatte hos henne.	Jane asked Mary whether she'd like to stay at her place for the night.	Tom's eyes are bloodshot.	288	424	False	1
6	Dette er en plante.	It's a plant.	The future belongs to those who believe in the beauty of their dreams.	966	189	False	1
7	Han småsov hele tiden.	He dozed all the while.	On a clear day, you can see Mt. Fuji.	668	659	False	1
8	Har ikkje du noko å gjera?	Don't you have some work to do?	I fell in love with her at first sight.	917	833	False	1
9	Eg har ein katt og ein hund. Katten er svart og hunden er kvit.	I have a cat and a dog. The cat is black and the dog is white.	The world has no need for me.	861	955	False	1
10	Jeg sa til Tom at jeg ville bli sen.	I told Tom that I'd be late.	You can't leave us alone.	685	905	False	1
11	Tom er ein profesjonell fotballspelar.	Tom is a professional football player.	The older you are, the more difficult it is to learn a language.	333	878	False	1
12	Jeg respekterer uselviskheten hans.	I respect his selflessness.	The sun is a star.	916	454	False	1
13	I Japan er det en stasjon hvor stasjonsmesteren er en katt.	In Japan there are train stations with a cat for a stationmaster.	She looks very happy today.	193	403	False	1
14	Hvorfor ikke spørre ham om råd?	Why don't we ask his advice?	I fell in love with her at first sight.	36	833	False	1
15	Ikke våg å svare på det.	Don't you dare answer that.	I'm dangerous.	615	921	False	1
16	Jeg mater gullfisken.	I'm feeding the goldfish.	What is it you want, Tom?	460	632	False	1
17	Hun gikk og handlet med ham forrige Mandag.	She went shopping with him last Monday.	You are tall, but he is still taller.	345	616	False	1
18	Det er ikke min feil.	It's not my fault.	Have a nice trip.	235	270	False	1
19	Tom oppførte seg dårlig.	Tom's behavior wasn't acceptable.	No sooner had I left the house than it started to rain.	630	250	False	1
20	Tom følgte nøye med på hva som skjedde.	Tom was watching what was happening very carefully.	I don't want to go to school.	823	702	False	1
21	Jeg vil bare være med deg.	I just want to be with you.	Is it really wise for marketing folks to satisfy people's desire for instant gratification?	531	677	False	1
22	Bruden hadde på seg en hvit brudekjole.	The bride was wearing a white wedding dress.	Nancy wants a pair of red shoes.	626	920	False	1
23	Én gang i året skader ikke.	Once a year does not hurt.	So, what's it gonna be?	761	261	False	1
24	Har du noen gang sett en flygende tallerken?	Have you ever seen a UFO?	You should sleep.	29	475	False	1
25	Jeg er ikke så god i engelsk ennå.	I'm not good at speaking English yet.	We can go after the lunch.	442	191	False	1
26	Fangen er stille i cellen i dag.	The prisoner is being quiet in the cell today.	Father bought me a new bicycle.	744	969	False	1
27	Hun er vakker.	She is beautiful.	You can borrow my car anytime.	286	711	False	1
28	Jeg liker ikke varme vintre.	I don't like warm winters.	Five thousand dollars is a large sum of money.	295	296	False	1
