	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Alás nueve ya acabá el party.	The party finished at nine.	Tom gave Mary a necklace.	394	561	False	0.007990122
1	A las siete le pirmi ta salé na casa.	He always leaves home at seven.	I left my umbrella in the cab.	251	335	False	0.006307125
2	Amó aquel de tuyo plano?	Was that your plan?	Trees are alive.	363	678	False	0.004662156
3	Andá yo jugá afuera. Siguí tu cumigo?	I'm going outside to play. Are you coming with?	I'm glad to be alive.	362	770	False	0.007774353
4	Antes más ta preferí yo el cha negro que el café, pero recientemente ta bebé ya yo un buen cantidad de ambos dos.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	614	438	False	0.006505728
5	Aparte de vos, todo kita pobre.	Apart from you, we are all poor.	Apart from you, we are all poor.	845	845	True	0.0033179522
6	Aqui yo ta trabajá.	I work here.	I closed my umbrella.	709	654	False	0.0045696497
7	Ay acabá tu cortá cun el magá pono aquí?	Are you going to cut down all the trees here?	Kylie Padilla as Sang'gre Amihan, the keeper of the wind gem.	754	665	False	0.010010481
8	Ay discutí kitá cunese luego.	We will discuss that later.	I closed my umbrella.	419	654	False	0.0054426193
9	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	I closed my umbrella.	792	654	False	0.0048378706
10	Ay man miss yo cun ustedes todo.	I will miss you all.	I closed my umbrella.	564	654	False	0.00603199
11	Ay quedá tu famoso.	You will be famous.	I like candy.	676	351	False	0.0048573017
12	Ay quedá yo na casa.	I'll stay home.	I closed my umbrella.	124	654	False	0.005181551
13	Ay tené gayót yo mucho cuidáo.	I will be very careful.	I'm glad to be alive.	949	770	False	0.0077730417
14	Bien bueno manejá si Tom.	Tom is a pretty good driver.	I like candy.	27	351	False	0.0039904118
15	Bien claro el luna.	The moon's so bright.	I saw a dog.	14	9	False	0.005153656
16	Bien sensitivo yo na calor.	I am very sensitive to heat.	Trees are alive.	95	678	False	0.0049084425
17	Borles el mujer.	The woman is naked.	They have sugar.	714	327	False	0.0077517033
18	Busy yo este día.	I've been busy today.	I ate fish yesterday.	276	624	False	0.004658103
19	Caliente el cha.	The tea is hot.	Tom fed the pigs.	588	713	False	0.0072642565
20	Casáo kamé de Tom.	Tom and I are married.	Tom borrowed mine.	474	605	False	0.0055320263
21	"""Casáo ya yo"", ya contestá si Mary."	"""I'm already married,"" replied Mary."	I hear that you kissed my girlfriend.	57	967	False	0.0058584213
22	Cascá dos ságuing.	Peel two of the bananas.	I closed my umbrella.	482	654	False	0.0056741238
23	Colorao de suyo maga uñas.	Her nails are red.	I closed my umbrella.	193	654	False	0.0070689917
24	Color verde el falda.	The skirt is green.	Trees are alive.	736	678	False	0.0049892664
25	Cosa ay pasá cumigo?	What'll happen to me?	Tom threw me an apple.	946	848	False	0.0075501204
26	Cosa cuntigo ya hablá?	What were you told?	I closed my umbrella.	309	654	False	0.0052233934
27	¿Cósa de usted nombre?	What is your name?	Trees are alive.	246	678	False	0.0062690973
28	Cosa el color de tuyo pelo?	What color is your hair?	He who has bees also has honey.	470	861	False	0.007917643
29	¿Cósa el de tuyo etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	What is your ethnicity? Zamboangueño!	290	290	True	0.0052137375
30	Cosa el noticia?	What's the news?	How much?	164	301	False	0.006128192
31	Cosa el precio desté reloj?	What is the price of this watch?	Trees are alive.	690	678	False	0.007655263
32	¿Cósa hora vos usualmente ta salé na casa?	What time do you usually leave home?	I closed my umbrella.	300	654	False	0.005504012
33	Cosa tu hacé luego de noche?	What are you going to do tonight?	Do you know what Tom was wearing?	923	477	False	0.00585258
34	Cosa tu hacé si nuay yo?	What would you do without me?	I closed my umbrella.	114	654	False	0.00677979
35	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	Which do you like better, meat or fish?	425	425	True	0.0061228275
36	Cosa tu ta esperá?	What are you waiting for?	Grab a spoon.	41	632	False	0.013943791
37	Cosa ya man ya pasá cun tuyo perro?	What's become of your dog?	What is your ethnicity? Zamboangueño!	583	290	False	0.009238362
38	Cristiano si Barack Obama.	Barack Obama is a Christian.	She drank milk.	732	349	False	0.012338877
39	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	Kylie Padilla as Sang'gre Amihan, the keeper of the wind gem.	166	665	False	0.006496668
40	Cuando tu andá na Armenia?	When will you go to Armenia?	I bought an umbrella.	840	498	False	0.0073074102
41	¿Cuándo?	When?	What fruit is green?	854	882	False	0.009153247
42	Cuanto cebollón?	How many onions?	Trees are alive.	671	678	False	0.0065100193
43	Cuanto el un kilo de uvas?	How much is a kilo of grapes?	How much is a kilo of grapes?	545	545	True	0.005828023
44	¿Cuánto este sombrero?	How much is this hat?	What is your ethnicity? Zamboangueño!	765	290	False	0.0077952147
45	¿Cuánto?	How much?	Who's ill?	301	994	False	0.009077787
46	¿Cuántos años ya evos?	How old are you?	What is your ethnicity? Zamboangueño!	704	290	False	0.008830309
47	"""¿Cuántos años ya tú?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	"""How old are you?"" ""I'm already 17 years old."""	538	200	False	0.00584352
48	"""¿Cuántos años ya usted?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	"""How old are you?"" ""I'm already 17 years old."""	898	200	False	0.0051282644
