	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Tom ist gut darin, Ratschläge zu erteilen. 	Tom is good at giving advice. 	I think that Tom is here to spy on us. 	216	569	False	0.005160928
1	Tom war überrascht, dass Maria das unterlassen hatte. 	Tom was surprised that Mary hadn't done that. 	Tom was able to keep Mary from doing that. 	991	437	False	0.005005002
2	Die kann man nicht in einem Geschäft kaufen. 	You can't buy these in a store. 	You can't buy these in a store. 	487	487	True	0.0054757595
3	Die Sonde ist mit einem Mikrophon ausgestattet. 	The probe is equipped with a microphone. 	The probe is equipped with a microphone. 	856	856	True	0.0056917667
4	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Tom's constant politeness bugs me. 	511	441	False	0.004871607
5	Sie haben den Punkt am Ende des Satzes vergessen. 	You forgot the period at the end of the sentence. 	You forgot the period at the end of the sentence. 	261	261	True	0.007266164
6	Er plant, für zwei Wochen hierzubleiben. 	He is planning to stay here for two weeks. 	He is planning to stay here for two weeks. 	347	347	True	0.005716443
7	Wer hat ihr meine Adresse gegeben? 	Who gave her my address? 	Who gave her my address? 	597	597	True	0.003105402
8	Wir haben dort niemanden gesehen. 	We didn't see anybody there. 	No one remembered where Tom lived. 	614	10	False	0.003866434
9	Ich habe eine kalte Nase. 	My nose is cold. 	You're no saint, either. 	619	830	False	0.0050786734
10	Tom isst ständig. 	Tom is eating all the time. 	Tom is straight. 	405	57	False	0.0036581755
11	„Warum hast du so weit weg geparkt?“ – „Einen näheren Parkplatz gab es nicht.“ 	"""Why did you park so far away?"" ""There wasn't anywhere closer to park."" "	"""Why have you parked so far away?"" ""There wasn't anywhere closer to park."" "	950	455	False	0.0041918755
12	Tom und Maria scheinen sich guter Gesundheit zu erfreuen. 	Tom and Mary seem to be in good health. 	“In my view, young people who don’t care about climate change are not paying attention,” he wrote. 	746	52	False	0.007319331
13	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	Even though Tom was innocent, after hours of interrogation, he confessed. 	200	69	False	0.0053721666
14	Als Tom am Laden ankam, war schon geschlossen. 	By the time Tom got to the store, it was already closed. 	The last time I checked, Tom was asleep. 	286	581	False	0.006378293
15	Maria hat zwei schöne rote Wangen. 	Mary has two beautiful red cheeks. 	They have an orange cat. 	45	478	False	0.004319072
16	Es lösche bitte jemand diesen Satz. 	Someone please delete this sentence. 	Tom gave the beggar some food. 	97	796	False	0.004629135
17	Das bedeutet nicht, dass das je passieren wird. 	That doesn't mean it'll ever happen. 	Doing that won't be difficult for us. 	124	714	False	0.0061012506
18	Du hast den Motor absaufen lassen. 	You've flooded the engine. 	Does the bus stop in Stirling? 	73	766	False	0.0071008205
19	Tom hat es tatsächlich geschafft, über den Fluss zu schwimmen. 	Tom was actually able to swim across the river. 	Tom didn't get anything handed to him. He actually had to work for it. 	486	426	False	0.0058988333
20	Ist die Farbe weiß oder grau? 	Is the color white or grey? 	Is the color white or grey? 	907	907	True	0.00405252
21	Nur weil sich niemand beschwert, kann man noch lange nicht schlussfolgern, dass die Kunden zufrieden sind. 	Just because no one's complaining doesn't mean the customers are happy. 	“In my view, young people who don’t care about climate change are not paying attention,” he wrote. 	9	52	False	0.00612998
22	Tom hat es alleine gemacht. 	Tom did it alone. 	Tom is walking towards us. 	232	609	False	0.0032243729
23	Drück dich genauer aus! 	Be more specific. 	Is your lighter new? 	454	869	False	0.0071890354
24	Hast du in Erfahrung bringen können, warum Tom das machen musste? 	Did you find out why Tom had to do that? 	Some people say that COVID-19 was created in a lab. 	411	323	False	0.005453944
25	Eine einfache Fahrt nach Newcastle bitte. 	A single to Newcastle, please. 	Does the bus stop in Stirling? 	328	766	False	0.005499482
26	Tom reitet schon sein ganzes Leben lang. 	Tom has been riding horses all his life. 	Tom's constant politeness bugs me. 	845	441	False	0.0047671795
27	Der Tod ist das Ende des Lebens. 	Death is the end of life. 	Death is the end of life. 	262	262	True	0.0057575703
28	Ich wohne in der Nähe eines Golfplatzes. 	I live close to a golf course. 	At the dance, everyone complimented me on how I was dressed. 	632	564	False	0.0067629814
29	Das war die einzige Frage, die ich hatte. 	That was the only question I had. 	That's not the question that Tom asked me. 	666	687	False	0.006247878
30	Da erkannte ich, dass ich Hilfe brauchte. 	That's when I realized I needed help. 	Tom was the one who told me I should do that. 	295	303	False	0.0056049824
31	Er war ein ganz Harter. 	He was a tough guy. 	Tom was probably just tired. 	889	883	False	0.00567317
