	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	J'allume la bougie.	49	541	False	0.004306078
1	Ba'y on palkondywit.	Accompagne-le.	J'allume la bougie.	954	541	False	0.004306078
2	Ba yo on palkondywit.	Accompagne-les.	J'aime nager.	874	976	False	0.0036571026
3	A dèmen !	À demain !	Viens !	417	452	False	0.003463149
4	Rédé mwen.	Aide-moi.	J'aime nager.	162	976	False	0.0056037903
5	Rédé mwen !	Aidez-moi !	Tu es trop bête !	48	654	False	0.005352974
6	Rédé mwen.	Aidez-moi.	J'aime nager.	100	976	False	0.0056037903
7	An nou akaz a'y !	Allons chez elle !	J'allume la bougie.	39	541	False	0.0052946806
8	An nou akaz a'y !	Allons chez lui !	J'allume la bougie.	710	541	False	0.0052946806
9	An nou akaz a'w !	Allons chez toi !	J'allume la bougie.	743	541	False	0.0046573877
10	Limé bouji-la.	Allume la bougie.	J'ai mangé.	318	856	False	0.0047973394
11	Limé limyè-la.	Allume la lumière.	Donne-moi la salade.	136	675	False	0.0050508976
12	Limé bouji-la.	Allumez la bougie.	J'ai mangé.	66	856	False	0.0047973394
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Sont-ils d'ici ?	431	957	False	0.006183028
14	Aoyi ka dansé.	Aoi danse.	Aoi danse.	918	918	True	0.0043854713
15	Bay waka !	Applaudissez !	Viens !	822	452	False	0.0041629076
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Ne pointe pas ton doigt vers moi !	561	872	False	0.00894928
17	Ou ni dé liv ?	As-tu deux livres ?	Tu es trop bête !	102	654	False	0.0059816837
18	Ou ni bon vlen ?	As-tu du bon venin ?	Tu es aveugle ?	85	166	False	0.0055736303
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	J'allume la bougie.	261	541	False	0.0047801733
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Sont-ils d'ici ?	187	957	False	0.0071793795
21	A talè !	À tout à l'heure !	Vole !	589	418	False	0.004989028
