	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Mannen snakket med lav stemme.	The man spoke in a low voice.	He took me for granted.	891	354	False	0.004042864
1	Han er uten tvil mye flinkere enn deg.	He is, without doubt, much better than you.	Tom's opinions don't carry much weight around here.	182	690	False	0.0051710606
2	Han småsov hele tiden.	He dozed all the while.	She loves Tom, not me.	853	164	False	0.0039186478
3	Noen spiller piano.	Somebody is playing the piano.	I play tennis.	312	685	False	0.0052831173
4	De krysset atlanterhavet.	They crossed the Atlantic Ocean.	Tom coughed up some blood.	804	179	False	0.005886793
5	Faen! Jeg har punktert!	Shit! I've got a flat.	He's got a joker.	650	259	False	0.00720644
6	Det er dyrt å bo i Japan.	It is expensive to live in Japan.	I've been here for three months.	546	493	False	0.0047825575
7	Jeg respekterer uselviskheten hans.	I respect his selflessness.	I respect his selflessness.	578	578	True	0.005843997
8	Duer og høner er fugler.	Pigeons and hens are birds.	Pigeons and hens are birds.	119	119	True	0.004749894
9	Ikke gå dit alene.	Don't go there alone.	Go on foot.	609	756	False	0.003525734
10	Han er min bror.	He's my brother.	Thanks for reminding me.	115	215	False	0.0038152933
11	Tom trodde han hadde en sjangse til å overleve.	Tom thought he had a chance to survive.	Tom writes everything down so he won't forget it.	939	300	False	0.0058197975
12	Alle fortjener en ny sjanse.	Everyone deserves a second chance.	Everyone deserves a second chance.	976	976	True	0.0030822754
13	Vi må gjøre dette ferdig før vi kan gå hjem.	We've got to finish this before we can go home.	We've got to finish this before we can go home.	725	725	True	0.0047694445
14	Hastverk er lastverk.	More haste, less speed.	The brown hat is old.	6	661	False	0.008453369
15	Har noen her noensinne sett nattehimmelen en mørk natt borte fra lysforurensning?	Has anyone here ever seen the night sky on a dark night, away from light pollution?	Has anyone here ever seen the night sky on a dark night, away from light pollution?	403	403	True	0.0046167374
16	La barna gå av bussen først!	Let the kids off the bus first!	My mother never liked me.	57	48	False	0.004078865
17	Hun fikk ikke betalt for det.	She didn't get paid for it.	She didn't get paid for it.	549	549	True	0.006213665
18	Har du vært i Kyushu?	Have you ever been to Kyushu?	Have you ever been to Kyushu?	898	898	True	0.0039442778
19	Du har en sønn, ikke sant?	You have a son, don't you?	You love your wife, right?	1	620	False	0.0040198565
20	Hender dette nokon gong med deg?	Does that ever happen to you?	Do you know who invented gunpowder?	357	749	False	0.006951928
21	Jeg må gå snart.	I've got to leave soon.	I went to Norway.	349	910	False	0.005040288
22	Hvor mye måtte du betale for å få bilen din reparert?	How much did you have to pay to get your truck fixed?	How much did you have to pay to get your truck fixed?	285	285	True	0.005966544
23	Jeg vil heller ikke være her.	I don't want to be here either.	I've been here for three months.	341	493	False	0.0046924353
24	Eg er klar om ti minuttar.	I'll be ready in ten minutes.	Tom coughed up some blood.	567	179	False	0.0062309504
25	Gå vekk!	Go away!	Go on foot.	722	756	False	0.0058449507
26	Spis middagen din nå.	Now eat your supper.	Now eat your supper.	55	55	True	0.0042072535
27	Lille Trille satt på hylle; Lille Trille ramlet ned. Ingen mann i dette land Lille Trille bøte kan.	Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.	Christopher Columbus once walked into a McDonald's and ordered a Happy Meal. It did not make him happy, but he liked the toy.	492	375	False	0.0063712597
28	Jeg vil ikke se det igjen.	I don't want to see that again.	I've been here for three months.	278	493	False	0.0053653717
29	John skyndte seg ut.	John left home in a hurry.	He took me for granted.	996	354	False	0.004788637
30	Hva skal du gjøre i sommerferien?	What're you going to do during your summer vacation?	I've been here for three months.	227	493	False	0.006339669
31	Broren min bruker denne sykkelen.	My brother uses this bike.	My brother uses this bike.	532	532	True	0.0039516687
32	Jeg går.	I'll go.	They walked around.	353	261	False	0.0066211224
33	Jeg har ikke særlig høye tanker om ham som musiker.	I don't think much of him as a musician.	Tom's opinions don't carry much weight around here.	704	690	False	0.0053966045
34	Jeg har vært under en del press den siste tiden.	I have been under a lot of pressure lately.	I have been under a lot of pressure lately.	481	481	True	0.0049961805
35	På atomnivå ser vi kvantemekaniske effekter som ikke kan forklares med klassisk mekanikk.	At the atomic scale we observe quantum mechanical effects that can not be explained by classical mechanics.	At the atomic scale we observe quantum mechanical effects that can not be explained by classical mechanics.	465	465	True	0.0035493374
36	Du er så hvit som et laken.	You are as white as a sheet.	He's stronger than you.	894	296	False	0.0048217773
37	Det er ikke noe svar på spørsmålet ditt.	Your question has no answer.	I've been here for three months.	484	493	False	0.0070039034
38	Tom sa at han håpet Mary ville komme til festen hans.	Tom said he hoped that Mary would come to his party.	Tom said he hoped that Mary would come to his party.	564	564	True	0.003732562
39	Jeg snakker ikke japansk.	I don't speak Japanese.	I do not drink coffee.	409	331	False	0.0045440197
40	Det er ingenting som iskrem om sommeren.	There is nothing like ice cream in the summer.	My father likes his coffee strong.	646	287	False	0.004173875
41	Jeg vil elske deg for alltid!	I wanna love you forever!	She takes everything for granted.	659	857	False	0.0045211315
42	Dette blir som å spørre en forelder om hvilket barn de liker best.	This question is like asking a parent which child they love more.	Is it really wise for marketing folks to satisfy people's desire for instant gratification?	519	566	False	0.005147338
43	Han Tom er sjuk.	Tom's sick.	He is an idiot.	270	607	False	0.003549099
44	Ikke skyt!	Don't shoot.	Go on foot.	588	756	False	0.0048252344
45	Jeg hater vinter.	I hate winter.	Thanks for reminding me.	238	215	False	0.004066348
46	Huset brant ned før brannbilen kom.	The house burned to the ground before the fire truck arrived.	He barely escaped being hit and killed by a car.	841	221	False	0.005072236
47	Faren fortalte oss en veldig interessant historie.	Father told us a very interesting story.	Father told us a very interesting story.	981	981	True	0.00339818
48	Jeg ser du er klar.	I see you are ready.	She takes everything for granted.	689	857	False	0.004929781
49	Det tror jeg ikke.	I don't believe it.	Thanks for reminding me.	801	215	False	0.004478216
50	Ho har ein katt. Katten er kvit.	She has a cat. The cat is white.	He's got a joker.	479	259	False	0.0042134523
51	Jeg var redd jeg skulle komme for sent.	I was afraid I might be late in coming.	He took me for granted.	922	354	False	0.004548788
52	Tom er ikke vant til å kjøre på venstre siden av veien.	Tom isn't used to driving on the left side of the road.	Tom isn't used to driving on the left side of the road.	642	642	True	0.004747629
53	Det er viktig å prøve å komme overens med folk fra andre land.	It is important to try to get along with people from foreign countries.	It is important to try to get along with people from foreign countries.	11	11	True	0.0058561563
54	Du burde ringe politiet.	You should call the police.	You should call the police.	719	719	True	0.0048140287
