	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ta un konsuelo pa mira kon asina hopi tempu di antemano Yehova tabata sa ku su pueblo lo a bai den eksilio spiritual i despues ser restorá.	It is comforting to see that so far in advance, Jehovah knew that his people would go into a spiritual exile and then be restored.	▪ ‘Vicious Balkan gangs put Mafia in the shade.	519	114	False	0.005767107
1	Siendo cu Dios a manda nan stima nan próhimo i no mata otro hende, nan a nenga di drenta servicio militar . . .	Since God commanded them to love their neighbor and not to kill others, they refused military service . . .	▪ ‘Vicious Balkan gangs put Mafia in the shade.	492	114	False	0.006749153
2	Pero ni Andres ni Kornelio no a pone preshon riba nan famianan ni a usa astusia pa pone nan bira siguidó di Kristu.	But Andrew and Cornelius did not put their relatives under pressure or slyly try to maneuver them into becoming Christ’s followers.	1:62​—Did Zechariah become mute and deaf?	637	740	False	0.009187698
3	Lo bo sinti bo felis ku bo a probechá di bo oportunidat pa duna testimonio.”—1 Pedro 3:15.	You will be glad that you made good use of your opportunity to give a witness.”​—1 Peter 3:15.	1:62​—Did Zechariah become mute and deaf?	7	740	False	0.0073747635
4	13, 14. (a) Dikon algun sirbidó di Dios ta bira desanimá? (b) Ken ta esun ku ke pa nos fe frakasá, i dikon?	13, 14. (a) What causes some of God’s people to become discouraged? (b) Who wants to see our faith collapse, and why?	The “near-deafening sounds at close quarters make the shows of ‘heavy metal’ groups . . . pale by comparison.”	771	162	False	0.008077145
5	I nos ta balorá e privilegio ku nos tin di por traha ku Yehova den e último dianan akí.	How we cherish our privilege of working with our God in these last days!	▪ ‘Vicious Balkan gangs put Mafia in the shade.	43	114	False	0.007037878
6	23:25; Deu. 7:15) El a asta kura algun di nan.	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	356	356	True	0.0060738325
7	• Blènder​—90 desibèl	• Food blender​—90 decibels	• Food blender​—90 decibels	912	912	True	0.0065095425
8	Finalmente dia 7 di mart 1941, mi a djòin un grupo grandi ku a ser transferí pa e kampo di konsentrashon Niederhagen.	Finally, on March 7, 1941, I joined a large convoy that was transferred to the Niederhagen concentration camp.	I was sent back to solitary confinement.	939	663	False	0.0054838657
9	Aparentemente e “Pueblonan di Laman” tabata nabegantenan for di isla- i paisnan na kosta di Mediteráneo.	The “Sea Peoples” are generally identified as seafarers from Mediterranean islands and coastlands.	▪ ‘Vicious Balkan gangs put Mafia in the shade.	947	114	False	0.005508542
10	Algu masha ligá ku sano huisio ta modestia.	Modesty goes hand in hand with common sense.	▪ ‘Vicious Balkan gangs put Mafia in the shade.	246	114	False	0.0054769516
11	Pakiko Hesus tabata dilanti Ponsio Pilato, i kiko Hesus a bisa?	Why was Jesus before Pontius Pilate, and what did Jesus say?	1:62​—Did Zechariah become mute and deaf?	552	740	False	0.0071218014
