	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bâ ambeni ti akpengba-ndia ti Bible so adë bê ti azo so a sala sioni na ala:	Bible principles that have comforted victims of mistreatment include the following:	God’s holy spirit equipped Bezalel and Oholiab to excel	807	76	False	0.008333802
1	A yeke polele so na ngoi ti lo mingi ti azo ayeke na siriri ti bibe pepe.	Evidently, in his day most people did not enjoy inner peace.	1:2-9​—Did Hosea really take a wife of fornication?	776	613	False	0.007932305
2	Bible afa kozo awe so sarango sioni ayeke hon ndo ni “na alango ti nda ni” so.	The Bible foretold that wicked conduct would prevail in “the last days.”	God’s holy spirit equipped Bezalel and Oholiab to excel	849	76	False	0.010359168
3	Mbi na mba ti mbi (na mbage ti koli), so e yeke sara kua ti pionnier spécial na Mistelbach, na Autriche	With my partner (right), serving as special pioneers in Mistelbach, Austria	God’s holy spirit equipped Bezalel and Oholiab to excel	117	76	False	0.0074681044
4	Casque so turugu ti Rome ayü ayeke ti bata li ti lo, go ti lo nga na face ti lo.	The helmet worn by the Roman infantry was designed to ward off blows directed at the head, neck, and face.	God’s holy spirit equipped Bezalel and Oholiab to excel	34	76	False	0.0091769695
5	“Ala girisa pëpe tënë ti yambango agene nzoni”	“Do Not Forget Kindness to Strangers”	1:2-9​—Did Hosea really take a wife of fornication?	166	613	False	0.008082032
6	26 Apuse ti mbarata nga na mbeni couronne ayeke bata mo	26 Chariots and a Crown Safeguard You	1:2-9​—Did Hosea really take a wife of fornication?	535	613	False	0.009523034
7	(Hab. 3:18).	(Hab. 3:18) In what ways will Jehovah prove to be “a real dwelling” during that tumultuous time?	(Read Matthew 16:24.)	151	960	False	0.0047727823
8	Wala Jésus ayeke lani pendere mingi wala lo yeke pendere mingi ape, Bible asara tënë mingi dä ape.	The Scriptures say very little about Jesus’ physical appearance.	God’s holy spirit equipped Bezalel and Oholiab to excel	765	76	False	0.01004076
9	Peut-être e bâ même so mbeni ye nde ti sarango ni ayeke dä ape na atâa a yeke zo wa la aye ti mû maboko na e, e yeke yeda na ni.	We may even become so desperate for emotional support that we will accept attention from just about anyone.	God’s holy spirit equipped Bezalel and Oholiab to excel	766	76	False	0.010777235
