source_sent	target_sent	target_id	gold_sent	gold_id
Abri este puerta.	You didn't understand me. I meant something else.	655	Open this door.	932
Agregá dos dientes de ajo.	Tom drinks wine.	820	Add two cloves of garlic.	868
Alegre yo si junto yo cuntigo.	Many cities were destroyed by bombs.	119	When I'm with you, I'm happy.	376
Allergic yo na maíz.	How did you get up there?	682	I'm allergic to corn.	747
Amó se cosa ya pasá?	How?	212	Is that what happened?	287
Aquí yo ya dejá de mío bag.	We must follow Tom.	481	I left my bag here.	66
Ay man miss yo cun ustedes todo.	Do you have any pencils?	300	I will miss you all.	256
Ay tené gayót yo mucho cuidáo.	Why do you like it?	202	I will be very careful.	515
Ayudá cumigo mové cuneste piedra.	She is never online, even during her vacation.	550	Help me move this stone.	530
Basta, salé aquí.	He has a long neck.	837	Just get out of here.	534
Besá cun Tom.	Do you know where Tom is?	236	Kiss Tom.	299
Bien manada yo mordedura de lamuk.	Tom understands what you don't.	263	I got a lot of mosquito bites.	834
Bien rico gayot yo.	Where's the president?	64	I am very rich.	647
Bien sensitivo yo na calor.	Tom isn't inside.	645	I am very sensitive to heat.	476
Borles el mujer.	Linda loves chocolate.	728	The woman is naked.	77
¡Buenas tardes!	Tell her to come at noon.	544	Good afternoon.	184
Busy yo este día.	I need to pee.	136	I've been busy today.	162
Cerrá el libro.	I am studying.	799	Close the book.	63
Cerrao el ventana.	I left my watch at home.	920	The window is closed.	466
Colorao de suyo maga uñas.	Did you sew this by hand?	48	Her nails are red.	357
Colorao de tuyo sangre.	Do you know what to bring?	752	Your blood is red.	935
Color verde el falda.	I did not know this.	649	The skirt is green.	65
Con cuidao! Bien caliente el caldo.	The ceiling is very low in this room.	425	Be careful! The soup is very hot.	918
Conoce yo cunel dueño.	Tom picked a needle up off the floor.	966	I know the owner.	333
Contento le cosa le ahora.	I left my gloves in the library.	918	He is content with his present state.	302
Cosa ay pasá cumigo?	Shut up and listen.	443	What'll happen to me?	240
Cosa clase de vino tu tiene?	I tried to help Tom.	968	What kind of wine do you have?	737
Cosa cuntigo ya hablá?	Let's meet on Sunday.	121	What were you told?	411
Cosa el color de tuyo pelo?	I have to wear boots.	622	What color is your hair?	958
¿Cósa es su etnia? ¡Zamboangueño!	"How old are you?" "I'm already 17 years old."	466	What is your ethnicity? Zamboangueño!	576
Cosa ta pasa alli arriba?	Tom gave Mary a necklace.	909	What is going on up there?	124
Cosa tu hacé luego de noche?	Why don't you take a seat here?	692	What are you going to do tonight?	779
Cosa tu hacé si nuay yo?	We began our work at noon.	971	What would you do without me?	509
Cosa tu mas quiere, carne o pescáo?	You licked the spoon.	936	Which do you like better, meat or fish?	862
Cosa tu ta esperá?	Do you hear the birds singing?	812	What are you waiting for?	799
Cosa tu ya hacé cunel cámera?	This is my cow.	530	What did you do with the camera?	681
Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	She was breathing hard.	509	I wanted to be a bus driver when I was five.	406
Cuando tu andá na Armenia?	The bird flies.	790	When will you go to Armenia?	71
¿Cuándo?	Your necklace is beautiful.	440	When?	941
Cuanto gusano tu ya encontrá?	Only I can do it. I did it alone.	389	How many worms did you find?	615
¿Cuánto?	Why didn't somebody help Tom?	693	How much?	183
¿Cuántos años ya evos?	She has attractive eyes.	435	How old are you?	384
"¿Cuántos años ya evos?" "Yo diecisiete años ya."	You are children.	594	"How old are you?" "I'm already 17 years old."	188
"¿Cuántos años ya tú?" "Yo diecisiete años ya."	You don't have to study.	313	"How old are you?" "I'm already 17 years old."	667
Cuanto tenedor pa kitá necesita?	How does this soup taste?	454	How many more forks do we need?	228
Cuidáo! Tiene vaca na camino!	Tom's house was completely destroyed.	513	Be careful! There's a cow in the road!	713
Dale cumigo el cuchara.	We'll discuss that later.	415	Give me the spoon.	199
Dale cumigo el vino.	She kissed him.	332	Give me the wine.	68
De mano lang tu cuneste ya cusí?	We live close to the school.	279	Did you sew this by hand?	19
De oro el corona del reina.	"How old are you?" "I'm already 17 years old."	468	The Queen's crown was made of gold.	822
De piedra esté edificio.	He bought a dress for her.	898	This building is made of stone.	755
De quien esté lápiz?	Are you fat?	540	Whose pencil is this?	568
Desayuná.	We thought he was an American.	687	Have breakfast.	340
Despierto pa tu?	The mountain is covered with snow.	274	Are you still up?	279
Después comé mediodia ya virá yo na oficina.	This cheese is made from goat's milk.	531	After lunch, I returned to the office.	772
De tuyo esté coche?	I have to clean my room.	615	Is this your car?	749
De tuyo esté lápiz?	Many trees fell down.	583	Is this pencil yours?	121
De tuyo estos las cosas?	Why do people dye their hair?	200	Are these your things?	981
¿De usted nombre, cósa?	Tom was furious.	431	What is your name?	275
Diútay el tenedor.	I don't want to lie down.	158	The fork is small.	572
Dol ta nerviá si Tom.	Do you know who he was?	764	Tom seems nervous.	919
Donde el baño?	This apple is sweet.	72	Where is the bathroom?	402
Donde el pinakacerca iglesia?	Do you know who invented the Ferris wheel?	769	Where's the nearest church?	693
Donde el ponô?	Close the book.	17	Where is the tree?	705
Donde el presidente?	He moves quickly.	111	Where's the president?	12
¿Dónde na Austria que usted ya engrandá?	The skirt is green.	21	Where in Austria did you grow up?	438
Donde puede llamá na teléfono?	I left my bag here.	5	Where can one make a phone call?	367
Donde tu quiere andá?	I won't be there.	418	Where do you want to go?	582
Donde ya de mío antipara?	Give me the wine.	47	Where are my glasses?	657
Donde y cuando tu ya recibi cunel regalo?	Can you see the nest in the tree?	814	When and where did you receive the gift?	829
Dos barco de pasajero ya sumí.	He bought some rice.	897	Two passenger ships were sunk.	394
Dulce el azúcar.	When will you go to Armenia?	37	Sugar is sweet.	478
Dulce este manzanas.	Her hair is long.	571	This apple is sweet.	61
Ele na hospital.	You have no obligation to help us.	656	He's in the hospital.	388
¡Ele ya vené!	The clouds hid the sun.	987	She came!	907
Enbuenamente ba tu ya durmí anoche, Steve?	You may take either the big box or the small one.	706	Did you sleep well last night, Steve?	800
Espera tu hasta llega de tuyu tata.	I met with him again.	955	Wait until your father gets home.	787
Este de tuyo vino?	The woman is naked.	14	Is this your wine?	395
Este maga tiempo poco estudiante ya lang ta usá lápiz.	Tom likes to eat fast.	729	Few students use pencils these days.	289
¿Evos, cuántos años ya?	I might be wrong.	422	How old are you?	848
¿Evos hay andá de pie o de bús?	I intend to stay there for a week.	277	Will you go on foot or by bus?	683
Evos hay estudía.	This tree looks dead.	493	You will study.	370
Evos tiene un agudo sentido de dirección.	The towel is dry.	251	You have a sharp sense of direction.	264
Evos un haragán.	You're not like me.	94	You're a slob.	732
Falta un tenedor.	He's in the hospital.	599	One fork is missing.	319
Frío el viento éste día.	He asked me whether I like math.	380	The wind is cold today.	335
Grande grande de suyo maga dedo.	Do you want wine?	225	He has enormous fingers.	372
Habla tu el verdad.	Tom went pale.	980	Tell the truth.	701
Hay estudía usted.	Tom was prepared.	697	You will study.	147
Hechura'y pato man ese.	Plants breathe, too.	283	It looks like a duck.	745
Hindé lang si Tom el necesita estudiá. Yo también necesita estudiá.	Tom says he needs a hat.	354	Tom isn't the only one who has to study. I have to study as well.	842
Hindé necesita andá na tienda si Tom.	Cuff him.	690	Tom doesn't need to go to the store.	593
Hindê se fácil.	She became a postman.	979	That's not easy.	940
Hindé todo gente puede quedá alegre.	I will never forget you.	182	Not every man can be happy.	723
Hindé tu igual cumigo.	Where am I?	505	You're not like me.	83
Hindé tu necesita trabajá gayót.	Tom freed the bird.	938	You don't have to work so hard.	785
Hindé tu pirmi puede asé cosa tu quiere.	I wanted Tom to know what happened to us.	741	You can't always do what you want.	494
Hindé ya yo de tuyo maestro.	He knocked his knee against the chair.	370	I am no longer your teacher. (male)	461
Hindé yo rico, hindé también yo quiere quedá.	There's a pig in the sty.	848	I am not rich, nor do I wish to be.	756
Hindé yo ta ablá que andá tu solo solo.	Dry your face with a towel.	545	I'm not telling you to go alone.	738
Hindé yo ta entendé cosa le quiere.	It's not good to count all the things that you have already given.	117	I can't make out what he wants.	601
Hinde yo ta entendé cosa tu quiere hablá.	Tom scrubbed the sink.	932	I don't understand what you're trying to say.	272
Hindê yo ta poné azúcar na de mío café.	Let's wait here till he comes back.	526	I don't add sugar to my coffee.	991
Interesáo pa ba ele?	The printer needs paper.	131	Is she still interested?	901
Intumido de mío maga dedo.	Why are you sleeping in a place like this?	696	My fingers are numb.	516
Jendêh bueno sunsacá el maga cosas que vos ya dalé ya.	I was caught with my pants down.	340	It's not good to count all the things that you have already given.	288
Jendêh bueno sunsacá el mana cosas que tú ya dalé ya.	I need scissors.	619	It is bad to count all the things that you gave.	853
Jendêh bueno sunsacá el mana cosas que tú ya dalé ya.	Don't smoke. Smoking can shorten your penis.	143	It's not good to count all the things that you have already given.	794
Jendêh bueno sunsacá el mana cosas que vos ya dalé ya.	Come here and help me.	322	It's not good to count all the things that you have already given.	634
Juan, comé ya de tuyo sopas!	Do you like fruit salad?	732	Eat your soup, John!	219
Libro esté de Tony.	Why aren't you working?	201	This is Tony's book.	825
Ligiero ele mové.	He bought a newspaper.	900	He moves quickly.	64
Llamá cumigo si acabao ya.	You don't know that.	184	Call me when it's done.	206
Loco loco ba tu?	You can add sentences that you do not know how to translate.	874	Are you crazy?	912
Loco sila contigo.	Tom and Mary are early.	827	They're mad at you.	424
Loco sila con usted.	You can't eat soup with a fork.	149	They're mad at you.	642
Mabuling el cuchillo.	She came!	361	The knife is dirty.	316
Malo sunsacá el maga cosas que tú ya dalé ya.	Always be grateful to your mother and father.	480	It's not good to count all the things that you have already given.	100
Malo sunsacá el mana cosas que tú ya dalé ya.	Look at the house with the red roof.	128	It's not good to count all the things that you have already given.	730
Manada ciudad ya quedá destrosáo por causa del magá bomba.	She turned and began to cry.	388	Many cities were destroyed by bombs.	2
Man lumús era yo si nuáy tu ayudá.	I should wait until Tom gets here.	613	Without your help, I would have drowned.	258
Man mirahan kitá na Domingo.	Is this pencil yours?	56	Let's meet on Sunday.	27
Mas grande de mío cuchara!	I gave the book to my friend.	910	My spoon is bigger!	191
Masquén no hay dinero, masquén no hay maquinaria política y masquén hay perdé, hay competí kita siempre na torneo de ajedrez este venida 29 de Abril 3030.	Thanks, that's all.	541	Eventhough there's no money, eventhough there's no political machine and eventhough we'll lose, we will still compete in the chess tournament this coming April 29 3030.	674
Masquén no hay dinero, masquén no hay maquinaria política y masquén hay perdé, hay competí kita siempre na torneo de ajedrez este venida 29 de Abril 3030.	What is going on up there?	30	Eventhough there's no money, no political machine and even we will lose, we'll still compete in the chess tournament this coming April 29 3030.	167
Masquín cosa pa ele hablá, numa confiá cunele.	God created you.	516	Don't trust him, whatever he says.	135
Ma-sucio el maga toalla.	Do you drink coffee?	284	The towels are dirty.	560
Mediodía le ta despertá.	That is wet.	597	He wakes up at noon.	345
