source_sent	target_sent	target_id	gold_sent	gold_id
Bai na SIÑANSA DI BEIBEL > HÓBENNAN.	Promising “strict confidentiality” and the ability to render service anywhere in Japan, a Tokyo company advertises: “We will settle a score on your behalf.”	262	The spiritual paradise that we enjoy today is filled with “a flock of holy persons.”	659
Di berdad, siglo 20 tabata único.	They may say that it is because their feelings were hurt, they think a wrong is not being corrected, or they cannot accept some teaching.	129	But why did she make such a decision?	799
(Echonan 1:8) Israel tabatin ku tende dje bon nobo meskos ku tur otro nashon.	It was 1950, and I was just 24 years old.	214	Several Spanish and Catalonian translations are notable exceptions in their rendering of the Hebrew Tetragrammaton, using “Yavé,” “Yahveh,” “Jahvè,” and “Jehová.” Published by Jehovah’s Witnesses.	241
Rònt mundu hende ta kometiendo krímen violento.	(See opening image.) (b) Why are the horses of different colors?	751	“The ladies seeing at the windows”​—the eyes coupled with the mental faculties by which we see—​become dim, if not completely dark.	289
Den e teksto di e manuskritonan hebreo tabatin e palabra ku normalmente ta introdusí un ekspreshon, pero ningun palabra no a sigui su tras.	(Genesis 23:1-20) Still, he had faith in Jehovah’s word.	448	On average, a single episode of HAI can cost $2,200 per patient and require an extra 11 days in the hospital if it is a bloodstream infection.	632
(Isaías 60:15, 16) Sí, Jehova ta e Salbador di su pueblo.	How are we doing in this regard?	274	But the apostle Paul soon had to write to them, asking: “Who hindered you from keeping on obeying the truth?”	765
(1 Kor. 5:6, 7, 11) Komo Dios su disiplina semper ta hustu, e por yuda un hende ekspulsá komprondé kon serio su piká ta i motiv’é pa arepentí.—Echo. 3:19.	But only when I felt the cold reality of death did my heart fairly leap with joy over what will be accomplished for us by means of that precious ransom.”	721	Clinging to Jehovah as the most important Person in his life, Abraham found the courage to obey God’s commands.	923
Ora e mucha hòmbernan a bira mas grandi, nan a kuminsá interesá den mucha muhé.	Why should we consider the experiences of “those who have endured”?	508	Spend Time With Them	762
Pasobra nos ta “desendensia di Dios.”	My wife and I have been very grateful for the privilege of serving Jehovah in the public ministry.	477	Reasonable parents will apply correction according to the individual child’s needs.	532
Mi a lanta como un católico romano deboto, cu e deseo di sirbi mi Dios i mi pais.	5 Small Arms, Big Problems	54	Yet not one of them will fall to the ground without your Father’s knowledge.	593
Hopi hende ta di opinion ku pa kere den un Kreador, bo mester nenga evidensia di siensia moderno.	A few weeks later, I began attending Christian meetings at Brother Hardaker’s medical clinic.	306	John E. Barr, a longtime member of the Governing Body, gave the principal talk of the program.	675
Por ehèmpel, podisé bo ta haña sa kon konfiabel nan ta dor di opservá si nan ta purba fielmente di kumpli ku tur nan promesanan.	On what does much of our effectiveness in the ministry depend?	916	5. (a) What sort of freedom does Jehovah’s spirit bring? (b) How do we know that physical bondage need not diminish the freedom Jehovah provides? (c) What questions do we need to answer?	377
E aliansa unilateral ei no a duna e persona un relashon dediká ku Yehova.	TUVALU, a beautiful country made up of nine islands in the South Pacific, has a population of some 10,500.	104	A NEW PEOPLE CALLED BY GOD’S NAME	531
E versíkulo ei ta bisa: “Siña [prinsipionan bíbliko] ku tur diligensia na bo yunan, i papia di nan ora bo ta sinta den bo kas, ora bo ta kana riba kaminda, ora bo ta bai drumi i ora bo ta lanta.”	Typically, a person takes some pills twice a day and others three times a day.	156	“I know that it will never work now.	360
Probechá di Dje Pasobra No Por Ward’é (tempu), 1/8	Then, in an attempt to cover up their wrongdoing, they deceived their father into thinking that Joseph had been killed by a wild animal.	937	I don’t feel good about leaving [him], but now I’ve lost him.	339
Durante Guera Mundial II tabatin un aumento den e demanda pa sanger	Will they divide it up among tradesmen?	797	The apostle John wrote: “If anyone makes the statement: ‘I love God,’ and yet is hating his brother, he is a liar. For he who does not love his brother, whom he has seen, cannot be loving God, whom he has not seen.” (1 John 4:20, 21) Therefore, when you train your children to love their Christian brothers and sisters, you are teaching them to love God.	648
Bo por imitá Sara su lealtat den bo trato ku bo famia i amigunan?	Nation will not lift up sword against nation, neither will they learn war anymore.”—Isaiah 2:4.	918	Even as Jehovah freely forgave you, so do you also.	824
