source_sent	target_sent	target_id	gold_sent	gold_id
2 Yumi ol Kristen i wetim bikpela samting moa long kamap.	Mom and Dad were comforted to learn that the Bible says that the dead are asleep and that there will be a future resurrection.​—Eccl. 9:5, 10; Acts 24:15.	351	“Serpents, offspring of vipers,” he says, “how are you to flee from the judgment of Gehenna?”	136
Na tu, mi pilim olsem sapos mi amamas long stap wantaim ol, dispela bai soim olsem laip bilong mi i orait liklik, tasol laip bilong mi i no orait.	The book answered just about every question that I had about being a youth.”	392	I feel like a different person after such exercise.	66
Taim yumi kisim save long ol gutpela samting i kamap long wok bilong autim tok bilong Kingdom na kamapim ol disaipel, dispela i strongim yumi long mekim bikpela wok moa long autim tok.	Instead, he paces the floor, weeps, and cries out: “My son Absalom, my son, my son Absalom!	697	“At the start of that week,” recalls Roald, “I felt quite satisfied that I had managed to arrange my affairs in such a way that I could share in this special activity for a whole week.”	315
Ol ofisa i wok aninit long planti bikman​—⁠king wantaim meri bilong em i gat planti helpim bilong ol, em “ol bikman” na “ol gavena.”	Setting spiritual goals for himself had a stabilizing effect on Geoffrey, a longtime special pioneer in an isolated territory in an Asian country.	984	At last, the sun came out!	990
[Piksa long pes 23]	On the return trip, I prayed all the way, for it was now dark.	370	Protestants encouraged the Waldenses to sponsor the first translation of the Bible from the original languages into French.	261
11 Long taim em i gat bel, Mary i wok yet long stadi long Baibel na lukautim famili bilong em.	“The things you heard from me . . . , entrust to faithful men.”​—2 TIM.	672	In the 1930’s, it became evident that the “other sheep” were being gathered in.	564
Olsem tasol, yumi tu i mas lukautim tingting i stap long bel.	Humility is required of all true worshippers and brings great rewards.	981	I was impressed by their way of life.	703
Go stap long rum inap long yu pinis krai.’”	This compassionate God promises: “I reside . . . with the one crushed and lowly in spirit, to revive the spirit of the lowly ones and to revive the heart of the ones being crushed.”​—Isaiah 57:15.	871	Is gum disease treatable?	244
Ol i tok bilas na lap long ol king na long ol ofisa bilong ol kantri. Ol i lukim taun i gat strongpela banis, na ol i save lap tasol long en.	What firm stand did the Bible Students take with regard to the sacredness of life?	938	Regarding ‘the spirit we show,’ what are you personally determined to do?	239
Sapos yumi painimaut olsem ol jin i gat asua long ol samting yumi mekim​—⁠na yumi yet i no gat asua​—⁠dispela bai i gutpela tru, a?	5 Let us now examine features of the 72nd Psalm with a view to learning about blessings under the rule of Jesus Christ, the Greater Solomon.	848	“No history can give us an idea so exact of the vicissitudes of a people, of their social organization and their beliefs and feelings, as an analysis of their language.”—MARTÍN ALONSO.	696
Olsem wanem yumi ken helpim olgeta kain man?	Respect is in the eye of the beholder.	603	The list set out the characteristics of each lighthouse, including its unique signal.	213
Taim mi go bek long haus, mama i tokim mi olsem Kate Parsons, wanpela meri i stap long ples bilong mipela, em i wok long tilim wankain buk samting bilong Baibel.	Chopsticks and Chinese food go well together because the food is usually cut into bite-size pieces.	587	He is the ruling King of God’s Kingdom, which very soon will eliminate all rulerships opposed to God’s will, and he will solve all problems of mankind.	343
Ol Man i No Kamapim Stret Tingting God i Gat Long Ol Meri	How does Jehovah show loving concern for the way his sheep are treated?	797	(Psalm 40:11) Counted among the faithful men and women to whom “a better resurrection” is promised, David is presently secure in Jehovah’s memory as one who will receive that reward.	678
Mekim Wanem Wok Long Bihain, 4/1	(2 Timothy 3:16) Expressing his feelings about God’s Word, the psalmist David wrote: “To me how precious your thoughts are!	944	Others have voiced the question after a widespread calamity or when they personally felt hard-pressed and could not understand why God did not intervene.	457
Olsem wanem planti man long nau i kamapim olsem ol i no save pilim ol samting bilong spirit?	“Teach me to do your will, for you are my God.”​—PS.	667	(Ecclesiastes 11:1, 6) Yes, zealously “send out your bread” upon many waters and “sow your seed” generously, as did Paul and Jesus and as do these modern-day Witnesses in Mexico’s English-speaking field.	322
Wanem samting i soim olsem yumi winim tru ol pisin?	That did it!	31	Why We “Keep Bearing Much Fruit”	784
