	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Simtom naamali prizent dehself afta wan tu chrii die ah deh yuujali no laas langga dah wan wiik.	Give me that one.	He is one of the earliest artists who took a Jamaica-centric approach to the island's culture. 	121	11	False	1.0070729
1	Tempareri laktuos intalrans kiah okor.	Give me that one there.	Good morning!	23	144	False	0.66795766
2	Di Yunaitid Stiet Senta fi Diziiz Kanchuol ah Privenshan (CDC) mentien wah op-tu-diet somari a avielebl labrichri tes.[26] Askaadin tu di CDC, rapid dayagnastik tes ab a sensitiviti a 50–75% ah spisifisiti a 90–95% wen kompier wid vairal kolcha.[27] Demaya tes maita espeshali yuusful juurin di influenza siizn (privalens=25%) bot ina di absens a luokal outbriek, ar peri-influenza siizn (privalens=10%[25]).	Good bye!	Good-bye.	50	46	False	0.64816236
3	Apraximetli 33% a piipl wid influenza deh asimtomatik.[14]	Good-bye!	Main symptoms of malaria[10] 	52	6	False	0.7791102
4	Ina fiimiel, di muos kaman taip a bres kiansa, kolorektal kiansa, long kiansa ah soervikal kiansa.[6] Ef kin kiansa outsaida melanuoma weh fi ingkluud ina tuotal nyuu kiansa iich ier iwuda akount fi rong 40% a kies.[17][18] Ina pitni, akyuut limfoblastik lyuukiimia ah brien tyuuma a di muos kaman exep ina hAfrika we nan-Ajkin limfuoma okor muotaim.[14] Ina 2012, bout 165,000 pitni anda 15 ier a iej eh-dayagnuoz wid kiansa.	Good-bye.	Good bye!	46	50	False	0.9888991
5	Tubako yuus a di kaaz a bout 22% a kiansa det.[1] Aneda 10% juu tu obisiti, puo dayat, lak a fizikal aktiviti ah jingkin alkowal.[1][4] Adaels fakta ingkluud soertn infekshan, expuoja tu ayanaizin redieshan ah invairamental paluutant.[5] Ina di divelopin wol nieli 20% a kiansa juu tu infekshan laka epataitis B, epataitis C ah yuuman papiluomavairos (HPV).[1] Demaya fakta hak, akliis paatli, bai chienjop di jiinzdem ina sel.[6] Tipikali nof jinetik chienj rikuaya bifuo kiansa kiah divelop.[6] Apraximetli 5–10% a kiansa juu tu jinetik difek inerit frah di poersn pierans.[7] Kiansa kiah ditek bai soertn sain ah simtom ar skriinin tes.[1] Ikiah den tipikali investigiet forda bai medikal imijin ah kanfoerm bai bayapsi.[8]	Good-bye, Sayoko!	The organization constitutes a system of collective defence whereby its member states agree to mutual defense in response to an attack by any external party. 	101	53	False	0.6541333
6	Okiejanali, influenza kiah kaaz sivier ilnis ingkluudn praimri vairal nyuumuonia ar sekanderi baktiirial nyuumuonia.[28][29] Di abvios simtom a chobl wid briidin.	Good morning!	The organization constitutes a system of collective defence whereby its member states agree to mutual defense in response to an attack by any external party. 	144	53	False	0.75983334
7	Som STI kiah kaaz prablem wid di abiliti fi get prignant.[1]	Good morning.	Type 1 DM must be managed with insulin injections.[3] Type 2 DM may be treated with medications with or without insulin.[7] Insulin and some oral medications can cause low blood sugar.[8] Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM.[9] Gestational diabetes usually resolves after the birth of the baby.[10] 	135	142	False	0.60943496
8	Dis paashal rizistans disapier uoba soh mont tu ier ef di poersn no kantiniu expuoz tu malieria.[2]	How are you doing?	Diagnosis of typical cases is mainly based on symptoms, with tests such as neuroimaging being used for confirmation. 	136	4	False	1.0233185
9	Aizak Mendiz Belisario ar Isaac Mendes Belisario (1795–1849) wena Jumiekan aatis a Juwish disent.	How are you?	Main symptoms of malaria[10] 	70	6	False	0.8631755
