	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Laisse-moi faire un tour de vélo !	49	909	False	0.41510713
1	Ba'y on palkondywit.	Accompagne-le.	Je bois avec une paille.	954	746	False	0.72151494
2	Ba yo on palkondywit.	Accompagne-les.	Viens faire un bisou à papa !	874	402	False	0.6591041
3	A dèmen !	À demain !	Il a quinze ans.	417	606	False	0.45111668
4	Rédé mwen.	Aide-moi.	Au revoir !	162	714	False	0.26906252
5	Rédé mwen !	Aidez-moi !	Voici Gladys.	48	883	False	0.5721613
6	Rédé mwen.	Aidez-moi.	Merci de m'avoir invité.	100	782	False	0.36605346
7	An nou akaz a'y !	Allons chez elle !	Je mange un citron.	39	671	False	0.28305364
8	An nou akaz a'y !	Allons chez lui !	Mes animaux n'ont rien à manger.	710	902	False	0.48609388
9	An nou akaz a'w !	Allons chez toi !	Le ciel sera chargé.	743	451	False	0.2513057
10	Limé bouji-la.	Allume la bougie.	Sont-ils d'ici ?	318	957	False	0.31950045
11	Limé limyè-la.	Allume la lumière.	Viens faire un bisou à papa !	136	402	False	0.48447955
12	Limé bouji-la.	Allumez la bougie.	Nous fermons à 19 heures.	66	640	False	0.5152571
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Le ciel sera chargé.	431	451	False	0.3750068
14	Aoyi ka dansé.	Aoi danse.	Nous fermons à 19 heures.	918	640	False	0.5528432
15	Bay waka !	Applaudissez !	Je bois avec une paille.	822	746	False	0.5103413
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Viens faire un bisou à papa !	561	402	False	0.6511408
17	Ou ni dé liv ?	As-tu deux livres ?	Mes animaux n'ont rien à manger.	102	902	False	0.5156208
18	Ou ni bon vlen ?	As-tu du bon venin ?	Il fera nuageux.	85	901	False	0.5581162
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Je mangerai un citron.	261	974	False	0.07544756
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Je bois avec une paille.	187	746	False	0.6152755
21	A talè !	À tout à l'heure !	J'aime manger.	589	984	False	0.34458196
22	Ovwa !	Au revoir !	Ce n'est pas Tom ?	714	938	False	0.5642433
23	Avan an té enmé'w.	Autrefois je t'aimais.	Laisse-moi faire un tour de vélo !	359	909	False	0.370404
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Ils mangent.	198	963	False	0.45191562
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Il a quinze ans.	641	606	False	0.3678589
26	Bésé mizik-la !	Baisse la musique !	Je bois avec une paille.	567	746	False	0.44898975
27	Byenvini !	Bienvenue !	Je bois avec une paille.	40	746	False	0.5417267
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Viens faire un bisou à papa !	355	402	False	0.32771146
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Laisse-moi faire un tour de vélo !	927	909	False	0.5475254
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Laisse-moi faire un tour de vélo !	482	909	False	0.27924407
31	Bonswa !	Bonsoir !	Il a trente-trois ans.	540	914	False	0.45246124
32	Bonswè !	Bonsoir !	Tu porteras des citrons au magasin.	169	876	False	0.32638848
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Laisse-moi faire un tour de vélo !	608	909	False	0.36215925
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Je bois avec une paille.	685	746	False	0.54806864
35	Bonswa madanm !	Bonsoir Madame !	Je viens d'avoir une idée.	411	811	False	0.54248714
36	Bonswè madanm !	Bonsoir Madame !	Je mangeais un kiwi.	796	376	False	0.5181265
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	Nous fermons à 19 heures.	966	640	False	0.5857488
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Voici Gaston.	628	10	False	0.17173779
39	Bonswè misyé !	Bonsoir monsieur !	Viens faire un bisou à papa !	328	402	False	0.39679646
40	Pa ni ayen !	Ça va !	Aidez-moi.	688	100	False	0.28111506
41	Sa k'ay ?	Ça va ?	Viens faire un bisou à papa !	383	402	False	0.40822256
42	Sa k'ay.	Ça va.	Je mangerai un citron.	138	974	False	0.32151175
43	Siléma-lasa ka fè yo pè.	Ce film leur fait peur.	Le ciel sera chargé.	492	451	False	0.32362127
44	Motè lasa ka fè dis anpè.	Ce moteur fait dix ampères.	Voici Ophélie.	845	3	False	0.51639926
45	Sa pa asiwé.	Ce n'est pas certain.	Je pense à toi.	313	200	False	0.14455903
46	A pa lapenn.	Ce n'est pas la peine.	Le ciel sera chargé.	629	451	False	0.30940962
47	A pa manman an mwen.	Ce n'est pas ma mère.	Supposons qu'elle ne veuille pas venir.	775	788	False	0.11744392
48	A pa Mawi ?	Ce n'est pas Marie ?	Mes animaux n'ont rien à manger.	507	902	False	0.3823161
49	A pa sè an mwen.	Ce n'est pas ma sœur.	J'habite à Vieux-Habitants.	489	699	False	0.45489454
50	A pa fwè an mwen.	Ce n'est pas mon frère.	Viens faire un bisou à papa !	707	402	False	0.44504845
51	A pa Èstéfann ?	Ce n'est pas Stéphane ?	Je bois avec une paille.	588	746	False	0.59683657
52	A pa Tòm ?	Ce n'est pas Tom ?	J'aime manger.	938	984	False	0.42403996
53	A pa jé !	Ce n'est pas une blague !	Que devons-nous faire ?	558	496	False	0.28703845
54	Pwasa-lasa bidim !	Ce poisson est immense !	Voici Ophélie.	311	3	False	0.4838724
55	Sé liv-lasa bazé si Labib.	Ces livres sont basés sur la Bible.	Je viens d'avoir une idée.	948	811	False	0.48465312
56	Sé konsa mwen yé.	C'est ainsi que je suis.	Voici Ophélie.	368	3	False	0.34667063
57	Sé konsa i yé.	C'est ainsi qu'elle est.	Je mangerai une pomme.	773	753	False	0.6080816
58	Sé konsa nou yé.	C'est ainsi que nous sommes.	Je bois avec une paille.	447	746	False	0.50850046
59	Sé konsa zò yé.	C'est ainsi que vous êtes.	Nous fermons à 19 heures.	129	640	False	0.38679898
60	Sé konsa i yé.	C'est ainsi qu'il est.	Le ciel sera chargé.	133	451	False	0.47948623
61	Sé konsa yo yé.	C'est ainsi qu'ils sont.	Nous fermons à 19 heures.	346	640	False	0.41056454
62	An ka palé ba'w.	C'est à toi que je m'adresse.	J'aime manger.	597	984	False	0.36272085
63	A sa ou di.	C'est ce que tu dis.	Nous fermons à 19 heures.	222	640	False	0.5513816
64	Sa kon sa.	C'est comme ça.	J'aime pêcher.	635	900	False	0.550781
65	I ka wété kotésit.	C'est ici qu'il habite.	J'aime manger.	553	984	False	0.42783034
66	Sé'y menm ki fè kaz a'y.	C'est lui-même qui a construit sa maison.	Moi aussi !	484	425	False	0.33212185
67	Sé fimèl-bèf an mwen.	C'est ma vache.	Oui, pourquoi ?	528	17	False	0.6411836
68	Sa bon menm !	C'est très bon !	Il a trente-trois ans.	34	914	False	0.45065916
69	Sé on bon kavalyèz toubòlman.	C'est une très bonne cavalière.	Je mange un citron.	51	671	False	0.44840837
70	Sé on bon dansèz toubòlman.	C'est une très bonne danseuse.	Voici Ophélie.	794	3	False	0.50917685
71	Sé on bon najèz toubòlman.	C'est une très bonne nageuse.	Au revoir !	885	714	False	0.27932167
72	Sé on bon chantè toubòlman.	C'est un très bon chanteur.	Il a trente-trois ans.	410	914	False	0.45246124
73	Sé on bon najè toubòlman.	C'est un très bon nageur.	Il a quinze ans.	415	606	False	0.5297575
74	Apawèy-lasa two konpliké ban mwen.	Cet appareil photo est trop sophistiqué pour moi.	Je bois avec une paille.	287	746	False	0.5451027
75	Répons-lasa sé érè.	Cette réponse est fausse.	Je mange un sandwich.	737	889	False	0.42292535
76	An malad a wòb-lasa.	Cette robe me plaît énormément.	Viens faire un bisou à papa !	816	402	False	0.57614934
77	Chanté ba on bouwikèt, sé kaka i ké ba'w.	Chantez pour un âne, il vous donnera des crottes.	Laisse-moi faire un tour de vélo !	662	909	False	0.52410054
78	Syèl !	Ciel !	Je lave la chemise.	499	929	False	0.6114615
79	Ki pwi a mayo-lasa ?	Combien coûte ce maillot de bain ?	J'aime manger.	457	984	False	0.436509
80	Ki pwi a pantalon-lasa ?	Combien coûte ce pantalon ?	Voici Gladys.	759	883	False	0.3510741
81	Ki pwi a soulyé-lasa ?	Combien coûtent ces chaussures ?	Je viens d'avoir une idée.	18	811	False	0.56232285
82	Konmen timoun i tini ?	Combien d'enfants a-t-il ?	Laisse-moi faire un tour de vélo !	807	909	False	0.43797994
83	Konmen timoun yo tini ?	Combien d'enfants ont-elles ?	Mes animaux n'ont rien à manger.	15	902	False	0.4358107
84	Kijan ou touvé fim-la ?	Comment as-tu trouvé le film ?	Le ciel sera chargé.	199	451	False	0.3577491
85	Kijan zòt fè ?	Comment faites-vous ?	Je bois avec une paille.	201	746	False	0.41973913
86	Kijan ?	Comment ?	Il a vingt-trois ans.	299	750	False	0.7778238
87	Kijan yo fè'y ?	Comment l'ont-ils fait ?	J'aime manger.	316	984	False	0.64497757
88	Kijan a'w ?	Comment vas-tu ?	Laisse-moi faire un tour de vélo !	284	909	False	0.26540947
89	Ay tou dwèt !	Continuez tout droit !	J'aime manger.	342	984	False	0.36121762
90	Hélé !	Crie !	Il fera nuageux.	964	901	False	0.4284587
91	Hélé !	Criez !	Il a trente-trois ans.	94	914	False	0.3724631
92	Plita, an ké on avyatè !	Dans le futur, je serai aviateur !	Il ne mange pas.	787	208	False	0.27020395
93	Plita, an ké on chanpyon ténis !	Dans le futur, je serai championne de tennis !	Je bois avec une paille.	987	746	False	0.5417267
94	Plita, mwen ké on chantè !	Dans le futur, je serai chanteur !	Aidez-moi.	26	100	False	0.3031702
95	Plita, mwen ké on chantèz !	Dans le futur, je serai chanteuse !	Je suis fatigué !	915	332	False	0.3039168
96	Plita, mwen ké on dansè !	Dans le futur, je serai danseur !	Voici Ophélie.	172	3	False	0.61337495
97	Plita, mwen ké on dansèz !	Dans le futur, je serai danseuse !	Il est moins grand que toi.	74	152	False	0.5197017
98	Dàn k'ay koumansé.	Dan va commencer.	Quand j'ai vu le chien, j'ai pris mes jambes à mon cou.	195	234	False	0.37896
99	Woté ba-la asi bouwikèt-la !	Débâte l'âne !	Nous fermons à 19 heures.	691	640	False	0.4698956
100	Doubout !	Debout !	Laisse-moi faire un tour de vélo !	785	909	False	0.424852
101	Ayisyen débaké Mawi-Galant.	Des Haïtiens ont débarqué à Marie-Galante.	Je suis de Dominique.	612	639	False	0.4128071
102	Dis, onz, douz, trèz, katòz, kenz, sèz, disèt, dizywit, diznèf, ven.	Dix, onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt.	Viens faire un bisou à papa !	827	402	False	0.5812577
103	Dis, ven, trant, karant, senkant, swasant, swasanndis, katrèven, katrèven-dis, san.	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.	Je bois avec une paille.	125	746	False	0.45453596
104	Ban manman sa !	Donne ça à maman !	Je bois avec une paille.	353	746	False	0.5568857
105	Ba papa sa !	Donne ça à papa !	J'aime apprendre.	135	839	False	0.46732545
106	Ba Jàn boutèy-lasa.	Donne cette bouteille à Jeanne.	Nous fermons à 19 heures.	121	640	False	0.49550605
107	Ba Èstéfann ponm-la.	Donne la pomme à Stéphane.	Viens faire un bisou à papa !	980	402	False	0.4333806
108	Ban manman li !	Donne-le à maman !	Je bois avec une paille.	458	746	False	0.4481504
109	Ba'y li !	Donne-le lui !	Je mangeais un kiwi.	723	376	False	0.43256772
110	Ban mwen i.	Donne-le-moi.	Je bois avec une paille.	644	746	False	0.51543975
111	Ban mwen li !	Donne-le moi !	Je bois avec une paille.	548	746	False	0.4618783
112	Ban nou li !	Donne-le nous !	Le ciel sera chargé.	568	451	False	0.32640827
