	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bai na SIÑANSA DI BEIBEL > HÓBENNAN.	The spiritual paradise that we enjoy today is filled with “a flock of holy persons.”	People throughout the world now live in fear of terrorist attacks.	659	811	False	0.4365828
1	Di berdad, siglo 20 tabata único.	But why did she make such a decision?	Adjacent to this second residence lay a vineyard.	799	823	False	0.6350707
2	(Echonan 1:8) Israel tabatin ku tende dje bon nobo meskos ku tur otro nashon.	Several Spanish and Catalonian translations are notable exceptions in their rendering of the Hebrew Tetragrammaton, using “Yavé,” “Yahveh,” “Jahvè,” and “Jehová.” Published by Jehovah’s Witnesses.	They may say that it is because their feelings were hurt, they think a wrong is not being corrected, or they cannot accept some teaching.	241	1	False	0.80242145
3	Rònt mundu hende ta kometiendo krímen violento.	“The ladies seeing at the windows”​—the eyes coupled with the mental faculties by which we see—​become dim, if not completely dark.	11 Because of their faith, such prophets as Micaiah and Jeremiah “received their trial by mockings . . . and prisons.”	289	334	False	0.43857038
4	Den e teksto di e manuskritonan hebreo tabatin e palabra ku normalmente ta introdusí un ekspreshon, pero ningun palabra no a sigui su tras.	On average, a single episode of HAI can cost $2,200 per patient and require an extra 11 days in the hospital if it is a bloodstream infection.	How are we doing in this regard?	632	5	False	0.3131516
5	(Isaías 60:15, 16) Sí, Jehova ta e Salbador di su pueblo.	But the apostle Paul soon had to write to them, asking: “Who hindered you from keeping on obeying the truth?”	As Barak led his men up to Mount Tabor, he was glad to have a way to boost their courage.	765	796	False	0.7670468
6	(1 Kor. 5:6, 7, 11) Komo Dios su disiplina semper ta hustu, e por yuda un hende ekspulsá komprondé kon serio su piká ta i motiv’é pa arepentí.—Echo. 3:19.	Clinging to Jehovah as the most important Person in his life, Abraham found the courage to obey God’s commands.	16 Indeed, it is the “evil slave” who concludes that the Master is delaying.	923	85	False	0.4995998
7	Ora e mucha hòmbernan a bira mas grandi, nan a kuminsá interesá den mucha muhé.	Spend Time With Them	(Matthew 24:37-39) Such an attitude can be contagious, lulling us into a state of spiritual lethargy.	762	972	False	0.6028533
8	Pasobra nos ta “desendensia di Dios.”	Reasonable parents will apply correction according to the individual child’s needs.	These two faiths, which had hitherto stood on opposite sides of the Reformation and would soon be at each other’s throats in the Thirty Years’ War, joined forces against the Anabaptists.	532	478	False	0.5380974
9	Mi a lanta como un católico romano deboto, cu e deseo di sirbi mi Dios i mi pais.	Yet not one of them will fall to the ground without your Father’s knowledge.	For a long time, scientists have been tackling the monumental task of finding genetic causes and cures for human pathology and behavior.	593	902	False	0.16472638
10	Hopi hende ta di opinion ku pa kere den un Kreador, bo mester nenga evidensia di siensia moderno.	John E. Barr, a longtime member of the Governing Body, gave the principal talk of the program.	What has occurred in our time with regard to the calling of the anointed?	675	221	False	0.5687077
11	Por ehèmpel, podisé bo ta haña sa kon konfiabel nan ta dor di opservá si nan ta purba fielmente di kumpli ku tur nan promesanan.	5. (a) What sort of freedom does Jehovah’s spirit bring? (b) How do we know that physical bondage need not diminish the freedom Jehovah provides? (c) What questions do we need to answer?	(Romans 12:11; Colossians 3:24) What is meant is willing subjection based on deep, heartfelt love for God and his Son, Jesus Christ.​—Matthew 22:37; 2 Corinthians 5:14; 1 John 4:10, 11.	377	250	False	0.5086745
12	E aliansa unilateral ei no a duna e persona un relashon dediká ku Yehova.	A NEW PEOPLE CALLED BY GOD’S NAME	People throughout the world now live in fear of terrorist attacks.	531	811	False	0.53641593
13	E versíkulo ei ta bisa: “Siña [prinsipionan bíbliko] ku tur diligensia na bo yunan, i papia di nan ora bo ta sinta den bo kas, ora bo ta kana riba kaminda, ora bo ta bai drumi i ora bo ta lanta.”	“I know that it will never work now.	They store most of the oxygen they need in their muscles.	360	354	False	0.664487
14	Probechá di Dje Pasobra No Por Ward’é (tempu), 1/8	I don’t feel good about leaving [him], but now I’ve lost him.	People throughout the world now live in fear of terrorist attacks.	339	811	False	0.5876225
15	Durante Guera Mundial II tabatin un aumento den e demanda pa sanger	The apostle John wrote: “If anyone makes the statement: ‘I love God,’ and yet is hating his brother, he is a liar. For he who does not love his brother, whom he has seen, cannot be loving God, whom he has not seen.” (1 John 4:20, 21) Therefore, when you train your children to love their Christian brothers and sisters, you are teaching them to love God.	Every Monday morning, we got together to talk about our activity for the week ahead and to assign duties to care for our home.	648	89	False	0.4942993
16	Bo por imitá Sara su lealtat den bo trato ku bo famia i amigunan?	Even as Jehovah freely forgave you, so do you also.	Being part of Jehovah’s organization is priceless!”	824	948	False	0.46202374
17	Mi ta kanta ku sintimentu? I kiko di e kantika entre e Skol di Ministerio Teokrátiko i e Reunion di Sirbishi òf esun entre e diskurso públiko i e Estudio di Toren di Vigilansia?	We see how his holy spirit helps to equip us to carry out our commission to preach the good news.	Lactose intolerance will not cause these symptoms because the immune system is not involved.	338	128	False	0.41767728
18	Den kaso di e pistolero enbolbí den e asesinato ku sanger friu di un pareha ku tabata wak solo sali kantu di laman (menshoná den e artíkulo anterior), fiskal a presentá prueba ku e asesinato pa kick a ser inspirá dor di un pelíkula violento ku e pistolero a wak bes tras bes.	2:4-8. Jehovah caused Artaxerxes to grant Nehemiah permission to go and rebuild the wall of Jerusalem.	What Bible guidelines do you think they applied successfully?	214	122	False	0.40114927
19	Abraham a obedesé Yehova, i p’esei Yehova a bendishon’é i proteh’é.	Other families chose to take their precious material possessions.	He explains what changed his view: “My knowledge of the Bible and love for Jehovah helped me to quit smoking and admit that it was harmful not only to me but also to those around me.”	864	892	False	0.51218724
20	Pues, nunka nos no mester pensa ku nos no tin nodi di lucha mas kontra nos karni imperfekto.	What vital question should we ask before undertaking any pursuit, and why?	(Matthew 24:37-39) Such an attitude can be contagious, lulling us into a state of spiritual lethargy.	222	972	False	0.5214422
21	Un prospecto scur en berdad!	What glorious future is in store for those who truly love God’s Word?	There I received a warm welcome.	20	501	False	0.58872783
22	Ken lo por a pensa ku mi baiskel lo a fungi komo transporte públiko?	(Acts 10:1-48) In our day, faith in the good news is moving thousands to repent of their sins, make a dedication to God, and be baptized.	Despite the difficulties, Laxmi is meeting the challenge.	886	129	False	0.5169693
23	Sino, culpa di sanger lo a bini riba e cas si un hende a cai for dje dak i muri.	Instead, our joy has increased, and at times, we have been able to help others in need.	(Matthew 24:45; 2 Timothy 3:16) How foolish to reject good advice and insist on our own way!	239	983	False	0.44789279
24	Esta felis nos tabata ora ku nan a permití nos papia ku otro, maske tabata djis pa un par di minüt na waya!	If Britain, Denmark, and Sweden shed their reluctance, even the people in those lands may see their pounds, kroner, and kronor replaced by the euro.	Forced Labor During World War II	463	871	False	0.50716007
25	(Heb. 12:7) Nos ta demostrá ku nos ta aseptá e guia di Dios den nos bida ora nos ta perseverá fielmente den su sirbishi i ta laga su spiritu santu refiná nos.	But her pain of loss may heal slowly, and she will need comfort and support for some time.	This opens up for us the wonderful possibility of having a personal relationship with our heavenly Father.	63	521	False	0.39431202
26	El a studia Beibel ku e Testigunan i finalmente e por a manifestá pas i dominio propio, ku ta frutanan di spiritu santu.	Over 30 years later, Mirjana is still in full-time service, together with her husband.	11 Because of their faith, such prophets as Micaiah and Jeremiah “received their trial by mockings . . . and prisons.”	248	334	False	0.23906517
27	Esei ta loke a sosodé.	Yet, they do their best to maintain the identifying mark of love.	Everywhere he went, Jesus “healed those needing a cure.”​—Luke 9:11.	361	655	False	0.8962102
28	(1 Corintionan 10:11) Tambe Bijbel ta contené sabiduria práctico. E ta duna nos conseho cu por yuda nos ora nos tin cu tuma decisionnan den bida.	Some are people-oriented listeners and like to hear all the colorful details surrounding a story. Others are action-oriented listeners and want the speaker to get to the point.	He explains what changed his view: “My knowledge of the Bible and love for Jehovah helped me to quit smoking and admit that it was harmful not only to me but also to those around me.”	606	892	False	0.45231283
29	Cuantu dje remedi derivá di sanger aki tal bes mester tuma, i den ki forma?	He wrote: “This is what Jehovah has said: ‘The unpaid laborers of Egypt and the merchants of Ethiopia and the Sabeans, tall men, will themselves come over even to you, and yours they will become.	No more homelessness or unemployment.	37	341	False	0.468634
30	Te ku siglo 17, Gran Bretaña tabata un reino relativamente insignifikante.	Can learning the truth about God help you to love him?	Even some of the criminals learned our Kingdom melodies and sang along!	458	66	False	0.5150858
31	Tal crítica contra e Evangelionan no ta nada nobo.	While such a reaction might at times be understandable, the Bible tells us: “Do not say: ‘I will do to him just as he has done to me.’”	Even so, he found the time and energy to write me long, encouraging letters with words of comfort and counsel.	206	431	False	0.38073897
32	Algun dje apostelnan di Jesucristo tabata piscadó den e laman di Galilea.	What are some ways in which our fellow publishers of the good news have found disciples?	The last time I was here, we talked about why Jehovah’s Witnesses say that God’s Kingdom began ruling in 1914.* As we discussed, we find a key piece of evidence in a prophecy in chapter 4 of the Bible book of Daniel.	364	319	False	0.49595368
33	Komo resultado, ta nase ménos yu durante un periodo asina.	Our next article will consider this matter.	How can you imitate Jesus in showing humility?	542	275	False	0.13458431
34	Ta masha poko hende lo tribi bisa un mama na entiero di su yu hòmber pa e stòp di yora.	[Picture Credit Lines on page 8]	These two faiths, which had hitherto stood on opposite sides of the Reformation and would soon be at each other’s throats in the Thirty Years’ War, joined forces against the Anabaptists.	669	478	False	0.3691455
35	5 Kon un Trahadó Por Bira Víktima	Whether a disfellowshipped person sits next to a relative or next to any other member of the congregation should not be a cause for concern as long as he behaves properly.	In time, it was clear that despite its counterfeit name, Christmas reflected its pagan origin with revelry, heavy drinking, merrymaking, dancing, gift-giving, and the decorating of homes with evergreens.	267	278	False	0.50308347
36	E ta encerá apoyá i respetá e mama i compartí e tareanan di cria yu.	Not only did Jesus feel compassion for the poor but he also took a personal interest in their needs.	It can affect the liver and the pancreas, and it can cause digestive problems.	662	756	False	0.56428564
37	Komo resultado, Sonia por a kuminsá dos estudio di Beibel.	Drawbridge entrance to Turin’s medieval burg	3 In his renowned Sermon on the Mount, Jesus told his audience to love their enemies and to pray for those persecuting them.	219	709	False	0.52303314
38	Pero komo ku e mainta ei áwaseru a kai duru, e nivel di awa a subi, i e úniko manera pa krusa e riu tabata di bula di un piedra grandi pa otro.	Aside from his comments about marriage, Vicent also says: “By reading the Bible, I feel much closer to Jehovah now than ever before.”	(Matthew 24:37-39) Such an attitude can be contagious, lulling us into a state of spiritual lethargy.	688	972	False	0.5296632
39	Un otro posibilidad ta pa usa un grabacion dje canticanan.	People throughout the world now live in fear of terrorist attacks.	If you would welcome further information or would like to have someone visit you to conduct a free Bible study, please write to Jehovah’s Witnesses at the appropriate address listed on page 4.	811	30	False	0.71913564
40	Hesus a bisa enfátikamente: ‘Pa E nan tur ta bibu.’	3 If Satan could induce two perfect humans​—not to mention a number of spirit creatures—​to reject God’s sovereignty, he could deceive us too.	(Acts 10:34, 35; James 4:8) By contrast, human rulers are often seen in the company of prominent people, such as military leaders, wealthy businessmen, or sports and entertainment celebrities.	964	722	False	0.5587003
41	E animal cu mi a gusta mas tabata e kroonkraanvogel di Africa, pasobra e ta pret.	As soon as I was able to, I purchased some paper and pencils.	How are we doing in this regard?	986	5	False	0.41513038
42	Siguiendo e ehèmpel di Hesus su apòstelnan, nos ta kontestá ku nò.	“Jenny mustered up courage to approach her teacher,” says Emily, “and her teacher commended her for her initiative.	There I received a warm welcome.	357	501	False	0.652362
43	FERNANDO tabata nèrvioso.* Dos ansiano a bis’é ku nan ke papia kuné den privá.	What we noticed is the Bible’s unique effect on the mind and heart.	Using corroborative evidence can also ‘add persuasiveness to your lips.’	977	537	False	0.5246961
44	Ripará ku ta “den e último dianan” di Satanas su mal sistema di kosnan lo mester presentá tempunan trabahoso.	Culture tanks inside the hatchery	Kevin made needed changes through earnest prayer and intense Bible study.	884	108	False	0.46831977
45	Bo ta haña ku esei tabata hustu?	(Colossians 1:23) Comparably, by the close of the 20th century, the good news is being preached in 233 lands.	Preparation to blow the seven trumpets included giving direction to the revitalized members of the John class on earth from 1919 to 1922.	313	457	False	0.77055335
46	Pero no ta tur kaso di wakmentu di pornografia lo eksigí un oudiensia dilanti un komité hudisial.	Brian: Another person from the Bible whose existence was questioned was Pontius Pilate, a governor who ruled in Jesus’ day.	[Map on page 13]	211	234	False	0.30703866
47	Dios “realmente [lo] traga morto pa semper, i e Señor Soberano Jehova siguramente lo limpia e lágrimanan for di tur cara.”	(Psalm 25:13; 37:9, 22, 29, 34) Furthermore, the Scriptures describe those blessed by Jehovah as dwelling in security, each sitting “under his vine and under his fig tree,” with “no one making them tremble.”	Since the State controlled everything, this meant that his family would not receive any food rations.	965	79	False	0.16854596
48	Tin biaha nan ta kore.	When Alan feels the aging brother’s distress, he sees what help is needed, and he wants to be helpful.	(See footnote.)	365	776	False	0.86989355
49	Si ta asina, pakiko bo no ta hasi orashon na Yehova tokante e asuntu?	• Competition at work or at school encourages you to measure your worth against what others are able to do.	People throughout the world now live in fear of terrorist attacks.	451	811	False	0.45784104
50	Tin hóbennan ku a pèrdè tur rèspèt pa otro hende, asta pa nan mayornan, i ta komportá nan mes di un manera ku den pasado tabata kasi inimaginabel.	At the same time, he spreads his wings, fans out his crest, sways his head to and fro, and emits high-pitched shrieks​—truly a spectacular performance!	If you would welcome further information or would like to have someone visit you to conduct a free Bible study, please write to Jehovah’s Witnesses at the appropriate address listed on page 4.	461	30	False	0.6163579
51	Tin hopi karakterístika ku ta identifiká “e religion puru i sin mancha den bista di nos Dios.”	But now, he not only trusts his Eritrean fellow Christians but calls them brother and sister!	There I received a warm welcome.	498	501	False	0.53435266
52	Ademas, e ansiano a sigur’é ku e rumannan tabata stim’é.	She may have been so distraught because of all of this that she lost sight of what was truly important​—their relationship with God.	What changed the condition of the young man?	366	784	False	0.24118245
53	(Pro. 3:5, 6) Despues di a konsiderá tur e asuntunan ei ku e ruman, e ansiano lo lag’é tuma su propio desishon.—Rom. 14:1-4.	Testifying to its religious heritage are dozens of old churches throughout the city.	Forced Labor During World War II	705	871	False	0.5082153
54	E Palabra di Dios ta promové imparcialidad racial.	5 Small Arms, Big Problems	There I received a warm welcome.	9	501	False	0.5463846
55	Por ehempel, na Puerto Rico nan ta usa ASL, maske nan ta papia spañó einan.	The Israelites had more than sufficient means to make such a generous contribution.	The nations have misplaced their confidence by relying on their own wisdom and strength.	546	492	False	0.4834857
56	Nos A Kuminsá Prediká	It is a myth that only old people have strokes.	11 Because of their faith, such prophets as Micaiah and Jeremiah “received their trial by mockings . . . and prisons.”	263	334	False	0.5285852
57	17 Klaru ku nos sa ku e lucha no a terminá ainda.	8 However, those reaching out for privileges of oversight will maintain a good balance if they keep in mind the purpose of such a privilege.	People throughout the world now live in fear of terrorist attacks.	873	811	False	0.45663857
58	(Éxodo 10:19)	They mock him and hit him with a sturdy reed, pushing the crown of thorns deeper into his scalp.	In time, it was clear that despite its counterfeit name, Christmas reflected its pagan origin with revelry, heavy drinking, merrymaking, dancing, gift-giving, and the decorating of homes with evergreens.	680	278	False	0.58609784
59	No tin ni aktividat ni planifikashon ni sabiduria den Seol, kaminda bo ta bai.”	The way Jesus used his power when on earth gives us what confidence about the new world?	She may have been so distraught because of all of this that she lost sight of what was truly important​—their relationship with God.	240	366	False	0.7604015
60	(Mateo 5:5) Kiko ke men ser humilde?	Try to avoid being distracted by your surroundings or needlessly interrupting him.	People throughout the world now live in fear of terrorist attacks.	168	811	False	0.46668732
61	Robby a siña mi hopi kos bon.	Read together.	People throughout the world now live in fear of terrorist attacks.	52	811	False	0.437163
62	(Mat. 16:​24-⁠26; Luk.	We have thoroughly enjoyed our day in field service, but we have some lingering questions about the missionary work.	Instead, speak gently—with graciousness—so that your mate can catch your point.	437	270	False	0.485075
63	(1 Reynan 4:30-33) Por ta cu e, mescos cu su tata David, a observá e cabritunan di ceru cu a frecuentá e área rond di En-gedi, cantu dje costa di laman Morto.	12 To begin with, Peter said: “Beloved, I exhort you as aliens and temporary residents to keep abstaining from fleshly desires, which are the very ones that carry on a conflict against the soul.” (1 Peter 2:11) True Christians are, in a spiritual sense, “aliens and temporary residents” in that the real focus of their lives is the hope of everlasting life​—spirit-anointed ones in heaven and the “other sheep” in a future earthly paradise.	In time, it was clear that despite its counterfeit name, Christmas reflected its pagan origin with revelry, heavy drinking, merrymaking, dancing, gift-giving, and the decorating of homes with evergreens.	203	278	False	0.8132646
64	Kada grupo ku a yega serka Esau mester a bis’é ku ta Jakòb a manda e regalonan; en total, Jakòb a manda mas ku 550 bestia.	A successful career may give you a false sense of security, leading to disappointment or, worse, a disastrous fall.	TUVALU, a beautiful country made up of nine islands in the South Pacific, has a population of some 10,500.	981	12	False	0.723333
65	Amos a splika kaba dikon ningun hende riba tera lo no por stòp e di papia—i asina nos ta yega na e di tres punto pa nos analisá.	If you find a particular scripture or passage to be interesting, talk about it with others.	These two faiths, which had hitherto stood on opposite sides of the Reformation and would soon be at each other’s throats in the Thirty Years’ War, joined forces against the Anabaptists.	694	478	False	0.591828
66	Si bo ta deseá mas informashon òf si bo kier pa un hende bishitá bo na kas pa un estudio di Beibel grátis, por fabor, skirbi Testigunan di Yehova, P.O. Box 4708, Curaçao, N.A., òf n’e adrès mas kumbiniente menshoná na página 4.	(James 1:14, 15) He may have reasoned that if he could get the first human pair to listen to him rather than to God, then God would be forced to tolerate a rival sovereignty.	He wrote: “This is what Jehovah has said: ‘The unpaid laborers of Egypt and the merchants of Ethiopia and the Sabeans, tall men, will themselves come over even to you, and yours they will become.	69	37	False	0.4639213
67	Pero con Jesus a comportá su mes cu e sexo opuesto?	Is that what you are doing?	(Matthew 24:37-39) Such an attitude can be contagious, lulling us into a state of spiritual lethargy.	504	972	False	0.3507017
68	Ademas, e realidatnan simbolisá den e drama aki ta esensial pa nos felisidat den futuro.	These two faiths, which had hitherto stood on opposite sides of the Reformation and would soon be at each other’s throats in the Thirty Years’ War, joined forces against the Anabaptists.	People throughout the world now live in fear of terrorist attacks.	478	811	False	0.46128535
69	E kandidatonan pa boutismo a gana konosementu, ehersé fe, repentí, stòp di hasi loke ta malu i a dediká nan mes na Dios.	Yes, the little child beautifully epitomized the godly quality of humility.	Despite the difficulties, Laxmi is meeting the challenge.	602	129	False	0.47298717
70	Sin embargo, for di principio di su ministerio el a mustra bon cla cu su comision tabata pa predicá e bon nobo.	Mother returned home with tears in her eyes.	(Matthew 24:37-39) Such an attitude can be contagious, lulling us into a state of spiritual lethargy.	830	972	False	0.5518875
71	Amor berdadero ta haci cu un persona ta un dushi compania.	(June 8, 1998) There is no “enforced celibacy” in the Catholic Church!	People throughout the world now live in fear of terrorist attacks.	121	811	False	0.54447913
72	Hopi sirbidó fiel di Yehova a muri na man di opositor.​—⁠Heb. 11:​35-⁠37.	It also helped me to comprehend the many difficult decisions doctors have to make.	In time, it was clear that despite its counterfeit name, Christmas reflected its pagan origin with revelry, heavy drinking, merrymaking, dancing, gift-giving, and the decorating of homes with evergreens.	247	278	False	0.5904329
73	E diskurso a señalá Hesukristu komo nos mihó ehèmpel di selo.	Individual anointed Christians continue under inspection until their sealing is made permanent.	The Scriptures refer to him as “the ruler of this world” and “the god of this system of things.”	39	127	False	0.6118741
74	Ami ku Stanka tabata sinta dilanti otro na un mesa, huntu ku un wardadó di prezu asigná pa vigilá nos.	I thought, therefore, that I had already heard a lot about those times.	On the last two weekends of July, conventions at the Palais de Sport in Thessalonica had a combined attendance of 13,173.	625	383	False	0.6817099
75	Eusebio di Cesarea, kende a skirbi n’e tempu dje promé Concilio di Nicea, a uni su mes cu emperador Constantino.	People thought that some of these images were not made by hands but had fallen from heaven.	People throughout the world now live in fear of terrorist attacks.	57	811	False	0.44278586
76	“Boso sa den ki tempu nos ta biba. Ya ta ora pa boso lanta for di soño.”—ROM.	“There Is a Hurrying of It”	6 On the night that Jesus instituted the Memorial of his death, he told his faithful apostles: “You are the ones that have stuck with me in my trials; and I make a covenant with you, just as my Father has made a covenant with me, for a kingdom, that you may eat and drink at my table in my kingdom, and sit on thrones to judge the twelve tribes of Israel.”	485	658	False	0.5538131
77	OTRO PREGUNTA KU BEIBEL TA KONTESTÁSiensia Ta Kuadra ku Beibel?	They are also very fond of stories and proverbs.	Despite the difficulties, Laxmi is meeting the challenge.	586	129	False	0.6031132
78	Nos lo kontestá tres pregunta relashoná ku kada kualidat: Kiko e ta enserá?	God sent an angel to stop Abraham just before sacrificing his son.	No more homelessness or unemployment.	916	341	False	0.56057143
79	Marea Bibu	Eric: Sure.	People throughout the world now live in fear of terrorist attacks.	940	811	False	0.6024562
80	(Lesa 2 Krónikanan 5:⁠12.)	Instead of continuing to walk by faith, they allowed material possessions to blind their spiritual vision.	How are we doing in this regard?	563	5	False	0.37448728
81	3 Hesus a duna su ilustrashon na e mesun okashon ku el a bisa ku tabata nesesario pa tene kuidou ku golosidat, lokual nos a analisá detayadamente den e artíkulo anterior.	The psalmist said: “The very rage of man will laud you; the remainder of raging you [Jehovah] will gird upon yourself.”	Forced Labor During World War II	690	871	False	0.49038625
82	Por ehempel, si un doño a manca un catibu, mester a libr’é.	I was still very short, and I had to struggle with even simple things in life, such as the height of store counters.	He explains what changed his view: “My knowledge of the Bible and love for Jehovah helped me to quit smoking and admit that it was harmful not only to me but also to those around me.”	399	892	False	0.61194503
83	KON NOS MESTER MIRA OPOSISHON DI FAMIA?	How so?	Forced Labor During World War II	459	871	False	0.46187425
84	E restu ei lo a rechasá adorashon di Baal i trata di drenta di nobo den un aliansa ku Yehova.	Dealing With Your Grief	At the same time, he spreads his wings, fans out his crest, sways his head to and fro, and emits high-pitched shrieks​—truly a spectacular performance!	223	461	False	0.5871676
85	12 Di dos, Dios a duna “donnan den hende” cu mira riba “e edificacion dje curpa di e Cristo.”	Official estimates show an increase from 10,000 tourists in 1972 to over a million in the early ’90’s.	Reflecting on Timothy’s ministry, Paul reminded him: “Guard this fine trust by means of the holy spirit, which is dwelling in us.” (2 Tim. 1:14) To safeguard his ministry, Timothy needed to rely on God’s spirit.	772	947	False	0.72026
86	Hopi hende tabata bisa den nan curason: “Jehova lo no haci bon, i lo e no haci malu.”—Sofonías 1:3–2:3; 3:1-5.	(1 Cor. 7:39) If that is your experience, pray for God’s forgiveness and help.	The psalmist said: “The very rage of man will laud you; the remainder of raging you [Jehovah] will gird upon yourself.”	145	690	False	0.45064652
87	Pero kico dje otro biahanan?	What of the Future?	How are we doing in this regard?	858	5	False	0.40194273
