	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	12 Na bï so na ndade ni Jésus akui, lo tene na bazengele Pierre, lo tene: “Simon, Simon, bâ, Satan ahunda ti mû ala kue ti tene lo yengere ala na yengere tongana blé.	The result is the enormous diversity of religious views found worldwide.	Indicating date of issue in which article appears	79	208	False	0.46254194
1	Na yâ ti mbeni fango ye ti lo, Jésus atene: “Ngia ayeke na ala so ayeke sara nzoni bê na amba ti ala, teti fade a yeke sara nzoni bê na ala.	After all, we live in a morally depraved world that pressures us to accept its corrupt standards.	Artifacts from ancient Egypt illustrate the process.	6	854	False	0.55577886
2	Na popo ti ngu 1950 ti ga na 1999, a fâ azo ahon kutu use na kodoro ti Cambodge ndali ti atënë ti poroso.	This means that we must not be content with knowing just the basic teachings of the Bible or having just hazy or partial knowledge of the truth.	Do you, however, teach your children this same lesson​—that God protects his people?	318	600	False	0.7275834
3	Na yâ aye oko oko kue, fade atënë ti Jésus na yâ sambela so lo mû tongana tapande ayeke ga tâ tënë kue.​—1 Jean 4:8.	Having God’s approval, the blameless one is in line for life.	Likewise today, finding the considerable means to carry out our worldwide activities will remain within reach if each one of us continues to care for a portion of the work.	707	541	False	0.38061297
4	Me aye so aga na peko ti komandema ti Satan afa biani so mbeni zo wala Satan alingbi pëpe ti komande na lege ni.	So they did not take his preaching seriously and act on his warning message.	What is meant by Jesus’ words recorded at Mark 14:25?	481	240	False	0.34864342
5	Laso, amolenge so angbâ be-ta-zo na Jéhovah alingbi ti dë bê ti asewa ti ala.	Serving Jehovah wholeheartedly has also strengthened our marriage.	Indicating date of issue in which article appears	892	208	False	0.5115558
6	E lingbi ti bâ ge so bango ndo ti Saül ayeke tâ nde mingi na ti David.	For more information, see chapter 17 of this book, What Does the Bible Really Teach?, published by Jehovah’s Witnesses	Indicating date of issue in which article appears	803	208	False	0.745908
7	Legeoko tongana ti so mbeni docteur ayeke zi mbeni sioni ye na yâ ti tere ti zo si kobela ti cancer amû yâ ti tere ti lo ape, Nzapa ayeke “zi” nga asioni zo si anzoni zo aduti na ngia na ndo ti sese (Psaume 37:9). “Futingo ti sese,” so ti tene ti dunia so, ayeke duti tâ mbeni ye ti nzoni ndali ti azo.	How do we know that God will help us to remain faithful?	A person who constantly grumbles about those whom Jehovah is using to lead his people gives evidence of what?	57	566	False	0.41129267
8	(Deutéronome 6:7). Na bingo bê na ndo atënë so, ngbanga ti nyen mo tara pëpe ti leke mbeni kapa ti fango ye ti mo mveni na tapande ti so ge:	As this experience illustrates, when a marriage encounters rough weather, abandoning ship is rarely the answer.	A person who constantly grumbles about those whom Jehovah is using to lead his people gives evidence of what?	467	566	False	0.40197062
9	Na ndo tënë ti awato ti lo, lo sambela Nzapa lo tene: “Zia sioye ti ala kue aga na gbele Mo; Mo sara na ala legeoko tongana Mo sara na mbi ngbanga ti kengo-ndia kue ti mbi, teti mbi bima mingi, na bê ti mbi ayeke na ngangu pëpe.”​—Toto ti Jérémie 1:12, 22.	Does that mean that God’s human creation was permanently ruined?	A person who constantly grumbles about those whom Jehovah is using to lead his people gives evidence of what?	855	566	False	0.63412094
