	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Alás nueve ya acabá el party.	The party finished at nine.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	394	239	False	1
1	A las siete le pirmi ta salé na casa.	He always leaves home at seven.	The train stopped in Baltimore.	251	29	False	1
2	Amó aquel de tuyo plano?	Was that your plan?	This is not a tiger.	363	812	False	1
3	Andá yo jugá afuera. Siguí tu cumigo?	I'm going outside to play. Are you coming with?	Tom's medication's not in the bathroom.	362	348	False	1
4	Antes más ta preferí yo el cha negro que el café, pero recientemente ta bebé ya yo un buen cantidad de ambos dos.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	Tom has something to ask Mary.	614	421	False	1
5	Aparte de vos, todo kita pobre.	Apart from you, we are all poor.	I'm sure that he went to Tokyo.	845	494	False	1
6	Aqui yo ta trabajá.	I work here.	How many onions?	709	671	False	1
7	Ay acabá tu cortá cun el magá pono aquí?	Are you going to cut down all the trees here?	Tom drinks wine.	754	461	False	1
8	Ay discutí kitá cunese luego.	We will discuss that later.	You are a beautiful butterfly.	419	663	False	1
9	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	I don't remember the names of the beaches.	792	909	False	1
10	Ay man miss yo cun ustedes todo.	I will miss you all.	They're always fighting.	564	781	False	1
11	Ay quedá tu famoso.	You will be famous.	He needs an umbrella.	676	344	False	1
12	Ay quedá yo na casa.	I'll stay home.	Miss Thomas teaches us history.	124	230	False	1
13	Ay tené gayót yo mucho cuidáo.	I will be very careful.	What were you told?	949	309	False	1
14	Bien bueno manejá si Tom.	Tom is a pretty good driver.	Why are you laughing?	27	866	False	1
15	Bien claro el luna.	The moon's so bright.	Did Tom teach you how to do that?	14	155	False	1
16	Bien sensitivo yo na calor.	I am very sensitive to heat.	This is not a tiger.	95	812	False	1
17	Borles el mujer.	The woman is naked.	Don't you feel cold?	714	674	False	1
18	Busy yo este día.	I've been busy today.	I'd like to know if that's true.	276	477	False	1
19	Caliente el cha.	The tea is hot.	My legs feel heavy.	588	53	False	1
20	Casáo kamé de Tom.	Tom and I are married.		474	530	False	1
21	"""Casáo ya yo"", ya contestá si Mary."	"""I'm already married,"" replied Mary."	Do you know why the sky is blue?	57	874	False	1
22	Cascá dos ságuing.	Peel two of the bananas.	I chose one.	482	269	False	1
23	Colorao de suyo maga uñas.	Her nails are red.	The boat can still be seen.	193	404	False	1
24	Color verde el falda.	The skirt is green.	Linda loves chocolate.	736	485	False	1
25	Cosa ay pasá cumigo?	What'll happen to me?	Do you need an ambulance?	946	287	False	1
26	Cosa cuntigo ya hablá?	What were you told?	Why don't you take a seat here?	309	983	False	1
27	¿Cósa de usted nombre?	What is your name?	I need scissors.	246	653	False	1
28	Cosa el color de tuyo pelo?	What color is your hair?	I ate an apple.	470	409	False	1
29	¿Cósa el de tuyo etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	Onions cook more quickly than potatoes.	290	705	False	1
30	Cosa el noticia?	What's the news?	Please take off your shirt.	164	759	False	1
31	Cosa el precio desté reloj?	What is the price of this watch?	Cows supply milk.	690	231	False	1
32	¿Cósa hora vos usualmente ta salé na casa?	What time do you usually leave home?	He raised his hand.	300	462	False	1
33	Cosa tu hacé luego de noche?	What are you going to do tonight?	I don't want to get sick.	923	681	False	1
34	Cosa tu hacé si nuay yo?	What would you do without me?	I've been busy today.	114	276	False	1
35	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	A lion is strong.	425	18	False	1
36	Cosa tu ta esperá?	What are you waiting for?	Tom went pale.	41	992	False	1
37	Cosa ya man ya pasá cun tuyo perro?	What's become of your dog?	I will never forget you.	583	311	False	1
38	Cristiano si Barack Obama.	Barack Obama is a Christian.	They like fruit.	732	666	False	1
39	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	You're a slob.	166	924	False	1
40	Cuando tu andá na Armenia?	When will you go to Armenia?	My apples are gone.	840	56	False	1
41	¿Cuándo?	When?	I'm afraid of earthquakes.	854	865	False	1
42	Cuanto cebollón?	How many onions?	I hugged Emily.	671	729	False	1
43	Cuanto el un kilo de uvas?	How much is a kilo of grapes?	Does she like her job?	545	655	False	1
44	¿Cuánto este sombrero?	How much is this hat?	She renewed the soil in the flower pot.	765	252	False	1
45	¿Cuánto?	How much?	Should I be jealous?	301	177	False	1
46	¿Cuántos años ya evos?	How old are you?	He promised not to tell.	704	922	False	1
