	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Simtom naamali prizent dehself afta wan tu chrii die ah deh yuujali no laas langga dah wan wiik.	Give me that one.	While usually spread by sex, some STIs can also be spread by non-sexual contact with contaminated blood and tissues, breastfeeding, or during childbirth.[1] STI diagnostic tests are easily available in the developed world, but this is often not the case in the developing world.[1] 	121	114	False	1
1	Tempareri laktuos intalrans kiah okor.	Give me that one there.	Symptoms normally present themselves after one to three days and are usually no longer present after a week. 	23	44	False	1
2	Di Yunaitid Stiet Senta fi Diziiz Kanchuol ah Privenshan (CDC) mentien wah op-tu-diet somari a avielebl labrichri tes.[26] Askaadin tu di CDC, rapid dayagnastik tes ab a sensitiviti a 50–75% ah spisifisiti a 90–95% wen kompier wid vairal kolcha.[27] Demaya tes maita espeshali yuusful juurin di influenza siizn (privalens=25%) bot ina di absens a luokal outbriek, ar peri-influenza siizn (privalens=10%[25]).	Good bye!	If left untreated, diabetes can cause many complications.[3] Acute complications include diabetic ketoacidosis and nonketotic hyperosmolar coma.[4] Serious long-term complications include cardiovascular disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.[3] 	50	59	False	1
3	Apraximetli 33% a piipl wid influenza deh asimtomatik.[14]	Good-bye!	Symptoms of influenza can start quite suddenly one to two days after infection. 	52	54	False	1
4	Ina fiimiel, di muos kaman taip a bres kiansa, kolorektal kiansa, long kiansa ah soervikal kiansa.[6] Ef kin kiansa outsaida melanuoma weh fi ingkluud ina tuotal nyuu kiansa iich ier iwuda akount fi rong 40% a kies.[17][18] Ina pitni, akyuut limfoblastik lyuukiimia ah brien tyuuma a di muos kaman exep ina hAfrika we nan-Ajkin limfuoma okor muotaim.[14] Ina 2012, bout 165,000 pitni anda 15 ier a iej eh-dayagnuoz wid kiansa.	Good-bye.	Good morning!	46	144	False	1
5	Tubako yuus a di kaaz a bout 22% a kiansa det.[1] Aneda 10% juu tu obisiti, puo dayat, lak a fizikal aktiviti ah jingkin alkowal.[1][4] Adaels fakta ingkluud soertn infekshan, expuoja tu ayanaizin redieshan ah invairamental paluutant.[5] Ina di divelopin wol nieli 20% a kiansa juu tu infekshan laka epataitis B, epataitis C ah yuuman papiluomavairos (HPV).[1] Demaya fakta hak, akliis paatli, bai chienjop di jiinzdem ina sel.[6] Tipikali nof jinetik chienj rikuaya bifuo kiansa kiah divelop.[6] Apraximetli 5–10% a kiansa juu tu jinetik difek inerit frah di poersn pierans.[7] Kiansa kiah ditek bai soertn sain ah simtom ar skriinin tes.[1] Ikiah den tipikali investigiet forda bai medikal imijin ah kanfoerm bai bayapsi.[8]	Good-bye, Sayoko!	Fever and extreme coldness (chills shivering, shaking (rigor)) Cough Nasal congestion Runny nose Sneezing Body aches, especially joints and throat Fatigue Headache Irritated, watering eyes Reddened eyes, skin (especially face), mouth, throat and nose Petechial rash[17] In children, gastrointestinal symptoms such as diarrhea and abdominal pain,[18][19] (may be severe in children with influenza B)[20] 	101	85	False	1
6	Okiejanali, influenza kiah kaaz sivier ilnis ingkluudn praimri vairal nyuumuonia ar sekanderi baktiirial nyuumuonia.[28][29] Di abvios simtom a chobl wid briidin.	Good morning!	Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period.[2] Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. 	144	127	False	1
7	Som STI kiah kaaz prablem wid di abiliti fi get prignant.[1]	Good morning.	I love you!	135	47	False	1
8	Dis paashal rizistans disapier uoba soh mont tu ier ef di poersn no kantiniu expuoz tu malieria.[2]	How are you doing?	In females, the most common types are breast cancer, colorectal cancer, lung cancer and cervical cancer.[6] If skin cancer other than melanoma were included in total new cancers each year it would account for around 40% of cases.[17][18] In children, acute lymphoblastic leukaemia and brain tumors are most common except in Africa where non-Hodgkin lymphoma occurs more often.[14] In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. 	136	61	False	1
9	Aizak Mendiz Belisario ar Isaac Mendes Belisario (1795–1849) wena Jumiekan aatis a Juwish disent.	How are you?	Occasional doses of the medication sulfadoxine/pyrimethamine are recommended in infants and after the first trimester of pregnancy in areas with high rates of malaria. 	70	17	False	1
