	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	12 Na bï so na ndade ni Jésus akui, lo tene na bazengele Pierre, lo tene: “Simon, Simon, bâ, Satan ahunda ti mû ala kue ti tene lo yengere ala na yengere tongana blé.	The result is the enormous diversity of religious views found worldwide.	Evidence proves that it is more than mere history, however.	79	289	False	1
1	Na yâ ti mbeni fango ye ti lo, Jésus atene: “Ngia ayeke na ala so ayeke sara nzoni bê na amba ti ala, teti fade a yeke sara nzoni bê na ala.	After all, we live in a morally depraved world that pressures us to accept its corrupt standards.	When Moses asked to see His glory, Jehovah responded: “You are not able to see my face, because no man may see me and yet live.”	6	978	False	1
2	Na popo ti ngu 1950 ti ga na 1999, a fâ azo ahon kutu use na kodoro ti Cambodge ndali ti atënë ti poroso.	This means that we must not be content with knowing just the basic teachings of the Bible or having just hazy or partial knowledge of the truth.	(Matthew 17:1-9) That vision strengthened the faith of Peter, James, and John at a time when many had left off following Jesus because he had not fulfilled their unscriptural expectations.	318	479	False	1
3	Na yâ aye oko oko kue, fade atënë ti Jésus na yâ sambela so lo mû tongana tapande ayeke ga tâ tënë kue.​—1 Jean 4:8.	Having God’s approval, the blameless one is in line for life.	49:10​—What is the meaning of “the scepter” and “the commander’s staff”?	707	611	False	1
4	Me aye so aga na peko ti komandema ti Satan afa biani so mbeni zo wala Satan alingbi pëpe ti komande na lege ni.	So they did not take his preaching seriously and act on his warning message.	Such a threat is always hanging over the head of the rich.	481	139	False	1
5	Laso, amolenge so angbâ be-ta-zo na Jéhovah alingbi ti dë bê ti asewa ti ala.	Serving Jehovah wholeheartedly has also strengthened our marriage.	[Box on page 6]	892	447	False	1
6	E lingbi ti bâ ge so bango ndo ti Saül ayeke tâ nde mingi na ti David.	For more information, see chapter 17 of this book, What Does the Bible Really Teach?, published by Jehovah’s Witnesses	This was because Simeon as well as Levi had acted “harshly,” and their anger was “cruel.”	803	120	False	1
7	Legeoko tongana ti so mbeni docteur ayeke zi mbeni sioni ye na yâ ti tere ti zo si kobela ti cancer amû yâ ti tere ti lo ape, Nzapa ayeke “zi” nga asioni zo si anzoni zo aduti na ngia na ndo ti sese (Psaume 37:9). “Futingo ti sese,” so ti tene ti dunia so, ayeke duti tâ mbeni ye ti nzoni ndali ti azo.	How do we know that God will help us to remain faithful?	(Genesis 22:15-18; Revelation 7:9) It was evident that I had found my natural language, the language of my heart.	57	501	False	1
8	(Deutéronome 6:7). Na bingo bê na ndo atënë so, ngbanga ti nyen mo tara pëpe ti leke mbeni kapa ti fango ye ti mo mveni na tapande ti so ge:	As this experience illustrates, when a marriage encounters rough weather, abandoning ship is rarely the answer.	“That would be great,” I replied.	467	812	False	1
9	Na ndo tënë ti awato ti lo, lo sambela Nzapa lo tene: “Zia sioye ti ala kue aga na gbele Mo; Mo sara na ala legeoko tongana Mo sara na mbi ngbanga ti kengo-ndia kue ti mbi, teti mbi bima mingi, na bê ti mbi ayeke na ngangu pëpe.”​—Toto ti Jérémie 1:12, 22.	Does that mean that God’s human creation was permanently ruined?	4 There would be people to whom the pure language would not be given.	855	80	False	1
10	12-18 NOVEMBRE 2012	“Keep comforting one another and building one another up.”​—1 THESS.	20 You can contrast that with the example of King Hezekiah.	8	15	False	1
11	Sophie: Depuis kete ti mbi, mbi yeke gue eglize.	So Elijah modestly replied: “You have asked a difficult thing.	Many of our young ones have to do that while in school.	791	618	False	1
12	Jéhovah ate mbele na David, lo tene: “Fade azo ti da ti mo na royaume ti mo aga nzoni lakue, fade trône ti mo angbâ lakue.”​—2 Sam. 7:16.	(Heb. 13:4) However, during “the bloom of youth”​—the period when sexual feelings become strong and can distort one’s judgment—​it can be a struggle to remain chaste.	What must one be cautious of when planning for the future?	125	882	False	1
