	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Elle l'a fait exprès !	49	277	False	0.005648613
1	Ba'y on palkondywit.	Accompagne-le.	Peux-tu retirer quatre-vingts euros ?	954	437	False	0.0065380335
2	Ba yo on palkondywit.	Accompagne-les.	Peux-tu retirer quatre-vingts euros ?	874	437	False	0.010365486
3	A dèmen !	À demain !	Voici Stéphane.	417	765	False	0.004897356
4	Rédé mwen.	Aide-moi.	Au revoir !	162	714	False	0.0056566
5	Rédé mwen !	Aidez-moi !	J'habite en Grande-Terre.	48	748	False	0.009233236
6	Rédé mwen.	Aidez-moi.	Tu n'allais pas manger.	100	58	False	0.005655527
7	An nou akaz a'y !	Allons chez elle !	Voici Gladys.	39	883	False	0.008499026
8	An nou akaz a'y !	Allons chez lui !	Voici Gladys.	710	883	False	0.0056898594
9	An nou akaz a'w !	Allons chez toi !	Je pense à toi.	743	200	False	0.004635453
10	Limé bouji-la.	Allume la bougie.	Ils ne sont pas en train de manger.	318	961	False	0.00543499
11	Limé limyè-la.	Allume la lumière.	Il est huit heures.	136	280	False	0.008516669
12	Limé bouji-la.	Allumez la bougie.	Peux-tu retirer quatre-vingts euros ?	66	437	False	0.008427024
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	On dirait que vous êtes malades.	431	154	False	0.003930211
14	Aoyi ka dansé.	Aoi danse.	Il est en train de parler.	918	896	False	0.009346008
15	Bay waka !	Applaudissez !	Il est huit heures.	822	280	False	0.010458469
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Il est huit heures.	561	280	False	0.009172082
17	Ou ni dé liv ?	As-tu deux livres ?	Ce n'est pas Stéphane ?	102	588	False	0.0072934628
18	Ou ni bon vlen ?	As-tu du bon venin ?	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	85	784	False	0.010732412
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	On dirait que vous êtes malades.	261	154	False	0.0042494535
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	L'ouïe est le sens qui permet d'entendre.	187	76	False	0.0073217154
21	A talè !	À tout à l'heure !	Je pense à toi.	589	200	False	0.005864382
22	Ovwa !	Au revoir !	Peux-tu retirer quatre-vingts euros ?	714	437	False	0.0055761337
23	Avan an té enmé'w.	Autrefois je t'aimais.	Je ne suis pas en train de manger.	359	599	False	0.005834937
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.	198	125	False	0.0043132305
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Elles l'ont fait exprès !	641	761	False	0.00846982
26	Bésé mizik-la !	Baisse la musique !	Je suis fatigué !	567	718	False	0.005875349
27	Byenvini !	Bienvenue !	Il est huit heures.	40	280	False	0.00914681
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Tu dois manger ça.	355	356	False	0.004191041
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Le nerf est sous la peau.	927	118	False	0.005711198
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	J'ai embarqué à Pointe-à-Pitre avec cette dame.	482	405	False	0.0046346188
31	Bonswa !	Bonsoir !	J'habite en Grande-Terre.	540	748	False	0.006291747
32	Bonswè !	Bonsoir !	Voici Gladys.	169	883	False	0.008355737
33	Bonswa, ka ou fè ?	Bonsoir, ça va ?	Je ne suis pas en train de manger.	608	599	False	0.0060112476
34	Bonswè, ka ou fè ?	Bonsoir, ça va ?	Elles l'ont fait exprès !	685	761	False	0.0070137978
35	Bonswa madanm !	Bonsoir Madame !	L'ouïe est le sens qui permet d'entendre.	411	76	False	0.0066543818
36	Bonswè madanm !	Bonsoir Madame !	L'ouïe est le sens qui permet d'entendre.	796	76	False	0.0075562
37	Bonswa mésyézédanm !	Bonsoir Mesdames et Messieurs !	L'ouïe est le sens qui permet d'entendre.	966	76	False	0.0073662996
38	Bonswè mésyézédanm !	Bonsoir Mesdames et Messieurs !	Il est huit heures.	628	280	False	0.0073845387
39	Bonswè misyé !	Bonsoir monsieur !	Sa femme vend des carottes sous le marché couvert.	328	205	False	0.0048561096
40	Pa ni ayen !	Ça va !	On m'a volé mes papiers.	688	799	False	0.0066224337
41	Sa k'ay ?	Ça va ?	Elle l'a fait exprès !	383	277	False	0.006897211
