	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Simtom naamali prizent dehself afta wan tu chrii die ah deh yuujali no laas langga dah wan wiik.	Give me that one.	"ISBN 0-415-90345-9. ↑ Serju, Christopher (29 January 2011). ""Bairds Bare Sligoville's Rich Past"". The Gleaner. "	121	2	False	0.009524345
1	Tempareri laktuos intalrans kiah okor.	Give me that one there.	I wish you a Merry Christmas.	23	139	False	0.00801456
2	Di Yunaitid Stiet Senta fi Diziiz Kanchuol ah Privenshan (CDC) mentien wah op-tu-diet somari a avielebl labrichri tes.[26] Askaadin tu di CDC, rapid dayagnastik tes ab a sensitiviti a 50–75% ah spisifisiti a 90–95% wen kompier wid vairal kolcha.[27] Demaya tes maita espeshali yuusful juurin di influenza siizn (privalens=25%) bot ina di absens a luokal outbriek, ar peri-influenza siizn (privalens=10%[25]).	Good bye!	Type 1 DM results from the pancreas's failure to produce enough insulin. 	50	79	False	0.0055150986
3	Apraximetli 33% a piipl wid influenza deh asimtomatik.[14]	Good-bye!	Give me that one there.	52	23	False	0.010958552
4	Ina fiimiel, di muos kaman taip a bres kiansa, kolorektal kiansa, long kiansa ah soervikal kiansa.[6] Ef kin kiansa outsaida melanuoma weh fi ingkluud ina tuotal nyuu kiansa iich ier iwuda akount fi rong 40% a kies.[17][18] Ina pitni, akyuut limfoblastik lyuukiimia ah brien tyuuma a di muos kaman exep ina hAfrika we nan-Ajkin limfuoma okor muotaim.[14] Ina 2012, bout 165,000 pitni anda 15 ier a iej eh-dayagnuoz wid kiansa.	Good-bye.	Give me that one there.	46	23	False	0.009168625
5	Tubako yuus a di kaaz a bout 22% a kiansa det.[1] Aneda 10% juu tu obisiti, puo dayat, lak a fizikal aktiviti ah jingkin alkowal.[1][4] Adaels fakta ingkluud soertn infekshan, expuoja tu ayanaizin redieshan ah invairamental paluutant.[5] Ina di divelopin wol nieli 20% a kiansa juu tu infekshan laka epataitis B, epataitis C ah yuuman papiluomavairos (HPV).[1] Demaya fakta hak, akliis paatli, bai chienjop di jiinzdem ina sel.[6] Tipikali nof jinetik chienj rikuaya bifuo kiansa kiah divelop.[6] Apraximetli 5–10% a kiansa juu tu jinetik difek inerit frah di poersn pierans.[7] Kiansa kiah ditek bai soertn sain ah simtom ar skriinin tes.[1] Ikiah den tipikali investigiet forda bai medikal imijin ah kanfoerm bai bayapsi.[8]	Good-bye, Sayoko!	Give me that one there.	101	23	False	0.008622408
6	Okiejanali, influenza kiah kaaz sivier ilnis ingkluudn praimri vairal nyuumuonia ar sekanderi baktiirial nyuumuonia.[28][29] Di abvios simtom a chobl wid briidin.	Good morning!	The younger brother of Trinity, Brammer took the trend of adopting the names of characters from spaghetti westerns as stage names a step further by recording and performing under the name of one of the genre's most successful actors, Clint Eastwood. 	144	94	False	0.0073018074
7	Som STI kiah kaaz prablem wid di abiliti fi get prignant.[1]	Good morning.	Good morning!	135	144	False	0.011175871
8	Dis paashal rizistans disapier uoba soh mont tu ier ef di poersn no kantiniu expuoz tu malieria.[2]	How are you doing?	Give me that one there.	136	23	False	0.010249853
9	Aizak Mendiz Belisario ar Isaac Mendes Belisario (1795–1849) wena Jumiekan aatis a Juwish disent.	How are you?	Give me that one there.	70	23	False	0.011128306
10	Klin Iiswud (baan Rabat Braama) a wan Jumiekan regay DJ, huu did rekaad az wan suolo aatis inna di liet 1970-dem an orly 1980-dem bifuor im tiim op wid British DJ Jinaral Sient az di dewuo Klin Iiswud an Jinaral Sient.	I am 12 years old.	Give me that one there.	95	23	False	0.010795236
11	Di muos ifektiv wie fi privent STI a fi no ab sex.[4] Som vaxinieshan kiaa aalso dikriis di rix a soertn infekshan ingkluudn epataitis B ah som taip a HPV.[4] Siefa sex praktis laka di yuus a kandom, fi ab sumaala nomba a sexyual paadna, ah fi de ina rilieshanship we iich poersn onggl ab sex wid die di adawan aalso dikriis di rix.[1][4] Sorkomsijan ina miel kiah bi ifektiv fi privent som infekshan.[1] Muos STI kiah chriit ar kyuor.[1] Outa di muos kaman infekshan, sifilis, ganariya, klamidia, chrikomuoniasis deh kyuorebl, wails oerpiiz, epataitis B, HIV/AIDS, ah HPV kiah chriit bot deh no kyuorebl.[1] Rizistans tu soertn antibayatik a-divelop mongx som aaganizim laka ganariya.[5]	I am 18 years old.	Give me that one there.	108	23	False	0.00858283
