	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	12 Na bï so na ndade ni Jésus akui, lo tene na bazengele Pierre, lo tene: “Simon, Simon, bâ, Satan ahunda ti mû ala kue ti tene lo yengere ala na yengere tongana blé.	The result is the enormous diversity of religious views found worldwide.	• What are some ways to avoid wrong conduct?	79	522	False	0.00926888
1	Na yâ ti mbeni fango ye ti lo, Jésus atene: “Ngia ayeke na ala so ayeke sara nzoni bê na amba ti ala, teti fade a yeke sara nzoni bê na ala.	After all, we live in a morally depraved world that pressures us to accept its corrupt standards.	Christian husbands do not share that hardhearted, casual view of providing for their own.	6	865	False	0.006508112
2	Na popo ti ngu 1950 ti ga na 1999, a fâ azo ahon kutu use na kodoro ti Cambodge ndali ti atënë ti poroso.	This means that we must not be content with knowing just the basic teachings of the Bible or having just hazy or partial knowledge of the truth.	How close he must have come to the beast’s jaws!	318	538	False	0.008197308
3	Na yâ aye oko oko kue, fade atënë ti Jésus na yâ sambela so lo mû tongana tapande ayeke ga tâ tënë kue.​—1 Jean 4:8.	Having God’s approval, the blameless one is in line for life.	Even though the attendance was probably less than that, it was surely more than the some 65,000 Witnesses in the United States at the time.	707	413	False	0.0065095425
4	Me aye so aga na peko ti komandema ti Satan afa biani so mbeni zo wala Satan alingbi pëpe ti komande na lege ni.	So they did not take his preaching seriously and act on his warning message.	Heidi adds: “All of us have a list with spiritual goals we want to meet, and we review these periodically during the family study to see what progress we are making.”	481	422	False	0.008367062
5	Laso, amolenge so angbâ be-ta-zo na Jéhovah alingbi ti dë bê ti asewa ti ala.	Serving Jehovah wholeheartedly has also strengthened our marriage.	Even though the attendance was probably less than that, it was surely more than the some 65,000 Witnesses in the United States at the time.	892	413	False	0.00888288
6	E lingbi ti bâ ge so bango ndo ti Saül ayeke tâ nde mingi na ti David.	For more information, see chapter 17 of this book, What Does the Bible Really Teach?, published by Jehovah’s Witnesses	Even though the attendance was probably less than that, it was surely more than the some 65,000 Witnesses in the United States at the time.	803	413	False	0.009341717
7	Legeoko tongana ti so mbeni docteur ayeke zi mbeni sioni ye na yâ ti tere ti zo si kobela ti cancer amû yâ ti tere ti lo ape, Nzapa ayeke “zi” nga asioni zo si anzoni zo aduti na ngia na ndo ti sese (Psaume 37:9). “Futingo ti sese,” so ti tene ti dunia so, ayeke duti tâ mbeni ye ti nzoni ndali ti azo.	How do we know that God will help us to remain faithful?	I listened, and then after I had spoken the words, ‘Be thou faithful unto death,’ and a few other words of our Lord, it was all over. . . .	57	657	False	0.0070363283
8	(Deutéronome 6:7). Na bingo bê na ndo atënë so, ngbanga ti nyen mo tara pëpe ti leke mbeni kapa ti fango ye ti mo mveni na tapande ti so ge:	As this experience illustrates, when a marriage encounters rough weather, abandoning ship is rarely the answer.	19 Yes, what a thrilling future awaits those who remain separate from the world and its “elements”!	467	62	False	0.0064255
9	Na ndo tënë ti awato ti lo, lo sambela Nzapa lo tene: “Zia sioye ti ala kue aga na gbele Mo; Mo sara na ala legeoko tongana Mo sara na mbi ngbanga ti kengo-ndia kue ti mbi, teti mbi bima mingi, na bê ti mbi ayeke na ngangu pëpe.”​—Toto ti Jérémie 1:12, 22.	Does that mean that God’s human creation was permanently ruined?	Even though the attendance was probably less than that, it was surely more than the some 65,000 Witnesses in the United States at the time.	855	413	False	0.008155227
