	bert-base-multilingual-cased_acc	bert-base-multilingual-cased_cos	mt5-base_acc	mt5-base_cos	random_acc	random_cos	xlm-roberta-base_acc	xlm-roberta-base_cos
cbk-eng_sample1	0.0	0.867	0.0	0.503	0.2	1.0	0.1	0.006
cbk-eng_sample2	0.1	0.876	0.1	0.514	0.0	1.0	0.0	0.006
cbk-eng_sample3	0.0	0.86	0.2	0.506	0.3	1.0	0.1	0.006
gcf-eng	0.98	1.048	0.98	0.577	1.96	1.0	1.96	0.009
gcf-fra	0.0	0.756	0.2	0.441	0.1	1.0	0.2	0.007
hat-eng_sample1	0.0	0.838	0.0	0.488	0.1	1.0	0.0	0.007
hat-eng_sample2	0.1	0.835	0.2	0.483	0.0	1.0	0.0	0.007
hat-eng_sample3	0.1	0.826	0.0	0.484	0.1	1.0	0.2	0.007
hat-fra_sample1	0.2	0.79	0.1	0.446	0.1	1.0	0.1	0.008
hat-fra_sample2	0.0	0.795	0.0	0.448	0.2	1.0	0.1	0.008
hat-fra_sample3	0.0	0.796	0.1	0.455	0.1	1.0	0.1	0.008
jam-eng	0.0	0.811	0.0	0.616	1.37	1.0	0.0	0.009
pap-eng_sample1	0.1	0.816	0.1	0.528	0.0	1.0	0.1	0.007
pap-eng_sample2	0.0	0.81	0.3	0.522	0.2	1.0	0.0	0.007
pap-eng_sample3	0.1	0.815	0.1	0.527	0.0	1.0	0.1	0.007
sag-eng_sample1	0.4	0.834	0.1	0.559	0.1	1.0	0.1	0.008
sag-eng_sample2	0.1	0.849	0.0	0.557	0.1	1.0	0.0	0.009
sag-eng_sample3	0.3	0.834	0.0	0.556	0.2	1.0	0.2	0.008
tpi-eng_sample1	0.0	0.814	0.0	0.579	0.0	1.0	0.1	0.008
tpi-eng_sample2	0.0	0.816	0.4	0.565	0.0	1.0	0.3	0.008
tpi-eng_sample3	0.0	0.819	0.1	0.545	0.0	1.0	0.1	0.008
