source_sent	target_sent	target_id	gold_sent	gold_id
Abierto el puerta.	Do you know when his plane is arriving?	251	The door is open.	505
Abordo si Tom naquel barco?	I'll take you there.	427	Is Tom aboard that ship?	265
Agrio el fruta.	He bought some rice.	904	The fruit is sour.	533
Alás nueve ya acabá el party.	It's not done yet.	180	The party finished at nine.	92
Alcanzá cumigo el vino.	His eyes are blue.	430	Give me the wine.	697
Allergic yo na maíz.	I ate the whole apple.	903	I'm allergic to corn.	965
Alto esté ponô.	The soup's very hot.	434	This tree is tall.	892
Amó aquel de tuyo plano?	It's on the table.	815	Was that your plan?	345
Amó se cosa tu ya hablá?	I am a masseur.	323	Is that what you said?	348
Aparte de usted, todo kita pobre.	They like fruit.	753	Apart from you, we are all poor.	631
Aquí yo ya dejá de mío bag.	Where in Austria did you grow up?	516	I left my bag here.	778
Aumentá un poco leche.	Allen was given a problem that was impossible to solve.	911	Add a little milk.	226
Ay cumprá yo un calendario.	Do you know where he went?	781	I'll buy a calendar.	937
Ay dale yo cuntigo un bike na de tuyo cumpleaños.	It's not good to count all the things that you have already given.	112	I will give you a bicycle for your birthday.	383
Ay llamá yo cuntigo mediodía.	I'll call you at noon.	14	I'll call you at noon.	14
Ay quedá yo na casa.	Bring me another fork, please.	548	I'll stay home.	287
Ayudá cumigo mové cuneste piedra.	I remember the first time we met.	799	Help me move this stone.	512
Baká vené si Jane.	He boarded the ship.	974	Maybe Jane will come.	224
Barba cerrada si Tom.	My apples are gone.	715	Tom has a full beard.	255
Basta, salé aquí.	Tom is in the warehouse.	289	Just get out of here.	238
Bien diútay gayót este cuarto para kanamon.	Tom speaks loudly.	868	This room is too small for us.	342
Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.	Let's take a rest in the garden instead of indoors.	58	Tom has a lot of religious books, but he has never read them.	161
Bien pronto crecí el ponô.	I won't be going with you to Boston.	426	The tree grows very quickly.	264
Bien suerte gayót kamó tres.	I met with him again.	946	You three are very lucky.	728
Bien suerte kitá.	It is difficult to give up smoking.	510	We've been so lucky.	159
Borles el mujer.	She came!	985	The woman is naked.	756
Buen gente tu.	We have to be careful.	616	You are a good person.	948
Cansáo ya yo de oí tuyo mga reclamo.	The knife is not sharp.	560	I'm tired of listening to your complaints.	841
Colorao esté vino.	Did you sew this by hand?	55	This wine is red.	305
Comé cunel pan!	Tom put his fork down.	935	Eat the bread!	704
Comé kitá pakwán!	I came here with Tom.	399	Let's eat a watermelon!	341
Con cuidao! Bien caliente el caldo.	I ate curry yesterday.	902	Be careful! The soup is very hot.	615
Contento le cosa le ahora.	I want bread.	245	He is content with his present state.	282
Cosa el color de tuyo pelo?	I don't know what's going to happen to you.	193	What color is your hair?	612
Cosa el precio desté reloj?	Would you like me to shave the nape of your neck?	243	What is the price of this watch?	346
Cosa sapatos tu ay usá?	The towels are dirty.	124	Which shoes are you going to put on?	426
Cosa silá ya preguntá cuntigo?	Where are you from?	53	What did they ask you?	446
Cosa ta pasa alli arriba?	Encantadia is an upcoming Filipino fantasy television series to be broadcast by GMA Network.	997	What is going on up there?	804
Cosa tu hacé luego de noche?	"Where's your cousin?" "He just left."	521	What are you going to do tonight?	192
Cosa tu hacé si nuay yo?	Are you in a hurry?	422	What would you do without me?	464
Cosa tu quiere quedá grande?	Have you ever eaten in a restaurant alone?	343	What do you want to be when you grow up?	323
Cosa tu ta esperá?	I decided to become Muslim.	918	What are you waiting for?	105
Cosa tu ya hacé anoche?	Tom can do that with one hand.	218	What did you do last night?	594
Cosa ya man ya pasá cun tuyo perro?	There is a fork.	309	What's become of your dog?	392
Cuanto el tip ta dale na España?	Why do you need a comb if you have no hair?	209	How much do you leave for a tip in Spain?	407
Cuanto el un kilo de uvas?	I don't know where to begin.	700	How much is a kilo of grapes?	788
¿Cuántos años ya evos?	I'll get you a towel.	420	How old are you?	470
"¿Cuántos años ya evos?" "Yo diecisiete años ya."	Joan broke her left arm in the accident.	966	"How old are you?" "I'm already 17 years old."	515
"¿Cuántos años ya usted?" "Diecisiete años ya."	We have no school today.	147	"How old are you?" "I'm already 17 years old."	468
"¿Cuántos años ya usted?" "Diecisiete años ya yo."	I've lost my appetite.	381	"How old are you?" "I'm already 17 years old."	516
"¿Cuántos dialectos tiene na idioma Chavacano?" "El idioma Chavacano tiene seis dialectos."	Can you see the nest in the tree?	825	"How many dialects are there in the Chavacano language?" "The Chavacano language has six dialects."	197
Dale tu prestá cumigo de tuyo lápiz?	What time do you usually leave home?	228	Will you lend me your pencil?	406
Dale yo cuntigo prestá este libro.	I have to see it!	638	I'll lend you this book.	440
¿De dónde usted?	It is bad to count all the things that you gave.	114	Where are you from?	36
De Estados Unidos ele.	Hello! How are you? We’re here now for the short explanation about reproductive organ. Well, we hope that you will not think maliciously regarding this topic.	581	He is from the United States.	633
De mano lang tu cuneste ya cusí?	I think Tom is only pretending to be asleep.	513	Did you sew this by hand?	28
De piedra esté edificio.	I don't want to die here.	668	This building is made of stone.	68
De quien esté vino?	I left my keys on the table. Could you bring them to me?	921	Whose wine is this?	368
Descansá kitá na jardín embés allá adentro.	I need scissors.	641	Let's take a rest in the garden instead of indoors.	21
Despierto pa tu?	If you want to leave, then leave now!	796	Are you still up?	307
De tuyo esté coche?	This isn't funny.	92	Is this your car?	571
¿De usted nombre, cósa?	I wanted Tom to know what happened to us.	763	What is your name?	452
Devolvé con el remitente.	Vinegar has a sharp taste.	552	Return with the sender.	204
Diútay el tenedor.	He started washing his car.	961	The fork is small.	403
Dol puerco si Tom si ta comé.	My eyes itch.	246	Tom eats like a pig.	914
Dol ta nerviá si Tom.	I don't want to be here.	165	Tom seems nervous.	98
Donde el baño?	This is a little salty.	458	Where is the bathroom?	147
Donde el pinakacerca iglesia?	Owing to the storm, they arrived late.	720	Where's the nearest church?	499
Donde el salida?	This building is made of stone.	56	Where's the exit?	733
¿Dónde na Austria que usted ya engrandá?	He has a hairy chest.	131	Where in Austria did you grow up?	240
Donde puede llamá na teléfono?	The sun is rising.	830	Where can one make a phone call?	832
Donde ya de mío antipara?	You were absent from school yesterday.	183	Where are my glasses?	405
Donde ya de mío páyung?	I closed my eyes.	898	Where's my umbrella?	221
Dulce el azúcar.	How old are you?	479	Sugar is sweet.	427
El Dios lang sabe!	Do you know when they will arrive?	778	God only knows!	210
Ele de mio hermana mayor.	Have you decided whether or not you're going to sell your house?	916	She is my older sister.	980
Ele un haragán	It's your favorite song.	419	She's a slob.	257
Este de tuyo vino?	Do you want to hear it?	756	Is this your wine?	542
Este diamon bag.	I want to learn Chinese next year.	759	This is our bag.	906
Este maga tiempo poco estudiante ya lang ta usá lápiz.	She gave him a massage.	945	Few students use pencils these days.	320
Este noche debe na casa ya yo antes de oscurezca.	Where is your brother?	520	I have to be home tonight before it gets dark.	508
¿Evos, cuántos años ya?	I have to rehearse.	637	How old are you?	495
Falta un tenedor.	Give me the shovel.	484	One fork is missing.	246
Favor.	Can I get a tattoo?	224	Please.	298
Favor virá aquí ahora mismo.	How did you fall into the swamp? Someone shoved us.	231	Please come back at once.	979
Habla tu el verdad.	Call me when it's done.	121	Tell the truth.	292
Hay estudía tú	I brought some of my books to read.	937	You will study.	932
Hay estudía usted.	I think I left my umbrella in your car.	514	You will study.	987
Hay estudía vos.	We play soccer every Saturday.	316	You will study.	351
Hechura'y pato man ese.	You should pay your debts.	626	It looks like a duck.	957
Hindê bueno el alcohol para na salud.	Why would you marry a woman if you like men?	208	Alcohol is bad for the health.	111
Hindé ese de tuyo cuchillo.	The mountain is covered with snow.	822	That is not your knife.	947
Hindê esté makarisas.	The party finished at nine.	3	This isn't funny.	60
Hindé gente el gato!	The baby cannot use a spoon yet.	694	A cat is not a human being!	966
Hindé inglés el cosa yo ta escribí.	I don't like spiders and snakes.	580	What I write is not English.	212
Hindê kitá andá allá.	It is bad to count all the things that you gave.	113	We're not going there.	944
Hindé le satisfechao cunel resulta.	I don't want to play cards.	664	He is unsatisfied with the result.	376
Hindé necesita andá na tienda si Tom.	Why don't you let us go?	206	Tom doesn't need to go to the store.	560
Hindê se fácil.	Tom seems nervous.	65	That's not easy.	125
Hindê tan lútang el piedra.	Are you busy?	703	A stone does not float.	738
Hindé tu igual cumigo.	We bought her a necklace.	909	You're not like me.	777
Hindé tu necesita ablá aquel cumigo.	We have to paint the bathroom ceiling.	615	You didn't need to tell me that.	514
Hindé tu necesita trabajá gayót.	She watered a tree.	391	You don't have to work so hard.	225
Hindé tu pirmi puede asé cosa tu quiere.	That's none of your business.	185	You can't always do what you want.	502
Hindé tu puede vené aqui luego de noche.	Who were those guys?	746	You can't come over tonight.	959
Hindé yo ta dale comé de mio perro si ága.	What are you waiting for?	41	I don't feed my dog in the morning.	949
Hindé yo ta entendé cosa le quiere.	"How did you fall into the swamp?" "Someone pushed us in."	741	I can't make out what he wants.	244
Hindê yo ta poné azúcar na de mío café.	Tom hasn't called Mary yet.	678	I don't add sugar to my coffee.	754
Ilegal el sabungán na mucho país.	It's not blood.	564	Cockfighting is illegal in many countries.	779
Instalá enbuenamente el maná ventiladores y el radiador na tu caja de ordenador.	Why is she doing this?	207	Install properly the fans and radiator in your computer case.	967
Interesáo pa ba ele?	Give me the knife.	483	Is she still interested?	343
Intumido de mío maga dedo.	Alcohol is bad for the health.	90	My fingers are numb.	797
Jendêh bueno sunsacá el maga cosas que vos ya dalé ya.	I don't want to bother Tom.	164	It's not good to count all the things that you have already given.	13
Jendêh bueno sunsacá el mana cosas que tú ya dalé ya.	Tom doesn't know what's in this box.	192	It is bad to count all the things that you gave.	95
Jendêh bueno sunsacá el mana cosas que usted ya dalé ya.	We want to learn some Spanish songs.	751	It is bad to count all the things that you gave.	53
Jendêh tú necesita estudía.	She climbed down from the roof.	889	You don't have to study.	601
Jendêh usted necesita estudía.	Where are you from?	885	You don't have to study.	850
Jendêh vos necesita estudía.	Why didn't you wake me up?	722	You don't have to study.	729
Largo esté falda.	You can't separate language from culture.	152	This skirt is long.	750
Lavá de tuyo mano antes de agarrá cunel comida.	This knife is very sharp.	432	Wash your hands before you handle the food.	658
Libro esté de Tony.	We can't do this now.	150	Tony owns this book.	661
Llamá cumigo si acabao ya.	We must follow Tom.	491	Call me when it's done.	85
Llevá cumigo ese vaso de leche.	Tom needs a dry towel.	620	Bring me that glass of milk.	371
Loco sila con usted.	"How did you fall into the swamp?" "Someone pushed us in."	229	They're mad at you.	367
Mabuling el maga toalla.	Onions cook more quickly than potatoes.	605	The towels are dirty.	35
Maga mediodía ya kamé ta comé.	That's not easy.	98	We have lunch about noon.	310
Malo sunsacá el maga cosas que tú ya dalé ya.	I don't want to be rich.	669	It's not good to count all the things that you have already given.	395
Manada yo malí ya hacé.	The candle went out by itself.	336	I made a lot of mistakes.	511
Man hermana kandá Mari y Maki.	He who knows does not speak, he who speaks does not know.	235	Mari and Maki are sisters.	487
Man lumús era yo si hindé por causa de tuyo ayuda.	Kylie Padilla as Sang'gre Amihan, the keeper of the wind gem.	995	Without your help, I would have drowned.	555
Man mirahan kitá na Domingo.	You may go home.	736	Let's meet on Sunday.	270
Ma-pelo de suyo pecho.	I have two cousins.	313	He has a hairy chest.	69
Mas grande de mío cuchara!	Tom called the cops.	365	My spoon is bigger!	293
Ma-sustancia el leche.	You are a beautiful butterfly.	325	Milk is nutritious.	519
Mediodia ay llega el tren.	Look at that red-roofed house.	136	The train is due at noon.	344
Mediodía le ta despertá.	She is giving the baby a bath.	280	He wakes up at noon.	958
Mirá tu cunaquel casa na colorao el techo.	I saw Tom last night.	372	Look at that red-roofed house.	134
Na detrás del casa el jardín.	Tom is watching TV in his room.	820	The garden is behind the house.	663
Necesita ba yo man celos?	Tom wants to go.	239	Should I be jealous?	894
Necesita le páyung.	Pigs can't fly.	155	He needs an umbrella.	876
Necesita silá cuchillo agudo.	I don't like studying.	166	They need a sharp knife.	491
Necesita yo andá meá.	We want to become famous.	240	I need to pee.	650
Necesita yo durmí antes man madrugada.	You are a beautiful butterfly.	888	I need to go to sleep before midnight.	920
Necesita yo pensá.	Grab a spoon.	266	I have to think.	638
Necesita yo sabé.	May I use your car today?	217	I have to know.	655
Necesita yo trabajá.	From where are you?	493	I have to work.	748
Necesita yo un toalla.	You must hurry up.	621	I need a towel.	338
No hay kamé clase este dia.	Where is the bathroom?	66	We have no school today.	48
No hay na baño el medicación de Tom.	My little brother asked for some money.	955	Tom's medication's not in the bathroom.	160
No hay yo quever cosa tu ta hacé con de tuyo sen.	You shouldn't drink this water.	174	I don't care what you do with your money.	915
No puede kitá hacé cuneste ahora.	I'll get you a towel.	429	We can't do this now.	120
No puede kitá mandá cun Tom hacé cosa le no quiere hacé.	My knife is sharp.	408	We can't make Tom do something he doesn't want to do.	374
No puede tu apartá el lenguaje na cultura.	He was panting.	286	You can't separate language from culture.	118
No puede tu cunese vendé.	The ceiling fan is on.	404	You can't sell it.	436
No puede tu forsá cumigo hacé cosa yo no quiere hacé.	We just finished.	686	You can't force me to do anything I don't want to do.	758
No puede volá el maga puerco.	Who broke the window?	238	Pigs can't fly.	139
No puede yo alcanzá cunel quísame.	Do you know when Tom's birthday is?	777	I can't reach the ceiling.	477
No puede yo perdoná el cosa tu ya hacé.	She couldn't come because she was busy.	652	I can't forgive what you did.	977
No puede yo subí cuneste monte.	It is bad to count all the things that you gave.	595	I cannot climb this mountain.	324
No quiere le salé na cama.	We've been so lucky.	24	She doesn't want to get out of bed.	205
No quiere más yo man cuento.	Tom's medication's not in the bathroom.	148	I don't want to talk anymore.	438
No quiere yo andá allí.	Tom has a lot of religious books, but he has never read them.	21	I don't want to go there.	397
No quiere yo comé aquí.	He gave the child a toy.	912	I don't want to eat here.	359
No quiere yo comprá cunese.	Who broke the cup?	236	I don't want to buy it.	718
No quiere yo distorbá cun Tom.	Tom stopped breathing.	380	I don't want to bother Tom.	112
No quiere yo está aquí.	Where is my comb?	519	I don't want to be here.	65
No quiere yo estudia.	If you stay out drinking every night, your wife is going to leave you.	272	I don't like studying.	140
No quiere yo gritá.	Do you know where your father went?	783	I don't want to shout.	318
No quiere yo nadá.	Mary is carrying a watermelon.	277	I don't want to swim.	723
No quiere yo oí cunese.	Don't you have anything to do?	647	I don't want to hear it.	575
No quiere yo olvidá.	Take any two cards you like.	792	I don't want to forget.	791
No quiere yo pará.	I need a hammer.	642	I don't want to stop.	913
No quiere yo sufrí.	Do you know who bought your painting?	262	I don't want to suffer.	607
No tené miedo.	There's a pig in the sty.	858	Don't be afraid.	924
No tú debe tomá este agua.	Ostriches don't fly because they have very short wings.	569	You shouldn't drink this water.	149
No usted debe tomá este agua.	Are you fat?	554	You shouldn't drink this water.	454
Nuay el maga puerco na tangkal.	Put the shovel down.	584	The pigs are not in the pen.	668
Nuáy gente na casa.	"How many dialects are there in the Chavacano language?" "The Chavacano language has six dialects."	480	There's nobody home.	643
Nuáy le ni un amigo.	Cuff him.	719	He does not have any friends.	720
Nuay más hojas el maga ponô.	He knocked his knee against the chair.	376	The trees are already bare.	418
Nuáy pa acabá.	Why do people tell lies?	723	It's not done yet.	3
Nuay quien puede hablá.	What is the news?	467	No one can say.	868
Nuáy quien ta entendé cun ustedes.	You're prettier than her.	603	Nobody understands you.	251
Nuáy tu andá na escuela ayer.	Why do you ask?	213	You were absent from school yesterday.	71
Nuay tu escribí cunele carta?	We've got a visitor.	842	Didn't you write him a letter?	845
Nuay tu quever.	Tom kicked the can.	953	That's none of your business.	103
Nuáy umu si nuáy fuego.	My neck hurts a little.	810	There is no smoke without fire.	259
Nuáy yo quever cunese!	The frying pan is rusty.	592	I don't give a damn about it!	657
Numá cumigo priguntá olet.	She shaved her armpits.	390	Don't ask me again.	710
Numá olvidá trancá cunel puerta.	Do you know who broke this window?	263	Don't fail to lock the door.	250
Nunca yo ay abandoná cuntigo.	They don't want you to know.	656	I will never abandon you.	992
Nunca yo ay olvidá con vosotros.	The young woman slapped the man who pinched her buttocks.	379	I will never forget you.	956
Nusabe si Tom cosa taquí adentro del cajón.	What are you going to do tonight?	38	Tom doesn't know what's in this box.	113
Nusabe yo cosa ay pasá cumbó.	Tom has a black dog.	848	I don't know what's going to happen to you.	33
Ocupao si Tom este mga momento, entonces no puede ele conversá cuntigo.	Tom is busy now, so he can't talk with you.	194	Tom is busy now, so he can't talk with you.	194
¿Ocupao tú?	Choose books carefully.	538	Are you busy?	434
Okey lang quedá baklá.	I left the keys with my wallet.	354	It's okay to be a gay.	444
Okey lang si abrí yo un lata?	"How many dialects are there in the Chavacano language?" "The Chavacano language has six dialects."	50	Is it OK if I open a can?	369
Paít man esté café.	Could you hand me the newspaper on the table?	220	This coffee tastes bitter.	357
Pakimodo de lejos?	He promised not to tell.	387	How far?	628
Pará un rato, ha?	I drank milk.	395	Stand for a bit, okay?!	897
Peligroso gayot travesá na camino.	Is it OK if I stay here?	706	It is very dangerous to cross this street.	686
Pensaba yo hermano le de mio.	What time do you usually leave home?	471	I thought he was my brother.	702
Pescáo ese.	I do want to learn!	750	It's a fish.	340
Poco lang estudiante ta puedé lé Latín.	Return with the sender.	62	Few students can read Latin.	848
Por favor manejá cun cuidáo.	She doesn't want to get out of bed.	159	Please drive safely.	871
Por que hindé tu kanamon mandá andá?	Do you know when Tom will be back?	250	Why don't you let us go?	97
Por que le ta hacé cunesté?	I'm allergic to corn.	413	Why is she doing this?	109
Por que man tu casá na un mujer si quiere tu hombre?	There's a reason for everything.	317	Why would you marry a woman if you like men?	90
Por que pa tu necesita peine si nuay man tu pelo?	You really believe in ghosts?	807	Why do you need a comb if you have no hair?	44
Por que ta mandá tiñí el maga gente cunel pelo?	God only knows!	74	Why do people dye their hair?	695
Por que tu hindé ta trabajá?	I said you could leave.	406	Why aren't you working?	743
Por que tu quiere cunese?	What I write is not English.	94	Why do you like it?	335
Por que tu ta priguntá?	The ice watered down the juice.	931	Why do you ask?	183
Por que tu ta ré?	There is a fork here.	859	Why are you laughing?	837
Por que ya inventá cunel dinero?	You have a sharp sense of direction.	544	Why was money invented?	355
