source_sent	target_sent	target_id	gold_sent	gold_id
Die kann man nicht in einem Geschäft kaufen. 	Can you suggest a solution? 	219	You can't buy these in a store. 	373
Unterlasse deine Lügen! 	I like to drink tea. 	427	Stop with your lies. 	527
Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	I should've eaten before Tom. 	405	There is no such thing as bad weather, only the wrong clothes. 	503
Tom sucht einen Bleistift. 	I could've done this without your help. 	527	Tom is looking for a pencil. 	499
Hast du in Erfahrung bringen können, warum Tom von der Schule geflogen ist? 	People don't like Mary. 	804	Did you find out why Tom was kicked out of school? 	721
Unsere jüngste Tochter heißt Maria. 	I'll speak to Tom about that as soon as I can. 	903	Our youngest daughter's name is Mary. 	999
Hat Tom viel Geld? 	It makes Tom happy when he makes other people happy. 	751	Does Tom have a lot of money? 	840
Bis morgen kann ich damit nicht fertig werden. 	Are you sure Tom winked at me? 	877	I won't be able to finish the work by tomorrow. 	895
Du akzeptierst mich, wie ich bin. 	Let's stay a little bit longer. 	638	You accept me for who I am. 	93
Energietränke sind sehr teuer. 	They spoke to me in French, even though I told them I wanted to practice my English. 	924	Energy drinks are really expensive. 	940
Es gereut uns nie, zu wenig gegessen zu haben. 	There's enough room for everyone. 	62	We never repent having eaten too little. 	660
Er plant, für zwei Wochen hierzubleiben. 	What happened at your place last night? 	276	He is planning to stay here for two weeks. 	797
Wusstest du, dass Tom und Johannes Brüder sind? 	If I'd noticed, I would've told you. 	995	Did you know that Tom and John were brothers? 	177
Tom geht jeden Morgen dorthin. 	Did you remember to send my letter? 	826	Tom goes there every morning. 	95
Wer hat ihr meine Adresse gegeben? 	Did you think that Tom and Mary were a couple? 	457	Who gave her my address? 	318
Ich muss mich bei dir für meine gestrigen Worte entschuldigen. 	What Tom was wearing wasn't appropriate. 	304	I need to apologize to you for what I said yesterday. 	173
Tom sah wirklich schlimm aus. 	Tom got upset over nothing. 	166	Tom really looked terrible. 	542
Tom und Maria scheinen sich guter Gesundheit zu erfreuen. 	I hope it doesn't rain on Monday. 	309	Tom and Mary seem to be in good health. 	845
Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	I wanted to buy the book, but I discovered that I only had two hundred yen on me. 	674	It's a miracle she's still alive after that fall. 	377
Als Tom am Laden ankam, war schon geschlossen. 	I want to know her name. 	343	By the time Tom got to the store, it was already closed. 	690
Es lösche bitte jemand diesen Satz. 	We have time. There's no rush. 	706	Someone please delete this sentence. 	143
Tom bedeutete mir, still zu sein. 	Have you ever made rhubarb jam? 	324	Tom motioned for me to be quiet. 	272
Als ich ankam, war die Feier schon vorbei. 	Nobody sat in the back. 	469	By the time I got there, the party was already over. 	580
Es ist gestern am späten Abend passiert. 	I immediately knew something was wrong. 	322	It was late last night that that happened. 	109
Nur weil sich niemand beschwert, kann man noch lange nicht schlussfolgern, dass die Kunden zufrieden sind. 	The first steps are always the hardest. 	138	Just because no one's complaining doesn't mean the customers are happy. 	869
Eine einfache Fahrt nach Newcastle bitte. 	Since she didn't win, Mary started sulking. 	341	A single to Newcastle, please. 	917
Tom reitet schon sein ganzes Leben lang. 	There's no one who can stand him. 	712	Tom has been riding horses all his life. 	426
Davor fürchtet sich Tom am meisten. 	The first time I saw this movie was years ago at a drive-in movie theater. 	159	That's what Tom fears the most. 	259
Du solltest nicht allzu nahe an Toms Wagen parken. 	I missed you at the club last night. 	168	You might not want to park too close to Tom's car. 	39
Es ist für alle genug Platz. 	There's no need to mention that Tom was the one who did this. 	723	There's enough room for everyone. 	398
Wir waren alle in Tom verliebt. 	Grab what you need. 	359	We were all in love with Tom. 	248
Er war ein ganz Harter. 	Do elephants eat meat? 	561	He was a tough guy. 	814
Ist die nächste Haltestelle „Camden Town“? 	This blue thing isn't yellow. 	725	Is the next stop "Camden Town"? 	414
Tom lächelt manchmal, aber nicht sehr oft. 	You've caught the thief. 	63	Tom smiles sometimes, but not very often. 	207
Ich werde immer hoffen. 	We can thank Tom for that. 	940	I will always be hoping. 	314
In Australien schneit es sehr selten im Dezember. 	The wind is very strong. 	351	In Australia, it very rarely snows in December. 	359
Versuchen Sie es doch einmal in dem Laden gegenüber. Vielleicht hat man dort, was Sie suchen. 	Why do you hate Japanese? 	536	Try the store across the street. They might have what you're looking for. 	76
Ich möchte meine Ideen besser auf Französisch ausdrücken können. 	Did you make all this up? 	508	I want to become better at expressing my ideas in French. 	681
Denk erst nach, bevor du etwas sagst! 	The crater was a possible oasis in its distant past. 	922	Think about what you say before you say it. 	865
Beide Antworten sind korrekt. 	You might not want to park too close to Tom's car. 	28	Both answers are correct. 	533
Montag haben wir einen Französischtest. 	Ask someone else. 	994	We have a French test next Monday. 	993
Habt ihr weit weg geparkt? 	My son really likes slugs. He says they're sticky and slippery, and he finds that fascinating. 	318	Have you parked far away? 	646
Klingt mein Französisch komisch? 	Tom will probably be convicted of fraud. 	587	Does my French sound weird? 	792
Auf Tom war immer Verlass. 	Fresh mushrooms are so tasty. 	654	We could always count on Tom. 	638
Er war der letzte, der in diesem Haus wohnte. 	Tom can’t tie his own tie. 	996	He was the last one to live in this house. 	907
Die brauche ich wohl nicht mehr. 	He is one of my colleagues. 	961	I guess I don't need these anymore. 	415
Ich will keinen Apfelsaft mehr trinken. 	I'm Tom, Mary's ex-husband. 	329	I don't want to drink any more apple juice. 	832
Dank des Internets leben wir in einer Zeit des Aufschiebens. 	There are a lot of weeds in your garden. 	48	Thanks to the internet, we're living in the era of procrastination. 	631
In deinem Garten steht viel Unkraut. 	None of my students would do such a thing. 	292	There are a lot of weeds in your garden. 	47
Tom lässt sich weder als konservativ noch als liberal einstufen. 	Someone will have to tell Tom. 	468	Tom doesn't identify as either a conservative or a liberal. 	80
