source_sent	target_sent	target_id	gold_sent	gold_id
Ou pèd lajan'w ?	I'm holding up.	41	Did you lose your money?	72
Pa mélé mwen kon sa !	That's why.	78	Do not confuse me like that!	6
Lété, nou ka pati kanpé.	There is oxygen in this bottle.	82	Every summer, we go camping.	54
Ban mwen on tibo, dé tibo, twa tibo, doudou.	He has come!	9	Give me one kiss, two kisses, three kisses, darling.	99
I ka bwè.	My name is Jim.	67	He drinks.	87
I pran on katon wouj.	I need to sell my farm.	47	He got a red card.	48
I fèt avèg.	Do not confuse me like that!	1	He has been blind from birth.	61
I ni on kansè.	My name is Yamada.	72	He has cancer.	50
I chanjé.	Help me!	15	He has changed.	22
I vini !	The capital of France is Paris.	80	He has come!	3
I ni lajan	I want to visit Boston.	58	He has money.	11
I ni diven.	He has money.	10	He has wine.	90
I ka manjé.	I need a lot more money.	45	He is eating.	41
I ka jwé.	I drink.	33	He is playing.	93
Bonjou, ka'w fè ?	I want to sell my farm.	56	Hello, how are you?	100
Rédé mwen !	I have cancer.	37	Help me!	8
I ka di tout moun papa a i sé on avyatè.	I prefer speaking in French.	50	He tells everyone his dad is an aviator.	56
Tinon a madanm a'y sé Liz.	I don't want to go to school.	32	His wife’s name is Liz.	94
Tinon a madanm-mayé a'y sé Liz.	My name is Irakli.	66	His wife’s name is Liz.	46
Mwen sé moun Dominik.	I need a lot more money.	44	I am Dominican.	67
Mwen ka bwè èvè on pay.	I'd like to buy a dog.	30	I am drinking with a straw.	71
An ka manjé.	My name is Ichiro.	65	I am eating.	23
Mwen ka manjé.	He has changed.	8	I am eating.	60
An ka chèché on bijoutri.	I am eating.	21	I am looking for a jewelry store.	43
Mwen ka chèché on bijoutri.	I want to sell my farm.	55	I am looking for a jewelry store.	62
An ka chèché on boutik.	Where?	96	I am looking for a shop.	78
Mwen ka chèché on boutik.	We are eating.	89	I am looking for a shop.	29
An ka jwé.	I'm Tom.	42	I am playing.	84
Mwen sé Tòm.	My name is Dan.	63	I am Tom.	95
An té ké vlé achté on chyen.	I am looking for a shop.	26	I'd like to buy a dog.	83
