source_sent	target_sent	target_id	gold_sent	gold_id
Ba'y on palkondywit.	Que c'est beau !	835	Accompagne-la.	49
Ba'y on palkondywit.	Mets deux carottes avec la viande !	723	Accompagne-le.	954
Ba yo on palkondywit.	Les lapins ont de longues oreilles.	695	Accompagne-les.	874
A dèmen !	Voici Ophélie.	971	À demain !	417
Rédé mwen.	Voici Anna.	951	Aide-moi.	162
Rédé mwen !	Merci beaucoup, ce sera tout.	718	Aidez-moi !	48
Rédé mwen.	Tu es en train de maigrir !	908	Aidez-moi.	100
An nou akaz a'y !	Il est six heures.	264	Allons chez elle !	39
An nou akaz a'y !	Vous avez un gros nez.	986	Allons chez lui !	710
An nou akaz a'w !	Il a cent ans.	197	Allons chez toi !	743
Limé bouji-la.	Voici Gaston.	957	Allume la bougie.	318
Limé limyè-la.	Il m'a fait perdre le fil de mes idées.	288	Allume la lumière.	136
Limé bouji-la.	Le jeune garçon a raté son bac.	684	Allumez la bougie.	66
Alò, ka ou fè ?	Elles mangent du riz.	175	Alors, comment vas-tu ?	431
Aoyi ka dansé.	Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.	540	Aoi danse.	918
Bay waka !	Combien d'enfants ont-elles ?	83	Applaudissez !	822
Apwé manjé-la, an toujou ka manjé on fwi.	J'aime les patates douces.	414	Après le repas, je mange toujours un fruit.	561
Ou ni dé liv ?	Oui, pourquoi ?	797	As-tu deux livres ?	102
Ou ni bon vlen ?	Combien coûtent ces chaussures ?	81	As-tu du bon venin ?	85
Ou pèd lajan'w ?	Tu mangeras.	921	As-tu perdu ton argent ?	261
Ès ou ja fè manjé la ?	Nous l'avons fait exprès !	757	As-tu préparé le repas ?	187
A talè !	Il va faire beau.	344	À tout à l'heure !	589
Ovwa !	La boussole indique le nord.	657	Au revoir !	714
Avan an té enmé'w.	Elles ont un gros nez.	183	Autrefois je t'aimais.	359
Avan mwen té enmé'w.	J'ai quatorze ans.	442	Autrefois je t'aimais.	198
Ès ni ou tab pou senk moun ?	Jésus est vivant !	606	Avez-vous une table pour cinq ?	641
Bésé mizik-la !	Dans le futur, je serai chanteur !	94	Baisse la musique !	567
Byenvini !	J'ai besoin de toi.	362	Bienvenue !	40
Byenbonjou, non an mwen sé Tina.	Je mange une glace.	516	Bonjour, je m'appelle Tina.	355
Bonjou ! Non an mwen sé Tòm.	J'ai six ans.	449	Bonjour ! Je m'appelle Tom.	927
Bonjou konpè ! Ka sa yé ?	Ne pleure plus !	742	Bonjour mon ami ! Comment ça va ?	482
Bonswa !	Non, ne fais pas ça !	747	Bonsoir !	540
Bonswè !	Si elles veulent.	875	Bonsoir !	169
Bonswa, ka ou fè ?	Il est sur son balcon.	265	Bonsoir, ça va ?	608
Bonswè, ka ou fè ?	C'est très bon !	68	Bonsoir, ça va ?	685
Bonswa madanm !	Peux-tu retirer cinquante euros ?	816	Bonsoir Madame !	411
Bonswè madanm !	Je m'appelle Luis.	529	Bonsoir Madame !	796
Bonswa mésyézédanm !	Ils ont quatre-vingts dollars.	333	Bonsoir Mesdames et Messieurs !	966
Bonswè mésyézédanm !	Elles boivent beaucoup d'eau.	171	Bonsoir Mesdames et Messieurs !	628
Bonswè misyé !	Allons chez elle !	7	Bonsoir monsieur !	328
Pa ni ayen !	Bienvenue !	27	Ça va !	688
Sa k'ay ?	Il est moins grand que lui.	255	Ça va ?	383
Sa k'ay.	J'ai cent ans.	363	Ça va.	138
Siléma-lasa ka fè yo pè.	Il allait manger.	206	Ce film leur fait peur.	492
Motè lasa ka fè dis anpè.	J'habite à Saint-François.	647	Ce moteur fait dix ampères.	845
Sa pa asiwé.	Voici Jérémie.	963	Ce n'est pas certain.	313
A pa lapenn.	Il a dix ans.	200	Ce n'est pas la peine.	629
A pa manman an mwen.	Voici Christophe.	954	Ce n'est pas ma mère.	775
A pa Mawi ?	Aidez-moi !	5	Ce n'est pas Marie ?	507
A pa sè an mwen.	Accompagne-la.	0	Ce n'est pas ma sœur.	489
A pa fwè an mwen.	Il garde ses secrets pour lui.	280	Ce n'est pas mon frère.	707
A pa Èstéfann ?	C'est une très bonne cavalière.	69	Ce n'est pas Stéphane ?	588
A pa Tòm ?	Nous cherchons du travail.	755	Ce n'est pas Tom ?	938
A pa jé !	Ils boivent beaucoup d'eau.	313	Ce n'est pas une blague !	558
Pwasa-lasa bidim !	Je ne peux pas faire ça demain.	548	Ce poisson est immense !	311
Sé liv-lasa bazé si Labib.	Où étais-tu passé ?	784	Ces livres sont basés sur la Bible.	948
Sé konsa mwen yé.	Donne lui-en !	122	C'est ainsi que je suis.	368
Sé konsa i yé.	J'ai mangé du pain.	388	C'est ainsi qu'elle est.	773
Sé konsa nou yé.	Tu n'allais pas manger.	926	C'est ainsi que nous sommes.	447
Sé konsa zò yé.	Je viens de manger un falafel.	639	C'est ainsi que vous êtes.	129
Sé konsa i yé.	Il n'a pas mangé.	296	C'est ainsi qu'il est.	133
Sé konsa yo yé.	Donnez-lui l'anesthésie.	150	C'est ainsi qu'ils sont.	346
An ka palé ba'w.	Je suis de France.	575	C'est à toi que je m'adresse.	597
A sa ou di.	Je suis en train de manger une pomme.	584	C'est ce que tu dis.	222
Sa kon sa.	Il est tellement froussard qu'il ne veut pas aller dehors le soir.	266	C'est comme ça.	635
I ka wété kotésit.	Je suis malade.	592	C'est ici qu'il habite.	553
Sé'y menm ki fè kaz a'y.	Allumez la bougie.	12	C'est lui-même qui a construit sa maison.	484
Sé fimèl-bèf an mwen.	Il a quarante-deux ans.	215	C'est ma vache.	528
Sa bon menm !	Donne-moi ce petit pain.	127	C'est très bon !	34
Sé on bon kavalyèz toubòlman.	Donne-moi le dictionnaire.	137	C'est une très bonne cavalière.	51
Sé on bon dansèz toubòlman.	J'ai quarante ans.	439	C'est une très bonne danseuse.	794
Sé on bon najèz toubòlman.	Voici Flavien.	956	C'est une très bonne nageuse.	885
Sé on bon chantè toubòlman.	Non, ne fais pas ça !	748	C'est un très bon chanteur.	410
Sé on bon najè toubòlman.	Où sommes-nous ?	805	C'est un très bon nageur.	415
Apawèy-lasa two konpliké ban mwen.	Dans le futur, je serai danseuse !	97	Cet appareil photo est trop sophistiqué pour moi.	287
Répons-lasa sé érè.	Le zouk est le seul remède que nous ayons.	705	Cette réponse est fausse.	737
An malad a wòb-lasa.	L'ouïe est le sens qui permet d'entendre.	707	Cette robe me plaît énormément.	816
Chanté ba on bouwikèt, sé kaka i ké ba'w.	Ne touche pas à ça !	746	Chantez pour un âne, il vous donnera des crottes.	662
Syèl !	Tu n'aurais pas dû me faire ça.	929	Ciel !	499
Ki pwi a mayo-lasa ?	Je cherche des amis.	471	Combien coûte ce maillot de bain ?	457
Ki pwi a pantalon-lasa ?	Si tu veux.	883	Combien coûte ce pantalon ?	759
Ki pwi a soulyé-lasa ?	Levez le pied, il y a des enfants qui jouent ici !	701	Combien coûtent ces chaussures ?	18
Konmen timoun i tini ?	Vous avez mangé.	985	Combien d'enfants a-t-il ?	807
Konmen timoun yo tini ?	J'aime rêver.	426	Combien d'enfants ont-elles ?	15
Kijan ou touvé fim-la ?	Mon père est chasseur.	736	Comment as-tu trouvé le film ?	199
Kijan zòt fè ?	As-tu du bon venin ?	18	Comment faites-vous ?	201
Kijan ?	Je suis allé le voir samedi dernier.	571	Comment ?	299
Kijan yo fè'y ?	Je cherche un magasin de jouets.	486	Comment l'ont-ils fait ?	316
Kijan a'w ?	Si elle veut.	876	Comment vas-tu ?	284
Ay tou dwèt !	Voici Xavier.	980	Continuez tout droit !	342
Hélé !	Je vais manger un citron.	633	Crie !	964
Hélé !	Donne-moi la boîte.	132	Criez !	94
Plita, an ké on avyatè !	Il se lave.	315	Dans le futur, je serai aviateur !	787
Plita, an ké on chanpyon ténis !	J'ai besoin de toi.	361	Dans le futur, je serai championne de tennis !	987
Plita, mwen ké on chantè !	Criez !	91	Dans le futur, je serai chanteur !	26
Plita, mwen ké on chantèz !	Je mangerai un kiwi.	511	Dans le futur, je serai chanteuse !	915
Plita, mwen ké on dansè !	Il y a beaucoup de fumée.	350	Dans le futur, je serai danseur !	172
Plita, mwen ké on dansèz !	Jeune homme, quelles sont tes intentions au sujet de ma fille ?	631	Dans le futur, je serai danseuse !	74
Dàn k'ay koumansé.	Tu me manques.	924	Dan va commencer.	195
Woté ba-la asi bouwikèt-la !	Quand il vit la quantité de fruits sur le corossolier, il se mit à chanter.	828	Débâte l'âne !	691
Doubout !	Aidez-moi.	6	Debout !	785
Ayisyen débaké Mawi-Galant.	Il mange une glace à la vanille.	291	Des Haïtiens ont débarqué à Marie-Galante.	612
Dis, onz, douz, trèz, katòz, kenz, sèz, disèt, dizywit, diznèf, ven.	As-tu deux livres ?	17	Dix, onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt.	827
Dis, ven, trant, karant, senkant, swasant, swasanndis, katrèven, katrèven-dis, san.	Il faut que tu ajustes la porte.	275	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.	125
Ban manman sa !	Qu'est-ce qu'on était fatigués hier !	858	Donne ça à maman !	353
Ba papa sa !	Es-tu d'ici ?	186	Donne ça à papa !	135
Ba Jàn boutèy-lasa.	Un jeune garçon s'est noyé en mer.	941	Donne cette bouteille à Jeanne.	121
Ba Èstéfann ponm-la.	Éteins la lumière !	187	Donne la pomme à Stéphane.	980
Ban manman li !	J'ai une touche avec elle.	461	Donne-le à maman !	458
Ba'y li !	Je m'appelle Lucas.	528	Donne-le lui !	723
Ban mwen i.	Qu'est-ce que ça veut dire ?	853	Donne-le-moi.	644
Ban mwen li !	Je suis plus grand qu'eux.	603	Donne-le moi !	548
Ban nou li !	Il a onze ans.	211	Donne-le nous !	568
Ba yo sak-lasa.	Que font les assistants ministériels pour nous ?	843	Donne-leur ce sac.	301
Ba yo chèz-la.	Supposons qu'ils ne veuillent pas venir.	891	Donne-leur la chaise.	454
Ba yo pen-la.	Il est l'amour de ma vie.	253	Donne-leur le pain.	443
Ba yo sé liv-la.	J'ai cinquante et un ans.	368	Donne-leur les livres.	912
Ba yo téléfòn-la.	Je cherche un magasin de chaussures.	485	Donne-leur le téléphone.	664
Ban'y liv-lasa.	Le nerf est sous la peau.	689	Donne-lui ce livre.	960
Ba'y tan manman !	Je cherche un poissonnier.	491	Donne-lui celui de maman !	631
Ba'y ta papa !	Il a marqué trois buts pendant le match.	209	Donne-lui celui de papa !	910
Ba i balan !	Donne cette bouteille à Jeanne.	106	Donne-lui de l'élan !	238
Ba'y adan'y !	Il a vingt ans.	234	Donne lui-en !	56
Ba'y adan'y !	J'aime dormir.	409	Donne-lui en.	126
Ban'y liv-la.	Il est temps de partir.	267	Donne-lui le livre.	928
Ban'y sé liv-la.	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.	103	Donne-lui les livres.	593
Ban mwen ti kayé lasa.	Donne-lui en.	123	Donne-moi ce petit cahier.	651
Ban mwen ti pen lasa.	Ils n'allaient pas manger.	327	Donne-moi ce petit pain.	68
Ban mwen ti liv lasa.	Si tu passes trop de temps à te balader, tu n'auras rien à manger !	882	Donne-moi ces petits livres.	585
Ban mwen abajou-lasa.	C'est ainsi que vous êtes.	59	Donne-moi cet abat-jour.	831
Ban mwen bwèt-lasa.	La voiture s'est enlisée dans un bourbier.	672	Donne-moi cette boîte.	502
Ban mwen abajou-la.	Je lis; tu écris.	497	Donne-moi l'abat-jour.	286
