source_sent	target_sent	target_id	gold_sent	gold_id
Mannen snakket med lav stemme.	Love me tomorrow!	111	The man spoke in a low voice.	891
Han er uten tvil mye flinkere enn deg.	You have a son, don't you?	19	He is, without doubt, much better than you.	182
Han småsov hele tiden.	Tom is very interested in biology.	336	He dozed all the while.	853
Noen spiller piano.	I also like cake.	871	Somebody is playing the piano.	312
De krysset atlanterhavet.	Tom started to untie his shoes.	557	They crossed the Atlantic Ocean.	804
Faen! Jeg har punktert!	Tom thinks he's ready.	127	Shit! I've got a flat.	650
Det er dyrt å bo i Japan.	More haste, less speed.	14	It is expensive to live in Japan.	546
Jeg respekterer uselviskheten hans.	I burned all the letters that you wrote me.	641	I respect his selflessness.	578
Duer og høner er fugler.	The interest amounts to NOK 3,000 a year.	333	Pigeons and hens are birds.	119
Ikke gå dit alene.	We have less snow here than usual.	374	Don't go there alone.	609
Han er min bror.	Latin Americans know very little about the history of the indigenous peoples who used to live here several centuries ago.	808	He's my brother.	115
Tom trodde han hadde en sjangse til å overleve.	It is important to try to get along with people from foreign countries.	53	Tom thought he had a chance to survive.	939
Alle fortjener en ny sjanse.	They fought a fair battle with the enemy.	146	Everyone deserves a second chance.	976
Vi må gjøre dette ferdig før vi kan gå hjem.	Tom always seems to be working.	737	We've got to finish this before we can go home.	725
Hastverk er lastverk.	For Norwegians, it is normally not difficult to understand what a Swede is saying.	954	More haste, less speed.	6
Har noen her noensinne sett nattehimmelen en mørk natt borte fra lysforurensning?	Come!	724	Has anyone here ever seen the night sky on a dark night, away from light pollution?	403
La barna gå av bussen først!	To be more precise, I'd call it not a reason but an excuse.	809	Let the kids off the bus first!	57
Hun fikk ikke betalt for det.	He never takes the train.	780	She didn't get paid for it.	549
Har du vært i Kyushu?	Soccer is my favorite sport.	921	Have you ever been to Kyushu?	898
Du har en sønn, ikke sant?	Have you ever seen a spider spinning its web?	253	You have a son, don't you?	1
Hender dette nokon gong med deg?	Tom has lived here for three years.	812	Does that ever happen to you?	357
Jeg må gå snart.	Who's confused?	985	I've got to leave soon.	349
Hvor mye måtte du betale for å få bilen din reparert?	I don't know what's been going wrong, but several times when I tried to log onto the site today, I couldn't do it.	381	How much did you have to pay to get your truck fixed?	285
Jeg vil heller ikke være her.	Run over any obstacle with this monster truck!	179	I don't want to be here either.	341
Eg er klar om ti minuttar.	Heavy smoking impaired his health.	217	I'll be ready in ten minutes.	567
Gå vekk!	Which street should we start with?	532	Go away!	722
Spis middagen din nå.	I actually really like it.	286	Now eat your supper.	55
Lille Trille satt på hylle; Lille Trille ramlet ned. Ingen mann i dette land Lille Trille bøte kan.	Tom doesn't care what Mary does.	581	Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.	492
Jeg vil ikke se det igjen.	Yes or no?	976	I don't want to see that again.	278
John skyndte seg ut.	I am wrong.	893	John left home in a hurry.	996
Hva skal du gjøre i sommerferien?	He often travels to foreign countries.	235	What're you going to do during your summer vacation?	227
Broren min bruker denne sykkelen.	Portugal is not an Islamic country.	600	My brother uses this bike.	532
Jeg går.	I never even noticed I'd lost my wallet until I got home.	979	I'll go.	353
