source_sent	target_sent	target_id	gold_sent	gold_id
El a sufri di depreshon, a pasa den vários divorsio i no tabatin un bon relashon ku su yu hòmbernan.	Why?	145	It is comforting to see that so far in advance, Jehovah knew that his people would go into a spiritual exile and then be restored.	519
E sirbishi akí a fortalesé nos famia spiritualmente i a hasi nos mas uní.”	BECAUSE of the shockingly unhygienic conditions in Europe and the United States during the 18th and 19th centuries, missionaries of that period preached what might be termed “a doctrine of cleanliness.”	473	Since God commanded them to love their neighbor and not to kill others, they refused military service . . .	492
12 Debí ku nos ta imperfekto, nos tin ku lucha pa hasi loke ta bon.	What can you do now to prepare for this once-a-year occasion?	968	But Andrew and Cornelius did not put their relatives under pressure or slyly try to maneuver them into becoming Christ’s followers.	637
E DICHO akí ta bon konosí pa hendenan ku ta biba na Ost Afrika.	Do you appreciate how great this love is?	576	You will be glad that you made good use of your opportunity to give a witness.”​—1 Peter 3:15.	7
Pues si bo ta laga bo kachó drumi riba bo kama òf subi por ehèmpel riba bo sofá, e ta kapas di kere ku t’e ta e lider.	How Their World Was Lost	633	13, 14. (a) What causes some of God’s people to become discouraged? (b) Who wants to see our faith collapse, and why?	771
I si boso hasi bon na esnan ku ta hasi bon na boso, ki mérito esei ta pa boso?	(2 Samuel 22:31; Exodus 1:18-20) But Jehovah’s blessing did not stop there.	44	How we cherish our privilege of working with our God in these last days!	43
Sinembargo, tantu Maria komo Hosé mester a haña un gran alivio ora e angel di Yehova a aparesé na Hosé.	How would God react to the prayers of these distressed individuals?	144	(Ex. 23:25; Deut. 7:15) Also, he could heal people.	356
Sapatu Danki pa e artíkulo “Bo Sapatunan Ta Realmente Kómodo?” (8 di mart 2003) Mi tabatin añanan ta sufri di problema ku pia i mi a hasi vários operashon chikitu na mi tenchinan.	You will be glad that you made good use of your opportunity to give a witness.”​—1 Peter 3:15.	3	• Food blender​—90 decibels	912
Dikon?	Humility will enable you to face up to difficult circumstances and to endure, even as Job did.	378	Finally, on March 7, 1941, I joined a large convoy that was transferred to the Niederhagen concentration camp.	939
Na e monasterio tabatin un ehemplar di e buki di Heladio den kua el a akusá Serafin di vários krímen.	“They ask me: ‘What mark did you get on your math test?	540	The “Sea Peoples” are generally identified as seafarers from Mediterranean islands and coastlands.	947
Cientos di caminda i brug a laba bai, lagando sobrebibientenan sin cuminda, awa limpi i sin remedi pa vários dia.	Powerful Canaanite armies opposed them.	256	Modesty goes hand in hand with common sense.	246
Pa kontestá e preguntanan akí, laga nos analisá e papel ku mayordomonan tabatin den pasado.	At the same time, my sons Ivan and Volodya moved to Dzhambul on the southern border of Kazakstan.	268	Why was Jesus before Pontius Pilate, and what did Jesus say?	552
Observando Mundu	Consider another example.	447	“As in the collection of taxes,” says historian William M. Ramsay, “the government found it easier to give out the work to contract than to organize for itself the enormous machinery in men and equipment needed for that great service.”	566
Aunke nan ta trahá den teritorio maya, e structuranan ta mustra cu un tempu e indjannan tolteca tabatin influencia den e regionnan aki.	CAN YOU EXPLAIN?	437	My son was suffering so terribly that I no longer knew how to comfort him.	636
8. (a) Ki konekshon tin entre fruta di e spiritu i fruta di Reino? (b) Ki pregunta ta bon pa nos konsiderá?	Remember that Habakkuk was writing under divine inspiration.	679	Keep your food clean.	747
Por ehempel, kisas bo ta bisa: ‘Mi kier bira un programadó di computer.	Believers can add to their own happiness (1) by endeavoring to cultivate peace in the home and (2) by sincerely trying to help unbelieving family members to embrace true worship.	777	Furthermore, love of God requires our obedience.	24
Yen di rabia, e hendenan den e snoa ta lanta gara Jesus, anto hib’é purá na punta dje ceru pa bent’é abou.	(Hebrews 13:17) When you receive an encouraging shepherding visit, why not express appreciation for it?	125	As we look at parts of Hebrews chapters 10 and 11, let us take note of the methods that Paul used to build up their faith.	337
(Salmo 25:17) No tene miedu cu Dios lo hala atras di ta bo amigu.	Yet, Jesus said: “If, now, God thus clothes the vegetation of the field, . . . will he not much rather clothe you, you with little faith?”	767	Eighty-one priests confronted him and endeavored to correct him.	62
Pero, en cuanto e palu di conocimentu di bon i malu, bo no mag come di dje, pasobra den e dia cu bo come di dje lo bo muri positivamente.”	If you would welcome further information or would like to have someone call at your home to conduct a free Bible study with you, please write to Watchtower, 25 Columbia Heights, Brooklyn, NY 11201-2483, or to the appropriate address listed on page 2.	659	(2 Timothy 3:4, 5; Matthew 24:21, 37-39) Jesus warned his followers: “Pay attention to yourselves that your hearts never become weighed down with overeating and heavy drinking and anxieties of life, and suddenly that day be instantly upon you as a snare.”	743
Lo ta mihó pa bo konsulta un dòkter promé ku bo kuminsá ku un programa di ehersisio, spesialmente si bo ta sufri di malesa di kurason, preshon haltu òf kualke otro kondishon médiko.	“But what is the recipe for producing a modern paint?” we ask.	749	“Cardiovascular disease starts early in life.”	709
Ken Su Orashonnan Ta Ser Kontestá?	Composition of the Work	625	‘What now?’	952
Komo resultado, Yehova a sigui dirigí su pueblo i laga nan aktividat prosperá.	“Now You Are God’s People”	914	But what benefit would there be in doing that?	217
(Revelashon 21:3, 4) Riba e dia ei, “ningun habitante lo no bisa: ‘Mi ta malu.’”*—Isaías 33:24.	Why is intensified preaching the most sensible response to the times in which we live?	811	Then, his kingdom was eventually divided among four of his generals.​—Read Daniel 8:20-22.	704
• Planta mata, cuida mata, corta palu	On the third day, he resurrected his Son, and on the day of Pentecost 33 C.E., Jesus established a spiritual kingdom over the Christian congregation of his anointed brothers.	119	Talkative men may be looked down on as frivolous and insincere.	480
7 Promé, Pablo ta urgi cristiannan esaki: “Laga nos acercá cu curason sincero den e pleno siguridad di fe, ya cu a sprengu limpia nos curason di un concenshi malbado i a baña nos curpa cu awa limpi.”	Furthermore, love of God requires our obedience.	15	If so, that is wonderful!	435
[Kuadro/Plachi na página 16]	Therefore, rather than hastily seeking a divorce, husbands and wives should strive to apply Bible principles to overcome any difficulties that may arise in marriage.​—Matt. 19:4-6.	463	Jehovah promised this God-fearing patriarch: “By means of your seed all nations of the earth will certainly bless themselves due to the fact that you have listened to my voice.”	95
Sí, en bèrdat Hosué tabatin fe ku Yehova lo a kumpli ku tur su promesanan.	But keep your finger on the pulse of the family.	558	In other words, the vaccine might cause the disease it is designed to protect against.	868
Pero e echo ku un persona tin kurashi no nesesariamente ta nifiká ku nunka e no tin miedu.	Maybe we can discuss that question another time.*	978	That is what eventually led to the arrest of my mother and my other brothers.	350
Hesus a vense mundu, pues nos tambe por.—Huan 17:16; Sant. 1:27.	Being inordinately concerned about our health could lead to our becoming self-centered.	875	(Psalm 97:10) After being convinced of the badness of death-dealing practices and developing genuine hatred for them, a person finds it easier to do what pleases God.	970
Binder a skirbi: “E misioneronan ku a bini Banaba a duna e pueblo mas di loke nan a realisá. . . .	The next day I called her, and she said that she was not yet familiar with the bus system.	33	As what should parenthood be viewed, and why?	577
Esaki tabata na augustus 1945.	[Credit Line]	69	Hopefully, such men will change their ways.	166
Un obra di referencia pa traductornan di Bijbel ta bisa cu lo por traducí e declaracion aki como “Dios a saca miedu for di nos curason.”	You can also invite them to your home and include them when you go on outings.	996	When the time of great test came, they abandoned Jesus and fled.	993
(Echonan 10:42) Specíficamente, Jesus a manda: “Bai, pues, i haci disipel di hende di tur nacion, bautisando nan den e nomber dje Tata i dje Yu i dje spiritu santu, siñando nan pa warda tur loke mi a manda boso.”	In contrast, true worship has a unifying effect on people.	746	▪ ‘Vicious Balkan gangs put Mafia in the shade.	114
Nan tabata pone masha krul i flegtu i haci diseño elaborá cu nan barba.	7 Regarding Abraham’s faith, God’s Word states: “[Abraham] put faith in Jehovah; and he proceeded to count it to him as righteousness.”	48	The next day I called her, and she said that she was not yet familiar with the bus system.	29
Aki e expresion tin di haber cu crecementu den e área geográfico cu e bon nobo a alcansá.	I wondered, ‘How can a God who loves us torture people in fire?’	926	While in Yorkshire, Irene received a three-month prison sentence for conscientiously refusing to support the war effort.	273
LOKE BEIBEL TA BISA	If feelings of low self-worth afflict you, you may find it helpful to read chapter 12, “Why Don’t I Like Myself?,” in the book Questions Young People Ask—Answers That Work.* That information may help you to see that you have much to offer as a person.	953	[Credit Line]	48
El a onra Abel dor di aseptá su sakrifisio, pero a rechasá esun di Kain, Abel su ruman hòmber.	Thus, biomimetics can move a Christian to give glory to the Creator.​—10/1, page 9.	218	Genesis 11:31 reads: “Terah took Abram his son and Lot, . . . and Sarai his daughter-in-law, . . . and they went with him out of Ur of the Chaldeans to go to the land of Canaan. In time they came to Haran and took up dwelling there.”	859
Esei ta parti di “e goso cu a ser poné su dilanti” i cu a fortalec’é pa wanta durante henter su bida riba tera.—Hebreonan 12:2.	Since I became one of Jehovah’s Witnesses in 1973, the Bible has been my guidebook. As a result, my life has become truly satisfying and purposeful.	711	We will not imitate the masses of mankind who will flee to “the caves” and hide “in the rock-masses of the mountains”​—human organizations and institutions that may remain for a very short while after Babylon the Great is desolated.	279
(Isa. 61:1) Charlotte, kende tin 38 aña den sirbishi di tempu kompleto, a bisa: “Awe hende ta sinti nan pèrdí.	No doubt you would be concerned.	89	They knew God’s Word, but they did not let it govern their thinking.	752
Mayornan ku ta stima Dios no ta laga kustumbernan lokal influensiá e manera ku nan ta lanta nan yunan.	Often, a fundamental change in thinking is required.	408	Because of the prevalence of abusive and obscene speech today, Christians should have a strategy to resist this harmful influence.	191
Usa e blòkinan di eis aki den bo ko’i bebe faborito.	• In making decisions, why should we keep our relationship with God foremost in mind?	870	Many publishers were reading for the first time about the activity of our brothers in Ukraine.	644
(Habakuk 2:3) Ta sabí di nos parti pa keda alerta!	We invite you to take advantage of this opportunity to be included in a society that will never experience poverty and injustice.	712	(Lev. 5:1) However, in many cases that do not involve serious wrongdoing, it may be possible to resolve a difference without involving anyone else, not even the elders.	45
Algun ruman ku tin mas edat tambe ta sakrifiká e tempu ku nan por pasa ku nan yu- i ñetunan pa asina nan por traha riba proyektonan di konstrukshon òf bai e Skol pa Predikadó di Reino pa sirbi den áreanan kaminda tin nesesidat pa mas publikadó di Reino.	Let us consider what Jesus meant when he said: “Stop judging.”	87	• Exhaustion—may be experienced weeks before the attack	215
Apesar di e tenshon ku e bog di span ta kousa riba su brasanan, e ta tuma su tempu.	How we cherish our privilege of working with our God in these last days!	5	GOD TAKES NO PLEASURE IN THE DEATH OF HUMANS, INCLUDING THE WICKED.	58
