source_sent	target_sent	target_id	gold_sent	gold_id
22:16-18. Tongana e sara terê ti e kete nga e changé bango ndo ti e, Nzapa ayeke iri tënë nzoni na ndö ti e (Bâ paragraphe 8-10)	(Daniel 12:4; 2 Timothy 3:1) Until this day, that watchman class​—anointed Christians, the Israel of God—​has been acting in harmony with Isaiah’s description of the prophetic watchman: “He paid strict attention, with much attentiveness.	159	(2 Timothy 3:16) We must set aside time to study the Scriptures.	417
Nzapa aye si mo ga nduru na lo 7	11 Regardless of how the title “Christ” is used with reference to Jesus, it highlights this important truth: Even though the Son of God came to the earth as a man and made his Father’s will known, he was neither just an ordinary man nor merely a prophet; he came to be the Anointed One of Jehovah.	288	How You Can Make Friends, 12/1	384
Ala yeke na ngia ti sara ni nga ti sara kue ti ngbâ “azo so aga ti sara kodoro ti ninga pëpe”.	Proverbs 17:12 puts the matter this way: “Let there be an encountering by a man of a bear bereaved of its cubs rather than anyone stupid in his foolishness.”	991	But those versed in the Law failed to accept him.	573
(Psaume 37:2).	[Pictures on page 7]	737	4 Another woman who received her dead by resurrection lived in the town of Shunem.	112
ASARA angu mingi awe la a yeke zia iri “wato-ti-Christ” na ndo ti agbia nga na ndo ti afilm. Tongaso, a yeke na lege ni ti hunda tere ti e na atënë so: Wato-ti-Christ ni ayeke zo wa?	At the time that seemed reasonable, so I stopped studying with the Witnesses.	864	There is only one way​—to use the Bible as a measuring stick.	693
12 Gbia David ahe bia giriri: ‘Fade mbi ngoro na tele ti balaga ti Mo, O Jéhovah, ti sala si azo amä tene ti singila.’	4 Perhaps there have been times in your life when you felt that you, like Paul, were following the leadings of God’s holy spirit, but then things did not turn out the way you expected.	537	The Scriptures reveal to us the nature of the holy spirit	464
A sala nga si le-kobe amaï so amu na e mara ti kobe ndenge na ndenge.	While he is not an unbeliever, he cannot be spoken of as being “in the Lord.” Paul’s counsel on marriage is for our benefit.	279	[Footnote]	502
• Kota Salomon ayeke zo wa? Komandema ti lo ayeke gue juska ti si na ndo wa?	18 Pointing to yet another quality that makes our heart receptive to divine guidance, Solomon stated: “Fear Jehovah and turn away from bad.” (Proverbs 3:7) Jehovah said concerning ancient Israel: “If only they would develop this heart of theirs to fear me and to keep all my commandments always, in order that it might go well with them and their sons to time indefinite!”	775	A fine attitude was displayed by a man in power under Candace, queen of the Ethiopians.	819
Wasungo psaume David awara lani lege ti bâ lo mveni so mbilimbili ti Jéhovah ayeke pusu Lo ti sala ye tongaso.	Those who heeded it had the keen spiritual discernment needed to recognize the signal Jesus had given for them to “begin fleeing to the mountains.”	609	(Hebrews 12:4) But a test can take many forms.	843
Ye oko, apendere ayeda lakue pepe na mara ti sengo ndo tongaso.	6 This awesome event likely took place on one of the ridges of Mount Hermon, where Jesus and the three apostles spent the night.	284	Certainly, no Christian would knowingly want to make it difficult for another person to attend Christian gatherings.	850
