source_sent	target_sent	target_id	gold_sent	gold_id
Long tingting bilong ol, i olsem dispela raskol i dai pinis.*	The Bible says: “On that day they kept striking down the Philistines.”	947	That condemned criminal is as good as dead.*	555
Tasol gutpela samting olsem ren i pundaun taim ol i kamapim Baibel New World Translation long tokples Tsonga.”	As she talked to the people, she realized that her clothes, though modest by the standards of urban fashion, were becoming the talk of the town.	906	However, the rains came down with the release of the New World Translation in Tsonga.”	766
Taim yumi mekim olsem, dispela i soim olsem yumi onarim ol na laikim ol.	He likely saw something in Uzzah’s heart that caused Him to render swift judgment.​—Proverbs 21:2.	488	That would be part of showing them honor and love.	840
Na long strong bilong yu yet yu stiaim wokabaut bilong mipela na bai yu bringim mipela i go long gutpela ples yu makim bilong yu yet i ken i stap long en. . . .	Does the Bible offer a similar conjecture?	262	And in the abundance of your superiority you can throw down those who rise up against you; you send out your burning anger, it eats them up like stubble. . . .	113
4 Sapos yu wokim wanpela bung olsem, na yu bosim dispela bung, maski yu singautim tasol sampela wanbilip i kam long wanpela kaikai na stori wantaim ol, yu mas tingim gut ol samting yu laik mekim.	As noted at the outset, the officials were impressed by what was done and were very appreciative.	584	4 If you are arranging such a gathering and are responsible for it, you should think through what is planned, even if you are inviting just a few believers for a meal and friendly conversation.	104
Kirap long 1945 na i kam inap long nau, ol woa i stap long ol wan wan hap, tasol planti man i dai wankain olsem long ol bikpela woa.	11 According to the Mosaic Law, the Israelites were to offer specific sacrifices.	230	Since 1945, wars have been more localized but just as brutal.	491
12 Ating tok profet bilong Maika 1:​3, 4 i kirapim yu long tingim narapela tok profet i stori long ol samting nogut bai kamap long graun.	4 Siobhan from Ireland	656	12 The prophetic words of Micah 1:3, 4 may remind you of another inspired prophecy foretelling disastrous events on earth.	776
Hevi Bilong Baim Takis	(Genesis 6:1-4) The offspring, known as Nephilim, were men of extraordinary size and fame.	249	The Burden of Taxes	218
Tok bilong ol inap mekim na kongrigesen i bruk bruk.	“If at the moment they were to bow before the image they had bent over to tie their shoelaces, would that have been right?	869	Their mouth, indeed, can cause a division in the congregation.	795
Yangpela Meri i Stap Stret	Although he was mostly confined to his home, he was not lonesome.	507	A Chaste Young Woman	768
TAIM yu harim dispela tok “stretim,” yu tingim wanem samting?	More important, the foundation of the list is flawed.	236	WHAT comes to mind when you hear the word “discipline”?	448
(Matyu 24:44) Paslain long dispela, Jisas i bin tokim ol disaipel long painim Kingdom pastaim, na em i mekim dispela tok lukaut: “Yupela tu i mas redi. Pikinini Bilong Man bai i kam long wanpela taim yupela i no ting em bai i kam.”	Then, help him to examine his thinking.	616	(Matthew 24:44) Earlier, when urging his disciples to seek continually the Kingdom, Jesus cautioned: “Keep ready, because at an hour that you do not think likely the Son of man is coming.”	891
Paslain liklik long mipela i go, mipela i bung na toktok long olsem wanem mipela bai autim gutnius bilong Kingdom Bilong God long ol dispela longwe ples.	The really sad fact is that very often the person who is deceived or deluded tends to hold on to his belief in spite of strong evidence proving otherwise.	138	Shortly before setting off, our group met to discuss how to present the good news of God’s Kingdom in an outback setting.	981
Planti Juda long nau i save tingim Pasova long Nisan 15. Ol i ting dispela tok long Kisim Bek 12:6 i makim dispela det.	How can we display the spirit of self-sacrifice in difficult circumstances?	501	Most Jews today keep the Passover on Nisan 15, believing that the command at Exodus 12:6 points to that date.	388
Sapos dispela samting i bin painim yu, yu no ken bel hevi.	Those who support the Kingdom arrangement through Christ, the Son of the living God, will live to enjoy eternal blessings.	865	If that is true in your case, take heart.	960
Yumi mas save long bekim bilong dispela askim, long wanem, yumi laik mekim ol samting i stret wantaim wok bilong holi spirit.	In the hall, I met some young pioneers, and among them was Joyce Barber (now Ellis), who still serves with her husband, Peter, at London Bethel.	611	We need to know, for we want to work in harmony with the spirit.	430
(Jon 4:​35-​38) Yumi insait long kain wok olsem bilong bungim kaikai bilong gaden, olsem na i gutpela sapos yumi skelim amamas bilong ol Kristen bilong pastaim em ol i insait long wankain wok.	Since many people are uncomfortable in the presence of a disabled person, having the dog enabled me to speak of my infirmity in a natural way.	126	(John 4:35-38) Since we are participating in such harvesting activity, it will be encouraging to examine the joy of the early Christian harvest workers.	228
Ating bai yu tok ol i mas skul, tasol yu mas skelim wanem samting i stret long mekim long kantri bilong yu.	(1 Thess. 4:11; 2 Thess. 3:11) We should not assume that the parents, spouse, or other relatives of one of the anointed would also be anointed.	458	Doubtless you will conclude that they should, although much will depend on what is practical in your country.	963
[Piksa long pes 8, 9]	Keep Your Eyes on the Prize	687	[Picture on page 8, 9]	22
Yes, gutpela samting bai kamap taim yumi bihainim tok bilong God long olgeta samting yumi mekim.—Snd. 3:5, 6; 28:26.	I carefully control my spending, so I have the freedom and the peace of mind that come from avoiding unnecessary debt.”	160	Yes, when we give attention to God in all our ways, we can have the best outcome.​—Prov. 3:5, 6; 28:26.	610
Sampela taim Jehova i save kisim bek lain bilong em long ol man i mekim nogut long ol​—⁠ating em bai mekim wok long ol jas i gat stretpela pasin, o em bai senisim ol man i gat hatpela pasin na makim ol man i gat gutpela tingting, o em bai givim strong long ol man i save lotuim em long sanap strong na karim hevi.​—⁠1 Korin 10:⁠13.	How can we show that our forgiveness is genuine?	743	Jehovah may at times deliver his people from persecution​—perhaps by raising up fair-minded judges, by replacing hostile officials with reasonable ones, or by imparting to his worshippers the strength to endure.​—1 Corinthians 10:13.	558
Nogat. Sin i no inap pulim God, na God i no save pulim man long mekim sin.”	While there, the encouragement he received from a circuit overseer and from a talk given by a member of the Governing Body motivated Sime to put Jehovah first in his life.	147	For with evil things God cannot be tried nor does he himself try anyone.”	318
Em i mas lukautim gut dispela bodi i bin sot tru long kaikai, bambai skin i ken kamap gutpela gen.	[Picture on page 8, 9]	18	Special care is needed to remedy the effects of starvation on the body.	654
Ol narapela papamama em pikinini bilong ol i bin i gat kensa, ol tu inap mekim gut bel bilong papamama.	One who is “rightly disposed for everlasting life” is helped to learn about God and his purposes by means of a Bible study.	627	Much comfort can also be given by other parents of children who have had cancer.	182
Dispela ol tok i sutim tru bel bilong em, na long dispela de stret em i kirap stadi long Baibel wantaim tupela Witnes.	(James 5:11, footnote; Hebrews 5:7; John 3:16; 1 John 4:7, 8) Just the thought of it even now, centuries later, causes emotional pain to many.	413	It touched her heart, and she began studying the Bible with the Witnesses that very day.	774
“Gutpela man i ken sori long mi na mekim save long mi na krosim mi.”—Song 141:5.	At last, I had found the basis for real hope!	299	“Should the righteous one strike me [with reproof], it would be an act of loyal love.”​—Psalm 141:5.	406
Long ol dispela bung yumi kisim save long ol truim bilong ol tok profet bilong Baibel, na ol gutpela tok i skulim yumi long bihainim ol stiatok bilong Baibel long olgeta samting yumi save mekim.	In reaction to this comment, a professor of theology wrote that he was touched by “the good theology” that this religious leader preached.	782	At these gatherings, information on the fulfillment of Bible prophecies is dispensed, and timely direction on how to apply Bible principles in daily life is given.	597
Yu bin amamas long ritim ol tok bilong ol nupela Wastaua?	I felt that it gave me self-confidence and made me feel that I was like everyone else.	215	Have you appreciated reading the recent issues of The Watchtower?	423
Ol inap pait strong long tupela wing bilong ol long rausim ol birua.	ARUBA	480	With their wings they can deliver powerful blows against predators.	572
2 Nau bai yumi skelim samting i bin kamap long taim bilong tupela profet Hibru, Hagai na Sekaraia.	“My Father is glorified in this, that you keep bearing much fruit.”​—JOHN 15:8.	850	2 Let us consider a situation that existed back in the days of the Hebrew prophets Haggai and Zechariah.	39
8 Hau bai yu save olsem yu laikim tru ol lo bilong God o nogat?	In fact, God’s Word guarantees that “whatever a man is sowing, this he will also reap.”​—Galatians 6:7.	223	8 How can you know whether you truly love God’s laws?	872
Long laspela nait bilong Jisas long dispela graun, em i bin kolim dispela kontrak, tasol long dispela taim, nupela kontrak i no kirap yet long mekim wok.	Harold, mentioned earlier, has enjoyed over 56 years in Bethel service.	58	Not when Jesus made reference to it on his last night on earth.	679
Ol ves i stap klostu i soim olsem Jems i tingim ol hetman, o ol tisa bilong kongrigesen. (Jem.	For example, think of Joseph, the son of the patriarch Jacob.	713	The context indicates that James had first in mind the older men, or “teachers,” of the congregation.	53
Yumi mas mekim wanem bambai yumi inap kisim dispela presen?	Why should Philippians 2:4 have a bearing on what we wear?	961	How can we gain that reward?	518
Ol i painim kwik wanpela hap graun, na planti handet volantia i helpim dispela wok, olsem na ol i pinisim wok bilong sanapim nupela Haus Kingdom insait long sotpela hap taim tasol.	[Picture on page 4]	235	Land was quickly obtained, and thanks to the help of hundreds of volunteers, a new Kingdom Hall was completed in a short period of time.	486
Olsem wanem yu inap daunim tingting bilong belhat na kros yu holim long papa bilong yu?	However, knowledge in itself is not enough.	698	How, then, can you deal with the anger and resentment that you might feel toward your father?	627
Bilong kisim sampela save moa, lukim sapta 10 bilong dispela buk, Tru Tru Baibel i Tok Wanem?, em ol Witnes Bilong Jehova i wokim	Perhaps Naomi had resumed walking on the road but noticed that Ruth was trailing behind her.	852	For more information, see chapter 10 of this book, What Does the Bible Really Teach?, published by Jehovah’s Witnesses	830
Mi no hambak long ol dispela bilip; tasol mi ritim ol dispela buk inap 11-pela yia i go pinis, na long olgeta de mi tenkyu long God long soim kain lait olsem long mi na mekim gut bel bilong mi long rot bilong wanpela wok em Baibel Holi i stap olsem strongpela as tru bilong en.”	WHY IT HAPPENS	558	I do not parade doctrine; but I read those books eleven years ago, and I thank God every day for putting before me such light and such consolation by means of a work that is entirely and solidly founded on the Holy Scriptures.”	453
Tasol man i mas pilim dispela pasin long bel.​—⁠1 Pita 1:⁠22.	“Babes as to Badness”	633	A·gaʹpe, however, is not without feeling but can be warm and intense.​—1 Peter 1:22.	563
Ol tok i stap long dispela song inap makim wanpela taim nogut i painim Devit taim pikinini man bilong em, Apsalom, i laik kisim wok king bilong em.​—⁠2 Sml. 15:​6, 13, 14.	2 Let us consider a situation that existed back in the days of the Hebrew prophets Haggai and Zechariah.	29	The circumstances mentioned in this psalm may relate to the stressful time of David’s life when his son Absalom was trying to usurp the throne.​—2 Sam. 15:6, 13, 14.	509
Na tingting bilong mi i no paul nabaut na mi ting mi lukim ol kain kain samting, nau tingting na skin bilong mi i kamap gutpela.	Still, each had the potential for causing lasting emotional and spiritual injury to those involved.	830	I no longer have hallucinations, and my mental and physical health have improved.	957
17 Tingim samting i bin painim aposel Pita.	(Ex. 15:3) He is “the God of love and of peace.” (2 Cor. 13:11) He is “a God of knowledge” and “of salvation.” (1 Sam. 2:3; Ps. 25:5) God will draw close to those thus knowing him.​—9/1, pages 4-7.	684	17 Consider an experience of the apostle Peter.	692
Yu luksave long as na ol Israel i no ken kaikai blut?	Looking ahead to the time when they would be returned to their homeland, Jehovah stated: “You must become a crown of beauty in the hand of Jehovah, and a kingly turban in the palm of your God.”	188	Did you notice why the Israelites were not to consume blood?	76
Nem bilong em husat? Yu gat wanem save long Jisas Krais?’	Even if a couple are deeply in love, God still requires that they marry before enjoying sex.	641	What do you know about Jesus Christ?’	646
Inap mi kam bek long neks wik na soim yu i gat wanem as na yumi ken bilip tru olsem klostu nau God bai pinisim olgeta pen na hevi?*	Look!	815	May I come back next week and show you why we can be sure that God will soon end all suffering?*	749
Yu luksave long risen na ol dispela samting i kamap?	(Titus 1:6) He must care for his family in the godly manner Scripturally required of Christian overseers.​—1 Timothy 3:1-7.	768	With the ride of the horsemen, world conditions continue to worsen (See paragraphs 4, 5)	839
Olsem na yumi inap bilip tru olsem Baibel i gutpela long helpim yumi.	“Eight banks have been robbed.	620	We can, therefore, have full confidence in the Bible’s value.	374
Ol tok giaman bilong em i mekim na planti hevi na indai i painim ol man.​​—⁠Stat 3:​4, 5; Jon 8:44; Rom 5:⁠12.	The woman was intrigued by the letters and wondered about the identity of the little girl with braids.	663	His lies plunged humanity into misery and death.—Genesis 3:4, 5; John 8:44; Romans 5:12.	836
Yu yet inap mekim disisen.	He prayed, and he used scriptures to show the leader why he could not stay in the gang.	273	You have a choice.	245
9 Dispela program i kamapim planti gutpela samting.	With Aileen in 1947	918	9 The results of this training program were outstanding.	407
(Mak 3:9; 4:1; Luk 5:​1-3) Wanpela taim “bikpela lain manmeri” i stap wantaim em inap sampela de, na ol i no gat kaikai.​​—⁠Mak 8:​1, 2.	PLANTS use a complex process called photosynthesis to extract energy from sunlight to create food.	100	(Mark 3:9; 4:1; Luke 5:1-3) On one occasion, “a big crowd” stayed with him for days, even going without eating.​—Mark 8:1, 2.	683
[Ol Piksa long pes 8, 9]	In 1946, he asserted: “I firmly believe that the majority of peoples in the world would prefer to live in peace and security . . .	99	[Pictures on page 8, 9]	644
I gat wanem as na yumi ken bilip olsem ol man i dai pinis bai kirap bek?	(Luke 4:43) This is one of the reasons why the first-century Christian congregation had “apostles,” a term that literally refers to those sent forth, envoys.	748	Why can we hope in the resurrection?	171
Laip StoriAmamas Long Tok i Tru Bilong Baibel Maski Mi No Gat Han 13	The context indicates that James had first in mind the older men, or “teachers,” of the congregation.	32	Life StoryEmbracing Bible Truth Without Hands and Arms 13	810
Olsem na bihain Jisas i tokim ol disaipel, sapos man i givim bel tumas long ol mani kago samting bilong dispela graun, em bai hatwok long kisim laip i stap oltaim.	Indeed, it will!	471	Jesus thereafter emphasized to his disciples that excessive attachment to this world’s goods gets in the way of attaining salvation.	290
(Neh. 1:​3, 4) God i harim beten bilong Nehemia. King Artaserksis i larim em i go long Jerusalem na wokim gen banis bilong en. (Neh.	“The problem is not that young people are ignorant, distrustful, cruel, or treacherous,” says Professor Sommers.	741	(Neh. 1:3, 4) Nehemiah’s prayers were answered beyond his expectations when King Artaxerxes allowed him to go to Jerusalem to rebuild its wall.	997
(Rut 3:​1-​13) Rut i no wanpela yangpela pikinini; em i meri wanpis, man bilong em i dai pinis, olsem na em i bikpela meri inap long em i ken marit.	Honoring one’s wife certainly contributes to happiness in a marriage.	769	(Ruth 3:1-13) Of course, Ruth was no child; she was a widow, obviously old enough to marry.	903
Tasol bihain, dispela samting i senis.	I wonder now just what I must have put my friends through!	937	This eventually changed.	581
Harold, em yumi stori pinis long em, em i bin amamas long mekim wok long Betel inap 56 yia.	“It is clear that increasingly, children are targets, not incidental casualties, of armed conflict,” notes Graça Machel, the United Nations Secretary-General’s Expert on the Impact of Armed Conflicts on Children.	913	Harold, mentioned earlier, has enjoyed over 56 years in Bethel service.	31
Mipela i senisim sampela nem.	From that time onward, Paul began attending all Christian meetings.	890	Names have been changed.	911
Gutpela Taim Bai Kamap? 8/1	In what way does Jehovah reward those who fear him?	973	Why Pilate Fearful That Jesus “Made Himself God’s Son,” 6/1	548
[Piksa long pes 23]	So to whom can they preach?	384	[Picture on page 23]	955
Stretpela man Devit na ol gutpela pikinini bilong Kora ol tu i bin mekim ol wankain tok olsem Jop.​​—Song 10:1; 44:24.	The Truth and “the Superior Authorities”	912	Similar statements were made by righteous David and by the faithful sons of Korah.​—Psalm 10:1; 44:24.	620
Ol i no olsem lain Kristendom i bin tromoi bilip i tru, nogat; ol i stap gut long bihainim “ol dispela gutpela tok” em Jisas Krais i bin kamapim na ol gutpela disaipel bilong em i bin bihainim long taim bilong ol aposel.	‘What do I need to do so that I do not suffer God’s wrath?’” A study was started with the man, and he began attending Christian meetings.	688	As a class, they have led the way in a wholehearted return to “the roadways of long ago.”	732
Mi amamas tru long Jehova i bringim mi i kam long tok i tru long rot bilong Maud na ol misineri bilong bipo!	The Witnesses doing this are happy to bring a message of consolation to those in this very sad situation.	972	How very grateful I am to Jehovah for drawing me to the truth by means of Maud and the early missionaries!	319
O ating ol yet i kisim tingting olsem wanpela man i bin mekim nogut long wanfamili bilong ol. Olsem na ol inap mekim wanem long dispela man em ol i ting em i bin mekim nogut long wanfamili bilong ol?	Is Satan an actual person?	624	However, might they harbor strong negative feelings toward a brother or a sister who slighted one of their relatives or who they think did so?	866
Inap 30 yia bihain, James i tok: “Long olgeta de mi stap laip long en, mi bin wok strong long daunim dispela sik we i bagarapim tru bel na tingting bilong mi.”	How can we counteract a tendency to be unforgiving?	112	“Every day of my life,” says James 30 years later, “I have fought this emotional and mental illness.”	653
Ol man i bilip long en ol i gat wanpela kain amamas i gutpela tru.	If so, you are truly privileged.	666	Those who exercise faith in it enjoy a special source of happiness.	918
Tasol yumi save olsem God em i nambawan tru long olgeta man.	What was Jesus’ reply?	636	But isn’t God more important?	257
Bihain, em i lusim wok bilong em olgeta.	“I firmly believe that Jehovah’s way is the best way to live.”​—Karen, Canada.	337	Eventually, he quit his job completely.	961
Em ol disaipel bilong Jisas, ol i kolim ol Kristen.​​—⁠Efesus 4:​4, 5; Aposel 11:⁠26.	Meanwhile, they continue to fight evil, not with carnal weapons, but with spiritual ones.	701	These were the disciples of Jesus, known as Christians.—Ephesians 4:4, 5; Acts 11:26.	804
Em i bin salim Jisas i kam bilong skulim yumi.	In order to care for us adequately, she would never marry.	509	He sent Jesus to teach us.	85
