	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abri este puerta.	Open this door.	Open this door.	932	932	True	1.0251051
1	Agregá dos dientes de ajo.	Add two cloves of garlic.	I ate a tuna salad.	868	401	False	0.9400053
2	Alegre yo si junto yo cuntigo.	When I'm with you, I'm happy.	What is your ethnicity? Zamboangueño!	376	576	False	0.8373332
3	Allergic yo na maíz.	I'm allergic to corn.	I ate a tuna salad.	747	401	False	0.982988
4	Amó se cosa ya pasá?	Is that what happened?	What do I need to do?	287	591	False	0.80592155
5	Aquí yo ya dejá de mío bag.	I left my bag here.	When you can't do what you want, you do what you can.	66	248	False	0.9303112
6	Ay man miss yo cun ustedes todo.	I will miss you all.	I will miss you all.	256	256	True	0.75571394
7	Ay tené gayót yo mucho cuidáo.	I will be very careful.	What is your ethnicity? Zamboangueño!	515	576	False	0.91091263
8	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	Glaiza de Castro as Sang'gre Pirena, the keeper of the gem of fire.	530	858	False	0.9345193
9	Basta, salé aquí.	Just get out of here.	Eat your soup, John!	534	219	False	0.81911516
10	Besá cun Tom.	Kiss Tom.	Tom needs help now.	299	994	False	0.96861124
11	Bien manada yo mordedura de lamuk.	I got a lot of mosquito bites.	I ate a tuna salad.	834	401	False	0.9434329
12	Bien rico gayot yo.	I am very rich.	I'm a slob.	647	259	False	0.85572827
13	Bien sensitivo yo na calor.	I am very sensitive to heat.	I am very sensitive to heat.	476	476	True	0.96644676
14	Borles el mujer.	The woman is naked.	Glaiza de Castro as Sang'gre Pirena, the keeper of the gem of fire.	77	858	False	0.87775207
15	¡Buenas tardes!	Good afternoon.	Good afternoon!	184	690	False	0.5992732
16	Busy yo este día.	I've been busy today.	I love you.	162	320	False	0.66804814
17	Cerrá el libro.	Close the book.	Close the book.	63	63	True	0.9304416
18	Cerrao el ventana.	The window is closed.	He threw the banana away.	466	651	False	0.9796221
19	Colorao de suyo maga uñas.	Her nails are red.	Glaiza de Castro as Sang'gre Pirena, the keeper of the gem of fire.	357	858	False	0.88658965
20	Colorao de tuyo sangre.	Your blood is red.	Glaiza de Castro as Sang'gre Pirena, the keeper of the gem of fire.	935	858	False	0.9273677
21	Color verde el falda.	The skirt is green.	The skirt is green.	65	65	True	0.76782894
22	Con cuidao! Bien caliente el caldo.	Be careful! The soup is very hot.	What is your ethnicity? Zamboangueño!	918	576	False	0.8693124
23	Conoce yo cunel dueño.	I know the owner.	I ate a tuna salad.	333	401	False	0.882699
24	Contento le cosa le ahora.	He is content with his present state.	Give me the wine.	302	68	False	1.0194452
25	Cosa ay pasá cumigo?	What'll happen to me?	Where am I?	240	204	False	0.8527279
26	Cosa clase de vino tu tiene?	What kind of wine do you have?	What kind of wine do you have?	737	737	True	0.7259096
27	Cosa cuntigo ya hablá?	What were you told?	Where is the ship?	411	781	False	0.81310904
28	Cosa el color de tuyo pelo?	What color is your hair?	What color is your hair?	958	958	True	0.72278976
29	¿Cósa es su etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	What is your ethnicity? Zamboangueño!	576	576	True	0.24369216
30	Cosa ta pasa alli arriba?	What is going on up there?	Where is the ship?	124	781	False	0.80160666
31	Cosa tu hacé luego de noche?	What are you going to do tonight?	Is it OK if I stay here?	779	989	False	0.87407243
32	Cosa tu hacé si nuay yo?	What would you do without me?	How many hours a day does she spend in the kitchen?	509	325	False	0.91175103
33	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	What is your ethnicity? Zamboangueño!	862	576	False	0.8000988
34	Cosa tu ta esperá?	What are you waiting for?	Which planet is nearest to the Sun?	799	211	False	0.854265
