	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Tom überkam plötzlich ein Hungergefühl. 	Tom suddenly felt hungry. 	Rush Limbaugh was a monster. 	572	516	False	0.753476
1	Ich habe diesen Film schon viele Male gesehen. 	I've already seen this movie many times. 	I'm glad this shop is close to us. 	552	876	False	0.7365581
2	Ich habe erst gestern Abend erfahren, dass Tom der Urheber ist. 	I didn't find out that Tom was the one who did that until last night. 	Just leave the package on the porch. 	601	160	False	0.6358063
3	Tom hat einen Welpen mit in die Schule gebracht. 	Tom brought a puppy to school. 	All psychiatrists emotionally support their patients. 	282	681	False	0.7358537
4	Wo sind die Bücher, die ich brauche? 	Where are the books I need? 	He is planning to stay here for two weeks. 	786	246	False	0.7296617
5	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	It's because I loved her that I didn't marry her. 	372	696	False	0.92103064
6	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	Was it really necessary? 	996	194	False	0.7744769
7	Kennst du „Heidi“? 	"Do you know about ""Heidi, Girl of the Alps""? "	This skirt costs two hundred dollars. 	437	897	False	0.58081937
8	Mein Mann hat gesagt, er sei gleich zurück. Das ist schon zwei Jahre her. 	My husband said he would come back soon. It's been two years. 	This used to be a golf course. 	543	265	False	0.6840676
9	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	I want to talk to her about my future. 	709	73	False	0.68177724
10	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Do you still have beer? 	872	252	False	0.8153192
11	Zitronen sind gewöhnlich sauer. 	Lemons are usually sour. 	Amsterdam is amazing! 	122	471	False	0.59662676
12	Ist das eine vertrauenswürdige Quelle? 	Is that a trustworthy source? 	I didn't say you could use my phone. 	280	921	False	0.77604115
13	Einige von uns wissen nicht, was sie tun sollen. 	A number of us don't know what to do. 	Tom goes there every morning. 	487	360	False	0.77217877
14	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	The car-sized Curiosity rover landed in 2012. 	46	248	False	0.7686999
15	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	Tom emptied his piggy bank to buy Mary a gift. 	360	286	False	0.70545363
16	Wir haben dort niemanden gesehen. 	We didn't see anybody there. 	If I'd noticed, I would've told you. 	577	156	False	0.6999359
17	Haben Tom und Maria jemanden gefunden, der auf Johannes aufpassen kann? 	Did Tom and Mary find a sitter for John? 	"Francis spoke of the three traits that characterized John Paul II most: ""prayer, closeness to the people and love for justice."" "	119	546	False	0.6654601
18	Es ist jemand in deinem Zimmer. 	There's somebody in your room. 	I had a dream last night. 	324	174	False	0.54357135
19	Ich hasse Alpträume. 	I hate nightmares. 	I had a dream last night. 	251	174	False	0.7307408
