	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	Do you have anyone who you can call if you need to talk? 	38	91	False	0.8165307
1	Elles m'ont oublié. 	They forgot me. 	"How do you say ""bonjour"" in German in the afternoon? "	917	366	False	0.881289
2	As-tu déjà ressenti une douleur à la poitrine ? 	Have you ever experienced chest pain? 	Is it okay if I ask you a few questions about your medical history? 	840	627	False	0.6777246
3	Sortez vos cavaliers avant de développer les fous. 	Bring out your knights before developing the bishops. 	You won’t change his mind. 	391	267	False	0.39526892
4	Au travail ! 	Let's get it done! 	I'll email you the information. 	147	750	False	0.5502479
5	Veuillez suivre mon doigt sans bouger votre tête. 	Please follow my finger without moving your head. 	Do you have any unexplained bruising or bleeding? 	116	169	False	0.6522019
6	Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	That building is more than three hundred years old. 	82	12	False	0.7717804
7	Quelqu'un est entré. 	Someone entered. 	Tom needs to see this. 	31	547	False	0.5760137
8	Ils ne m'ont pas oubliée. 	They didn't forget me. 	Are you allergic to any foods? 	685	801	False	0.6224071
9	Lis les bons livres ! 	Read good books! 	It arrived today. 	716	833	False	0.70261383
10	Leur maison est en vente. 	Their house is for sale. 	Can you give me your phone number? 	297	45	False	0.56815064
11	Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	After the explosion, I saw three guys limping out of the restaurant. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	67	38	False	0.4936359
12	Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	Eight brothers and no sisters? No wonder she's a tomboy. 	They got married on the beach. 	6	704	False	0.9042511
13	Ils m'ont oubliée. 	They forgot me. 	Can you turn that way? 	404	952	False	0.73660576
14	Connais-tu quelqu’un qui joue de la guitare ? 	Do you know anyone who plays the guitar? 	Did you lose consciousness after the accident? 	882	387	False	0.7739135
