	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bâ ambeni ti akpengba-ndia ti Bible so adë bê ti azo so a sala sioni na ala:	Bible principles that have comforted victims of mistreatment include the following:	As individuals, the believing Jews needed to accept this new arrangement.	807	811	False	0.8729745
1	A yeke polele so na ngoi ti lo mingi ti azo ayeke na siriri ti bibe pepe.	Evidently, in his day most people did not enjoy inner peace.	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	776	812	False	0.76101017
2	Bible afa kozo awe so sarango sioni ayeke hon ndo ni “na alango ti nda ni” so.	The Bible foretold that wicked conduct would prevail in “the last days.”	“Even when David was on the run, living in and out of caves, Jehovah always sustained him.	849	436	False	0.78699994
3	Mbi na mba ti mbi (na mbage ti koli), so e yeke sara kua ti pionnier spécial na Mistelbach, na Autriche	With my partner (right), serving as special pioneers in Mistelbach, Austria	With my partner (right), serving as special pioneers in Mistelbach, Austria	117	117	True	0.66449296
4	Casque so turugu ti Rome ayü ayeke ti bata li ti lo, go ti lo nga na face ti lo.	The helmet worn by the Roman infantry was designed to ward off blows directed at the head, neck, and face.	Today, he earns much less than before, but he still cares for his family’s needs and is much better able to support the congregation.	34	866	False	0.74456644
5	“Ala girisa pëpe tënë ti yambango agene nzoni”	“Do Not Forget Kindness to Strangers”	Our Readers Ask . . .	166	162	False	0.8632591
6	26 Apuse ti mbarata nga na mbeni couronne ayeke bata mo	26 Chariots and a Crown Safeguard You	15 Our task is not simply to tell people that if they turn to God, he will help them with all their problems and they will feel better.	535	945	False	0.47964764
7	(Hab. 3:18).	(Hab. 3:18) In what ways will Jehovah prove to be “a real dwelling” during that tumultuous time?	At times, some young ones, like the prodigal son, may turn away from the truth.	151	660	False	1.0746427
8	Wala Jésus ayeke lani pendere mingi wala lo yeke pendere mingi ape, Bible asara tënë mingi dä ape.	The Scriptures say very little about Jesus’ physical appearance.	In 1978, when Maria was 45, she again became pregnant.	765	291	False	0.7596388
9	Peut-être e bâ même so mbeni ye nde ti sarango ni ayeke dä ape na atâa a yeke zo wa la aye ti mû maboko na e, e yeke yeda na ni.	We may even become so desperate for emotional support that we will accept attention from just about anyone.	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	766	812	False	0.8091316
10	A-Romain abâ ti ala so Judée ayeke mara ti ndo tongaso.	The Romans considered Judaea to be such a place.	15 Our task is not simply to tell people that if they turn to God, he will help them with all their problems and they will feel better.	284	945	False	0.77664447
11	So Jésus ayeke nduru ti mû fini ti lo na kuâ, ye so aga na nyen?	What did he achieve by willingly giving up his life?	“Even when David was on the run, living in and out of caves, Jehovah always sustained him.	620	436	False	0.88049424
12	Na tapande, Joseph, Moïse, nga na David atingbi lani na angangu tara.	Think of Joseph, Moses, and David.	• What are four reasons why we should want to be guided by God’s spirit?	682	983	False	0.7867346
13	Legeoko tongana ti so tengo anzoni kobe alingbi ti mû ngangu na mo ti sala kua, dikongo Tënë ti Nzapa ayeke mû ngangu na mo ti sala ye alingbi na andia ti lo.	Jesus likened God’s utterances to life-sustaining bread.	(Rom. 13:8-10) This is especially so when we are engaging in Christian activities, such as when we attend meetings or when we share in the preaching work.	331	376	False	0.66045296
14	Nyen la ayeke mû maboko na mo ti dabe ti mo na aversê so ayeke na yâ ti Bible ti mû maboko na azo?	What will help you to recall Bible passages when you need them to help others?	(Matthew 4:4; John 4:34) If you talk about emotional wounds each time you open the Bible, you could cause your mate to lose his or her spiritual appetite.	667	851	False	0.83323145
15	[Foto na lembeti 32]	[Picture on page 32]	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	427	812	False	0.7093189
16	Mbeni oko ti atënë so awato ti Jésus aluti na ndo ni ti bi tënë na li ti lo na adisciple ti lo lani la.	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	14 Isaac surely had the ability to fight for his right to use all the wells that his servants had dug.	812	955	False	0.5906689
17	(Diko 1 Pierre 4:10.)	(Read 1 Peter 4:10.)	In 1978, when Maria was 45, she again became pregnant.	670	291	False	0.72185326
18	E yeke sala tongaso nga tongana bongo ti e ti Chrétien amû saleté ngbanga ti mbeni wokongo na yâ salango ye ti e wala tambela ti e?	Do we feel the same way if our Christian garments become stained, as it were, because of some flaw in our personality or conduct?	With my partner (right), serving as special pioneers in Mistelbach, Austria	169	117	False	0.7101339
19	(Zo-ti-fa-tene 7:12) Tongana e yeke na nginza alingbi na ni, e lingbi ti wara kobe na nzoni da.	(Ecclesiastes 7:12) With enough money, we can obtain food and a comfortable home.	The Bible’s simple argument puts it best: “Of course, every house is constructed by someone, but he that constructed all things is God.”	289	551	False	0.80970526
20	15 Na yâ wango ti lo na aChrétien ti Rome, mbeni kota kpengba-ndia ayeke dä so Paul agboto lê ti e na ndo ni.	15. When might a Christian, for the benefit of his brothers, refrain from exercising his rights?	The packages were sent to different parts of Germany, where brothers and sisters discreetly delivered them to fellow believers as described at the outset.	445	752	False	1.0755309
21	Alengo ti mbilimbili so andu atënë so ala yeke tene na azo so ayeke na gigi ti kongregation na ndo mabe so ala yeke na ni na Jésus nga na pendere beku so ala yeke na ni (aPhilippien 1:9-11; 3:8-11).	That would include their speaking to others, to outsiders, about their faith in Jesus and their wonderful hope.	Worship was being pushed into the background.	388	495	False	1.0708268
22	Nyama so a mu na sadaka a londo na akota nyama wala akete ni, so ti tene na popo ti anyama so ayeke na sioni oko pepe, nga ayeke “nzoni-kue,” na tele ni abuba pepe.	The sacrificial animal was from the herd or the flock, that is to say of the clean animals, and was “sound,” without defect.	• A picture of elephants brings good luck if it faces a door	205	510	False	0.8281119
23	A-Hébreu ti giriri ayeke hiri keke ti amande “zo so azingo” tongana ala sala tënë ti sigingo hio ti akongö ni.	The ancient Hebrews called the almond tree the awakening one, alluding to its early flowering.	When he activates this, his computer voice proclaims, “The hope of the Bible is that the earth will be a paradise where there will be no more sickness and death, Revelation 21:4.”	155	148	False	0.82105196
24	Me ti bâ ni nzoni, atâa ndara na hingango ye so azo ayeke na ni, ala lingbi pëpe ti mû mbeni ndia tongaso (Jérémie 10:23; aRomain 3:10, 23).	Obviously, no law or standard proposed by any human, no matter how intelligent or sincere, can meet that need. (Jeremiah 10:23; Romans 3:10, 23) If such a standard exists, where could it be found and what would it be like?	Taking a similar view of the death of a faithful Christian may lessen our grief because we know that he is in line for a resurrection.​—Ecclesiastes 7:1.	533	927	False	1.0411355
25	15 Jéhu ayeke lani mbeni koli so asala ye hio.	15 Jehu was a decisive man.	The judges of the Sanhedrin were determined to have them put to death. (Acts 5:33) However, events took an unexpected turn.	433	267	False	0.8854122
26	Tongana nyen la prophétie ti Daniel aga tâ tënë?	How has “true knowledge” become abundant?	By choosing to sin against Jehovah, they lost for themselves and their offspring the kind of life that Jehovah intended for them.	216	609	False	0.9108975
27	Lo tene: “Na ndulu tënë, bungbi ni amû beku oko pëpe ti mbeni guengo na li ni.”	“On the whole,” he reported, “the meeting was quite a disappointment.”	Today, he earns much less than before, but he still cares for his family’s needs and is much better able to support the congregation.	704	866	False	1.0062182
28	Dabe mo na ye so prophète Élisée atene na gbia Joas so aga na mbage ti lo ti wara mungo maboko ti tiri na aturugu ti Syrie so aye ti mû kodoro ni.	Recall what the prophet Elisha told King Jehoash, who had come to Elisha for help to fight against Syrian invaders.	As World War II drew to a close, the Witnesses from Wisła were still strong in faith and ready to resume their preaching activity with zeal and determination.	313	760	False	0.5887276
29	TONGANA mbeni ngangu kobela asara mo, peut-être mo hunda tere ti mo, mo tene: ‘Mbi yeke sava ande la?’	HAVE you ever wondered: ‘Will I recover from this sickness?’	At times, some young ones, like the prodigal son, may turn away from the truth.	325	660	False	1.1500558
30	Nga na bango tongana nyen aye ayeke tambela, azo ayeke bi ande bê gi mingi ahon na ndo ye ti ala mveni.	And judging by the way things are going, people will only become more self-centered.	Today, he earns much less than before, but he still cares for his family’s needs and is much better able to support the congregation.	608	866	False	0.76803684
31	Na akodoro so dê ayeke dä mingi abale, alende ti ngu, même akota ngu ti ingo ayeke ga ande glaçon biaku biaku.”	In the cooler parts of the world the rivers, ponds, lakes, and even the oceans would all be permanently frozen.”	The baker was Polish, the butcher was Polish, and the parish priest was Polish.	991	562	False	0.873953
32	Akota bungbi wa mo dabe ti mo na ni mingi? Ngbanga ti nyen?	Which conventions have been especially memorable for you, and why?	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	235	812	False	1.2055686
33	Azo mingi apensé so zo alingbi pëpe ti ga tâ kamarade ti Nzapa nga ti ye lo ndali ti so zo alingbi ti bâ lo ape nga lo yeke Nzapa ti ngangu ahon kue.	Many find it hard to imagine that humans could acquire a close, loving friendship with Almighty God, an invisible Spirit in heaven.	Otherwise, he “eats and drinks judgment against himself.”	986	41	False	0.7468622
34	Bungbi so azia lâ oko vundu na bê ti e pëpe. Lo mû na e lakue gbâ ti ngu ti tâ tënë so sioni oko ayeke dä pëpe so ayeke na yâ ti Bible.​—És. 55:1-3; Mat. 24:45-47.	Instead, let us be determined to remain loyal to Jehovah and to the organization that has a long record of quenching our thirst with the pure and refreshing waters of truth from God’s inspired Word.​—Isa. 55:1-3; Matt. 24:45-47.	(Matthew 13:11) One aspect of that secret involved Jehovah’s selecting a “little flock” of 144,000 humans to be associated with his Son as part of the seed, to reign with him in heaven.​—Luke 12:32; Revelation 14:1, 4.	85	192	False	1.0057956
35	18 Même angu ti ngu-ingo ayeke fa ndara ti Nzapa.	18. How does seawater show Jehovah’s wisdom?	14 Isaac surely had the ability to fight for his right to use all the wells that his servants had dug.	15	955	False	0.5844674
36	Christine agirisa lani nginza ti lo na yanga ti Da ti Royaume ti aTémoin ti Jéhovah.	Christine lost her money in front of a Kingdom Hall of Jehovah’s Witnesses.	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	573	812	False	0.50389194
37	Gamaliel, so ayeke mbeni maître ti Ndia, alondo na lo wa amba ti lo ni ti sala ye na loro pëpe.	The judges of the Sanhedrin were determined to have them put to death. (Acts 5:33) However, events took an unexpected turn.	As World War II drew to a close, the Witnesses from Wisła were still strong in faith and ready to resume their preaching activity with zeal and determination.	267	760	False	0.9573251
38	Na yâ ti “alango ti nda ni” so e yeke dä fadeso, awakua ti Nzapa ayeke nduru mingi na fini dunia (2 Tim. 3:1; 2 Pi. 3:13).	(2 Tim. 3:1; 2 Pet. 3:13) Sadly, though, some of Jehovah’s worshippers have let down their guard.	13 When Solomon’s temple was dedicated to Jehovah, provision was made for non-Israelite worshippers, as reflected in Solomon’s prayer: “Concerning the foreigner who is not part of your people Israel and who comes from a distant land because of your great name and your mighty hand and your outstretched arm, and he comes and prays toward this house, may you then listen from the heavens, your dwelling place, and do all that the foreigner asks of you, so that all the peoples of the earth may know your name and fear you, as your people Israel do, and may know that your name has been called on this house that I have built.” (2 Chron. 6:32, 33) As was still true in Jesus’ day, any non-Israelite who wished to worship Jehovah would want to associate with His covenant people.​—John 12:20; Acts 8:27.	503	107	False	1.0653089
39	(Psaume 119:160). A yeke pusu e biani ti kiri ti bâ Tënë ti Nzapa kue na nene ni mingi ahon ti kozo.	(Psalm 119:160) This surely ought to enhance our appreciation for the entire written Word of God.	Our Readers Ask . . .	131	162	False	1.0754411
40	Ade azendo ti Nzapa atï na ngu lâ oko pëpe, na fade ala yeke tï na ngu lâ oko pëpe (Esaïe 55:10, 11). Mo ye ti bâ gbiango ye so?	God’s promises have never failed, and they never will. (Isaiah 55:10, 11) Would you like to see this change?	In 1978, when Maria was 45, she again became pregnant.	664	291	False	0.67894983
41	(Dan. 10:8, 11, 18, 19).	(Dan. 10:8, 11, 18, 19; ftn.)	(Jas. 4:17) Wisely, however, parents want to be sure that before their children get baptized, they are ready to shoulder the responsibility of Christian discipleship.	171	556	False	0.76999795
42	(Diko Matthieu 16:24.)	(Read Matthew 16:24.)	In 1978, when Maria was 45, she again became pregnant.	960	291	False	0.747303
