	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Alás nueve ya acabá el party.	The party finished at nine.	This isn't funny.	394	410	False	0.4826796
1	A las siete le pirmi ta salé na casa.	He always leaves home at seven.	"""How old are you?"" ""I'm already 17 years old."""	251	898	False	0.43482912
2	Amó aquel de tuyo plano?	Was that your plan?	That small one is also mine.	363	796	False	0.3718921
3	Andá yo jugá afuera. Siguí tu cumigo?	I'm going outside to play. Are you coming with?	You're a slob.	362	408	False	0.40514636
4	Antes más ta preferí yo el cha negro que el café, pero recientemente ta bebé ya yo un buen cantidad de ambos dos.	I used to prefer black tea to coffee, but recently I've been drinking a good amount of both.	It is bad to count all the things that you gave.	614	648	False	0.6443076
5	Aparte de vos, todo kita pobre.	Apart from you, we are all poor.	Tell me what it is.	845	261	False	0.6483604
6	Aqui yo ta trabajá.	I work here.	My grandfather never dyed his hair.	709	458	False	0.69077706
7	Ay acabá tu cortá cun el magá pono aquí?	Are you going to cut down all the trees here?	The leaves fell.	754	815	False	0.7249067
8	Ay discutí kitá cunese luego.	We will discuss that later.	The patient is feverish this afternoon.	419	310	False	0.38230085
9	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	What time do you usually leave home?	792	300	False	0.43282843
10	Ay man miss yo cun ustedes todo.	I will miss you all.	Can we come with you?	564	929	False	0.6525345
11	Ay quedá tu famoso.	You will be famous.	Sanya Lopez as Sang'gre Danaya, the youngest of the sisters and the keeper of the earth gem.	676	239	False	0.6880646
12	Ay quedá yo na casa.	I'll stay home.	She is afraid of her own shadow.	124	609	False	0.546752
13	Ay tené gayót yo mucho cuidáo.	I will be very careful.	What time do you usually leave home?	949	300	False	0.32382107
14	Bien bueno manejá si Tom.	Tom is a pretty good driver.	I have forgotten my glasses.	27	509	False	0.5073519
15	Bien claro el luna.	The moon's so bright.	I left my umbrella in the cab.	14	335	False	0.5160136
16	Bien sensitivo yo na calor.	I am very sensitive to heat.	He raised his hand.	95	462	False	0.4018923
17	Borles el mujer.	The woman is naked.	The trees are green.	714	69	False	0.10586274
18	Busy yo este día.	I've been busy today.	She couldn't come because she was busy.	276	516	False	0.506812
19	Caliente el cha.	The tea is hot.	How did you fall into the swamp? Somebody shoved us.	588	466	False	0.35122085
20	Casáo kamé de Tom.	Tom and I are married.	His name is Tom.	474	592	False	0.79100275
21	"""Casáo ya yo"", ya contestá si Mary."	"""I'm already married,"" replied Mary."	You can't deny that.	57	238	False	0.65145695
22	Cascá dos ságuing.	Peel two of the bananas.	Tom bites his nails.	482	150	False	0.54638994
23	Colorao de suyo maga uñas.	Her nails are red.	I have eyes.	193	379	False	1.1920929e-07
24	Color verde el falda.	The skirt is green.	Please don't smoke in bed.	736	356	False	0.44458294
25	Cosa ay pasá cumigo?	What'll happen to me?	May I see your passport, please?	946	617	False	0.5299473
26	Cosa cuntigo ya hablá?	What were you told?	Please drive safely.	309	860	False	0.5155128
27	¿Cósa de usted nombre?	What is your name?	Who said you could speak?	246	471	False	0.46436048
28	Cosa el color de tuyo pelo?	What color is your hair?	Do you know who those people are?	470	799	False	0.62692416
29	¿Cósa el de tuyo etnia? ¡Zamboangueño!	What is your ethnicity? Zamboangueño!	Tom's house was completely destroyed.	290	236	False	0.45722485
30	Cosa el noticia?	What's the news?	The wind stopped.	164	262	False	0.5121267
31	Cosa el precio desté reloj?	What is the price of this watch?	You dropped your pencil.	690	917	False	0.4588976
32	¿Cósa hora vos usualmente ta salé na casa?	What time do you usually leave home?	I don't care what you do with your money.	300	685	False	0.6603068
33	Cosa tu hacé luego de noche?	What are you going to do tonight?	Tom bites his nails.	923	150	False	0.4653201
34	Cosa tu hacé si nuay yo?	What would you do without me?	When did you begin studying French?	114	237	False	0.3599893
35	Cosa tu mas quiere, carne o pescáo?	Which do you like better, meat or fish?	"""How old are you?"" ""I'm already 17 years old."""	425	538	False	0.3653463
36	Cosa tu ta esperá?	What are you waiting for?	I arrived in Tokyo at noon.	41	380	False	0.25782967
37	Cosa ya man ya pasá cun tuyo perro?	What's become of your dog?	Sanya Lopez as Sang'gre Danaya, the youngest of the sisters and the keeper of the earth gem.	583	239	False	0.56255996
38	Cristiano si Barack Obama.	Barack Obama is a Christian.	Whose book is this?	732	426	False	0.64605415
39	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.	I wanted to be a bus driver when I was five.	I have forgotten my glasses.	166	509	False	0.4973662
40	Cuando tu andá na Armenia?	When will you go to Armenia?	That's wet.	840	293	False	0.7068856
41	¿Cuándo?	When?	How did you fall into the swamp? Somebody shoved us.	854	466	False	0.42349696
42	Cuanto cebollón?	How many onions?	I'm not telling you to go alone.	671	211	False	0.44240105
43	Cuanto el un kilo de uvas?	How much is a kilo of grapes?	They sat under a tree.	545	728	False	0.6712904
44	¿Cuánto este sombrero?	How much is this hat?	Do you know who those people are?	765	799	False	0.75571704
45	¿Cuánto?	How much?	"""How old are you?"" ""I'm already 17 years old."""	301	411	False	0.51482296
46	¿Cuántos años ya evos?	How old are you?	Tom and Mary followed John.	704	303	False	0.4237926
47	"""¿Cuántos años ya tú?"" ""Yo diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	He is not a doctor but a teacher.	538	775	False	0.7687565
48	"""¿Cuántos años ya usted?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	Plant trees!	898	135	False	0.6375022
49	"""¿Cuántos años ya vos?"" ""Diecisiete años ya."""	"""How old are you?"" ""I'm already 17 years old."""	I would rather have tea than coffee.	411	229	False	0.65249777
50	Cují cunaquel pato y después llevá aquí.	Catch that duck and bring it here.	Who's ill?	376	994	False	0.3089906
51	Dale cumigo el vino.	Give me the wine.	Do you know who those people are?	315	799	False	0.5833019
52	Dale yo cuntigo prestá este libro.	I'll lend you this book.	Don't kill me.	836	148	False	0.45607734
53	Day off de suyo mañana.	Tomorrow is his day off.	Your daughter is not a child anymore.	127	997	False	0.5130762
54	De mio aquél pantalón.	Those are my pants.	Tom wants to come home.	943	989	False	0.37444878
55	De mio quel boss aquel coche na ya mirá tu ara lang.	The car you saw a while ago is my boss'.	Ann has lots of friends.	890	158	False	0.5426283
56	De quien esté lápiz?	Whose pencil is this?	Don't kill me.	208	148	False	0.40783405
