	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bwénu el gátu.	El gato es bueno.	Ve a sentarte.	73	49	False	0.5067247
1	Chikítu el gátu ómbri.	El gato es pequeño.	Yo traté de ayudar.	6	95	False	0.43563485
2	Grándi el kamóte.	El camote es grande.	Mi tío es rico.	55	24	False	0.39646745
3	Grándi el ómbri.	El hombre es grande.	Ve a sentarte.	101	49	False	0.4371022
4				88	9	False	1.1920929e-07
5	Andá sintá.	Ve a sentarte.	Ella estornudó.	49	33	False	0.5896902
6	Apuráo pirmi si Tom.	Tom siempre está apurado.	Ella estornudó.	62	33	False	0.36916566
7	Apuráo tu?	¿Estás apurado?	¡Óyeme!	51	54	False	0.34834933
8	Baklá yo, acabar?	Soy gay, ¿y qué?	Tu salud es más importante.	25	43	False	0.5814643
9	¡Buenos días!	¡Buenos días!	¡Buenos días!	3	3	True	0.0
10	Cerca ya gat kita.	Ya estamos cerca.	Ve a sentarte.	12	49	False	0.3753618
11	Conoce de mío tata'y nana cunel de mío novia.	Mis padres conocen a mi novia.	Mis padres conocen a mi novia.	91	91	True	0.5009954
12	Cosa el nombre del batita mujer?	¿Cómo se llama la nena?	¿Cuál es el precio de este reloj?	42	94	False	0.16518569
13	Cosa el precio desté reloj?	¿Cuál es el precio de este reloj?	¿Estás apurado?	94	51	False	0.25239563
14	Cosa tu ya decidi?	¿Qué decidiste?	Mi tío es rico.	102	24	False	0.41205657
15	¿Cuánto?	¿Cuánto?	¿Cuánto?	2	2	True	0.0
16	Cuidáo! Tiene vaca na camino!	¡Cuidado! ¡Hay una vaca en el camino!	¡Cuidado! ¡Hay una vaca en el camino!	57	57	True	0.3772564
17	Debe kita espera para un mesa.	Debemos esperar por una mesa.	Tom fingió no saber la respuesta.	96	76	False	0.4278537
18	¿De dónde tú?	¿De dónde eres?	Por favor, dime la verdad.	47	23	False	0.5021701
19	Dublá cunel hojas na medio.	Plega la hoja por la mitad.	Mi tío es rico.	68	24	False	0.47858143
