	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Tom überkam plötzlich ein Hungergefühl. 	Tom suddenly felt hungry. 	Rush Limbaugh was a monster. 	572	516	False	0.48850393
1	Ich habe diesen Film schon viele Male gesehen. 	I've already seen this movie many times. 	This is a song about hope. 	552	962	False	0.41951895
2	Ich habe erst gestern Abend erfahren, dass Tom der Urheber ist. 	I didn't find out that Tom was the one who did that until last night. 	Just leave the package on the porch. 	601	160	False	0.49371314
3	Tom hat einen Welpen mit in die Schule gebracht. 	Tom brought a puppy to school. 	I've already seen this movie many times. 	282	552	False	0.5230596
4	Wo sind die Bücher, die ich brauche? 	Where are the books I need? 	We didn't find out about that until yesterday. 	786	643	False	0.6934458
5	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	God help us all. 	372	784	False	0.44782376
6	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	That horse can talk. 	996	518	False	0.41264975
7	Kennst du „Heidi“? 	"Do you know about ""Heidi, Girl of the Alps""? "	Some people see avoiding comma splices as unnatural. 	437	202	False	0.41445827
8	Mein Mann hat gesagt, er sei gleich zurück. Das ist schon zwei Jahre her. 	My husband said he would come back soon. It's been two years. 	Some people see avoiding comma splices as unnatural. 	543	202	False	0.73830867
9	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	We agreed on a price, but afterwards they wanted 10 dollars extra. 	709	939	False	0.44680166
10	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Tomorrow will be even hotter. 	872	284	False	0.48487878
11	Zitronen sind gewöhnlich sauer. 	Lemons are usually sour. 	Tom is writing his autobiography. 	122	362	False	0.40087473
12	Ist das eine vertrauenswürdige Quelle? 	Is that a trustworthy source? 	Leave your weapons here. 	280	883	False	0.63250923
13	Einige von uns wissen nicht, was sie tun sollen. 	A number of us don't know what to do. 	We are friends, and friends help each other. 	487	895	False	0.4810418
14	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	OK, let's discuss what needs to be done. 	46	453	False	0.49547815
15	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	Where would you prefer to sit, in the front or in the back? 	360	707	False	0.44412255
16	Wir haben dort niemanden gesehen. 	We didn't see anybody there. 	I like to eat plums, and I like to eat plum pie even more. 	577	527	False	0.36898494
17	Haben Tom und Maria jemanden gefunden, der auf Johannes aufpassen kann? 	Did Tom and Mary find a sitter for John? 	The wood beam supports the roof so it doesn't fall in. 	119	57	False	0.3886969
18	Es ist jemand in deinem Zimmer. 	There's somebody in your room. 	Tom goes there every morning. 	324	360	False	0.4642954
19	Ich hasse Alpträume. 	I hate nightmares. 	That horse can talk. 	251	518	False	0.37513614
20	Es erinnerte sich niemand, wo wir unseren Wagen geparkt hatten. 	No one remembered where we'd parked our car. 	It looks like something out of the future—a bike that skates on water. 	434	706	False	0.55208004
21	Ihr könntet es im Laden gegenüber versuchen. Vielleicht hat man dort, wonach ihr sucht. 	You could try the store across the street. They may have what you're looking for. 	There's no one who can stand him. 	163	476	False	0.4031433
22	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	Changing outside is embarrassing. 	333	710	False	0.398535
23	Tom war noch am Leben. 	Tom was still alive. 	I didn't find out that Tom was the one who did that until last night. 	819	601	False	0.54130566
24	Tom kann das auch nicht. 	Tom can't do it either. 	Tom goes there every morning. 	176	360	False	0.4299214
25	Ich muss den Bleistift spitz machen. 	I need to make the pencil sharp. 	Tom pointed a finger at me. 	849	375	False	0.46863782
26	Wir sind bald damit fertig. 	We're pretty close to finishing this. 	We had a similar case last year. 	310	626	False	0.5282533
27	Ich habe ein paar Bücher gelesen. 	I have read some books. 	I want to become better at expressing my ideas in French. 	942	390	False	0.5464332
28	Verstehst du, wie sehr ich dich liebe? 	Do you know how much I love you? 	Changing outside is embarrassing. 	384	710	False	0.5111983
29	Gestern habe ich mit einem neuen Buch angefangen. 	I started a new book yesterday. 	Do you know how to write it? 	794	100	False	0.78779197
30	Hast du in Erfahrung bringen können, warum Tom das machen musste? 	Did you find out why Tom had to do that? 	If you agree, sign here. 	433	403	False	0.38720083
31	Davor fürchtet sich Tom am meisten. 	That's what Tom fears the most. 	Check everything once more. 	692	229	False	0.3607365
32	Ich finde, es ist beides in Ordnung. 	I think either one is fine. 	"""You're friends with Tom, aren't you?"" ""Yeah."" ""What's he like?"" "	355	9	False	0.530666
