	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	Do you have anyone who you can call if you need to talk? 	38	91	False	0.4058771
1	Elles m'ont oublié. 	They forgot me. 	Do you currently take any medication prescribed to you by a psychiatrist? 	917	689	False	0.51614857
2	As-tu déjà ressenti une douleur à la poitrine ? 	Have you ever experienced chest pain? 	Is it okay if I ask you a few questions about your medical history? 	840	627	False	0.42038846
3	Sortez vos cavaliers avant de développer les fous. 	Bring out your knights before developing the bishops. 	The president remained coy about his plans. 	391	44	False	0.53221226
4	Au travail ! 	Let's get it done! 	Sing along! 	147	773	False	0.3906331
5	Veuillez suivre mon doigt sans bouger votre tête. 	Please follow my finger without moving your head. 	Do you have any unexplained bruising or bleeding? 	116	169	False	0.41297364
6	Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	That building is more than three hundred years old. 	82	12	False	0.41608965
7	Quelqu'un est entré. 	Someone entered. 	Do you regularly use any assistive devices for walking? 	31	637	False	0.45629215
8	Ils ne m'ont pas oubliée. 	They didn't forget me. 	It's an hour away by bus. 	685	452	False	0.67845404
9	Lis les bons livres ! 	Read good books! 	Nation shall not lift up sword against nation, neither shall they learn war any more. 	716	780	False	0.408306
10	Leur maison est en vente. 	Their house is for sale. 	I can finally walk without a limp. 	297	42	False	0.40883827
11	Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	After the explosion, I saw three guys limping out of the restaurant. 	We did our work. 	67	585	False	0.6103344
12	Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	Eight brothers and no sisters? No wonder she's a tomboy. 	They got married on the beach. 	6	704	False	0.4583944
13	Ils m'ont oubliée. 	They forgot me. 	Do you have vertigo? 	404	300	False	0.55889535
14	Connais-tu quelqu’un qui joue de la guitare ? 	Do you know anyone who plays the guitar? 	I wish my French was as good as your English. 	882	785	False	0.4609735
15	Avez-vous régulièrement des problèmes de sinus ? 	Do you regularly have sinus issues? 	Don't sit down! 	791	573	False	0.4003148
16	Le livre a des points de vente dans toute la France, la Belgique, la Suisse romande et le Québec. 	The book has points of sale throughout France, Belgium, French-speaking Switzerland and Quebec. 	What color was the phlegm that you coughed up? 	544	552	False	0.4403696
17	Comment est votre vue ? 	How is your vision? 	Have you recently felt any unexplained pain or stiffness in your neck? 	253	122	False	0.2565633
18	As-tu déjà eu un décollement de la rétine ? 	Have you ever had a detached retina? 	Let's adapt! 	242	876	False	0.26733708
19	Ce n'est pas son seul problème. 	That's not his only problem. 	Can you eat the skin of a kiwifruit? 	233	85	False	0.46839178
20	Tom saute d'un sujet à l'autre. 	Tom jumps from one subject to another. 	Is Tom correct? 	166	265	False	0.5242398
21	L'ami de mon ennemi est mon ennemi. 	The friend of my enemy is my enemy. 	Skura testified. 	971	207	False	0.37934566
22	Prenez-vous actuellement des médicaments qui vous ont été prescrits par un psychiatre ? 	Do you currently take any medication prescribed to you by a psychiatrist? 	A slower tempo would be better. 	689	930	False	0.64735794
23	Est-ce que ce mouvement fait mal ? 	Is it painful to move like this? 	Mary is now a grown woman. 	338	933	False	0.71566725
24	Ne regardez pas par le trou de la serrure. 	Don't look through the keyhole. 	He gave up his old career to become a full-time chess player. 	176	49	False	0.59741807
25	Avez-vous ressenti des douleurs corporelles récemment ? 	Have you experienced body aches recently? 	I need your consent to test you for COVID-19. 	619	228	False	0.49845803
26	C'est à Tom que Mary veut parler. 	It's Tom that Mary wants to talk to. 	She could wear less ugly shoes. 	979	411	False	0.42581463
27	Tu veux que je te chante une berceuse ? 	Do you want me to sing you a lullaby? 	Who invented the castanets? 	32	774	False	0.5019294
28	Elle ne m'a pas oubliée. 	She didn't forget me. 	Strike two! 	334	285	False	0.55189574
29	La boîte est toute sale. 	The box is all dirty. 	Do you feel like you have any racing thoughts that you cannot get rid of? 	891	539	False	0.4957919
30	Ils ne m'ont pas oublié. 	They didn't forget me. 	Hello, boys. 	448	747	False	0.48113418
31	Ce n'est pas mon seul problème. 	That's not my only problem. 	Hello, Mum! 	524	998	False	0.47795832
32	A-t-on diagnostiqué chez toi un souffle cardiaque ? 	Have you been diagnosed with a heart murmur? 	Do you wear a hearing aid? 	153	27	False	0.43468142
33	As-tu été piquée par une abeille ? 	Were you stung by a bee? 	Can I put this on your arm? 	589	577	False	0.51623774
34	Les noms russes peuvent être masculins, féminins ou neutres. 	Russian nouns can be masculine, feminine, or neuter. 	Does anyone in your close family have diabetes? 	663	697	False	0.24371123
35	La guerre était perdue. 	The war was lost. 	Tom feels guilty. 	385	409	False	0.5183666
36	Il faut que Tom voie ça. 	Tom needs to see this. 	Paul likes chocolate. 	767	485	False	0.45535636
37	Je suis asexuel. 	I'm asexual. 	The little boy learned chess by watching local games. 	929	754	False	0.43242896
38	Avez-vous déjà été diagnostiquée avec une hépatite ? 	Have you ever been diagnosed with hepatitis? 	Choose what you want from the menu. 	608	0	False	0.3137871
39	Elles la craignent. 	They're afraid of her. 	Can you see this? 	307	326	False	0.38330412
40	Tom n’a pas encore répondu. 	Tom hasn't answered yet. 	I need you to translate this document into Russian. 	986	759	False	0.08117652
41	Yanni s'est excusé. 	Yanni apologized. 	We're selling our boat. 	965	626	False	0.47925282
42	Tom est plus sportif que Charles. 	Tom is sportier than Charles. 	Is Tom correct? 	40	265	False	0.40409398
43	Ça va si je te pose quelques questions sur tes antécédents médicaux ? 	Is it OK if I ask you a few questions about your medical history? 	Have you noticed a change in the size or color of moles? 	458	69	False	0.48172474
44	Badigeonne-toi de crème solaire. 	Slather yourself with sunscreen. 	It saddens me to think that tomorrow is the last day. 	812	75	False	0.4850099
45	Es-tu de langue maternelle française ? 	Are you a native French speaker? 	We suffer from an incurable disease called hope. 	292	884	False	0.2852291
46	Ce virus est un problème partout dans le monde. 	This virus is a problem all over the world. 	Have you recently felt any unexplained pain or stiffness in your neck? 	609	308	False	0.93472195
47	Marie me suit. 	Mary is following me. 	Has anyone close to you ever committed suicide? 	748	611	False	0.36160517
48	Vous a-t-on diagnostiqué un souffle cardiaque ? 	Have you been diagnosed with a heart murmur? 	Can you see this? 	471	326	False	0.38330412
49	Ce n'est pas votre seul problème. 	That's not your only problem. 	I took your keys by mistake. 	455	64	False	0.4525993
50	Tom a dit qu'il aimerait être un poisson. 	Tom said that he wished he were a fish. 	Walk faster! 	683	413	False	0.67006564
51	Lucy est une étudiante américaine. 	Lucy is an American student. 	Everything is done for her. 	569	729	False	0.4515369
52	Au cours des deux dernières semaines, avez-vous été en contact étroit avec une personne présentant des symptômes de la grippe ? 	Within the last two weeks, have you had close contact with anyone with flu-like symptoms? 	When was the last time you had your vision tested? 	901	853	False	0.62003744
53	Les dinosaures régnaient sur Terre. 	Dinosaurs ruled Earth. 	I need you to translate this document into Russian. 	541	759	False	0.28155088
54	Il rencontre des étrangers pendant ses voyages. 	He meets foreigners during his travels. 	It fires. 	290	276	False	0.31686473
55	Vous nous craignez. 	You're afraid of us. 	"""Why is Tom staying home?"" ""He's staying home because he's sick."" "	911	238	False	0.50547993
56	À quoi sert la vie, si on finit tous par mourir ? 	What's the point of life if we all eventually die? 	It fires. 	344	276	False	0.50951016
57	Faites de l'exercice avec modération. 	Exercise moderately. 	I wish my French was as good as your English. 	746	785	False	0.42147171
58	As-tu quitté l'État au cours des 14 derniers jours ? 	Have you left the state within the last 14 days? 	Can you eat the skin of a kiwifruit? 	492	85	False	0.3796134
59	Nos femmes nous manquent vraiment. 	We really miss our wives. 	I have to use a needle to inject this under your skin. 	93	83	False	0.3908893
60	Continue de rêver. 	Keep dreaming. 	Did you lose consciousness after the accident? 	99	387	False	0.39089203
61	Prends ton portable avec toi. 	Bring your phone. 	I have to shave your chest for the electrocardiogram. 	325	954	False	0.56709373
62	Écrivez avec un stylo, s'il vous plaît. 	Write with a pen, please. 	You're afraid of us. 	578	266	False	0.76383877
63	Les trucs que j'ai mis à la poubelle ne sont plus utiles. 	The things I put in the trash can are no longer useful. 	Brazil had a football player named Bauer, but he was not a pawn, he was a king on the field. 	198	818	False	0.6365639
64	Depuis qu'elle est partie, il a perdu son sourire. 	Since she left he has lost his smile. 	A slower tempo would be better. 	615	930	False	0.5854783
65	On ne peut pas gagner sans participer. 	You can't win if you don't play. 	We admire Tom. 	536	850	False	0.6231587
